region_id	region_name	region_name_in_data	region_ent_type	total	electricity-from_national_grid_or_from_rural_hydro_power_project	kerosene_lamp	solar_power_grid_connected	solar_power_standalone	bio_gas	rural_water_supply_project	other
LK-5225	Sainthamaruthu	Sainthamarathu	dsd	8920	8827	69	11	2	0	4	7
LK-5227	Karaitivu	Karaitheevu	dsd	5347	5227	117	3	0	0	0	0
LK-5230	Nintavur	Ninthavur	dsd	8884	8658	141	55	0	0	0	30
LK-5233	Addalaichenai	Addalachchenai	dsd	13503	13099	342	8	10	2	2	40
LK-5234	Irakkamam	Irakkamam	dsd	4674	4494	149	3	26	0	1	1
LK-5236	Akkaraipattu	Akkaraipattu	dsd	12300	12086	192	4	0	1	2	15
LK-5239	Alayadivembu	Alayadiwembu	dsd	7104	6713	383	0	1	0	2	5
LK-5242	Damana	Damana	dsd	11501	11187	231	3	5	0	1	74
LK-5245	Tirukkovil	Thirukkovil	dsd	8369	7844	518	5	1	0	0	1
LK-5248	Pottuvil	Pothuvil	dsd	11850	11184	617	2	9	0	3	35
LK-5251	Lahugala	Lahugala	dsd	2903	2784	108	1	3	0	6	1
LK-52XX	Kalmunai Tamil Division	Kalmunai North Sub	dsd	8960	8684	258	8	1	1	2	6
LK-53	Trincomalee	Trincomalee District	district	121948	117736	3603	60	31	7	24	487
LK-5303	Padavi Sri Pura	Padavisiripura	dsd	3439	3382	54	0	2	0	0	1
LK-5306	Kuchchaweli	Kuchchaveli	dsd	11313	10974	309	4	0	0	2	24
LK-5309	Gomarankadawala	Gomarankadawala	dsd	2467	2371	94	1	1	0	0	0
LK-5312	Morawewa	Morawewa	dsd	2752	2672	74	1	1	0	0	4
LK-5315	Town & Gravets	Trincomalee Town and Gravets	dsd	27668	27165	429	11	8	0	7	48
LK-5318	Thambalagamuwa	Thambalagamuwa	dsd	9505	9151	301	4	3	0	2	44
LK-5321	Kantale	Kanthale	dsd	14499	14138	266	4	3	1	0	87
LK-5324	Kinniya	Kinniya	dsd	22139	21202	764	20	3	1	8	141
LK-5327	Muthur	Muttur	dsd	19502	18578	845	9	5	4	2	59
LK-5330	Seruvila	Seruvila	dsd	4704	4528	147	2	3	1	0	23
LK-5333	Verugal	Verugal Eachchilampattu	dsd	3960	3575	320	4	2	0	3	56
LK-6	North Western	(computed)	province	745193	729060	13132	553	1252	28	164	1004
LK-61	Kurunegala	Kurunegala District	district	511166	501299	8332	313	509	4	37	672
LK-6103	Giribawa	Giribawa	dsd	10522	10205	271	11	22	0	1	12
LK-6106	Galgamuwa	Galgamuwa	dsd	18036	17623	379	7	13	0	4	10
LK-6109	Ehetuwewa	Ehetuwewa	dsd	8250	8037	182	1	15	0	0	15
LK-6112	Ambanpola	Ambanpola	dsd	7875	7699	158	3	11	0	1	3
LK-6115	Kotawehera	Kotavehera	dsd	7015	6840	148	0	18	0	1	8
LK-6118	Rasnayakapura	Rasnayakapura	dsd	7288	7085	177	5	11	0	0	10
LK-6121	Nikaweratiya	Nikaweratiya	dsd	12902	12585	271	6	18	0	1	21
LK-6124	Maho	Maho	dsd	19116	18651	399	14	30	0	1	21
LK-6127	Polpitigama	Polpithigama	dsd	25632	24948	602	9	33	0	1	39
LK-6130	Ibbagamuwa	Ibbagamuwa	dsd	26951	26473	394	9	29	0	3	43
LK-6133	Ganewatta	Ganewatta	dsd	13001	12701	248	14	29	0	1	8
LK-6136	Wariyapola	Wariyapola	dsd	19732	19382	300	4	20	1	1	24
LK-6139	Kobeigane	Kobeigane	dsd	11781	11536	226	3	10	0	0	6
LK-6142	Bingiriya	Bingiriya	dsd	19719	19300	371	3	15	0	3	27
LK-6145	Panduwasnuwara West	Panduwasnuwara West	dsd	20301	19960	301	7	11	0	1	21
LK-6148	Panduwasnuwara East	Panduwasnuwara East	dsd	9431	9245	153	3	6	0	0	24
LK-6149	Bamunakotuwa	Bamunakotuwa	dsd	11706	11431	238	5	13	0	0	19
LK-6151	Maspotha	Maspotha	dsd	12160	11917	160	48	17	0	0	18
LK-6154	Kurunegala	Kurunegala	dsd	24041	23671	242	52	36	0	5	35
LK-6157	Mallawapitiya	Mallawapitiya	dsd	16688	16348	268	17	24	2	0	29
LK-6160	Mawathagama	Mawathagama	dsd	19952	19652	235	5	15	0	1	44
LK-6163	Rideegama	Rideegama	dsd	27230	26788	387	12	14	0	2	27
LK-6166	Weerabugedara	Weerambugedara	dsd	10844	10715	108	5	9	0	1	6
LK-6169	Kuliyapitiya East	Kuliyapitiya East	dsd	16540	16258	254	3	4	1	1	19
LK-6172	Kuliyapitiya West	Kuliyapitiya West	dsd	24195	23799	310	25	21	0	2	38
LK-6175	Udubaddawa	Udubaddawa	dsd	15885	15685	159	9	8	0	0	24
LK-6178	Pannala	Pannala	dsd	39034	38461	491	19	23	0	3	37
LK-6181	Narammala	Narammala	dsd	17076	16748	273	9	9	0	2	35
LK-6184	Alawwa	Alawwa	dsd	19107	18647	411	5	14	0	0	30
LK-6187	Polgahawela	Polgahawela	dsd	19156	18909	216	0	11	0	1	19
LK-62	Puttalam	Puttalam District	district	234027	227761	4800	240	743	24	127	332
LK-6203	Kalpitiya	Kalpitiya	dsd	24668	23121	1054	27	312	12	105	37
