region_id	region_name	region_name_in_data	region_ent_type	total	electricity-from_national_grid_or_from_rural_hydro_power_project	kerosene_lamp	solar_power_grid_connected	solar_power_standalone	bio_gas	rural_water_supply_project	other
LK-2203	Galewela	Galewela	dsd	22577	22176	363	9	7	0	0	22
LK-2206	Dambulla	Dambulla	dsd	23187	22720	392	10	27	0	3	35
LK-2209	Naula	Naula	dsd	8979	8811	146	2	9	0	3	8
LK-2212	Pallepola	Pallepola	dsd	9201	9048	130	6	8	0	0	9
LK-2215	Yatawatta	Yatawatta	dsd	9050	8963	69	1	4	0	0	13
LK-2218	Matale	Matale	dsd	22229	21968	172	23	20	1	4	41
LK-2221	Ambanganga	Ambanganga Korale	dsd	4732	4597	114	2	14	0	0	5
LK-2224	Laggala	- - Laggala-Pallegama	dsd	5093	4915	144	4	17	0	1	12
LK-2227	Wilgamuwa	Wilgamuwa	dsd	10043	9755	283	0	4	0	0	1
LK-2230	Rattota	Rattota	dsd	15994	15723	242	2	9	0	2	16
LK-2233	Ukuwela	Ukuwela	dsd	20047	19812	193	2	7	0	2	31
LK-23	Nuwara Eliya	Nuwara Eliya District	district	200261	196060	3524	56	134	15	72	400
LK-2303	Kothmale East	Kothmale East	dsd	17473	17125	309	6	14	0	2	17
LK-2304	Kothmale West	Kothmale West	dsd	11632	11443	168	0	2	0	1	18
LK-2306	Hanguranketa	Hanguranketha	dsd	16950	16609	270	0	24	0	3	44
LK-2307	Mathurata	Mathurata	dsd	9768	9531	196	2	17	0	3	19
LK-2309	Walapane	Walapane	dsd	18241	17788	373	4	24	0	2	50
LK-2310	Nildandahinna	Nildandahinna	dsd	12587	12253	298	6	16	0	1	13
LK-2312	Nuwara Eliya	Nuwara Eliya	dsd	23014	22632	318	14	17	0	8	25
LK-2313	Thalawakele	Thalawakele	dsd	33685	32926	617	6	10	7	26	93
LK-2315	Ambagamuwa Korale	Ambagamuwa	dsd	12791	12615	151	1	3	0	1	20
LK-2316	Norwood	Norwood	dsd	44120	43138	824	17	7	8	25	101
LK-3	Southern	(computed)	province	728288	717303	7272	705	496	11	76	2425
LK-31	Galle	Galle District	district	307704	304034	2387	359	205	5	29	685
LK-3103	Bentota	Benthota	dsd	13749	13599	108	6	3	0	2	31
LK-3106	Balapitiya	Balapitiya	dsd	18886	18638	146	7	7	0	0	88
LK-3109	Karandeniya	Karandeniya	dsd	19870	19606	202	2	7	0	1	52
LK-3112	Elpitiya	Elpitiya	dsd	19392	19039	289	13	9	0	4	38
LK-3115	Niyagama	Niyagama	dsd	10359	10253	87	0	4	1	1	13
LK-3118	Thawalama	Thawalama	dsd	9514	9389	87	0	10	1	1	26
LK-3121	Neluwa	Neluwa	dsd	8454	8373	51	1	13	0	0	16
LK-3124	Nagoda	Nagoda	dsd	15521	15340	160	4	1	0	1	15
LK-3127	Baddegama	Baddegama	dsd	14330	14076	147	52	8	1	4	42
LK-3128	Wanduramba	Wanduramba	dsd	7997	7912	64	1	2	0	2	16
LK-3130	Welivitiya-Divitura	-- Welivitiya-Divithura	dsd	8632	8569	46	2	0	0	0	15
LK-3133	Ambalangoda	Ambalangoda	dsd	16924	16668	98	48	28	0	0	82
LK-3134	Gonapinuwala	Gonapeenuwala	dsd	6833	6766	40	5	8	0	1	13
LK-3136	Hikkaduwa	Hikkaduwa	dsd	7543	7488	13	13	11	0	1	17
LK-3137	Rathgama	Rathgama	dsd	10829	10733	69	5	6	0	1	15
LK-3138	Madampagama	Madampagama	dsd	9205	9095	63	9	4	0	0	34
LK-3139	Galle 4 Gravets	Galle Four Gravets	dsd	26475	26251	75	84	34	1	0	30
LK-3142	Bope-Poddala	--Bope-Poddala	dsd	15528	15346	77	74	16	0	2	13
LK-3145	Akmeemana	Akmeemana	dsd	23603	23356	150	16	20	1	3	57
LK-3148	Yakkalamulla	Yakkalamulla	dsd	13407	13241	138	4	5	0	0	19
LK-3151	Imaduwa	Imaduwa	dsd	13390	13232	125	6	4	0	2	21
LK-3154	Habaraduwa	Habaraduwa	dsd	17263	17064	152	7	5	0	3	32
LK-32	Matara	Matara District	district	231946	229169	1828	269	118	4	19	539
LK-3203	Pitabaddara	Pitabeddara	dsd	14652	14360	230	5	11	0	1	45
LK-3206	Kotapola	Kotapola	dsd	17933	17654	206	7	14	0	1	51
LK-3209	Pasgoda	Pasgoda	dsd	18253	17854	324	4	11	0	1	59
LK-3212	Mulatiyana	Mulatiyana	dsd	14615	14481	105	3	2	1	1	22
LK-3215	Athuraliya	Athuraliya	dsd	9066	8971	71	1	3	1	1	18
LK-3218	Akuressa	Akuressa	dsd	15137	14947	145	4	7	0	1	33
LK-3221	Welipitiya	Welipitiya	dsd	14990	14822	107	3	8	0	0	50
LK-3224	Malimbada	Malimbada	dsd	10272	10130	86	19	8	0	0	29
LK-3227	Kaburupitiya	Kamburupitiya	dsd	11943	11845	62	12	3	0	1	20
LK-3230	Hakmana	Hakmana	dsd	9173	9090	70	2	0	0	0	11
LK-3233	Kirinda Puhulwella	Kirinda Puhulwella	dsd	5814	5761	46	5	0	0	0	2
LK-3236	Thihagoda	Thihagoda	dsd	9757	9653	38	37	3	0	1	25
LK-3239	Weligama	Weligam	dsd	19525	19352	117	10	6	1	2	37
LK-3242	Matara Four Gravets	Matara Four Gravets	dsd	32283	31973	82	147	29	1	6	45
LK-3245	Devinuwara	Devinuwara	dsd	13351	13249	60	7	7	0	1	27
LK-3248	Dikwella	Dickwella	dsd	15182	15027	79	3	6	0	2	65
LK-33	Hambantota	Hambantota District	district	188638	184100	3057	77	173	2	28	1201
LK-3303	Sooriyawewa	Sooriyawewa	dsd	14431	13979	306	3	11	0	3	129
LK-3306	Lunugamwehera	Lunugamwehera	dsd	10415	10073	205	4	12	1	0	120
LK-3309	Thissamaharama	Thissamaharama	dsd	21026	20505	292	6	41	0	6	176
LK-3312	Hambantota	Hambantota	dsd	18308	17740	301	9	53	0	4	201
LK-3315	Ambalantota	Ambalantota	dsd	22415	21921	309	18	13	1	4	149
LK-3318	Angunakolapelessa	Angunakolapelessa	dsd	15432	15083	271	4	7	0	2	65
LK-3321	Weeraketiya	Weeraketiya	dsd	13671	13381	233	4	1	0	0	52
LK-3324	Katuwana	Katuwana	dsd	15160	14693	352	2	9	0	3	101
LK-3325	Walasmulla	Walasmulla	dsd	13475	13200	235	0	4	0	1	35
