region_id	region_name	region_name_in_data	region_ent_type	total	firewood	kerosene	gas	electricity	saw_dust_or_paddy_husk	bio_gas	other	not_relevant
EC-01	Colombo		DISTRICT	661822	65584	9106	566183	6425	134	157	380	13853
EC-02	Gampaha		DISTRICT	688635	218798	5137	439916	3068	126	131	633	20826
EC-03	Kalutara		DISTRICT	352963	149395	1394	197313	1015	43	68	139	3596
EC-04	Kandy		DISTRICT	397626	231787	1321	160277	1447	51	24	110	2609
EC-05	Matale		DISTRICT	151132	114015	174	35566	241	3	8	53	1072
EC-06	Nuwara-Eliya		DISTRICT	200261	143947	1222	53336	503	30	527	12	684
EC-07	Galle		DISTRICT	307704	160388	522	141680	504	54	46	153	4357
EC-08	Matara		DISTRICT	231946	141321	271	86746	480	28	12	93	2995
EC-09	Hambantota		DISTRICT	188638	136455	380	49533	242	7	24	58	1939
EC-10	Jaffna		DISTRICT	196487	115921	1785	75401	290	90	1300	21	1679
EC-11	Vanni		DISTRICT	115515	71072	1094	42043	132	5	514	19	636
EC-12	Batticaloa		DISTRICT	170262	72927	2051	92746	440	289	745	44	1020
EC-13	Digamadulla		DISTRICT	207007	100055	1474	100622	550	693	1853	49	1711
EC-14	Trincomalee		DISTRICT	121948	59651	1507	58262	301	25	959	18	1225
EC-15	Kurunegala		DISTRICT	511166	394682	677	108665	1015	13	45	158	5911
EC-16	Puttalam		DISTRICT	234027	140282	2105	87268	379	22	525	114	3332
EC-17	Anuradhapura		DISTRICT	275084	205964	531	65810	386	6	58	64	2265
EC-18	Polonnaruwa		DISTRICT	127385	98828	206	26943	174	6	128	39	1061
EC-19	Badulla		DISTRICT	248262	200159	651	45606	583	81	20	18	1144
EC-20	Moneragala		DISTRICT	151763	126881	306	23202	405	1	12	32	924
EC-21	Ratnapura		DISTRICT	327645	255732	687	68039	493	19	11	67	2597
EC-22	Kegalle		DISTRICT	244037	177937	373	63345	467	13	12	87	1803
LK	Sri Lanka	Sri Lanka	country	6111315	3381781	32974	2588502	19540	1739	7179	2361	77239
LK-1	Western	(computed)	province	1703420	433777	15637	1203412	10508	303	356	1152	38275
LK-11	Colombo	Colombo District	district	661822	65584	9106	566183	6425	134	157	380	13853
LK-1103	Colombo	Colombo	dsd	72479	876	3291	65872	466	7	47	63	1857
LK-1106	Kolonnawa	Kolonnawa	dsd	56756	2648	1324	50976	658	4	17	25	1104
LK-1109	Kaduwela	Kaduwela	dsd	80373	6820	342	70857	750	8	5	52	1539
LK-1112	Homagama	Homagama	dsd	80298	11640	344	66037	611	10	5	42	1609
LK-1115	Seethawaka	Seethawaka	dsd	34798	16110	118	17401	112	2	2	17	1036
LK-1118	Padukka	Padukka	dsd	20880	9126	42	11214	64	6	4	18	406
LK-1121	Maharagama	Maharagama	dsd	57114	1821	245	53011	740	8	3	50	1236
LK-1124	Sri Jayawardanapura Kotte	Sri Jayawardanapura Kotte	dsd	28243	518	291	26457	575	4	3	10	385
LK-1127	Thimbirigasyaya	Thimbirigasyaya	dsd	58681	956	1577	54279	1061	3	57	11	737
LK-1130	Dehiwala	Dehiwala	dsd	25565	209	245	24547	257	1	8	5	293
LK-1131	Ratmalana	Ratmalana	dsd	25358	747	459	23415	273	6	1	6	451
LK-1133	Moratuwa	Moratuwa	dsd	44872	8496	497	34094	292	64	1	48	1380
LK-1136	Kesbewa	Kesbewa	dsd	76405	5617	331	68023	566	11	4	33	1820
LK-12	Gampaha	Gampaha District	district	688635	218798	5137	439916	3068	126	131	633	20826
LK-1203	Negombo	Negombo	dsd	36300	4015	629	30741	201	13	52	5	644
LK-1206	Katana	Katana	dsd	75514	19528	834	48968	296	12	3	117	5756
LK-1209	Divulapitiya	Divulapitiya	dsd	45072	30748	107	13165	96	2	5	41	908
LK-1212	Mirigama	Mirigama	dsd	49823	32603	148	16286	96	5	2	26	657
LK-1215	Minuwangoda	Minuwangoda	dsd	56770	23831	100	31087	163	13	9	73	1494
LK-1218	Wattala	Wattala	dsd	49300	5234	811	42086	277	7	5	43	837
LK-1221	Ja Ela	- - Ja-Ela	dsd	57689	9794	576	45389	407	19	3	33	1468
LK-1224	Gampaha	Gampaha	dsd	57859	16063	80	40370	333	14	4	62	933
LK-1227	Attanagalla	Attanagalla	dsd	54449	23722	190	29368	133	7	15	22	992
LK-1230	Dompe	Dompe	dsd	47551	26694	125	19776	82	4	7	9	854
LK-1233	Mahara	Mahara	dsd	61767	15428	400	44513	332	16	16	42	1020
LK-1236	Kelaniya	Kelaniya	dsd	37231	2408	598	31882	281	7	2	9	2044
LK-1239	Biyagama	Biyagama	dsd	59310	8730	539	46285	371	7	8	151	3219
LK-13	Kalutara	Kalutara District	district	352963	149395	1394	197313	1015	43	68	139	3596
LK-1303	Panadura	Panadura	dsd	49763	8888	493	39404	275	9	37	15	642
LK-1306	Bandaragama	Bandaragama	dsd	33568	8893	70	24014	113	12	2	5	459
LK-1309	Horana	Horana	dsd	37801	13434	104	23647	92	1	0	17	506
LK-1310	Ingiriya	Ingiriya	dsd	16490	10171	126	5924	50	3	0	3	213
LK-1312	Bulathsinhala	Bulathsinhala	dsd	18737	13320	61	5203	36	0	0	1	116
LK-1315	Madurawala	Madurawala	dsd	10428	6184	14	4083	6	2	0	1	138
LK-1318	Millaniya	Millaniya	dsd	15781	10240	35	5267	17	0	1	14	207
LK-1321	Kalutara	Kalutara	dsd	44332	13981	166	29525	131	6	17	53	453
LK-1324	Beruwala	Beruwala	dsd	42471	13392	148	28436	185	7	5	11	287
LK-1327	Dodangoda	Dodangoda	dsd	18667	9924	17	8532	19	1	2	9	163
LK-1330	Matugama	Mathugama	dsd	23503	11632	54	11604	61	1	1	5	145
LK-1333	Agalawatta	Agalawatta	dsd	10502	6507	18	3891	7	0	0	1	78
LK-1336	Palindanuwara	Palindanuwara	dsd	14996	11504	45	3350	12	1	1	2	81
LK-1339	Walallawita	Walallavita	dsd	15924	11325	43	4433	11	0	2	2	108
LK-2	Central	(computed)	province	749019	489749	2717	249179	2191	84	559	175	4365
LK-21	Kandy	Kandy District	district	397626	231787	1321	160277	1447	51	24	110	2609
LK-2103	Tumpane	Thumpane	dsd	10897	7684	18	3075	22	0	0	6	92
LK-2106	Poojapitiya	Pujapitiya	dsd	15815	10733	19	4948	31	2	3	1	78
LK-2109	Akurana	Akurana	dsd	16371	6352	30	9834	56	1	1	5	92
LK-2112	Pathadumbara	Pathadumbara	dsd	25750	12987	100	12331	131	1	0	14	186
LK-2115	Panvila	Panvila	dsd	7442	6012	32	1352	9	2	0	0	35
LK-2118	Ududumbara	Udadumbara	dsd	6902	6373	2	500	7	0	0	0	20
LK-2121	Minipe	Minipe	dsd	16159	15067	12	985	17	0	2	2	74
LK-2124	Medadumbara	Medadumbara	dsd	18449	14561	52	3745	23	0	0	1	67
LK-2127	Kundasale	Kundasale	dsd	40127	20413	92	19203	107	6	3	14	289
LK-2130	Gangawata Korale	Kandy Four Gravets Gangawata Korale	dsd	40324	8138	344	31148	298	8	4	21	363
LK-2133	Harispattuwa	Harispattuwa	dsd	26172	13162	66	12620	78	11	1	5	229
LK-2134	Hatharaliyadda	Hatharaliyadda	dsd	8717	7793	10	865	4	0	0	0	45
LK-2136	Yatinuwara	Yatinuwara	dsd	31087	16398	58	14188	137	2	3	15	286
LK-2139	Udunuwara	Udunuwara	dsd	31878	16970	47	14485	107	5	1	12	251
LK-2142	Doluwa	Doluwa	dsd	14659	11823	78	2637	47	2	0	2	70
LK-2145	Pathahewaheta	Pathahewaheta	dsd	16971	14063	14	2752	33	0	0	2	107
LK-2148	Deltota	Delthota	dsd	8968	6799	58	1922	142	6	1	1	39
LK-2151	Udapalatha	Udapalatha	dsd	27629	14378	202	12779	104	3	4	4	155
LK-2154	Ganga Ihala Korale	Ganga Ihala Korale	dsd	15675	11911	19	3630	30	1	0	0	84
LK-2157	Pasbagekorale	Pasbage Korale	dsd	17634	10170	68	7278	64	1	1	5	47
LK-22	Matale	Matale District	district	151132	114015	174	35566	241	3	8	53	1072
LK-2203	Galewela	Galewela	dsd	22577	18538	18	3803	17	0	3	5	193
LK-2206	Dambulla	Dambulla	dsd	23187	18140	45	4741	38	0	0	3	220
LK-2209	Naula	Naula	dsd	8979	7651	2	1253	16	0	0	1	56
LK-2212	Pallepola	Pallepola	dsd	9201	7815	5	1278	27	0	0	10	66
LK-2215	Yatawatta	Yatawatta	dsd	9050	7807	17	1161	11	0	2	2	50
LK-2218	Matale	Matale	dsd	22229	9329	33	12564	91	1	2	17	192
LK-2221	Ambanganga	Ambanganga Korale	dsd	4732	4422	0	289	1	0	0	0	20
LK-2224	Laggala	- - Laggala-Pallegama	dsd	5093	4719	6	343	1	0	0	0	24
LK-2227	Wilgamuwa	Wilgamuwa	dsd	10043	9509	6	470	6	0	0	0	52
LK-2230	Rattota	Rattota	dsd	15994	13222	11	2665	10	1	0	5	80
LK-2233	Ukuwela	Ukuwela	dsd	20047	12863	31	6999	23	1	1	10	119
LK-23	Nuwara Eliya	Nuwara Eliya District	district	200261	143947	1222	53336	503	30	527	12	684
LK-2302	Kothmale West	Kothmale West	dsd	11632	9262	28	2290	14	0	2	0	36
LK-2303	Kothmale East	Kothmale East	dsd	17473	13742	66	3520	34	3	66	3	39
LK-2306	Hanguranketa	Hanguranketha	dsd	16950	14886	15	1943	33	0	0	1	72
LK-2307	Mathurata	Mathurata	dsd	9768	8732	10	1003	4	0	0	0	19
LK-2309	Walapane	Walapane	dsd	18241	15118	54	2929	32	1	15	0	92
LK-2310	Nildandahinna	Nildandahinna	dsd	12587	11398	20	1121	13	0	1	0	34
LK-2312	Nuwara Eliya	Nuwara Eliya	dsd	23014	10640	345	11709	69	8	166	0	77
LK-2313	Thalawakele	Thalawakele	dsd	33685	20802	300	12305	46	5	175	6	46
LK-2314	Norwood	Norwood	dsd	44120	29724	371	13477	245	11	101	1	190
LK-2315	Ambagamuwa Korale	Ambagamuwa	dsd	12791	9643	13	3039	13	2	1	1	79
LK-3	Southern	(computed)	province	728288	438164	1173	277959	1226	89	82	304	9291
LK-31	Galle	Galle District	district	307704	160388	522	141680	504	54	46	153	4357
LK-3103	Bentota	Benthota	dsd	13749	7722	35	5762	10	1	0	9	210
LK-3106	Balapitiya	Balapitiya	dsd	18886	8346	29	10170	22	4	0	15	300
LK-3109	Karandeniya	Karandeniya	dsd	19870	16418	19	3245	12	0	3	24	149
LK-3112	Elpitiya	Elpitiya	dsd	19392	11478	24	7688	39	1	1	7	154
LK-3115	Niyagama	Niyagama	dsd	10359	7337	15	2919	6	0	0	1	81
LK-3118	Thawalama	Thawalama	dsd	9514	7406	5	2022	5	0	0	5	71
LK-3121	Neluwa	Neluwa	dsd	8454	6217	6	2125	4	0	2	0	100
LK-3124	Nagoda	Nagoda	dsd	15521	11223	12	4098	11	0	0	3	174
LK-3127	Baddegama	Baddegama	dsd	14330	7485	15	6608	18	0	7	4	193
LK-3128	Wanduramba	Wanduramba	dsd	7997	4921	4	2952	11	0	0	3	106
LK-3130	Welivitiya-Divitura	-- Welivitiya-Divithura	dsd	8632	6385	3	2145	4	0	1	7	87
LK-3133	Ambalangoda	Ambalangoda	dsd	16924	7521	18	9070	48	2	4	9	252
LK-3134	Gonapinuwala	Gonapeenuwala	dsd	6833	3549	3	3112	10	0	0	0	159
LK-3135	Madampagama	Madampagama	dsd	9205	4224	18	4734	15	0	1	4	209
LK-3136	Hikkaduwa	Hikkaduwa	dsd	7543	2257	10	4999	23	2	0	3	249
LK-3137	Rathgama	Rathgama	dsd	10829	5090	10	5477	12	8	6	4	222
LK-3139	Galle 4 Gravets	Galle Four Gravets	dsd	26475	4348	139	21480	96	17	8	13	374
LK-3142	Bope-Poddala	- - Bope-Poddala	dsd	15528	3734	18	11479	55	2	3	8	229
LK-3145	Akmeemana	Akmeemana	dsd	23603	10198	40	12922	41	12	5	8	377
LK-3148	Yakkalamulla	Yakkalamulla	dsd	13407	9817	67	3350	13	0	3	4	153
LK-3151	Imaduwa	Imaduwa	dsd	13390	7663	16	5505	13	4	1	5	183
LK-3154	Habaraduwa	Habaraduwa	dsd	17263	7049	16	9818	36	1	1	17	325
LK-32	Matara	Matara District	district	231946	141321	271	86746	480	28	12	93	2995
LK-3203	Pitabaddara	Pitabeddara	dsd	14652	11864	12	2617	20	0	0	3	136
LK-3206	Kotapola	Kotapola	dsd	17933	14090	47	3642	13	0	0	6	135
LK-3209	Pasgoda	Pasgoda	dsd	18253	14934	34	3091	10	1	0	2	181
LK-3212	Mulatiyana	Mulatiyana	dsd	14615	12461	4	1971	4	0	1	2	172
LK-3215	Athuraliya	Athuraliya	dsd	9066	7262	8	1690	9	0	0	0	97
LK-3218	Akuressa	Akuressa	dsd	15137	11959	4	3018	4	1	2	5	144
LK-3221	Welipitiya	Welipitiya	dsd	14990	9180	17	5599	14	3	2	13	162
LK-3224	Malimbada	Malimbada	dsd	10272	5894	9	4211	11	2	0	4	141
LK-3227	Kaburupitiya	Kamburupitiya	dsd	11943	8533	6	3147	14	1	0	5	237
LK-3230	Hakmana	Hakmana	dsd	9173	6637	3	2398	7	1	0	1	126
LK-3233	Kirinda Puhulwella	Kirinda Puhulwella	dsd	5814	4085	2	1631	10	0	0	2	84
LK-3236	Thihagoda	Thihagoda	dsd	9757	5461	3	4103	29	0	1	2	158
LK-3239	Weligama	Weligam	dsd	19525	7593	32	11504	39	8	0	6	343
LK-3242	Matara Four Gravets	Matara Four Gravets	dsd	32283	8146	55	23422	147	7	4	10	492
LK-3245	Devinuwara	Devinuwara	dsd	13351	5897	10	7122	111	1	2	22	186
LK-3248	Dikwella	Dickwella	dsd	15182	7325	25	7580	38	3	0	10	201
LK-33	Hambantota	Hambantota District	district	188638	136455	380	49533	242	7	24	58	1939
LK-3303	Sooriyawewa	Sooriyawewa	dsd	14431	12037	62	2202	21	1	0	3	105
LK-3306	Lunugamwehera	Lunugamwehera	dsd	10415	7803	50	2470	11	0	4	1	76
LK-3309	Thissamaharama	Thissamaharama	dsd	21026	14250	44	6401	18	0	3	14	296
LK-3312	Hambantota	Hambantota	dsd	18308	12454	64	5587	22	1	0	4	176
LK-3315	Ambalantota	Ambalantota	dsd	22415	15706	24	6389	31	2	0	4	259
LK-3318	Angunakolapelessa	Angunakolapelessa	dsd	15432	12866	24	2359	10	0	1	3	169
LK-3321	Weeraketiya	Weeraketiya	dsd	13671	10739	20	2721	18	0	1	4	168
LK-3324	Katuwana	Katuwana	dsd	15160	12975	18	2013	4	1	1	8	140
LK-3325	Walasmulla	Walasmulla	dsd	13475	10886	10	2486	8	1	4	4	76
LK-3327	Okewela	Okewela	dsd	5687	4641	2	992	4	0	1	0	47
LK-3330	Beliatta	Beliatta	dsd	16586	10183	19	6127	21	1	9	6	220
LK-3333	Tangalle	Tangalle	dsd	22032	11915	43	9786	74	0	0	7	207
LK-4	Northern	(computed)	province	312002	186993	2879	117444	422	95	1814	40	2315
LK-41	Jaffna	Jaffna District	district	159753	87518	1606	67620	271	88	1099	18	1533
LK-4103	Islands North (Kayts)	Island North Kayts	dsd	2646	1961	21	647	3	0	0	2	12
LK-4104	Karainagar	Karainagar	dsd	2641	2444	5	181	0	0	2	0	9
LK-4106	Valikamam West (Chankanai)	Valikamam West Chankanai	dsd	11670	8282	58	3181	21	14	14	0	100
LK-4109	Valikamam South West (Sandilipay)	Valikamam South-West Sandilipay	dsd	14196	8677	139	5176	11	11	73	0	109
LK-4112	Valikamam North (Thllippalai)	Valikamam North	dsd	12093	8362	63	3382	18	13	94	0	161
LK-4115	Valikamam South (Uduvil)	Valikamam South Uduvil	dsd	13268	6994	104	5970	14	7	22	1	156
LK-4118	Valikamam East (Kopay)	Valikamam East Kopay	dsd	19812	12454	179	6990	36	3	36	1	113
LK-4121	Vadamaradchchi South-West (Karaveddy)	Vadamaradchy South-West Karaveddy	dsd	11394	5908	93	5148	14	6	62	2	161
LK-4124	Vadamaradchchi East	Vadamaradchy East	dsd	4037	3053	20	904	6	0	4	0	50
LK-4127	Vadamaradchi North (Point Pedro)	Vadamaradchy North Point Perdro	dsd	12358	4684	120	7190	19	2	169	0	174
LK-4130	Thenmaradchi (Chavakachcheri)	Thenmaradchy Chavakachcheri	dsd	19096	13129	128	5498	22	2	256	3	58
LK-4133	Nallur	Nallur	dsd	19063	4411	236	13784	58	20	326	9	219
LK-4136	Jaffna	Jaffna	dsd	12148	2838	420	8623	47	10	28	0	182
LK-4139	Islands South (Velanai)	Island South Velanai	dsd	4434	3499	17	882	2	0	12	0	22
LK-4142	Delft	Delft	dsd	897	822	3	64	0	0	1	0	7
LK-42	Mannar	Mannar District	district	32330	18102	410	13274	40	1	290	2	211
LK-4203	Mannar Town	Mannar Town	dsd	14696	6169	264	7953	26	1	161	0	122
LK-4206	Manthai West	Manthai West	dsd	5109	3818	57	1217	2	0	1	1	13
LK-4209	Madhu	Madhu	dsd	2723	2305	9	374	2	0	3	1	29
LK-4212	Nanaddan	Nanattan	dsd	5394	3012	43	2171	5	0	122	0	41
LK-4215	Musali	Musali	dsd	4408	2798	37	1559	5	0	3	0	6
LK-43	Vavuniya	Vavuniya District	district	48399	27330	459	20251	50	3	83	12	211
LK-4303	Vavuniya North	Vavuniya North	dsd	4318	3462	6	839	5	0	1	1	4
LK-4306	Vavuniya South	Vavuniya South	dsd	4597	3764	18	785	2	0	4	0	24
LK-4309	Vavuniya	Vavuniya	dsd	32363	14318	420	17368	39	3	39	10	166
LK-4312	Vengalacheddikulam	Vengalacheddikulam	dsd	7121	5786	15	1259	4	0	39	1	17
LK-44	Mullaitivu	Mullaitivu District	district	34786	25640	225	8518	42	1	141	5	214
LK-4403	Thunukkai	Thunukkai	dsd	2860	2253	10	567	3	1	2	1	23
LK-4406	Manthai East	Manthai East	dsd	2182	1709	6	433	2	0	12	1	19
LK-4409	Puthukkudiyiruppu	Puthukudiyiruppu	dsd	10940	8247	143	2397	14	0	82	1	56
LK-4412	Oddusuddan	Oddusudan	dsd	5098	4488	16	518	4	0	33	1	38
LK-4415	Maritimepattu	Maritimepattu	dsd	10478	6155	48	4188	11	0	11	1	64
LK-4418	Welioya	Welioya	dsd	3228	2788	2	415	8	0	1	0	14
LK-45	Kilinochchi	Kilinochchi District	district	36734	28403	179	7781	19	2	201	3	146
LK-4503	Pachchilaipalli	Pachchilaipalli	dsd	3872	3389	25	451	0	0	2	0	5
LK-4506	Kandavalai	Kandavalai	dsd	6929	5541	31	1285	8	0	33	0	31
LK-4509	Karachchi	Karachchi	dsd	19564	13645	93	5582	10	2	136	3	93
LK-4512	Poonakary	Poonakary	dsd	6369	5828	30	463	1	0	30	0	17
LK-5	Eastern	(computed)	province	499217	232633	5032	251630	1291	1007	3557	111	3956
LK-51	Batticaloa	Batticaloa District	district	170262	72927	2051	92746	440	289	745	44	1020
LK-5103	Koralai Pattu North	Koralai Pattu North Vaharai	dsd	7882	6988	61	783	2	1	26	0	21
LK-5104	Koralai Pattu Central	Koralai Pattu Central	dsd	8590	1623	189	6583	10	19	98	4	64
LK-5106	Koralai Pattu West	Koralai Pattu West Oddamavadi	dsd	7223	1863	83	5082	29	65	6	7	88
LK-5109	Koralai Pattu	Koralai Pattu Valachchenai	dsd	8379	3930	309	4023	67	2	14	1	33
LK-5110	Koralai Pattu South	Koralai Pattu South Kiran	dsd	8608	6746	43	1740	6	1	47	0	25
LK-5112	Eravur Pattu	Eravur Pattu	dsd	25780	15109	331	10118	22	17	108	4	71
LK-5115	Eravur Town	Eravur Town	dsd	7214	1179	61	5864	19	22	6	1	62
LK-5118	Manmunai North	Manmunai North	dsd	26693	5003	401	20874	75	30	56	12	242
LK-5121	Manmunai West	Manmunai West	dsd	9722	8371	77	1227	5	7	23	1	11
LK-5124	Kattankudy	Kattankudy	dsd	13189	405	149	12322	91	5	87	4	126
LK-5127	Manmunai Pattu	Manmunai Pattu Araipattai	dsd	10433	3825	112	6256	18	33	20	4	165
LK-5130	Manmunai South West	Manmunai South-West	dsd	7767	5161	52	2486	35	7	4	3	19
LK-5133	Porativu Pattu	Poratheevu Pattu	dsd	11467	7464	28	3912	16	5	14	1	27
LK-5136	Manmunai South & Eruvil Pattu	Manmunai South Eruvil Pattu	dsd	17315	5260	155	11476	45	75	236	2	66
LK-52	Ampara	Ampara District	district	207007	100055	1474	100622	550	693	1853	49	1711
LK-5203	Dehiattakandiya	Dehiattakandiya	dsd	18627	16705	48	1758	45	2	1	7	61
LK-5206	Padiyathalawa	Padiyathalawa	dsd	6269	5654	3	565	1	0	0	1	45
LK-5209	Mahaoya	Mahaoya	dsd	6978	6497	9	437	4	0	0	1	30
LK-5212	Uhana	Uhana	dsd	17399	14758	18	2521	14	0	1	1	86
LK-5215	Ampara	Ampara	dsd	13241	7696	13	5290	23	1	3	8	207
LK-5216	Navithanveli	Navithanveli	dsd	6394	3555	17	2787	15	4	2	0	14
LK-5218	Sammanthurai	Samanthurai	dsd	19719	8379	110	10325	48	159	533	24	141
LK-5221	Kalmunai	Kalmunai	dsd	14065	934	246	12566	78	24	97	0	120
LK-5225	Sainthamaruthu	Sainthamarathu	dsd	8920	680	303	7574	41	14	182	1	125
LK-5227	Karaitivu	Karaitheevu	dsd	5347	1214	65	3827	15	47	127	0	52
LK-5230	Nintavur	Ninthavur	dsd	8884	2122	77	6487	47	44	6	1	100
LK-5233	Addalaichenai	Addalachchenai	dsd	13503	3217	146	9885	77	31	22	1	124
LK-5234	Irakkamam	Irakkamam	dsd	4674	1627	8	2945	16	6	43	0	29
LK-5236	Akkaraipattu	Akkaraipattu	dsd	12300	871	31	10713	54	82	415	1	133
LK-5239	Alayadivembu	Alayadiwembu	dsd	7104	2674	23	4170	18	160	9	0	50
LK-5242	Damana	Damana	dsd	11501	9963	34	1417	10	0	0	2	75
LK-5245	Tirukkovil	Thirukkovil	dsd	8369	4072	39	4084	17	1	126	0	30
LK-5248	Pottuvil	Pothuvil	dsd	11850	5498	193	5976	12	21	8	1	141
LK-5251	Lahugala	Lahugala	dsd	2903	2122	0	753	2	0	0	0	26
LK-52XX	Kalmunai Tamil Division	Kalmunai North Sub	dsd	8960	1817	91	6542	13	97	278	0	122
LK-53	Trincomalee	Trincomalee District	district	121948	59651	1507	58262	301	25	959	18	1225
LK-5303	Padavi Sri Pura	Padavisiripura	dsd	3439	3090	30	303	2	0	0	0	14
LK-5306	Kuchchaweli	Kuchchaveli	dsd	11313	4437	195	6364	11	1	177	3	125
LK-5309	Gomarankadawala	Gomarankadawala	dsd	2467	2034	68	357	0	0	1	0	7
LK-5312	Morawewa	Morawewa	dsd	2752	2137	6	573	3	0	5	0	28
LK-5315	Town & Gravets	Trincomalee Town and Gravets	dsd	27668	6103	671	20224	102	9	91	5	463
LK-5318	Thambalagamuwa	Thambalagamuwa	dsd	9505	4749	53	4476	24	0	158	2	43
LK-5321	Kantale	Kanthale	dsd	14499	10013	50	4260	30	4	1	5	136
LK-5324	Kinniya	Kinniya	dsd	22139	9467	161	11903	85	7	305	1	210
LK-5327	Muthur	Muttur	dsd	19502	10294	231	8579	36	2	215	2	143
LK-5330	Seruvila	Seruvila	dsd	4704	3650	14	981	3	2	3	0	51
LK-5333	Verugal	Verugal Eachchilampattu	dsd	3960	3677	28	242	5	0	3	0	5
LK-6	North Western	(computed)	province	745193	534964	2782	195933	1394	35	570	272	9243
LK-61	Kurunegala	Kurunegala District	district	511166	394682	677	108665	1015	13	45	158	5911
LK-6103	Giribawa	Giribawa	dsd	10522	9658	11	787	7	0	1	0	58
LK-6106	Galgamuwa	Galgamuwa	dsd	18036	15478	19	2327	19	2	1	3	187
LK-6109	Ehetuwewa	Ehetuwewa	dsd	8250	7371	16	746	6	1	1	1	108
LK-6112	Ambanpola	Ambanpola	dsd	7875	6772	6	1011	3	0	0	5	78
LK-6115	Kotawehera	Kotavehera	dsd	7015	6288	5	637	7	0	0	2	76
LK-6118	Rasnayakapura	Rasnayakapura	dsd	7288	6555	5	629	1	0	0	1	97
LK-6121	Nikaweratiya	Nikaweratiya	dsd	12902	10583	11	2133	6	0	1	7	161
LK-6124	Maho	Maho	dsd	19116	16001	22	2809	65	0	1	4	214
LK-6127	Polpitigama	Polpithigama	dsd	25632	23494	72	1606	215	0	1	3	241
LK-6130	Ibbagamuwa	Ibbagamuwa	dsd	26951	21693	25	4957	38	1	0	4	233
LK-6133	Ganewatta	Ganewatta	dsd	13001	11252	9	1613	8	0	4	1	114
LK-6136	Wariyapola	Wariyapola	dsd	19732	15831	14	3589	56	0	1	6	235
LK-6139	Kobeigane	Kobeigane	dsd	11781	10101	10	1551	4	0	0	6	109
LK-6142	Bingiriya	Bingiriya	dsd	19719	16284	33	3073	18	0	5	7	299
LK-6145	Panduwasnuwara West	Panduwasnuwara West	dsd	20301	16111	33	3885	14	1	0	7	250
LK-6148	Panduwasnuwara East	Panduwasnuwara East	dsd	9431	8491	4	815	3	0	0	0	118
