region_id	region_name	region_name_in_data	region_ent_type	total	firewood	kerosene	gas	electricity	saw_dust_or_paddy_husk	bio_gas	other	not_relevant
LK-6149	Bamunakotuwa	Bamunakotuwa	dsd	11706	9619	11	1909	12	0	2	0	153
LK-6151	Maspotha	Maspotha	dsd	12160	6606	10	5366	33	0	2	9	134
LK-6154	Kurunegala	Kurunegala	dsd	24041	10333	63	13209	166	0	4	6	260
LK-6157	Mallawapitiya	Mallawapitiya	dsd	16688	9460	28	7010	33	2	0	5	150
LK-6160	Mawathagama	Mawathagama	dsd	19952	13786	43	5894	47	0	3	5	174
LK-6163	Rideegama	Rideegama	dsd	27230	23589	23	3426	41	2	0	4	145
LK-6166	Weerabugedara	Weerambugedara	dsd	10844	8131	6	2597	11	0	3	3	93
LK-6169	Kuliyapitiya East	Kuliyapitiya East	dsd	16540	13099	26	3278	7	0	2	7	121
LK-6172	Kuliyapitiya West	Kuliyapitiya West	dsd	24195	17109	31	6496	39	2	3	14	501
LK-6175	Udubaddawa	Udubaddawa	dsd	15885	11954	29	3695	17	0	1	1	188
LK-6178	Pannala	Pannala	dsd	39034	28692	63	9396	37	2	5	38	801
LK-6181	Narammala	Narammala	dsd	17076	12845	13	3950	34	0	0	4	230
LK-6184	Alawwa	Alawwa	dsd	19107	15256	13	3597	28	0	0	4	209
LK-6187	Polgahawela	Polgahawela	dsd	19156	12240	23	6674	40	0	4	1	174
LK-62	Puttalam	Puttalam District	district	234027	140282	2105	87268	379	22	525	114	3332
LK-6203	Kalpitiya	Kalpitiya	dsd	24668	10565	381	13339	66	3	92	9	213
LK-6206	Vanathavilluwa	Vanathawilluwa	dsd	5910	4554	48	1235	6	0	6	2	59
LK-6209	Karuwalagaswewa	Karuwalagaswewa	dsd	8024	7132	15	789	4	0	0	2	82
LK-6212	Nawagattegama	Nawagattegama	dsd	5301	5004	10	242	0	0	0	0	45
LK-6215	Puttalam	Puttalam	dsd	24122	10393	546	12418	69	5	412	20	259
LK-6218	Mundel	Mundel	dsd	19115	10781	229	7959	15	2	2	6	121
LK-6221	Mahakumbukkadawala	Mahakumbukkadawala	dsd	6644	5835	182	558	3	0	0	0	66
LK-6224	Anamaduwa	Anamaduwa	dsd	12975	11127	9	1706	5	0	0	1	127
LK-6227	Pallama	Pallama	dsd	8296	6940	10	1276	5	2	0	1	62
LK-6230	Arachchikattuwa	Arachchikattuwa	dsd	12708	8926	61	3567	8	0	1	5	140
LK-6233	Chilaw	Chilaw	dsd	18730	8848	401	8928	21	1	1	9	521
LK-6236	Madampe	Madampe	dsd	14719	9370	33	4963	10	0	0	5	338
LK-6239	Mahawewa	Mahawewa	dsd	14718	7394	27	7011	42	0	0	2	242
LK-6242	Nattandiya	Nattandiya	dsd	19335	11936	73	7045	52	3	4	15	207
LK-6245	Wennappuwa	Wennappuwa	dsd	19939	9776	25	9619	46	5	3	23	442
