region_id	region_name	region_name_in_data	region_ent_type	total	sex-male	sex-female	age-under-15	age-15-to-59	age-60-to-64	age-65-and-over
LK-3242	Matara Four Gravets	Matara Four Gravets	dsd	123868	58394	65474	23240	75563	6852	18213
LK-3245	Devinuwara	Devinuwara	dsd	49274	23405	25869	10672	28768	2850	6984
LK-3248	Dickwella	Dickwella	dsd	56468	27172	29296	12469	32810	3166	8023
LK-33	Hambantota	Hambantota District	district	671418	329210	342208	150953	399400	35642	85423
LK-3303	Sooriyawewa	Sooriyawewa	dsd	52709	26096	26613	13439	31470	2388	5412
LK-3306	Lunugamvehera	Lunugamwehera	dsd	36923	18366	18557	9007	22105	1702	4109
LK-3309	Thissamaharama	Thissamaharama	dsd	74175	36909	37266	16286	44693	4071	9125
LK-3312	Hambantota	Hambantota	dsd	67207	33392	33815	15816	40866	3169	7356
LK-3315	Ambalantota	Ambalantota	dsd	80506	40042	40464	16879	48862	4480	10285
LK-3318	Angunakolapelessa	Angunakolapelessa	dsd	53409	26073	27336	12080	31682	2826	6821
LK-3321	Weeraketiya	Weeraketiya	dsd	48241	23407	24834	10978	28362	2526	6375
LK-3324	Katuwana	Katuwana	dsd	52169	25414	26755	12254	30762	2718	6435
LK-3325	Walasmulla	Walasmulla	dsd	47869	23330	24539	10686	28064	2624	6495
LK-3327	Okewela	Okewela	dsd	19992	9428	10564	4535	11289	1130	3038
LK-3330	Beliatta	Beliatta	dsd	58675	28018	30657	12002	33694	3675	9304
LK-3333	Tangalle	Tangalle	dsd	79543	38735	40808	16991	47551	4333	10668
LK-41	Jaffna	Jaffna District	district	594751	281553	313198	116651	361288	30732	86080
LK-4103	Island North (Kayts)	Island North Kayts	dsd	9931	4804	5127	2210	5978	489	1254
LK-4104	Karainagar	Karainagar	dsd	9131	4278	4853	1918	5365	493	1355
LK-4106	Valikamam West (Chankanai)	Valikamam West Chankanai	dsd	45160	21577	23583	9161	27532	2394	6073
LK-4109	Valikamam South-West (Sandilipay)	Valikamam South-West Sandilipay	dsd	52121	24726	27395	10742	31607	2563	7209
LK-4112	Valikamam North (Tellipallai)	Valikamam North	dsd	44914	21548	23366	9418	27198	2311	5987
LK-4115	Valikamam South (Uduvil)	Valikamam South Uduvil	dsd	50540	23792	26748	9940	30447	2669	7484
LK-4118	Valikamam East (Kopay)	Valikamam East Kopay	dsd	75979	36084	39895	14372	46998	3840	10769
LK-4121	Vadamaradchi South-West (Karaveddy)	Vadamaradchy South-West Karaveddy	dsd	41102	19240	21862	7359	24799	2370	6574
LK-4124	Vadamaradchi East	Vadamaradchy East	dsd	13537	6472	7065	3006	8516	530	1485
LK-4127	Vadamaradchi North (Point Pedro)	Vadamaradchy North Point Perdro	dsd	43369	20308	23061	8288	26299	2306	6476
LK-4130	Thenmaradchi (Chavakachcheri)	Thenmaradchy Chavakachcheri	dsd	67782	32108	35674	13127	40125	3782	10748
LK-4133	Nallur	Nallur	dsd	72884	33568	39316	13112	44090	3782	11900
LK-4136	Jaffna	Jaffna	dsd	48543	23413	25130	9629	30254	2267	6393
LK-4139	Island South (Velanai)	Island South Velanai	dsd	16600	8065	8535	3684	10157	778	1981
LK-4142	Delft	Delft	dsd	3158	1570	1588	685	1923	158	392
LK-42	Mannar	Mannar District	district	123756	61047	62709	30225	77779	5377	10375
LK-4203	Mannar Town	Mannar Town	dsd	57772	28448	29324	13676	36853	2484	4759
LK-4206	Manthai West	Manthai West	dsd	18674	9130	9544	4375	11887	765	1647
LK-4209	Madhu	Madhu	dsd	9493	4687	4806	2437	5807	420	829
LK-4212	Nanattan	Nanattan	dsd	19674	9674	10000	4261	12249	1058	2106
LK-4215	Musali	Musali	dsd	18143	9108	9035	5476	10983	650	1034
LK-43	Vavuniya	Vavuniya District	district	172312	82831	89481	38718	109312	8091	16191
LK-4303	Vavuniya North	Vavuniya North	dsd	14709	7311	7398	3394	9255	617	1443
LK-4306	Vavuniya South	Vavuniya South	dsd	14842	7157	7685	3385	9280	809	1368
LK-4309	Vavuniya	Vavuniya	dsd	116991	55905	61086	25055	74925	5645	11366
LK-4312	Vengalacheddikulam	Vengalacheddikulam	dsd	25770	12458	13312	6884	15852	1020	2014
LK-44	Mullaitivu	Mullaitivu District	district	122619	59718	62901	27892	78298	4879	11550
LK-4403	Thunukkai	Thunukkai	dsd	10410	5038	5372	2407	6562	389	1052
LK-4406	Manthai East	Manthai East	dsd	7650	3799	3851	1774	4760	313	803
LK-4409	Puthukkudiyiruppu	Puthukudiyiruppu	dsd	39532	19023	20509	8673	25898	1403	3558
LK-4412	Oddusuddan	Oddusudan	dsd	18149	8987	9162	4067	11717	689	1676
LK-4415	Maritimepattu	Maritimepattu	dsd	36813	17842	18971	8360	23259	1607	3587
LK-4418	Welioya	Welioya	dsd	10065	5029	5036	2611	6102	478	874
LK-45	Kilinochchi	Kilinochchi District	district	136710	66124	70586	30282	88451	5157	12820
LK-4503	Pachchilaipalli	Pachchilaipalli	dsd	13045	6330	6715	2837	8211	535	1462
LK-4506	Kandavalai	Kandavalai	dsd	24921	12025	12896	5399	16231	970	2321
LK-4509	Karachchi	Karachchi	dsd	74631	35842	38789	16346	48612	2735	6938
LK-4512	Poonakary	Poonakary	dsd	24113	11927	12186	5700	15397	917	2099
LK-51	Batticaloa	Batticaloa District	district	595918	278885	317033	146399	374671	26073	48775
LK-5103	Koralai Pattu North (Vaharai)	Koralai Pattu North Vaharai	dsd	25475	12494	12981	6411	16793	850	1421
LK-5104	Koralai Pattu Central	Koralai Pattu Central	dsd	30603	14751	15852	8385	19062	1226	1930
LK-5106	Koralai Pattu  West (Oddamavadi)	Koralai Pattu West Oddamavadi	dsd	24583	11670	12913	6422	15163	1134	1864
LK-5109	Koralai Pattu (Valachchenai)	Koralai Pattu Valachchenai	dsd	28762	14086	14676	6505	19169	1074	2014
LK-5110	Koralai Pattu South (Kiran)	Koralai Pattu South Kiran	dsd	28302	13597	14705	6896	18111	1197	2098
LK-5112	Eravur Pattu	Eravur Pattu	dsd	94237	43683	50554	24614	59202	3638	6783
LK-5115	Eravur Town	Eravur Town	dsd	26468	12218	14250	7257	15813	1156	2242
LK-5118	Manmunai North	Manmunai North	dsd	95107	44402	50705	20079	60001	4876	10151
LK-5121	Manmunai West	Manmunai West	dsd	32831	15905	16926	7746	21460	1340	2285
LK-5124	Kattankudy	Kattankudy	dsd	44794	20439	24355	12788	26606	1962	3438
LK-5127	Manmunai Pattu (Araipattai)	Manmunai Pattu Araipattai	dsd	36533	16945	19588	9056	22660	1643	3174
LK-5130	Manmunai South-West	Manmunai South-West	dsd	26676	12311	14365	6546	16894	1131	2105
LK-5133	Porativu Pattu	Poratheevu Pattu	dsd	38627	16822	21805	9707	23760	1803	3357
LK-5136	Manmunai South & Eruvil pattu	Manmunai South Eruvil Pattu	dsd	62920	29562	33358	13987	39977	3043	5913
LK-52	Ampara	Ampara District	district	744551	354018	390533	189975	455929	35039	63608
LK-5203	Dehiattakandiya	Dehiattakandiya	dsd	67274	33196	34078	15835	41573	3456	6410
LK-5206	Padiyathalawa	Padiyathalawa	dsd	20834	10246	10588	4833	13195	1007	1799
LK-5209	Mahaoya	Mahaoya	dsd	23715	11877	11838	5669	15057	1099	1890
LK-5212	Uhana	Uhana	dsd	62216	30167	32049	13514	37719	3211	7772
LK-5215	Ampara	Ampara	dsd	47868	23103	24765	10082	30524	2397	4865
LK-5216	Navithanveli	Navithanveli	dsd	21856	10053	11803	5946	13367	958	1585
LK-5218	Samanthurai	Samanthurai	dsd	72794	33553	39241	21791	43426	3087	4490
LK-5221	Kalmunai Tamil Division	Kalmunai North Sub	dsd	31556	14355	17201	7504	19153	1655	3244
LK-5224	Kalmunai	Kalmunai	dsd	52798	24929	27869	14465	31740	2562	4031
LK-5225	Sainthamaruthu	Sainthamarathu	dsd	29873	14054	15819	8310	17638	1422	2503
LK-5227	Karaitheevu	Karaitheevu	dsd	19493	9211	10282	5291	11671	924	1607
LK-5230	Ninthavur	Ninthavur	dsd	30671	13749	16922	8616	17283	1750	3022
LK-5233	Addalachchenai	Addalachchenai	dsd	53214	24354	28860	14612	33424	2042	3136
LK-5234	Irakkamam	Irakkamam	dsd	17671	8435	9236	5632	10407	596	1036
LK-5236	Akkaraipattu	Akkaraipattu	dsd	44979	21075	23904	12307	26735	2148	3789
LK-5239	Alayadiwembu	Alayadiwembu	dsd	24838	11868	12970	5786	15795	1154	2103
LK-5242	Damana	Damana	dsd	40325	19809	20516	8523	25141	2142	4519
LK-5245	Thirukkovil	Thirukkovil	dsd	29252	14087	15165	6814	18704	1366	2368
LK-5248	Pothuvil	Pothuvil	dsd	42908	20726	22182	12199	26549	1619	2541
LK-5251	Lahugala	Lahugala	dsd	10416	5171	5245	2246	6828	444	898
LK-53	Trincomalee	Trincomalee District	district	442745	217704	225041	115588	276295	17900	32962
LK-5303	Padavi Sri Pura	Padavisripura	dsd	12081	5918	6163	2711	7541	656	1173
LK-5306	Kuchchaveli	Kuchchaveli	dsd	39873	19641	20232	9929	25958	1429	2557
LK-5309	Gomarankadawala	Gomarankadawala	dsd	8398	4163	4235	1924	5303	429	742
LK-5312	Morawewa	Morawewa	dsd	9193	4618	4575	2196	5787	436	774
LK-5315	Trincomalee Town and Gravets	Trincomalee Town and Gravets	dsd	100270	48331	51939	22459	63170	4846	9795
LK-5318	Thambalagamuwa	Thambalagamuwa	dsd	33636	16508	17128	9261	20641	1355	2379
LK-5321	Kanthale	Kanthale	dsd	50840	24912	25928	11917	31634	2330	4959
LK-5324	Kinniya	Kinniya	dsd	86504	43372	43132	26738	52693	2863	4210
LK-5327	Muttur	Muttur	dsd	71881	35544	36337	20501	44630	2506	4244
LK-5330	Seruvila	Seruvila	dsd	16007	7811	8196	4128	9711	694	1474
LK-5333	Verugal (Eachchilampattu)	Verugal Eachchilampattu	dsd	14062	6886	7176	3824	9227	356	655
LK-61	Kurunegala	Kurunegala District	district	1768156	849072	919084	364836	1057426	104280	241614
LK-6103	Giribawa	Giribawa	dsd	34929	17094	17835	7858	20981	1975	4115
LK-6106	Galgamuwa	Galgamuwa	dsd	61759	30170	31589	13983	37249	3392	7135
LK-6109	Ehetuwewa	Ehetuwewa	dsd	28317	13786	14531	6455	16567	1719	3576
LK-6112	Ambanpola	Ambanpola	dsd	25515	12306	13209	5708	15238	1486	3083
LK-6115	Kotavehera	Kotavehera	dsd	24031	11597	12434	5307	14010	1491	3223
LK-6118	Rasnayakapura	Rasnayakapura	dsd	24912	12084	12828	5925	14847	1316	2824
LK-6121	Nikaweratiya	Nikaweratiya	dsd	43402	20876	22526	8869	25865	2680	5988
LK-6124	Maho	Maho	dsd	64122	31117	33005	13899	38333	3884	8006
LK-6127	Polpithigama	Polpithigama	dsd	86411	42170	44241	19126	51684	4906	10695
LK-6130	Ibbagamuwa	Ibbagamuwa	dsd	94167	45364	48803	20327	55962	5632	12246
LK-6133	Ganewatta	Ganewatta	dsd	43431	20904	22527	9182	25556	2697	5996
LK-6136	Wariyapola	Wariyapola	dsd	66488	31986	34502	13349	39876	4208	9055
LK-6139	Kobeigane	Kobeigane	dsd	40669	19810	20859	8798	24496	2332	5043
LK-6142	Bingiriya	Bingiriya	dsd	66724	31869	34855	13701	40598	3849	8576
LK-6145	Panduwasnuwara West	Panduwasnuwara West	dsd	71186	34301	36885	15113	42514	4195	9364
LK-6148	Panduwasnuwara East	Panduwasnuwara East	dsd	31790	15304	16486	6319	18722	2066	4683
LK-6149	Bamunakotuwa	Bamunakotuwa	dsd	39442	18912	20530	7297	23442	2578	6125
LK-6151	Maspotha	Maspotha	dsd	41873	19669	22204	8259	25252	2419	5943
LK-6154	Kurunegala	Kurunegala	dsd	88999	42611	46388	17101	54269	5028	12601
LK-6157	Mallawapitiya	Mallawapitiya	dsd	59491	28294	31197	12173	35373	3542	8403
LK-6160	Mawathagama	Mawathagama	dsd	70867	33784	37083	14497	42672	4044	9654
LK-6163	Rideegama	Rideegama	dsd	95960	46185	49775	20969	56751	5732	12508
LK-6166	Weerambugedara	Weerambugedara	dsd	36590	17387	19203	6637	21552	2354	6047
LK-6169	Kuliyapitiya East	Kuliyapitiya East	dsd	61223	29449	31774	14183	36415	3277	7348
LK-6172	Kuliyapitiya West	Kuliyapitiya West	dsd	82587	38801	43786	15854	49677	4848	12208
LK-6175	Udubaddawa	Udubaddawa	dsd	54466	25970	28496	10715	32829	3274	7648
LK-6178	Pannala	Pannala	dsd	135845	64982	70863	26488	82550	7461	19346
LK-6181	Narammala	Narammala	dsd	59806	28489	31317	11635	35525	3587	9059
LK-6184	Alawwa	Alawwa	dsd	65689	31625	34064	12398	38647	4024	10620
LK-6187	Polgahawela	Polgahawela	dsd	67465	32176	35289	12711	39974	4284	10496
LK-62	Puttalam	Puttalam District	district	818816	394244	424572	185986	504805	40459	87566
LK-6203	Kalpitiya	Kalpitiya	dsd	96995	47804	49191	27120	60949	3356	5570
LK-6206	Vanathawilluwa	Vanathawilluwa	dsd	19991	9758	10233	5218	12332	834	1607
LK-6209	Karuwalagaswewa	Karuwalagaswewa	dsd	26225	12961	13264	5904	16221	1269	2831
LK-6212	Nawagattegama	Nawagattegama	dsd	17571	8648	8923	4259	10553	964	1795
LK-6215	Puttalam	Puttalam	dsd	94777	45989	48788	25742	58737	3635	6663
LK-6218	Mundel	Mundel	dsd	72570	34947	37623	19094	44984	2952	5540
LK-6221	Mahakumbukkadawala	Mahakumbukkadawala	dsd	21867	10741	11126	5128	13082	1125	2532
LK-6224	Anamaduwa	Anamaduwa	dsd	43526	21161	22365	9944	26146	2420	5016
LK-6227	Pallama	Pallama	dsd	27938	13415	14523	6399	17137	1447	2955
LK-6230	Arachchikattuwa	Arachchikattuwa	dsd	42749	20727	22022	9085	26553	2215	4896
LK-6233	Chilaw	Chilaw	dsd	63639	30199	33440	12988	39370	3450	7831
LK-6236	Madampe	Madampe	dsd	48994	23581	25413	9699	29905	2886	6504
LK-6239	Mahawewa	Mahawewa	dsd	48833	23005	25828	9380	29867	2917	6669
LK-6242	Nattandiya	Nattandiya	dsd	65500	30820	34680	12900	40234	3581	8785
LK-6245	Wennappuwa	Wennappuwa	dsd	64768	30482	34286	11553	39538	3886	9791
LK-6248	Dankotuwa	Dankotuwa	dsd	62873	30006	32867	11573	39197	3522	8581
LK-71	Anuradhapura	Anuradhapura District	district	960080	466571	493509	220236	593398	48927	97519
LK-7103	Padaviya	Padaviya	dsd	24493	11888	12605	5708	15107	1258	2420
LK-7106	Kebithigollewa	Kebithigollewa	dsd	26432	13144	13288	5990	16603	1354	2485
LK-7109	Medawachchiya	Medawachchiya	dsd	52496	25193	27303	11833	33481	2489	4693
LK-7112	Mahawilachchiya	Mahawilachchiya	dsd	24194	12016	12178	5932	14960	1138	2164
LK-7115	Nuwaragam Palatha Central	Nuwaragam Palatha Central	dsd	71529	35162	36367	15468	45246	3633	7182
LK-7118	Rambewa	Rambewa	dsd	39861	19449	20412	9356	24760	1980	3765
LK-7121	Kahatagasdigiliya	Kahatagasdigiliya	dsd	44903	21457	23446	11195	27459	2269	3980
LK-7124	Horowpothana	Horowpothana	dsd	41261	20134	21127	10958	25201	1845	3257
LK-7127	Galenbindunuwewa	Galenbindunuwewa	dsd	51952	25535	26417	11900	31866	2553	5633
LK-7130	Mihinthale	Mihinthale	dsd	44107	20640	23467	9312	29127	2000	3668
LK-7133	Nuwaragam Palatha East	Nuwaragam Palatha East	dsd	76138	36940	39198	15293	48117	4053	8675
LK-7136	Nachchaduwa	Nachchaduwa	dsd	28266	13634	14632	6551	17172	1494	3049
LK-7139	Nochchiyagama	Nochchiyagama	dsd	55471	27099	28372	12649	34558	2864	5400
LK-7142	Rajanganaya	Rajanganaya	dsd	36236	17567	18669	8507	21622	1916	4191
LK-7145	Thambuttegama	Thambuttegama	dsd	47061	22964	24097	10765	29244	2287	4765
LK-7148	Thalawa	Thalawa	dsd	61216	29803	31413	13764	37542	3205	6705
LK-7151	Thirappane	Thirappane	dsd	31121	15315	15806	7256	18875	1674	3316
LK-7154	Kekirawa	Kekirawa	dsd	65317	31751	33566	15346	39450	3440	7081
LK-7157	Palugaswewa	Palugaswewa	dsd	18138	9119	9019	4131	11230	937	1840
LK-7160	Ipalogama	Ipalogama	dsd	41961	19918	22043	9866	25344	2254	4497
LK-7163	Galnewa	Galnewa	dsd	39458	19107	20351	9253	23506	2197	4502
LK-7166	Palagala	Palagala	dsd	38469	18736	19733	9203	22928	2087	4251
LK-72	Polonnaruwa	Polonnaruwa District	district	447530	219686	227844	101284	273738	23997	48511
