region_id	region_name	region_name_in_data	region_ent_type	total	tile	asbestos	concrete	zinc_aluminium_sheets	metal_sheets	kadjan_or_palmyrah_or_straw	other	not_relevant
LK	Sri Lanka	Sri Lanka	country	6030541	2032441	3209496	440761	85422	150713	101842	8655	1211
LK-11	Colombo	Colombo District	district	654051	40032	475061	128212	4065	3273	3109	132	167
LK-1103	Colombo	Colombo	dsd	71142	1499	37726	30091	960	351	452	36	27
LK-1106	Kolonnawa	Kolonnawa	dsd	56100	2133	38597	14086	363	286	551	20	64
LK-1109	Kaduwela	Kaduwela	dsd	79742	5486	65075	8457	449	113	146	13	3
LK-1112	Homagama	Homagama	dsd	79737	6483	65406	7221	248	207	130	13	29
LK-1115	Seethawaka	Seethawaka	dsd	34414	4605	25990	1947	222	1128	514	4	4
LK-1118	Padukka	Padukka	dsd	20691	3531	15756	895	131	218	155	3	2
LK-1121	Maharagama	Maharagama	dsd	56550	3143	44827	8040	242	106	172	11	9
LK-1124	Sri Jayawardanapura Kotte	Sri Jayawardanapura Kotte	dsd	27833	1754	21082	4293	328	144	223	6	3
LK-1127	Thimbirigasyaya	Thimbirigasyaya	dsd	58102	2439	31974	22687	558	190	238	6	10
LK-1130	Dehiwala	Dehiwala	dsd	25382	1390	15050	8786	81	38	27	6	4
LK-1131	Ratmalana	Ratmalana	dsd	25005	1249	18467	5025	83	158	20	3	0
LK-1133	Moratuwa	Moratuwa	dsd	43985	1925	34481	6980	112	122	355	5	5
LK-1136	Kesbewa	Kesbewa	dsd	75368	4395	60630	9704	288	212	126	6	7
LK-12	Gampaha	Gampaha District	district	683025	245645	380955	43598	4169	5122	3374	104	58
LK-1203	Negombo	Negombo	dsd	35897	23126	8308	3971	216	147	124	5	0
LK-1206	Katana	Katana	dsd	74870	38346	30701	3955	840	748	270	7	3
LK-1209	Divulapitiya	Divulapitiya	dsd	44830	29784	12821	843	318	578	462	16	8
LK-1212	Mirigama	Mirigama	dsd	49540	25809	20926	1506	274	712	303	7	3
LK-1215	Minuwangoda	Minuwangoda	dsd	56287	27560	25802	2232	217	248	220	4	4
LK-1218	Wattala	Wattala	dsd	48787	6659	35353	5171	571	383	623	15	12
LK-1221	Ja-Ela	- - Ja-Ela	dsd	57159	16894	35846	3645	298	292	174	7	3
LK-1224	Gampaha	Gampaha	dsd	57568	18851	34697	3453	233	168	156	7	3
LK-1227	Attanagalla	Attanagalla	dsd	54037	21397	28899	2898	288	419	126	8	2
LK-1230	Dompe	Dompe	dsd	47297	15354	29559	1589	170	452	163	8	2
LK-1233	Mahara	Mahara	dsd	61376	13062	42839	4816	217	267	161	10	4
LK-1236	Kelaniya	Kelaniya	dsd	36692	2401	29061	3931	250	570	466	3	10
LK-1239	Biyagama	Biyagama	dsd	58685	6402	46143	5588	277	138	126	7	4
LK-13	Kalutara	Kalutara District	district	349430	78027	242605	19009	1990	4085	3602	67	45
LK-1303	Panadura	Panadura	dsd	49198	5344	38986	4150	128	281	295	5	9
LK-1306	Bandaragama	Bandaragama	dsd	33138	5213	25410	2089	155	114	151	2	4
LK-1309	Horana	Horana	dsd	37489	5124	29805	1823	281	164	287	1	4
LK-1310	Ingiriya	Ingiriya	dsd	16382	2678	12484	468	300	205	237	9	1
LK-1312	Bulathsinhala	Bulathsinhala	dsd	18669	5124	11932	341	356	669	240	4	3
LK-1315	Madurawala	Madurawala	dsd	10362	2544	6960	252	66	354	184	1	1
LK-1318	Millaniya	Millaniya	dsd	15648	5028	9750	400	64	359	41	4	2
LK-1321	Kalutara	Kalutara	dsd	43722	9659	30411	3022	173	200	241	10	6
LK-1324	Beruwala	Beruwala	dsd	41819	11661	25161	4455	63	252	215	7	5
LK-1327	Dodangoda	Dodangoda	dsd	18525	4330	12423	618	66	789	288	5	6
LK-1330	Mathugama	Mathugama	dsd	23326	6668	15026	625	207	251	541	6	2
LK-1333	Agalawatta	Agalawatta	dsd	10425	3819	6171	236	15	106	76	1	1
LK-1336	Palindanuwara	Palindanuwara	dsd	14918	5020	8767	309	74	214	526	7	1
LK-1339	Walallavita	Walallavita	dsd	15809	5815	9319	221	42	127	280	5	0
LK-21	Kandy	Kandy District	district	389826	29503	262248	58516	10412	16281	12775	60	31
LK-2103	Thumpane	Thumpane	dsd	10774	2042	6837	1217	180	282	211	3	2
LK-2106	Pujapitiya	Pujapitiya	dsd	15610	1383	9844	3282	339	334	428	0	0
