region_id	region_name	region_name_in_data	region_ent_type	total	tile	asbestos	concrete	zinc_aluminium_sheets	metal_sheets	kadjan_or_palmyrah_or_straw	other	not_relevant
LK-2109	Akurana	Akurana	dsd	15564	333	6947	7290	311	288	391	3	1
LK-2112	Pathadumbara	Pathadumbara	dsd	25283	1108	17935	4810	487	542	396	4	1
LK-2115	Panvila	Panvila	dsd	7203	112	3610	323	555	1234	1369	0	0
LK-2118	Udadumbara	Udadumbara	dsd	6720	948	4725	506	125	235	177	4	0
LK-2121	Minipe	Minipe	dsd	15952	4106	10869	568	131	276	1	1	0
LK-2124	Medadumbara	Medadumbara	dsd	17917	1950	10769	1711	692	1824	971	0	0
LK-2127	Kundasale	Kundasale	dsd	39297	2214	27998	6335	1177	700	856	12	5
LK-2130	Kandy Four Gravets & Gangawata Korale	Kandy Four Gravets Gangawata Korale	dsd	39803	1724	27922	8058	1101	385	605	5	3
LK-2133	Harispattuwa	Harispattuwa	dsd	25869	1597	18288	4558	527	466	424	1	8
LK-2134	Hatharaliyadda	Hatharaliyadda	dsd	8636	2614	4916	596	106	323	79	2	0
LK-2136	Yatinuwara	Yatinuwara	dsd	30659	2301	22440	4255	547	482	628	4	2
LK-2139	Udunuwara	Udunuwara	dsd	31284	2410	22401	4659	533	680	597	3	1
LK-2142	Doluwa	Doluwa	dsd	14236	278	9654	1035	717	1035	1517	0	0
LK-2145	Pathahewaheta	Pathahewaheta	dsd	16618	2598	10687	1829	573	637	291	1	2
LK-2148	Deltota	Delthota	dsd	8725	541	5236	1228	208	663	848	0	1
LK-2151	Udapalatha	Udapalatha	dsd	26879	752	17134	4016	968	2319	1676	9	5
LK-2154	Ganga Ihala Korale	Ganga Ihala Korale	dsd	15525	244	11363	1166	443	1741	567	1	0
LK-2157	Pasbage Korale	Pasbage Korale	dsd	17272	248	12673	1074	692	1835	743	7	0
LK-22	Matale	Matale District	district	148184	22266	101432	11539	2783	6428	3668	56	12
LK-2203	Galewela	Galewela	dsd	22154	6541	13148	1064	216	626	534	24	1
LK-2206	Dambulla	Dambulla	dsd	22894	3221	18006	628	214	450	353	21	1
LK-2209	Naula	Naula	dsd	8834	1566	6471	364	96	190	145	2	0
LK-2212	Pallepola	Pallepola	dsd	9069	2277	5891	452	139	251	58	1	0
LK-2215	Yatawatta	Yatawatta	dsd	8886	2073	5589	502	119	550	50	3	0
LK-2218	Matale	Matale	dsd	21828	1719	14615	4241	467	445	338	0	3
LK-2221	Ambanganga Korale	Ambanganga Korale	dsd	4682	329	3134	264	161	515	279	0	0
LK-2224	Laggala-Pallegama	- - Laggala-Pallegama	dsd	4876	599	3978	105	46	98	49	0	1
LK-2227	Wilgamuwa	Wilgamuwa	dsd	9813	2159	7048	161	72	363	10	0	0
LK-2230	Rattota	Rattota	dsd	15594	717	10238	1025	690	2019	897	4	4
LK-2233	Ukuwela	Ukuwela	dsd	19554	1065	13314	2733	563	921	955	1	2
LK-23	Nuwara Eliya	Nuwara Eliya District	district	192915	14441	108206	13368	21269	31049	4078	457	47
LK-2303	Kothmale	Kothmale West	dsd	11360	129	8342	625	396	1760	100	6	2
LK-2303	Kothmale	Kothmale East	dsd	16612	137	9125	861	1828	4179	468	10	4
LK-2306	Hanguranketha	Hanguranketha	dsd	16557	2016	11331	1508	658	849	182	11	2
LK-2309	Walapane	Walapane	dsd	17697	1073	9885	1552	949	3654	563	19	2
LK-2312	Nuwara Eliya	Nuwara Eliya	dsd	22302	809	11042	1913	3061	4204	1255	12	6
LK-2315	Ambagamuwa	Ambagamuwa	dsd	12515	129	9862	585	339	1421	165	14	0
LK-23XX	Mathurata	Mathurata	dsd	9375	1030	6034	713	311	1178	106	3	0
LK-23XX	Nildandahinna	Nildandahinna	dsd	12232	1636	6417	567	1444	1752	395	19	2
LK-23XX	Thalawakele	Thalawakele	dsd	32304	2215	14923	2151	6425	5830	436	310	14
LK-23XX	Norwood	Norwood	dsd	41961	5267	21245	2893	5858	6222	408	53	15
LK-31	Galle	Galle District	district	305379	94954	191591	12914	1297	2611	1925	67	20
LK-3103	Bentota	Benthota	dsd	13661	5947	7215	319	21	115	43	1	0
LK-3106	Balapitiya	Balapitiya	dsd	18692	6363	11392	663	67	116	87	4	0
LK-3109	Karandeniya	Karandeniya	dsd	19823	4736	14449	501	16	46	67	5	3
LK-3112	Elpitiya	Elpitiya	dsd	19310	4587	13866	413	48	80	315	1	0
LK-3115	Niyagama	Niyagama	dsd	10330	2835	7246	161	34	30	23	0	1
LK-3118	Thawalama	Thawalama	dsd	9468	3724	5276	227	82	114	42	3	0
LK-3121	Neluwa	Neluwa	dsd	8429	2790	5326	209	24	44	36	0	0
LK-3124	Nagoda	Nagoda	dsd	15445	4430	9875	277	195	518	146	4	0
LK-3127	Baddegama	Baddegama	dsd	14223	4762	8735	379	42	175	116	13	1
LK-3130	Welivitiya-Divithura	-- Welivitiya-Divithura	dsd	8597	2584	5661	179	13	68	91	1	0
LK-3133	Ambalangoda	Ambalangoda	dsd	16798	3498	12292	869	16	69	47	7	0
LK-3134	Gonapeenuwala	Gonapeenuwala	dsd	6749	2018	4226	332	99	26	45	3	0
LK-3136	Hikkaduwa	Hikkaduwa	dsd	7386	2952	3816	559	8	34	12	5	0
LK-3139	Galle Four Gravets	Galle Four Gravets	dsd	26173	5416	17097	3219	107	205	123	0	6
LK-3142	Bope-Poddala	- - Bope-Poddala	dsd	15444	3493	10525	1198	74	107	43	2	2
LK-3145	Akmeemana	Akmeemana	dsd	23381	6299	15319	1145	182	248	184	2	2
LK-3148	Yakkalamulla	Yakkalamulla	dsd	13328	4089	8521	267	130	148	169	3	1
LK-3151	Imaduwa	Imaduwa	dsd	13341	5758	6930	418	19	121	90	3	2
LK-3154	Habaraduwa	Habaraduwa	dsd	16999	7367	8568	769	35	159	96	3	2
LK-31XX	Wanduramba	Wanduramba	dsd	7908	2290	5230	151	60	100	76	1	0
LK-31XX	Madampagama	Madampagama	dsd	9143	4340	4457	277	13	33	19	4	0
LK-31XX	Rathgama	Rathgama	dsd	10751	4676	5569	382	12	55	55	2	0
LK-32	Matara	Matara District	district	230034	110239	101489	12805	561	2878	2013	34	15
LK-3203	Pitabeddara	Pitabeddara	dsd	14606	6875	6577	614	99	278	162	1	0
LK-3206	Kotapola	Kotapola	dsd	17734	4543	10548	744	131	877	886	5	0
LK-3209	Pasgoda	Pasgoda	dsd	18139	8564	8082	945	73	379	93	1	2
LK-3212	Mulatiyana	Mulatiyana	dsd	14550	8328	5555	537	8	70	52	0	0
LK-3215	Athuraliya	Athuraliya	dsd	9020	4809	3772	266	15	99	59	0	0
LK-3218	Akuressa	Akuressa	dsd	15065	6995	7210	541	30	128	157	3	1
LK-3221	Welipitiya	Welipitiya	dsd	14800	7712	6077	721	32	127	130	1	0
LK-3224	Malimbada	Malimbada	dsd	10206	5230	4308	526	18	79	41	3	1
LK-3227	Kamburupitiya	Kamburupitiya	dsd	11827	6220	4998	480	15	71	38	3	2
LK-3230	Hakmana	Hakmana	dsd	9127	5053	3562	381	9	93	29	0	0
LK-3233	Kirinda Puhulwella	Kirinda Puhulwella	dsd	5778	3271	2277	170	7	45	6	2	0
LK-3236	Thihagoda	Thihagoda	dsd	9668	4808	4205	512	18	91	29	2	3
LK-3239	Weligama	Weligam	dsd	19263	9774	7262	1925	28	151	117	4	2
LK-3242	Matara Four Gravets	Matara Four Gravets	dsd	32080	13059	15365	3283	42	199	126	4	2
LK-3245	Devinuwara	Devinuwara	dsd	13098	6721	5772	472	7	83	40	2	1
LK-3248	Dickwella	Dickwella	dsd	15073	8277	5919	688	29	108	48	3	1
LK-33	Hambantota	Hambantota District	district	187558	106001	72388	5511	304	1841	1384	122	7
LK-3303	Sooriyawewa	Sooriyawewa	dsd	14365	6893	6600	480	28	172	177	13	2
LK-3306	Lunugamvehera	Lunugamwehera	dsd	10381	4879	4962	246	15	166	105	8	0
LK-3309	Thissamaharama	Thissamaharama	dsd	20935	10792	9143	606	37	178	136	43	0
LK-3312	Hambantota	Hambantota	dsd	18259	9115	8234	542	38	198	119	13	0
LK-3315	Ambalantota	Ambalantota	dsd	22250	12349	8762	601	25	276	231	6	0
LK-3318	Angunakolapelessa	Angunakolapelessa	dsd	15372	9200	5563	333	9	179	83	4	1
LK-3321	Weeraketiya	Weeraketiya	dsd	13610	8670	4365	327	18	126	97	7	0
LK-3324	Katuwana	Katuwana	dsd	15091	9750	4526	496	63	157	91	7	1
LK-3325	Walasmulla	Walasmulla	dsd	13427	8705	4056	465	12	82	105	1	1
LK-3327	Okewela	Okewela	dsd	5664	3548	1898	142	9	21	44	2	0
LK-3330	Beliatta	Beliatta	dsd	16473	9475	6193	571	23	139	70	2	0
LK-3333	Tangalle	Tangalle	dsd	21731	12625	8086	702	27	147	126	16	2
LK-41	Jaffna	Jaffna District	district	156797	84497	63966	2913	2294	1419	1080	519	109
LK-4103	Island North (Kayts)	Island North Kayts	dsd	2633	1811	708	5	3	58	47	1	0
LK-4104	Karainagar	Karainagar	dsd	2630	2079	370	10	27	104	32	7	1
LK-4106	Valikamam West (Chankanai)	Valikamam West Chankanai	dsd	11568	6089	4842	95	187	147	164	35	9
LK-4109	Valikamam South-West (Sandilipay)	Valikamam South-West Sandilipay	dsd	13821	6669	6436	227	276	129	67	7	10
LK-4112	Valikamam North (Tellipallai)	Valikamam North	dsd	11932	7932	3319	115	292	176	64	21	13
LK-4115	Valikamam South (Uduvil)	Valikamam South Uduvil	dsd	13108	6734	5853	208	165	58	55	32	3
LK-4118	Valikamam East (Kopay)	Valikamam East Kopay	dsd	19402	8424	9700	402	300	174	146	219	37
LK-4121	Vadamaradchi South-West (Karaveddy)	Vadamaradchy South-West Karaveddy	dsd	11195	6460	4336	159	85	97	36	19	3
LK-4124	Vadamaradchi East	Vadamaradchy East	dsd	3950	3326	373	12	50	68	89	20	12
LK-4127	Vadamaradchi North (Point Pedro)	Vadamaradchy North Point Perdro	dsd	12253	7646	4024	220	212	51	79	17	4
LK-4130	Thenmaradchi (Chavakachcheri)	Thenmaradchy Chavakachcheri	dsd	18897	10554	7445	191	321	163	141	79	3
LK-4133	Nallur	Nallur	dsd	18614	9540	8114	664	170	32	68	18	8
LK-4136	Jaffna	Jaffna	dsd	11522	3697	7028	572	119	53	24	23	6
LK-4139	Island South (Velanai)	Island South Velanai	dsd	4379	3221	889	30	80	103	36	20	0
LK-4142	Delft	Delft	dsd	893	315	529	3	7	6	32	1	0
LK-42	Mannar	Mannar District	district	32005	27949	2392	424	226	390	279	326	19
LK-4203	Mannar Town	Mannar Town	dsd	14549	12020	1635	276	94	54	173	289	8
LK-4206	Manthai West	Manthai West	dsd	5071	4633	198	21	59	109	46	5	0
LK-4209	Madhu	Madhu	dsd	2702	2369	196	9	22	92	10	4	0
LK-4212	Nanattan	Nanattan	dsd	5337	4762	307	95	35	67	32	28	11
LK-4215	Musali	Musali	dsd	4346	4165	56	23	16	68	18	0	0
LK-43	Vavuniya	Vavuniya District	district	47825	20484	20682	2864	1932	733	890	236	4
LK-4303	Vavuniya North	Vavuniya North	dsd	4284	3190	737	47	116	42	124	28	0
LK-4306	Vavuniya South	Vavuniya South	dsd	4488	1515	2774	38	55	60	40	5	1
LK-4309	Vavuniya	Vavuniya	dsd	32007	11040	15403	2704	1455	526	685	191	3
LK-4312	Vengalacheddikulam	Vengalacheddikulam	dsd	7046	4739	1768	75	306	105	41	12	0
LK-44	Mullaitivu	Mullaitivu District	district	34348	24866	5781	462	559	1712	639	289	40
LK-4403	Thunukkai	Thunukkai	dsd	2829	2208	430	27	23	92	31	17	1
LK-4406	Manthai East	Manthai East	dsd	2178	1783	260	27	11	50	42	5	0
LK-4409	Puthukkudiyiruppu	Puthukudiyiruppu	dsd	10667	8441	804	162	236	642	234	115	33
LK-4412	Oddusuddan	Oddusudan	dsd	5078	3730	787	32	98	270	102	57	2
LK-4415	Maritimepattu	Maritimepattu	dsd	10393	8213	1034	191	148	564	147	92	4
LK-4418	Welioya	Welioya	dsd	3203	491	2466	23	43	94	83	3	0
LK-45	Kilinochchi	Kilinochchi District	district	36484	24402	7647	438	1179	1587	843	377	11
LK-4503	Pachchilaipalli	Pachchilaipalli	dsd	3835	2683	695	14	87	254	76	24	2
LK-4506	Kandavalai	Kandavalai	dsd	6858	4672	1337	72	207	293	189	88	0
LK-4509	Karachchi	Karachchi	dsd	19488	12209	4853	329	732	804	453	101	7
LK-4512	Poonakary	Poonakary	dsd	6303	4838	762	23	153	236	125	164	2
LK-51	Batticaloa	Batticaloa District	district	167150	132671	7125	15466	3386	2646	3913	1720	223
LK-5103	Koralai Pattu North (Vaharai)	Koralai Pattu North Vaharai	dsd	7758	6148	217	36	261	307	507	190	92
LK-5104	Koralai Pattu Central	Koralai Pattu Central	dsd	8481	6574	586	1042	91	41	90	46	11
LK-5106	Koralai Pattu  West (Oddamavadi)	Koralai Pattu West Oddamavadi	dsd	7200	5707	272	1026	42	37	91	24	1
LK-5109	Koralai Pattu (Valachchenai)	Koralai Pattu Valachchenai	dsd	8313	6901	275	437	160	107	302	118	13
LK-5110	Koralai Pattu South (Kiran)	Koralai Pattu South Kiran	dsd	8528	6587	295	334	225	269	445	373	0
LK-5112	Eravur Pattu	Eravur Pattu	dsd	25613	20147	1290	1890	536	510	787	450	3
LK-5115	Eravur Town	Eravur Town	dsd	7172	4937	186	1830	85	48	63	17	6
LK-5118	Manmunai North	Manmunai North	dsd	25590	20019	1129	3424	360	393	178	53	34
LK-5121	Manmunai West	Manmunai West	dsd	9647	7870	326	139	388	374	451	99	0
LK-5124	Kattankudy	Kattankudy	dsd	12899	10140	325	2185	119	56	52	8	14
LK-5127	Manmunai Pattu (Araipattai)	Manmunai Pattu Araipattai	dsd	10254	8810	344	641	162	112	127	49	9
LK-5130	Manmunai South-West	Manmunai South-West	dsd	7745	6185	547	306	269	110	217	93	18
LK-5133	Porativu Pattu	Poratheevu Pattu	dsd	11378	8948	932	555	365	120	312	138	8
LK-5136	Manmunai South & Eruvil pattu	Manmunai South Eruvil Pattu	dsd	16572	13698	401	1621	323	162	291	62	14
LK-52	Ampara	Ampara District	district	202861	96346	63577	33437	2088	3673	3159	498	83
LK-5203	Dehiattakandiya	Dehiattakandiya	dsd	18437	2204	14918	492	140	304	374	3	2
LK-5206	Padiyathalawa	Padiyathalawa	dsd	6260	2728	3154	77	51	147	101	1	1
LK-5209	Mahaoya	Mahaoya	dsd	6968	2805	3505	81	69	245	253	10	0
LK-5212	Uhana	Uhana	dsd	17326	2955	12639	298	130	709	585	9	1
LK-5215	Ampara	Ampara	dsd	13172	1426	10248	574	128	486	307	3	0
LK-5216	Navithanveli	Navithanveli	dsd	6288	4525	575	796	128	151	79	33	1
LK-5218	Samanthurai	Samanthurai	dsd	19400	10473	1777	6419	295	222	202	10	2
LK-5221	Kalmunai Tamil Division	Kalmunai Tamil Division	dsd	8675	6460	246	1778	59	51	71	9	1
LK-5224	Kalmunai	Kalmunai	dsd	13481	7120	454	5728	52	44	64	17	2
LK-5225	Sainthamaruthu	Sainthamarathu	dsd	7804	3051	740	3938	22	20	13	19	1
LK-5227	Karaitheevu	Karaitheevu	dsd	5241	3417	333	1362	53	26	31	13	6
LK-5230	Ninthavur	Ninthavur	dsd	8729	7019	399	1165	38	44	48	16	0
LK-5233	Addalachchenai	Addalachchenai	dsd	13178	8274	1294	3042	166	191	131	68	12
LK-5234	Irakkamam	Irakkamam	dsd	4649	2872	869	683	91	56	73	5	0
LK-5236	Akkaraipattu	Akkaraipattu	dsd	12052	7278	940	3513	127	51	50	93	0
LK-5239	Alayadiwembu	Alayadiwembu	dsd	7017	4407	1233	1026	147	69	96	39	0
LK-5242	Damana	Damana	dsd	11478	2807	7398	203	106	581	380	3	0
LK-5245	Thirukkovil	Thirukkovil	dsd	8338	6597	629	661	158	71	110	74	38
LK-5248	Pothuvil	Pothuvil	dsd	11466	8427	972	1554	122	151	158	66	16
LK-5251	Lahugala	Lahugala	dsd	2902	1501	1254	47	6	54	33	7	0
LK-53	Trincomalee	Trincomalee District	district	119351	56569	51196	5615	1884	1556	1824	595	112
LK-5303	Padavi Sri Pura	Padavisiripura	dsd	3438	889	2349	48	18	68	59	6	1
LK-5306	Kuchchaveli	Kuchchaveli	dsd	10805	6797	3220	227	198	94	119	120	30
LK-5309	Gomarankadawala	Gomarankadawala	dsd	2446	1005	1295	25	10	90	17	2	2
LK-5312	Morawewa	Morawewa	dsd	2688	1317	1159	70	28	68	45	0	1
LK-5315	Trincomalee Town and Gravets	Trincomalee Town and Gravets	dsd	26784	5419	17599	2685	452	286	276	63	4
LK-5318	Thambalagamuwa	Thambalagamuwa	dsd	9324	5813	3039	245	105	48	66	8	0
LK-5321	Kanthale	Kanthale	dsd	14128	3373	9914	367	91	168	202	10	3
LK-5324	Kinniya	Kinniya	dsd	21750	18780	1032	1291	224	98	191	133	1
LK-5327	Muttur	Muttur	dsd	19400	8944	8158	550	461	446	638	137	66
LK-5330	Seruvila	Seruvila	dsd	4655	1272	2977	62	99	142	93	10	0
LK-5333	Verugal (Eachchilampattu)	Verugal Eachchilampattu	dsd	3933	2960	454	45	198	48	118	106	4
LK-61	Kurunegala	Kurunegala District	district	506909	306636	161307	14905	6032	10010	7506	475	38
LK-6103	Giribawa	Giribawa	dsd	10396	5682	4231	140	67	110	144	20	2
LK-6106	Galgamuwa	Galgamuwa	dsd	17858	8101	8668	398	125	344	209	12	1
LK-6109	Ehetuwewa	Ehetuwewa	dsd	8227	4249	3648	132	27	107	56	8	0
LK-6112	Ambanpola	Ambanpola	dsd	7706	4015	3225	135	69	147	107	8	0
LK-6115	Kotavehera	Kotavehera	dsd	6923	4993	1581	47	51	138	100	13	0
LK-6118	Rasnayakapura	Rasnayakapura	dsd	7192	5362	1420	81	83	115	106	25	0
LK-6121	Nikaweratiya	Nikaweratiya	dsd	12752	8242	3717	277	122	227	157	10	0
LK-6124	Maho	Maho	dsd	18820	10751	6805	410	226	279	300	46	3
LK-6127	Polpithigama	Polpithigama	dsd	25354	12638	10190	529	343	867	668	118	1
LK-6130	Ibbagamuwa	Ibbagamuwa	dsd	26761	12637	11439	1091	277	733	567	13	4
LK-6133	Ganewatta	Ganewatta	dsd	12898	7188	4638	307	183	272	292	17	1
LK-6136	Wariyapola	Wariyapola	dsd	19586	12370	5761	416	298	324	397	19	1
LK-6139	Kobeigane	Kobeigane	dsd	11689	8579	2399	126	185	157	232	11	0
LK-6142	Bingiriya	Bingiriya	dsd	19673	15914	2272	143	395	430	482	36	1
LK-6145	Panduwasnuwara West	Panduwasnuwara West	dsd	20217	15415	3579	341	244	372	251	13	2
LK-6148	Panduwasnuwara East	Panduwasnuwara East	dsd	9394	7493	1417	93	108	136	138	9	0
LK-6149	Bamunakotuwa	Bamunakotuwa	dsd	11659	7295	3448	324	194	208	185	4	1
LK-6151	Maspotha	Maspotha	dsd	12094	5056	5917	655	163	191	107	5	0
LK-6154	Kurunegala	Kurunegala	dsd	23802	9683	11565	1475	296	412	361	6	4
LK-6157	Mallawapitiya	Mallawapitiya	dsd	16432	7413	7338	1051	177	270	179	3	1
LK-6160	Mawathagama	Mawathagama	dsd	19764	7768	9792	1288	224	371	313	5	3
LK-6163	Rideegama	Rideegama	dsd	26848	11915	11790	1637	374	801	324	4	3
LK-6166	Weerambugedara	Weerambugedara	dsd	10730	6616	3391	260	109	210	141	3	0
LK-6169	Kuliyapitiya East	Kuliyapitiya East	dsd	16420	12418	2877	536	164	300	118	7	0
LK-6172	Kuliyapitiya West	Kuliyapitiya West	dsd	24056	18522	4188	496	291	316	233	9	1
LK-6175	Udubaddawa	Udubaddawa	dsd	15815	13561	1440	164	186	263	188	12	1
LK-6178	Pannala	Pannala	dsd	38853	30831	5957	587	379	522	549	23	5
LK-6181	Narammala	Narammala	dsd	17026	11232	4447	469	257	371	245	5	0
LK-6184	Alawwa	Alawwa	dsd	19020	11097	6460	424	251	555	226	6	1
LK-6187	Polgahawela	Polgahawela	dsd	18944	9600	7707	873	164	462	131	5	2
LK-62	Puttalam	Puttalam District	district	231494	181309	31639	3795	3425	4201	5017	2036	72
LK-6203	Kalpitiya	Kalpitiya	dsd	24165	19579	1637	294	399	431	879	929	17
LK-6206	Vanathawilluwa	Vanathawilluwa	dsd	5846	3475	1309	35	194	260	384	187	2
LK-6209	Karuwalagaswewa	Karuwalagaswewa	dsd	7941	4087	3303	45	95	171	195	45	0
LK-6212	Nawagattegama	Nawagattegama	dsd	5271	3335	1651	48	59	121	56	1	0
LK-6215	Puttalam	Puttalam	dsd	23692	15371	5977	774	508	465	470	124	3
LK-6218	Mundel	Mundel	dsd	18707	15206	1784	182	358	188	597	387	5
LK-6221	Mahakumbukkadawala	Mahakumbukkadawala	dsd	6599	4522	1423	49	120	309	139	31	6
LK-6224	Anamaduwa	Anamaduwa	dsd	12891	9427	2740	104	178	153	233	55	1
LK-6227	Pallama	Pallama	dsd	8263	6901	707	56	106	129	276	86	2
LK-6230	Arachchikattuwa	Arachchikattuwa	dsd	12661	10390	1260	156	140	285	359	68	3
LK-6233	Chilaw	Chilaw	dsd	18494	12080	4419	782	314	330	483	82	4
LK-6236	Madampe	Madampe	dsd	14626	12611	1007	191	277	418	117	5	0
LK-6239	Mahawewa	Mahawewa	dsd	14662	12786	982	136	161	386	198	9	4
LK-6242	Nattandiya	Nattandiya	dsd	19220	16745	1321	378	228	197	340	9	2
LK-6245	Wennappuwa	Wennappuwa	dsd	19695	18094	891	271	156	147	119	4	13
LK-6248	Dankotuwa	Dankotuwa	dsd	18761	16700	1228	294	132	211	172	14	10
LK-71	Anuradhapura	Anuradhapura District	district	271408	73538	185141	6106	1639	2432	2418	117	17
LK-7103	Padaviya	Padaviya	dsd	7164	1850	4750	107	146	146	158	7	0
LK-7106	Kebithigollewa	Kebithigollewa	dsd	7625	2506	4887	54	38	84	56	0	0
LK-7109	Medawachchiya	Medawachchiya	dsd	15056	3332	11155	262	104	83	108	11	1
LK-7112	Mahawilachchiya	Mahawilachchiya	dsd	7081	2102	4694	37	58	94	86	10	0
LK-7115	Nuwaragam Palatha Central	Nuwaragam Palatha Central	dsd	19849	3129	15601	539	146	215	213	5	1
LK-7118	Rambewa	Rambewa	dsd	11382	3290	7717	169	53	85	65	3	0
LK-7121	Kahatagasdigiliya	Kahatagasdigiliya	dsd	12483	5123	6987	211	40	81	38	1	2
LK-7124	Horowpothana	Horowpothana	dsd	11190	4961	5843	190	46	74	74	1	1
LK-7127	Galenbindunuwewa	Galenbindunuwewa	dsd	14371	4537	9432	267	24	58	50	1	2
LK-7130	Mihinthale	Mihinthale	dsd	11419	1940	8888	380	66	69	73	3	0
LK-7133	Nuwaragam Palatha East	Nuwaragam Palatha East	dsd	21194	1312	18506	1080	162	39	87	5	3
LK-7136	Nachchaduwa	Nachchaduwa	dsd	8180	1304	6494	228	31	56	63	3	1
LK-7139	Nochchiyagama	Nochchiyagama	dsd	15943	6269	9109	219	113	113	111	8	1
LK-7142	Rajanganaya	Rajanganaya	dsd	10677	5215	5031	157	65	88	103	16	2
LK-7145	Thambuttegama	Thambuttegama	dsd	13271	3684	8827	348	86	145	174	5	2
LK-7148	Thalawa	Thalawa	dsd	17628	4537	12310	268	96	152	252	13	0
LK-7151	Thirappane	Thirappane	dsd	8897	2824	5739	148	59	79	46	2	0
