region_id	region_name	region_ent_type	total_value	tile	asbestos	concrete	zink_aluminium_sheet	metal_sheet	cadjan_palmyrah_straw	other	not_relevant
LK	Sri Lanka	country	6030541	2032441	3209496	440761	85422	163735	88820	8655	1211
LK-1	Western	province	1686506	363704	1098621	190819	10224	12480	10085	303	270
LK-6	North Western	province	738403	487945	192946	18700	9457	14211	12523	2511	110
LK-2	Central	province	730925	66210	471886	83423	34464	53758	20521	573	90
LK-3	Southern	province	722971	311194	365468	31230	2162	7330	5322	223	42
LK-12	Gampaha	district	683025	245645	380955	43598	4169	5122	3374	104	58
EC-02	Gampaha	ed	683025	245645	380955	43598	4169	5122	3374	104	58
LK-11	Colombo	district	654051	40032	475061	128212	4065	3273	3109	132	167
EC-01	Colombo	ed	654051	40032	475061	128212	4065	3273	3109	132	167
LK-9	Sabaragamuwa	province	566880	149072	344798	26348	5632	21011	19831	146	42
LK-61	Kurunegala	district	506909	306636	161307	14905	6032	10010	7506	475	38
EC-15	Kurunegala	ed	506909	306636	161307	14905	6032	10010	7506	475	38
LK-5	Eastern	province	489362	285586	121898	54518	7358	7875	8896	2813	418
LK-7	North Central	province	397890	96127	280591	9748	2902	4495	3826	176	25
LK-8	Uva	province	390145	90405	232820	18874	7033	36734	4085	163	31
LK-21	Kandy	district	389826	29503	262248	58516	10412	16281	12775	60	31
EC-04	Kandy	ed	389826	29503	262248	58516	10412	16281	12775	60	31
LK-13	Kalutara	district	349430	78027	242605	19009	1990	4085	3602	67	45
EC-03	Kalutara	ed	349430	78027	242605	19009	1990	4085	3602	67	45
LK-91	Ratnapura	district	324853	72797	213350	12116	2200	12752	11529	93	16
EC-21	Ratnapura	ed	324853	72797	213350	12116	2200	12752	11529	93	16
LK-4	Northern	province	307459	182198	100468	7101	6190	5841	3731	1747	183
LK-31	Galle	district	305379	94954	191591	12914	1297	2611	1925	67	20
EC-07	Galle	ed	305379	94954	191591	12914	1297	2611	1925	67	20
LK-71	Anuradhapura	district	271408	73538	185141	6106	1639	2432	2418	117	17
EC-17	Anuradhapura	ed	271408	73538	185141	6106	1639	2432	2418	117	17
LK-92	Kegalle	district	242027	76275	131448	14232	3432	8259	8302	53	26
EC-22	Kegalle	ed	242027	76275	131448	14232	3432	8259	8302	53	26
LK-81	Badulla	district	239417	31119	153498	14710	6325	33122	554	72	17
EC-19	Badulla	ed	239417	31119	153498	14710	6325	33122	554	72	17
LK-62	Puttalam	district	231494	181309	31639	3795	3425	4201	5017	2036	72
EC-16	Puttalam	ed	231494	181309	31639	3795	3425	4201	5017	2036	72
LK-32	Matara	district	230034	110239	101489	12805	561	2878	2013	34	15
EC-08	Matara	ed	230034	110239	101489	12805	561	2878	2013	34	15
LK-52	Ampara	district	202861	96346	63577	33437	2088	3673	3159	498	83
EC-13	Digamadulla	ed	202861	96346	63577	33437	2088	3673	3159	498	83
EC-10	Jaffna	ed	193281	108899	71613	3351	3473	3006	1923	896	120
LK-23	Nuwara Eliya	district	192915	14441	108206	13368	21269	31049	4078	457	47
EC-06	Nuwara-Eliya	ed	192915	14441	108206	13368	21269	31049	4078	457	47
LK-33	Hambantota	district	187558	106001	72388	5511	304	1841	1384	122	7
EC-09	Hambantota	ed	187558	106001	72388	5511	304	1841	1384	122	7
LK-51	Batticaloa	district	167150	132671	7125	15466	3386	2646	3913	1720	223
EC-12	Batticaloa	ed	166201	131964	7070	15317	3375	2632	3904	1716	223
LK-1109	Kaduwela	dsd	159484	10972	130150	16914	898	226	292	26	6
LK-1112	Homagama	dsd	159474	12966	130812	14442	496	414	260	26	58
LK-41	Jaffna	district	156797	84497	63966	2913	2294	1419	1080	519	109
LK-1136	Kesbewa	dsd	150736	8790	121260	19408	576	424	252	12	14
LK-82	Monaragala	district	150728	59286	79322	4164	708	3612	3531	91	14
EC-20	Moneragala	ed	150728	59286	79322	4164	708	3612	3531	91	14
LK-1206	Katana	dsd	149740	76692	61402	7910	1680	1496	540	14	6
LK-22	Matale	district	148184	22266	101432	11539	2783	6428	3668	56	12
EC-05	Matale	ed	148184	22266	101432	11539	2783	6428	3668	56	12
LK-1103	Colombo	dsd	142284	2998	75452	60182	1920	702	904	72	54
LG-11011	Colombo MC	lg	129244	3938	69700	52778	1518	541	690	42	37
LK-72	Polonnaruwa	district	126482	22589	95450	3642	1263	2063	1408	59	8
EC-18	Polonnaruwa	ed	126482	22589	95450	3642	1263	2063	1408	59	8
LK-1233	Mahara	dsd	122752	26124	85678	9632	434	534	322	20	8
LK-53	Trincomalee	district	119351	56569	51196	5615	1884	1556	1824	595	112
EC-14	Trincomalee	ed	119351	56569	51196	5615	1884	1556	1824	595	112
LK-1239	Biyagama	dsd	117370	12804	92286	11176	554	276	252	14	8
LK-1127	Thimbirigasyaya	dsd	116204	4878	63948	45374	1116	380	476	12	20
LK-1224	Gampaha	dsd	115136	37702	69394	6906	466	336	312	14	6
LK-1221	Ja Ela	dsd	114318	33788	71692	7290	596	584	348	14	6
EC-11	Vanni	ed	114119	73248	28855	3748	2717	2829	1808	851	63
LK-1121	Maharagama	dsd	113100	6286	89654	16080	484	212	344	22	18
LK-1215	Minuwangoda	dsd	112574	55120	51604	4464	434	496	440	8	8
LK-1106	Kolonnawa	dsd	112200	4266	77194	28172	726	572	1102	40	128
EC-06A	Nuwara Eliya Maskeliya	pd	109082	8420	57072	7542	15683	17677	2264	389	35
LK-1227	Attanagalla	dsd	108074	42794	57798	5796	576	838	252	16	4
LK-1212	Mirigama	dsd	99080	51618	41852	3012	548	1424	606	14	6
LK-1303	Panadura	dsd	98396	10688	77972	8300	256	562	590	10	18
LK-1218	Wattala	dsd	97574	13318	70706	10342	1142	766	1246	30	24
LK-1230	Dompe	dsd	94594	30708	59118	3178	340	904	326	16	4
LK-9148	Embilipitiya	dsd	91504	47892	37626	3546	198	1092	1110	40	0
LK-1209	Divulapitiya	dsd	89660	59568	25642	1686	636	1156	924	32	16
LK-1133	Moratuwa	dsd	87970	3850	68962	13960	224	244	710	10	10
LK-1321	Kalutara	dsd	87444	19318	60822	6044	346	400	482	20	12
LG-11031	Homagama PS	lg	84775	7234	69363	7487	270	229	149	13	30
LK-2314	Norwood	dsd	83922	10534	42490	5786	11716	12444	816	106	30
LK-1324	Beruwala	dsd	83638	23322	50322	8910	126	504	430	14	10
EC-01J	Kaduwela	pd	79742	5486	65075	8457	449	113	146	13	3
LG-11015	Kaduwela MC	lg	79742	5486	65075	8457	449	113	146	13	3
EC-01L	Homagama	pd	79737	6483	65406	7221	248	207	130	13	29
LK-2130	Gangawata Korale	dsd	79606	3448	55844	16116	2202	770	1210	10	6
EC-12B	Batticaloa	pd	79548	62656	3194	9181	1453	1304	1286	410	64
LK-2127	Kundasale	dsd	78594	4428	55996	12670	2354	1400	1712	24	10
LK-6178	Pannala	dsd	77706	61662	11914	1174	758	1044	1098	46	10
EC-01N	Kesbewa	pd	75368	4395	60630	9704	288	212	126	6	7
LK-1309	Horana	dsd	74978	10248	59610	3646	562	328	574	2	8
EC-02C	Katana	pd	74870	38346	30701	3955	840	748	270	7	3
LK-1236	Kelaniya	dsd	73384	4802	58122	7862	500	1140	932	6	20
LK-1203	Negombo	dsd	71794	46252	16616	7942	432	294	248	10	0
EC-09D	Thissamaharama	pd	69005	34495	30878	2052	123	764	611	80	2
LK-1115	Seethawaka	dsd	68828	9210	51980	3894	444	2256	1028	8	8
EC-13A	Ampara	pd	68270	13662	48414	1658	568	2161	1775	28	4
EC-13D	Pothuvil	pd	67633	44184	10037	10412	808	932	861	327	72
EC-20C	Wellawaya	pd	67567	25119	37206	2154	161	1129	1726	64	8
LK-9112	Ratnapura	dsd	66462	5076	49824	3538	518	5350	2128	16	12
LK-1306	Bandaragama	dsd	66276	10426	50820	4178	310	228	302	4	8
LK-9206	Mawanella	dsd	66018	18378	35852	9232	802	820	924	0	10
EC-16A	Puttalam	pd	65834	49265	9500	1226	1214	1166	1984	1453	26
LK-2313	Thalawakele	dsd	64608	4430	29846	4302	12850	11660	872	620	28
LK-9218	Warakapola	dsd	64382	32112	26392	2798	472	840	1740	18	10
LK-3242	Matara Four Gravets	dsd	64160	26118	30730	6566	84	398	252	8	4
LK-4309	Vavuniya	dsd	64014	22080	30806	5408	2910	1052	1370	382	6
LK-2139	Udunuwara	dsd	62568	4820	44802	9318	1066	1360	1194	6	2
EC-02J	Mahara	pd	61376	13062	42839	4816	217	267	161	10	4
LG-12039	Mahara PS	lg	61376	13062	42839	4816	217	267	161	10	4
LK-2136	Yatinuwara	dsd	61318	4602	44880	8510	1094	964	1256	8	4
EC-21H	Kolonna	pd	60525	30225	25610	2413	139	1263	855	20	0
EC-18C	Polonnaruwa	pd	60420	10208	45547	2065	918	1013	634	30	5
EC-02L	Biyagama	pd	58685	6402	46143	5588	277	138	126	7	4
LG-12032	Biyagama PS	lg	58685	6402	46143	5588	277	138	126	7	4
LG-11024	Kesbewa UC	lg	58274	3496	47855	6412	217	180	107	1	6
EC-02H	Gampaha	pd	57568	18851	34697	3453	233	168	156	7	3
LK-8130	Welimada	dsd	57336	8014	37966	4794	1862	4672	0	20	8
EC-02I	Ja Ela	pd	57159	16894	35846	3645	298	292	174	7	3
EC-04B	Harispattuwa	pd	57043	3313	35079	15130	1177	1088	1243	4	9
EC-01M	Maharagama	pd	56550	3143	44827	8040	242	106	172	11	9
LG-11023	Maharagama UC	lg	56550	3143	44827	8040	242	106	172	11	9
EC-02F	Minuwangoda	pd	56287	27560	25802	2232	217	248	220	4	4
EC-01H	Kolonnawa	pd	56100	2133	38597	14086	363	286	551	20	64
EC-03B	Bandaragama	pd	55878	10907	41045	2922	239	536	215	7	7
LK-1124	Sri Jayawardanapura Kotte	dsd	55666	3508	42164	8586	656	288	446	12	6
LG-12037	Katana PS	lg	55181	31581	19882	2506	319	670	216	5	2
EC-01K	Avissawella	pd	55105	8136	41746	2842	353	1346	669	7	6
LG-12040	Minuwangoda PS	lg	54305	26496	25026	2127	198	241	209	4	4
EC-05A	Dambulla	pd	54117	12039	37045	2144	569	1327	945	46	2
EC-02G	Attanagalla	pd	54037	21397	28899	2898	288	419	126	8	2
LG-12031	Attanagalla PS	lg	54037	21397	28899	2898	288	419	126	8	2
EC-03C	Horana	pd	53871	7802	42289	2291	581	369	524	10	5
LK-9106	Kuruvita	dsd	53828	4250	44634	1524	244	1342	1826	8	0
LK-2151	Udapalatha	dsd	53758	1504	34268	8032	1936	4638	3352	18	10
LK-6163	Rideegama	dsd	53696	23830	23580	3274	748	1602	648	8	6
LK-5315	Town & Gravets	dsd	53568	10838	35198	5370	904	572	552	126	8
LK-6130	Ibbagamuwa	dsd	53522	25274	22878	2182	554	1466	1134	26	8
LK-9212	Kegalle	dsd	53064	18696	27726	3752	662	1006	1212	2	8
LK-3139	Galle 4 Gravets	dsd	52346	10832	34194	6438	214	410	246	0	12
LK-9124	Pelmadulla	dsd	52136	8350	35598	2244	756	2564	2612	6	6
LK-8124	Hali-Ela	dsd	51890	2964	35502	2688	950	9780	0	6	0
LK-2133	Harispattuwa	dsd	51738	3194	36576	9116	1054	932	848	2	16
LG-13036	Horana PS	lg	51266	7466	40267	2136	566	353	465	9	4
LK-5112	Eravur Pattu	dsd	51226	40294	2580	3780	1072	1020	1574	900	6
LK-5118	Manmunai North	dsd	51180	40038	2258	6848	720	786	356	106	68
EC-12A	Kalkudah	pd	50958	40477	1996	3654	965	936	1798	1013	119
LK-1130	Dehiwala	dsd	50764	2780	30100	17572	162	76	54	12	8
LK-6127	Polpitigama	dsd	50708	25276	20380	1058	686	1734	1336	236	2
LK-2112	Pathadumbara	dsd	50566	2216	35870	9620	974	1084	792	8	2
LG-11012	Dehiwala Mount Lavinia MC	lg	50387	2639	33517	13811	164	196	47	9	4
LK-8103	Mahiyanganaya	dsd	50346	13312	33258	1802	726	434	796	14	4
LK-7215	Thamankaduwa	dsd	50316	7552	37428	3124	1136	568	476	32	0
EC-17E	Kalawewa	pd	50248	15932	31766	1005	298	529	673	41	4
LK-1131	Ratmalana	dsd	50010	2498	36934	10050	166	316	40	6	0
EC-02E	Mirigama	pd	49540	25809	20926	1506	274	712	303	7	3
LG-12041	Mirigama PS	lg	49540	25809	20926	1506	274	712	303	7	3
LK-9203	Rambukkana	dsd	49202	22062	22366	2600	388	1196	578	12	0
EC-02A	Wattala	pd	48787	6659	35353	5171	571	383	623	15	12
EC-09C	Tangalle	pd	48607	27734	18610	1307	51	527	352	23	3
LK-7212	Dimbulagala	dsd	48514	7482	38082	708	522	1082	618	20	0
EC-14C	Muttur	pd	48496	32608	11297	2068	746	555	879	276	67
LG-12036	Ja- Ela PS	lg	48422	13795	30979	3096	192	224	129	4	3
LK-6203	Kalpitiya	dsd	48330	39158	3274	588	798	862	1758	1858	34
LK-6172	Kuliyapitiya West	dsd	48112	37044	8376	992	582	632	466	18	2
LK-43	Vavuniya	district	47825	20484	20682	2864	1932	733	890	236	4
EC-11B	Vavuniya	pd	47825	20484	20682	2864	1932	733	890	236	4
LK-6154	Kurunegala	dsd	47604	19366	23130	2950	592	824	722	12	8
EC-16B	Anamaduwa	pd	47541	32638	11031	361	803	1061	1245	392	10
LK-6215	Puttalam	dsd	47384	30742	11954	1548	1016	930	940	248	6
EC-02K	Dompe	pd	47297	15354	29559	1589	170	452	163	8	2
LG-12034	Dompe PS	lg	47297	15354	29559	1589	170	452	163	8	2
EC-20B	Monaragala	pd	46891	17519	24533	1274	332	1769	1445	14	5
LK-3145	Akmeemana	dsd	46762	12598	30638	2290	364	496	368	4	4
