region_id	region_name	region_ent_type	total_value	tile	asbestos	concrete	zink_aluminium_sheet	metal_sheet	cadjan_palmyrah_straw	other	not_relevant
LK-1330	Matugama	dsd	46652	13336	30052	1250	414	502	1082	12	4
EC-21B	Ratnapura	pd	46529	3811	37304	2221	299	1671	1213	10	0
LK-9230	Dehiowita	dsd	46476	5044	33902	1726	838	2390	2558	12	6
EC-15C	Yapahuwa	pd	46399	24623	17947	965	564	1133	999	164	4
LG-61038	Kurunegala PS	lg	45917	20072	21380	2532	558	790	567	14	4
LK-2206	Dambulla	dsd	45788	6442	36012	1256	428	900	706	42	2
EC-16C	Chilaw	pd	45781	35081	6686	1129	731	1033	959	155	7
LK-8127	Uvaparanagama	dsd	45210	7672	28984	2442	1366	4680	38	26	2
LK-9142	Godakawela	dsd	45172	14676	23624	2052	736	1290	2788	4	2
EC-02D	Divulapitiya	pd	44830	29784	12821	843	318	578	462	16	8
LG-12033	Divulapitiya PS	lg	44830	29784	12821	843	318	578	462	16	8
LK-2312	Nuwara Eliya	dsd	44604	1618	22084	3826	6122	8408	2510	24	12
LK-3315	Ambalantota	dsd	44500	24698	17524	1202	50	552	462	12	0
EC-17D	Anuradhapura West	pd	44446	12043	30428	764	331	442	414	22	2
LK-2203	Galewela	dsd	44308	13082	26296	2128	432	1252	1068	48	2
EC-17C	Anuradhapura East	pd	44285	5859	36018	1666	260	208	256	13	5
EC-01O	Moratuwa	pd	43985	1925	34481	6980	112	122	355	5	5
LG-11013	Moratuwa MC	lg	43985	1925	34481	6980	112	122	355	5	5
EC-03F	Kalutara	pd	43722	9659	30411	3022	173	200	241	10	6
LK-2218	Matale	dsd	43656	3438	29230	8482	934	890	676	0	6
LK-5324	Kinniya	dsd	43500	37560	2064	2582	448	196	382	266	2
LK-3333	Tangalle	dsd	43462	25250	16172	1404	54	294	252	32	4
EC-21D	Balangoda	pd	43196	5022	32880	1617	261	1866	1537	9	4
LK-8121	Badulla	dsd	43056	798	30216	5360	1674	4988	0	18	2
LK-8221	Wellawaya	dsd	42818	13298	25164	1762	104	648	1790	42	10
EC-19A	Mahiyanganaya	pd	42424	13326	26436	1140	463	636	405	14	4
LK-7133	Nuwaragam Palatha East	dsd	42388	2624	37012	2160	324	78	174	10	6
LK-9215	Galigamuwa	dsd	42190	18426	19412	1740	532	766	1310	2	2
EC-03A	Panadura	pd	42106	4678	33101	3717	108	218	272	4	8
LK-9118	Balangoda	dsd	41996	4370	32578	1904	346	1898	892	2	6
EC-15A	Galgamuwa	pd	41962	20813	18820	779	293	721	485	48	3
LK-3309	Thissamaharama	dsd	41870	21584	18286	1212	74	356	272	86	0
EC-03E	Mathugama	pd	41851	10998	27449	1243	273	1040	829	11	8
EC-03G	Beruwala	pd	41819	11661	25161	4455	63	252	215	7	5
LG-12042	Wattala PS	lg	41508	6126	30075	3894	492	364	530	15	12
LK-1118	Padukka	dsd	41382	7062	31512	1790	262	436	310	6	4
EC-21E	Rakwana	pd	41286	15212	21035	1569	450	1183	1825	11	1
LG-11034	Seethawaka PS	lg	41030	6812	31173	1557	250	758	469	7	4
LK-7206	Medirigiriya	dsd	41020	8040	30914	888	180	594	376	28	0
EC-09A	Mulkirigala	pd	40723	26346	12390	1246	91	358	279	11	2
LG-11033	Kotikawatta-Mullariyawa PS	lg	40634	1759	28825	9515	159	117	243	10	6
LK-9103	Eheliyagoda	dsd	40594	3818	33246	1450	174	548	1342	14	2
EC-15I	Kuliyapitiya	pd	40476	30940	7065	1032	455	616	351	16	1
LK-6145	Panduwasnuwara West	dsd	40434	30830	7158	682	488	744	502	26	4
LK-7203	Higurakgoda	dsd	40282	6508	31024	1084	268	742	640	12	4
LG-13039	Panadura PS	lg	40054	4208	31795	3418	99	241	284	4	5
LG-12035	Gampaha PS	lg	39766	12777	24440	2208	116	116	102	5	2
LK-7115	Nuwaragam Palatha Central	dsd	39698	6258	31202	1078	292	430	426	10	2
EC-15D	Hiriyala	pd	39659	19825	16077	1398	460	1005	859	30	5
LG-61035	Ibbagamuwa PS	lg	39659	19825	16077	1398	460	1005	859	30	5
LK-3109	Karandeniya	dsd	39646	9472	28898	1002	32	92	134	10	6
LK-9209	Aranayake	dsd	39622	14806	19808	2666	468	926	940	6	2
LK-6160	Mawathagama	dsd	39528	15536	19584	2576	448	742	626	10	6
LG-21035	Medadumbara PS	lg	39430	2242	28078	6344	1178	715	856	12	5
LK-6245	Wennappuwa	dsd	39390	36188	1782	542	312	294	238	8	26
LK-6142	Bingiriya	dsd	39346	31828	4544	286	790	860	964	72	2
EC-04F	Kundasale	pd	39297	2214	27998	6335	1177	700	856	12	5
LK-6136	Wariyapola	dsd	39172	24740	11522	832	596	648	794	38	2
LK-2233	Ukuwela	dsd	39108	2130	26628	5466	1126	1842	1910	2	4
LG-61037	Kuliyapitiya PS	lg	39088	30107	6671	930	424	598	341	16	1
LK-4509	Karachchi	dsd	38976	24418	9706	658	1464	1608	906	202	14
EC-14B	Trincomalee	pd	38865	12985	21247	2917	679	413	405	185	34
EC-15H	Katugampola	pd	38853	30831	5957	587	379	522	549	23	5
LG-61043	Pannala PS	lg	38853	30831	5957	587	379	522	549	23	5
EC-07I	Akmeemana	pd	38825	9792	25844	2343	256	355	227	4	4
LK-4118	Valikamam East (Kopay)	dsd	38804	16848	19400	804	600	348	292	438	74
LK-5218	Sammanthurai	dsd	38800	20946	3554	12838	590	444	404	20	4
LK-5327	Muthur	dsd	38800	17888	16316	1100	922	892	1276	274	132
LK-3112	Elpitiya	dsd	38620	9174	27732	826	96	160	630	2	0
EC-01B	Colombo Central	pd	38617	795	22258	14737	607	118	63	18	21
EC-15B	Nikaweratiya	pd	38556	27176	9117	531	441	637	595	59	0
LK-3239	Weligama	dsd	38526	19548	14524	3850	56	302	234	8	4
EC-16E	Wennappuwa	pd	38456	34794	2119	565	288	358	291	18	23
LG-62040	Wennappuwa PS	lg	38456	34794	2119	565	288	358	291	18	23
LK-6242	Nattandiya	dsd	38440	33490	2642	756	456	394	680	18	4
EC-04L	Gampola	pd	38384	937	25182	4918	1612	2697	3024	9	5
LK-6184	Alawwa	dsd	38040	22194	12920	848	502	1110	452	12	2
EC-07E	Hiniduma	pd	37921	12487	23903	756	208	434	126	6	1
LK-6187	Polgahawela	dsd	37888	19200	15414	1746	328	924	262	10	4
LK-4130	Thenmaradchi (Chavakachcheri)	dsd	37794	21108	14890	382	642	326	282	158	6
EC-08A	Deniyaya	pd	37646	13992	19486	1635	235	1230	1062	6	0
LK-6124	Maho	dsd	37640	21502	13610	820	452	558	600	92	6
EC-03H	Agalawatta	pd	37626	13394	22162	692	127	422	815	12	2
LK-6248	Dankotuwa	dsd	37522	33400	2456	588	264	422	344	28	20
LK-6218	Mundel	dsd	37414	30412	3568	364	716	376	1194	774	10
LK-3106	Balapitiya	dsd	37384	12726	22784	1326	134	232	174	8	0
LK-1312	Bulathsinhala	dsd	37338	10248	23864	682	712	1338	480	8	6
EC-17A	Medawachchiya	pd	37265	10132	25524	556	317	360	355	20	1
LK-4133	Nallur	dsd	37228	19080	16228	1328	340	64	136	36	16
LK-1327	Dodangoda	dsd	37050	8660	24846	1236	132	1578	576	10	12
EC-13B	Samanthurai	pd	36998	21869	3686	9923	579	465	375	98	3
LK-6233	Chilaw	dsd	36988	24160	8838	1564	628	660	966	164	8
LK-5203	Dehiattakandiya	dsd	36874	4408	29836	984	280	608	748	6	4
EC-02M	Kelaniya	pd	36692	2401	29061	3931	250	570	466	3	10
LK-9221	Ruwanwella	dsd	36580	10768	21374	1412	376	1476	1156	8	10
EC-21A	Eheliyagoda	pd	36540	3536	29816	1176	154	739	1111	7	1
LG-91039	Kuruvita PS	lg	36520	3356	29838	1035	158	971	1158	4	0
LK-3312	Hambantota	dsd	36518	18230	16468	1084	76	396	238	26	0
LK-45	Kilinochchi	district	36484	24402	7647	438	1179	1587	843	377	11
EC-10K	Kilinochchi	pd	36484	24402	7647	438	1179	1587	843	377	11
EC-07F	Baddegama	pd	36477	10722	23538	788	346	659	415	7	2
LK-9115	Imbulpe	dsd	36410	3676	27670	1222	168	1610	2046	16	2
LG-12011	Negombo MC	lg	36397	23551	8346	3992	218	161	124	5	0
LK-3209	Pasgoda	dsd	36278	17128	16164	1890	146	758	186	2	4
EC-20A	Bibile	pd	36270	16648	17583	736	215	714	360	13	1
EC-15M	Mawathagama	pd	36196	15181	17130	2339	401	641	492	8	4
LK-7154	Kekirawa	dsd	36164	6656	27372	1306	168	408	246	6	2
EC-15J	Dambadeniya	pd	36046	22329	10907	893	508	926	471	11	1
LK-8133	Bandarawela	dsd	35946	2548	24110	3926	602	4732	24	2	2
EC-02B	Negombo	pd	35897	23126	8308	3971	216	147	124	5	0
EC-15L	Kurunegala	pd	35896	14739	17482	2130	459	603	468	11	4
LK-2124	Medadumbara	dsd	35834	3900	21538	3422	1384	3648	1942	0	0
LK-6106	Galgamuwa	dsd	35716	16202	17336	796	250	688	418	24	2
EC-12C	Paddiruppu	pd	35695	28831	1880	2482	957	392	820	293	40
LK-8212	Siyambalanduwa	dsd	35568	17100	16476	598	98	778	504	12	2
EC-04M	Nawalapitiya	pd	35528	585	25642	2373	1208	4233	1479	8	0
EC-15G	Bingiriya	pd	35488	29475	3712	307	581	693	670	48	2
LK-3206	Kotapola	dsd	35468	9086	21096	1488	262	1754	1772	10	0
LK-2309	Walapane	dsd	35394	2146	19770	3104	1898	7308	1126	38	4
LK-7148	Thalawa	dsd	35256	9074	24620	536	192	304	504	26	0
LK-8224	Buttala	dsd	34976	12944	19560	882	60	932	584	12	2
LK-9227	Yatiyantota	dsd	34786	3692	23166	1296	658	3658	2294	20	2
LK-5212	Uhana	dsd	34652	5910	25278	596	260	1418	1170	18	2
LK-2157	Pasbagekorale	dsd	34544	496	25346	2148	1384	3670	1486	14	0
LK-8106	Rideemaliyadda	dsd	34502	13340	19614	478	200	838	14	14	4
EC-08B	Hakmana	pd	34439	18172	14066	1522	84	449	143	1	2
EC-05D	Rattota	pd	34432	1754	23034	3635	1225	2921	1852	5	6
EC-17G	Kekirawa	pd	34403	9210	23178	958	191	495	357	13	1
LK-44	Mullaitivu	district	34348	24866	5781	462	559	1712	639	289	40
EC-08C	Akuressa	pd	34291	17034	15290	1333	63	306	257	6	2
EC-11C	Mullaitivu	pd	34289	24815	5781	460	559	1706	639	289	40
EC-18A	Minneriya	pd	34188	5919	26170	788	189	611	499	9	3
EC-08G	Weligama	pd	34063	17486	13339	2646	60	278	247	5	2
LK-6181	Narammala	dsd	34052	22464	8894	938	514	742	490	10	0
LK-3154	Habaraduwa	dsd	33998	14734	17136	1538	70	318	192	6	4
EC-16D	Nattandiya	pd	33882	29531	2303	514	389	583	538	18	6
LG-62036	Nattandiya PS	lg	33882	29531	2303	514	389	583	538	18	6
LG-91035	Embilipitiya PS	lg	33843	18383	13444	1029	77	401	493	16	0
LG-62034	Kalpitiya PS	lg	33795	27563	2438	395	545	522	1167	1145	20
LG-13033	Beruwala PS	lg	33782	9885	21171	2231	51	232	202	6	4
EC-17B	Horowpothana	pd	33764	13072	19675	600	96	167	147	3	4
EC-21F	Nivithigala	pd	33760	5464	23139	1052	256	1995	1841	13	0
LK-3133	Ambalangoda	dsd	33596	6996	24584	1738	32	138	94	14	0
EC-01A	Colombo North	pd	33323	894	15862	15564	363	230	388	18	4
LK-9136	Nivithigala	dsd	33284	4512	23472	870	354	2746	1312	18	0
LK-2145	Pathahewaheta	dsd	33236	5196	21374	3658	1146	1274	582	2	4
LK-2303	Kothmale East	dsd	33224	274	18250	1722	3656	8358	936	20	8
LK-5136	Manmunai South & Eruvil Pattu	dsd	33144	27396	802	3242	646	324	582	124	28
LG-13032	Bandaragama PS	lg	33138	5213	25410	2089	155	114	151	2	4
LK-2306	Hanguranketa	dsd	33114	4032	22662	3016	1316	1698	364	22	4
EC-21C	Pelmadulla	pd	33047	4631	22052	1254	429	2792	1875	5	9
EC-22E	Mawanella	pd	33009	9189	17926	4616	401	410	462	0	5
LG-92036	Mawanella PS	lg	33009	9189	17926	4616	401	410	462	0	5
EC-07D	Bentara Elpitiya	pd	32971	10534	21081	732	69	195	358	2	0
LK-3330	Beliatta	dsd	32946	18950	12386	1142	46	278	140	4	0
LK-6157	Mallawapitiya	dsd	32864	14826	14676	2102	354	540	358	6	2
LK-6169	Kuliyapitiya East	dsd	32840	24836	5754	1072	328	600	236	14	0
LK-1310	Ingiriya	dsd	32764	5356	24968	936	600	410	474	18	2
EC-03D	Bulathsinhala	pd	32557	8928	20987	667	426	1048	491	6	4
EC-22A	Dedigama	pd	32191	16056	13196	1399	236	420	870	9	5
LG-92039	Warakapola PS	lg	32191	16056	13196	1399	236	420	870	9	5
EC-08F	Matara	pd	32080	13059	15365	3283	42	199	126	4	2
LK-42	Mannar	district	32005	27949	2392	424	226	390	279	326	19
EC-11A	Mannar	pd	32005	27949	2392	424	226	390	279	326	19
EC-14A	Seruvila	pd	31990	10976	18652	630	459	588	540	134	11
EC-04C	Pathadumbara	pd	31978	1210	21117	5077	1035	1770	1764	4	1
LK-2121	Minipe	dsd	31904	8212	21738	1136	262	552	2	2	0
LK-7139	Nochchiyagama	dsd	31886	12538	18218	438	226	226	222	16	2
EC-18B	Medirigiriya	pd	31874	6462	23733	789	156	439	275	20	0
LK-8215	Monaragala	dsd	31776	10770	16712	1212	438	1186	1446	6	6
LK-6175	Udubaddawa	dsd	31630	27122	2880	328	372	526	376	24	2
LK-1339	Walallawita	dsd	31618	11630	18638	442	84	254	560	10	0
EC-05C	Matale	pd	31430	3820	20722	4866	614	1014	388	3	3
LK-1318	Millaniya	dsd	31296	10056	19500	800	128	718	82	8	4
EC-04K	Udunuwara	pd	31284	2410	22401	4659	533	680	597	3	1
LG-21046	Udunuwara PS	lg	31284	2410	22401	4659	533	680	597	3	1
EC-15E	Wariyapola	pd	31245	19665	9209	740	492	532	582	23	2
LG-61047	Wariyapola PS	lg	31245	19665	9209	740	492	532	582	23	2
LK-2106	Poojapitiya	dsd	31220	2766	19688	6564	678	668	856	0	0
LK-2230	Rattota	dsd	31188	1434	20476	2050	1380	4038	1794	8	8
LK-2109	Akurana	dsd	31128	666	13894	14580	622	576	782	6	2
