region_id	region_name	region_name_in_data	region_ent_type	total	within_the_unit-exclusively_for_the_household	within_the_unit-sharing_with_another_household	outside_the_unit-exclusively_for_the_household	outside_the_unit-sharing_with_another_household	other-no_toilet_but_sharing_with_another_household	other-common_or_public_toilet	other-not_using_a_toilet
LK-1215	Minuwangoda	Minuwangoda	dsd	56770	43280	1269	10187	1504	510	8	12
LK-1218	Wattala	Wattala	dsd	49300	44810	984	2775	515	167	27	22
LK-1221	Ja-Ela	- - Ja-Ela	dsd	57689	50020	1761	4671	989	215	18	15
LK-1224	Gampaha	Gampaha	dsd	57859	49202	1026	6616	698	264	34	19
LK-1227	Attanagalla	Attanagalla	dsd	54449	41921	1230	9469	1293	440	81	15
LK-1230	Dompe	Dompe	dsd	47551	34906	881	10171	936	613	11	33
LK-1233	Mahara	Mahara	dsd	61767	52593	1342	6742	808	257	7	18
LK-1236	Kelaniya	Kelaniya	dsd	37231	32897	1375	1561	1003	168	214	13
LK-1239	Biyagama	Biyagama	dsd	59310	47904	2421	5453	3201	292	30	9
LK-13	Kalutara	Kalutara District	district	352963	267977	7699	66998	6474	3362	227	226
LK-1303	Panadura	Panadura	dsd	49763	45659	1040	2519	392	134	12	7
LK-1306	Bandaragama	Bandaragama	dsd	33568	28840	793	3343	427	150	1	14
LK-1309	Horana	Horana	dsd	37801	29878	703	6239	719	220	31	11
LK-1310	Ingiriya	Ingiriya	dsd	16490	10771	429	4683	437	161	2	7
LK-1312	Bulathsinhala	Bulathsinhala	dsd	18737	10402	324	7124	560	290	10	27
LK-1315	Madurawala	Madurawala	dsd	10428	7048	262	2616	290	192	1	19
LK-1318	Millaniya	Millaniya	dsd	15781	10423	391	4182	447	303	21	14
LK-1321	Kalutara	Kalutara	dsd	44332	36433	1006	5879	702	289	9	14
LK-1324	Beruwala	Beruwala	dsd	42471	33763	1027	6626	640	385	10	20
LK-1327	Dodangoda	Dodangoda	dsd	18667	13284	383	4278	439	231	40	12
LK-1330	Mathugama	Mathugama	dsd	23503	17833	546	4317	389	326	72	20
LK-1333	Agalawatta	Agalawatta	dsd	10502	6213	182	3743	205	139	15	5
LK-1336	Palindanuwara	Palindanuwara	dsd	14996	7413	376	6344	514	314	3	32
LK-1339	Walallavita	Walallavita	dsd	15924	10017	237	5105	313	228	0	24
LK-21	Kandy	Kandy District	district	397626	273024	11298	96783	10586	4687	965	283
LK-2103	Thumpane	Thumpane	dsd	10897	6664	167	3650	294	114	1	7
LK-2106	Pujapitiya	Pujapitiya	dsd	15815	10594	402	4339	335	128	6	11
LK-2109	Akurana	Akurana	dsd	16371	12472	1120	2292	336	138	6	7
LK-2112	Pathadumbara	Pathadumbara	dsd	25750	19492	849	4695	515	178	5	16
LK-2115	Panvila	Panvila	dsd	7442	3238	314	2880	448	425	121	16
LK-2118	Udadumbara	Udadumbara	dsd	6902	2523	156	3646	395	153	18	11
LK-2121	Minipe	Minipe	dsd	16159	4157	276	10169	1060	486	3	8
LK-2124	Medadumbara	Medadumbara	dsd	18449	8693	545	7657	842	662	16	34
LK-2127	Kundasale	Kundasale	dsd	40127	29725	1143	7953	973	284	37	12
LK-2130	Kandy Four Gravets & Gangawata Korale	Kandy Four Gravets Gangawata Korale	dsd	40324	35775	662	3006	375	143	350	13
LK-2133	Harispattuwa	Harispattuwa	dsd	26172	18787	498	6161	464	182	69	11
LK-2134	Hatharaliyadda	Hatharaliyadda	dsd	8717	4389	192	3780	198	109	45	4
LK-2136	Yatinuwara	Yatinuwara	dsd	31087	24654	711	4927	558	211	11	15
LK-2139	Udunuwara	Udunuwara	dsd	31878	25292	883	4924	547	210	7	15
LK-2142	Doluwa	Doluwa	dsd	14659	8585	642	4551	625	237	10	9
LK-2145	Pathahewaheta	Pathahewaheta	dsd	16971	8823	504	6702	702	217	4	19
LK-2148	Deltota	Delthota	dsd	8968	5014	283	2950	423	217	64	17
LK-2151	Udapalatha	Udapalatha	dsd	27629	20536	971	5196	642	241	18	25
LK-2154	Ganga Ihala Korale	Ganga Ihala Korale	dsd	15675	10714	329	3952	377	151	141	11
LK-2157	Pasbage Korale	Pasbage Korale	dsd	17634	12897	651	3353	477	201	33	22
LK-22	Matale	Matale District	district	151132	79981	4751	56055	7258	2661	229	197
LK-2203	Galewela	Galewela	dsd	22577	11898	845	8402	978	389	24	41
LK-2206	Dambulla	Dambulla	dsd	23187	11451	503	9652	1081	446	19	35
LK-2209	Naula	Naula	dsd	8979	5771	346	2397	312	140	0	13
LK-2212	Pallepola	Pallepola	dsd	9201	4586	216	3725	471	189	3	11
LK-2215	Yatawatta	Yatawatta	dsd	9050	4928	322	3280	359	127	25	9
LK-2218	Matale	Matale	dsd	22229	16159	652	4647	595	151	8	17
LK-2221	Ambanganga Korale	Ambanganga Korale	dsd	4732	1349	55	2871	285	119	45	8
LK-2224	Laggala-Pallegama	- - Laggala-Pallegama	dsd	5093	1148	207	3117	509	104	2	6
LK-2227	Wilgamuwa	Wilgamuwa	dsd	10043	3104	454	5414	691	365	3	12
LK-2230	Rattota	Rattota	dsd	15994	7087	493	6925	982	378	97	32
LK-2233	Ukuwela	Ukuwela	dsd	20047	12500	658	5625	995	253	3	13
LK-23	Nuwara Eliya	Nuwara Eliya District	district	200261	105560	10422	66814	10916	4947	691	911
LK-2303	Kothmale	Kothmale West	dsd	11632	5905	455	4494	554	192	11	21
LK-2303	Kothmale	Kothmale East	dsd	17473	7835	1015	6543	1316	643	39	82
LK-2306	Hanguranketha	Hanguranketha	dsd	16950	7288	498	7773	992	274	109	16
LK-2309	Walapane	Walapane	dsd	18241	7873	732	7706	1256	560	47	67
LK-2312	Nuwara Eliya	Nuwara Eliya	dsd	23014	16395	1027	4240	774	388	151	39
LK-2315	Ambagamuwa	Ambagamuwa	dsd	12791	6506	428	4881	644	296	9	27
LK-23XX	Mathurata	Mathurata	dsd	9768	5517	456	2884	509	303	65	34
LK-23XX	Nildandahinna	Nildandahinna	dsd	12587	5738	640	5177	759	240	7	26
LK-23XX	Thalawakele	Thalawakele	dsd	33685	19797	1846	9349	1609	745	143	196
LK-23XX	Norwood	Norwood	dsd	44120	22706	3325	13767	2503	1306	110	403
LK-31	Galle	Galle District	district	307704	195700	5650	92676	8267	4923	221	267
LK-3103	Bentota	Benthota	dsd	13749	9363	317	3533	330	191	2	13
LK-3106	Balapitiya	Balapitiya	dsd	18886	12899	324	4787	500	339	5	32
LK-3109	Karandeniya	Karandeniya	dsd	19870	11894	363	6593	503	476	3	38
LK-3112	Elpitiya	Elpitiya	dsd	19392	12901	339	5440	430	268	1	13
LK-3115	Niyagama	Niyagama	dsd	10359	5104	151	4754	201	139	2	8
LK-3118	Thawalama	Thawalama	dsd	9514	2593	143	6131	399	225	12	11
LK-3121	Neluwa	Neluwa	dsd	8454	2883	124	4941	300	195	7	4
LK-3124	Nagoda	Nagoda	dsd	15521	7155	276	7165	560	337	14	14
LK-3127	Baddegama	Baddegama	dsd	14330	9026	261	4417	379	226	13	8
LK-3130	Welivitiya-Divithura	-- Welivitiya-Divithura	dsd	8632	4259	81	3859	244	149	36	4
LK-3133	Ambalangoda	Ambalangoda	dsd	16924	11664	237	4380	478	156	2	7
LK-3134	Gonapeenuwala	Gonapeenuwala	dsd	6833	3855	120	2478	219	154	2	5
LK-3136	Hikkaduwa	Hikkaduwa	dsd	7543	4829	152	2067	349	139	2	5
LK-3139	Galle Four Gravets	Galle Four Gravets	dsd	26475	23466	451	2138	263	100	45	12
LK-3142	Bope-Poddala	- -Bope-Poddala	dsd	15528	13015	245	2036	159	61	4	8
LK-3145	Akmeemana	Akmeemana	dsd	23603	15781	496	6332	590	378	4	22
LK-3148	Yakkalamulla	Yakkalamulla	dsd	13407	8395	436	3859	429	238	39	11
LK-3151	Imaduwa	Imaduwa	dsd	13390	7763	196	4908	297	220	0	6
LK-3154	Habaraduwa	Habaraduwa	dsd	17263	11359	426	4522	677	257	3	19
LK-31XX	Wanduramba	Wanduramba	dsd	7997	4409	194	2877	325	168	19	5
LK-31XX	Madampagama	Madampagama	dsd	9205	6004	164	2529	276	217	5	10
LK-31XX	Rathgama	Rathgama	dsd	10829	7083	154	2930	359	290	1	12
LK-32	Matara	Matara District	district	231946	123692	4141	93038	7141	3649	138	147
LK-3203	Pitabeddara	Pitabeddara	dsd	14652	4330	239	8871	663	497	39	13
LK-3206	Kotapola	Kotapola	dsd	17933	7124	323	8977	1063	389	47	10
LK-3209	Pasgoda	Pasgoda	dsd	18253	5500	289	11370	675	396	10	13
LK-3212	Mulatiyana	Mulatiyana	dsd	14615	7601	307	6249	301	148	1	8
LK-3215	Athuraliya	Athuraliya	dsd	9066	3831	165	4555	271	231	9	4
LK-3218	Akuressa	Akuressa	dsd	15137	7271	315	6974	342	220	3	12
LK-3221	Welipitiya	Welipitiya	dsd	14990	8074	235	5900	501	269	1	10
LK-3224	Malimbada	Malimbada	dsd	10272	6652	139	3114	238	123	1	5
LK-3227	Kamburupitiya	Kamburupitiya	dsd	11943	6089	211	5188	308	143	0	4
LK-3230	Hakmana	Hakmana	dsd	9173	4343	104	4224	328	165	0	9
LK-3233	Kirinda Puhulwella	Kirinda Puhulwella	dsd	5814	3789	98	1755	112	59	0	1
LK-3236	Thihagoda	Thihagoda	dsd	9757	5502	232	3654	265	101	0	3
LK-3239	Weligama	Weligam	dsd	19525	12561	414	5597	659	264	10	20
LK-3242	Matara Four Gravets	Matara Four Gravets	dsd	32283	25234	508	5786	544	204	3	4
LK-3245	Devinuwara	Devinuwara	dsd	13351	6377	270	5948	540	193	7	16
LK-3248	Dickwella	Dickwella	dsd	15182	9414	292	4876	331	247	7	15
LK-33	Hambantota	Hambantota District	district	188638	95779	3616	79827	5709	3488	41	178
LK-3303	Sooriyawewa	Sooriyawewa	dsd	14431	6685	458	6525	470	280	2	11
LK-3306	Lunugamvehera	Lunugamwehera	dsd	10415	3991	203	5769	272	162	1	17
LK-3309	Thissamaharama	Thissamaharama	dsd	21026	11215	439	7759	1146	419	12	36
LK-3312	Hambantota	Hambantota	dsd	18308	8917	266	8398	393	300	16	18
LK-3315	Ambalantota	Ambalantota	dsd	22415	10899	392	10026	563	513	3	19
LK-3318	Angunakolapelessa	Angunakolapelessa	dsd	15432	6449	227	8001	437	305	0	13
LK-3321	Weeraketiya	Weeraketiya	dsd	13671	6746	305	6020	386	201	0	13
LK-3324	Katuwana	Katuwana	dsd	15160	6333	309	7422	645	440	2	9
LK-3325	Walasmulla	Walasmulla	dsd	13475	6232	196	6374	378	284	2	9
LK-3327	Okewela	Okewela	dsd	5687	3170	143	2150	140	81	1	2
LK-3330	Beliatta	Beliatta	dsd	16586	10774	223	4952	382	246	1	8
LK-3333	Tangalle	Tangalle	dsd	22032	14368	455	6431	497	257	1	23
LK-41	Jaffna	Jaffna District	district	159753	76413	3187	72253	3442	3797	158	503
LK-4103	Island North (Kayts)	Island North Kayts	dsd	2646	610	25	1811	66	116	0	18
LK-4104	Karainagar	Karainagar	dsd	2641	279	25	2242	15	76	0	4
LK-4106	Valikamam West (Chankanai)	Valikamam West Chankanai	dsd	11670	5997	135	4919	216	392	3	8
LK-4109	Valikamam South-West (Sandilipay)	Valikamam South-West Sandilipay	dsd	14196	6181	315	6881	379	425	6	9
LK-4112	Valikamam North (Tellipallai)	Valikamam North	dsd	12093	3809	118	7511	354	274	7	20
LK-4115	Valikamam South (Uduvil)	Valikamam South Uduvil	dsd	13268	4966	121	7576	323	228	29	25
LK-4118	Valikamam East (Kopay)	Valikamam East Kopay	dsd	19812	11620	458	6768	405	507	13	41
LK-4121	Vadamaradchi South-West (Karaveddy)	Vadamaradchy South-West Karaveddy	dsd	11394	5495	217	5019	277	345	8	33
LK-4124	Vadamaradchi East	Vadamaradchy East	dsd	4037	1644	23	2110	59	146	2	53
LK-4127	Vadamaradchi North (Point Pedro)	Vadamaradchy North Point Perdro	dsd	12358	5767	176	5876	197	257	47	38
LK-4130	Thenmaradchi (Chavakachcheri)	Thenmaradchy Chavakachcheri	dsd	19096	10830	406	7036	276	466	10	72
LK-4133	Nallur	Nallur	dsd	19063	11201	510	6886	315	129	4	18
LK-4136	Jaffna	Jaffna	dsd	12148	7071	555	3938	427	132	13	12
LK-4139	Island South (Velanai)	Island South Velanai	dsd	4434	896	97	2884	119	271	16	151
LK-4142	Delft	Delft	dsd	897	47	6	796	14	33	0	1
LK-42	Mannar	Mannar District	district	32330	13086	778	16862	604	694	16	290
LK-4203	Mannar Town	Mannar Town	dsd	14696	6192	309	7539	283	283	5	85
LK-4206	Manthai West	Manthai West	dsd	5109	2234	119	2403	89	170	3	91
LK-4209	Madhu	Madhu	dsd	2723	443	17	2057	73	69	0	64
LK-4212	Nanattan	Nanattan	dsd	5394	1690	194	3243	67	149	7	44
LK-4215	Musali	Musali	dsd	4408	2527	139	1620	92	23	1	6
LK-43	Vavuniya	Vavuniya District	district	48399	19706	1212	24550	1509	1118	17	287
LK-4303	Vavuniya North	Vavuniya North	dsd	4318	746	71	3126	141	170	4	60
LK-4306	Vavuniya South	Vavuniya South	dsd	4597	2265	195	1906	141	58	0	32
LK-4309	Vavuniya	Vavuniya	dsd	32363	14803	844	15005	945	666	11	89
LK-4312	Vengalacheddikulam	Vengalacheddikulam	dsd	7121	1892	102	4513	282	224	2	106
LK-44	Mullaitivu	Mullaitivu District	district	34786	14400	1298	17128	675	981	24	280
LK-4403	Thunukkai	Thunukkai	dsd	2860	614	55	1963	92	99	0	37
LK-4406	Manthai East	Manthai East	dsd	2182	482	23	1528	43	48	2	56
LK-4409	Puthukkudiyiruppu	Puthukudiyiruppu	dsd	10940	5143	729	4503	222	292	17	34
LK-4412	Oddusuddan	Oddusudan	dsd	5098	1893	256	2582	126	163	2	76
LK-4415	Maritimepattu	Maritimepattu	dsd	10478	5589	199	4190	144	304	3	49
LK-4418	Welioya	Welioya	dsd	3228	679	36	2362	48	75	0	28
LK-45	Kilinochchi	Kilinochchi District	district	36734	8589	649	24403	1256	1573	8	256
LK-4503	Pachchilaipalli	Pachchilaipalli	dsd	3872	673	72	2858	84	165	0	20
LK-4506	Kandavalai	Kandavalai	dsd	6929	1768	152	4397	210	336	0	66
LK-4509	Karachchi	Karachchi	dsd	19564	4743	293	12944	769	734	5	76
LK-4512	Poonakary	Poonakary	dsd	6369	1405	132	4204	193	338	3	94
LK-51	Batticaloa	Batticaloa District	district	170262	87403	4873	58101	6266	10307	66	3246
LK-5103	Koralai Pattu North (Vaharai)	Koralai Pattu North Vaharai	dsd	7882	3125	439	2362	363	1047	14	532
LK-5104	Koralai Pattu Central	Koralai Pattu Central	dsd	8590	6829	166	1270	170	146	3	6
LK-5106	Koralai Pattu  West (Oddamavadi)	Koralai Pattu West Oddamavadi	dsd	7223	5912	143	923	149	84	1	11
LK-5109	Koralai Pattu (Valachchenai)	Koralai Pattu Valachchenai	dsd	8379	3012	293	4054	261	678	1	80
LK-5110	Koralai Pattu South (Kiran)	Koralai Pattu South Kiran	dsd	8608	1923	290	4098	378	991	7	921
LK-5112	Eravur Pattu	Eravur Pattu	dsd	25780	9416	496	11841	1239	2246	14	528
LK-5115	Eravur Town	Eravur Town	dsd	7214	6097	177	750	92	96	1	1
LK-5118	Manmunai North	Manmunai North	dsd	26693	16417	561	7896	1286	448	4	81
LK-5121	Manmunai West	Manmunai West	dsd	9722	3150	708	3447	443	1348	5	621
LK-5124	Kattankudy	Kattankudy	dsd	13189	12395	477	216	53	38	2	8
LK-5127	Manmunai Pattu (Araipattai)	Manmunai Pattu Araipattai	dsd	10433	5839	249	3382	324	545	3	91
LK-5130	Manmunai South-West	Manmunai South-West	dsd	7767	1381	195	4932	319	727	3	210
LK-5133	Porativu Pattu	Poratheevu Pattu	dsd	11467	2762	183	6634	442	1317	4	125
LK-5136	Manmunai South & Eruvil pattu	Manmunai South Eruvil Pattu	dsd	17315	9145	496	6296	747	596	4	31
LK-52	Ampara	Ampara District	district	207007	128603	5416	60292	6066	5765	76	789
LK-5203	Dehiattakandiya	Dehiattakandiya	dsd	18627	7736	370	9459	763	278	4	17
LK-5206	Padiyathalawa	Padiyathalawa	dsd	6269	1855	81	3393	380	412	1	147
LK-5209	Mahaoya	Mahaoya	dsd	6978	2006	179	3864	290	433	1	205
LK-5212	Uhana	Uhana	dsd	17399	5920	304	9664	868	584	1	58
LK-5215	Ampara	Ampara	dsd	13241	6809	98	5474	412	411	13	24
LK-5216	Navithanveli	Navithanveli	dsd	6394	3000	173	2609	293	304	1	14
LK-5218	Samanthurai	Samanthurai	dsd	19719	16669	590	1663	341	429	7	20
LK-5221	Kalmunai Tamil Division	Kalmunai Tamil Division	dsd	8960	5872	241	2457	292	92	3	3
LK-5224	Kalmunai	Kalmunai	dsd	14065	12604	754	527	116	55	1	8
LK-5225	Sainthamaruthu	Sainthamarathu	dsd	8920	8113	658	88	26	30	1	4
LK-5227	Karaitheevu	Karaitheevu	dsd	5347	4654	170	414	31	73	3	2
LK-5230	Ninthavur	Ninthavur	dsd	8884	8033	327	346	90	75	0	13
LK-5233	Addalachchenai	Addalachchenai	dsd	13503	11285	450	1235	225	244	10	54
LK-5234	Irakkamam	Irakkamam	dsd	4674	3492	62	863	76	147	3	31
LK-5236	Akkaraipattu	Akkaraipattu	dsd	12300	11205	240	606	137	104	1	7
LK-5239	Alayadiwembu	Alayadiwembu	dsd	7104	2140	91	3926	379	546	1	21
LK-5242	Damana	Damana	dsd	11501	5288	142	5287	313	422	5	44
LK-5245	Thirukkovil	Thirukkovil	dsd	8369	3137	147	4339	196	525	1	24
LK-5248	Pothuvil	Pothuvil	dsd	11850	7133	297	3052	766	498	12	92
LK-5251	Lahugala	Lahugala	dsd	2903	1652	42	1026	72	103	7	1
LK-53	Trincomalee	Trincomalee District	district	121948	70392	4440	38521	4584	3426	132	453
LK-5303	Padavi Sri Pura	Padavisiripura	dsd	3439	1046	41	2173	127	40	1	11
LK-5306	Kuchchaveli	Kuchchaveli	dsd	11313	6668	754	2888	534	412	10	47
LK-5309	Gomarankadawala	Gomarankadawala	dsd	2467	546	56	1610	127	99	0	29
LK-5312	Morawewa	Morawewa	dsd	2752	938	43	1519	151	73	1	27
LK-5315	Trincomalee Town and Gravets	Trincomalee Town and Gravets	dsd	27668	17956	1129	7030	1046	417	37	53
LK-5318	Thambalagamuwa	Thambalagamuwa	dsd	9505	5408	429	3094	363	191	7	13
LK-5321	Kanthale	Kanthale	dsd	14499	6923	519	6040	747	235	5	30
LK-5324	Kinniya	Kinniya	dsd	22139	16886	719	3070	772	597	17	78
LK-5327	Muttur	Muttur	dsd	19502	11343	573	6167	494	769	50	106
LK-5330	Seruvila	Seruvila	dsd	4704	1396	89	2840	111	226	0	42
LK-5333	Verugal (Eachchilampattu)	Verugal Eachchilampattu	dsd	3960	1282	88	2090	112	367	4	17
LK-61	Kurunegala	Kurunegala District	district	511166	273343	10991	198128	20141	7344	287	932
LK-6103	Giribawa	Giribawa	dsd	10522	3994	342	5290	709	153	1	33
LK-6106	Galgamuwa	Galgamuwa	dsd	18036	8078	402	8104	989	364	1	98
LK-6109	Ehetuwewa	Ehetuwewa	dsd	8250	3172	147	4331	387	183	1	29
LK-6112	Ambanpola	Ambanpola	dsd	7875	3073	219	3875	547	133	2	26
LK-6115	Kotavehera	Kotavehera	dsd	7015	1766	107	4514	403	167	1	57
LK-6118	Rasnayakapura	Rasnayakapura	dsd	7288	3038	168	3492	417	138	0	35
LK-6121	Nikaweratiya	Nikaweratiya	dsd	12902	7130	423	4571	514	214	1	49
LK-6124	Maho	Maho	dsd	19116	8579	534	8913	718	316	2	54
LK-6127	Polpithigama	Polpithigama	dsd	25632	9933	714	12981	1399	526	6	73
LK-6130	Ibbagamuwa	Ibbagamuwa	dsd	26951	15250	579	9687	1040	316	33	46
LK-6133	Ganewatta	Ganewatta	dsd	13001	6740	410	5129	483	216	1	22
LK-6136	Wariyapola	Wariyapola	dsd	19732	8859	322	9450	801	236	32	32
LK-6139	Kobeigane	Kobeigane	dsd	11781	5336	236	5506	567	121	0	15
LK-6142	Bingiriya	Bingiriya	dsd	19719	8379	333	9255	1184	528	3	37
LK-6145	Panduwasnuwara West	Panduwasnuwara West	dsd	20301	7391	304	11329	950	294	7	26
LK-6148	Panduwasnuwara East	Panduwasnuwara East	dsd	9431	4254	142	4449	385	172	2	27
LK-6149	Bamunakotuwa	Bamunakotuwa	dsd	11706	8099	226	3004	254	104	2	17
LK-6151	Maspotha	Maspotha	dsd	12160	8713	212	2831	312	78	5	9
LK-6154	Kurunegala	Kurunegala	dsd	24041	19386	706	3332	396	140	50	31
LK-6157	Mallawapitiya	Mallawapitiya	dsd	16688	11104	435	4562	419	155	7	6
LK-6160	Mawathagama	Mawathagama	dsd	19952	12606	440	6088	598	198	3	19
LK-6163	Rideegama	Rideegama	dsd	27230	16015	665	9325	792	354	42	37
LK-6166	Weerambugedara	Weerambugedara	dsd	10844	7101	233	3173	205	113	2	17
LK-6169	Kuliyapitiya East	Kuliyapitiya East	dsd	16540	9002	336	6363	607	204	4	24
LK-6172	Kuliyapitiya West	Kuliyapitiya West	dsd	24195	11094	261	11121	1182	491	27	19
LK-6175	Udubaddawa	Udubaddawa	dsd	15885	10427	376	4406	441	219	6	10
LK-6178	Pannala	Pannala	dsd	39034	21846	705	14419	1493	532	4	35
LK-6181	Narammala	Narammala	dsd	17076	8551	227	7273	727	286	2	10
LK-6184	Alawwa	Alawwa	dsd	19107	10579	400	7144	716	239	0	29
LK-6187	Polgahawela	Polgahawela	dsd	19156	13848	387	4211	506	154	40	10
LK-62	Puttalam	Puttalam District	district	234027	134618	6488	79848	7735	3957	357	1024
LK-6203	Kalpitiya	Kalpitiya	dsd	24668	13891	1043	7936	896	457	161	284
LK-6206	Vanathawilluwa	Vanathawilluwa	dsd	5910	2742	227	2427	202	193	3	116
LK-6209	Karuwalagaswewa	Karuwalagaswewa	dsd	8024	3366	182	3895	330	149	2	100
LK-6212	Nawagattegama	Nawagattegama	dsd	5301	1260	112	3511	258	107	0	53
LK-6215	Puttalam	Puttalam	dsd	24122	15780	768	6610	496	368	31	69
LK-6218	Mundel	Mundel	dsd	19115	10621	799	6539	620	472	6	58
LK-6221	Mahakumbukkadawala	Mahakumbukkadawala	dsd	6644	2021	163	3857	268	275	0	60
LK-6224	Anamaduwa	Anamaduwa	dsd	12975	7502	377	4347	367	267	3	112
LK-6227	Pallama	Pallama	dsd	8296	4372	131	3149	337	246	13	48
LK-6230	Arachchikattuwa	Arachchikattuwa	dsd	12708	5723	184	6029	536	196	5	35
LK-6233	Chilaw	Chilaw	dsd	18730	11193	585	5955	708	239	14	36
LK-6236	Madampe	Madampe	dsd	14719	8023	363	5386	671	237	26	13
LK-6239	Mahawewa	Mahawewa	dsd	14718	8801	254	5034	477	136	5	11
LK-6242	Nattandiya	Nattandiya	dsd	19335	13054	358	5407	323	158	26	9
LK-6245	Wennappuwa	Wennappuwa	dsd	19939	13588	428	5098	591	183	43	8
LK-6248	Dankotuwa	Dankotuwa	dsd	18823	12681	514	4668	655	274	19	12
LK-71	Anuradhapura	Anuradhapura District	district	275084	132293	7742	114204	14175	5749	120	801
LK-7103	Padaviya	Padaviya	dsd	7211	2234	125	4339	342	119	2	50
LK-7106	Kebithigollewa	Kebithigollewa	dsd	7702	4349	262	2617	242	192	4	36
LK-7109	Medawachchiya	Medawachchiya	dsd	15346	6948	647	6071	1087	492	3	98
LK-7112	Mahawilachchiya	Mahawilachchiya	dsd	7134	3491	257	2747	389	218	1	31
LK-7115	Nuwaragam Palatha Central	Nuwaragam Palatha Central	dsd	20154	11554	534	6922	796	304	1	43
LK-7118	Rambewa	Rambewa	dsd	11600	3770	328	6051	1009	382	1	59
LK-7121	Kahatagasdigiliya	Kahatagasdigiliya	dsd	12872	6341	564	4627	924	348	12	56
LK-7124	Horowpothana	Horowpothana	dsd	11339	4471	279	5426	741	368	6	48
LK-7127	Galenbindunuwewa	Galenbindunuwewa	dsd	14458	4539	211	8790	641	266	1	10
LK-7130	Mihinthale	Mihinthale	dsd	11525	6067	274	4415	427	241	60	41
LK-7133	Nuwaragam Palatha East	Nuwaragam Palatha East	dsd	21502	16213	424	4400	346	105	6	8
LK-7136	Nachchaduwa	Nachchaduwa	dsd	8275	4842	309	2704	295	107	2	16
LK-7139	Nochchiyagama	Nochchiyagama	dsd	16092	7123	452	7382	798	274	2	61
LK-7142	Rajanganaya	Rajanganaya	dsd	10734	3945	220	5711	621	222	1	14
LK-7145	Thambuttegama	Thambuttegama	dsd	13432	6754	493	5189	700	283	2	11
LK-7148	Thalawa	Thalawa	dsd	17953	9066	556	7020	1019	257	5	30
LK-7151	Thirappane	Thirappane	dsd	9054	3560	223	4178	673	376	2	42
LK-7154	Kekirawa	Kekirawa	dsd	18302	10610	497	6061	799	301	3	31
LK-7157	Palugaswewa	Palugaswewa	dsd	5239	2180	139	2393	332	164	2	29
LK-7160	Ipalogama	Ipalogama	dsd	12501	6255	307	5129	574	210	1	25
LK-7163	Galnewa	Galnewa	dsd	11490	4116	227	6177	721	222	3	24
LK-7166	Palagala	Palagala	dsd	11169	3865	414	5855	699	298	0	38
LK-72	Polonnaruwa	Polonnaruwa District	district	127385	61686	2557	55916	4724	2120	34	348
LK-7203	Hingurakgoda	Hingurakgoda	dsd	20319	9290	280	9400	952	354	3	40
LK-7206	Medirigiriya	Medirigiriya	dsd	20599	10600	563	8324	817	259	3	33
LK-7209	Lankapura	Lankapura	dsd	11449	6611	250	3993	399	180	3	13
LK-7210	Welikanda	Welikanda	dsd	11051	3116	177	7106	300	212	3	137
LK-7212	Dimbulagala	Dimbulagala	dsd	24354	11361	490	11394	595	403	18	93
LK-7215	Thamankaduwa	Thamankaduwa	dsd	25391	15629	517	7944	904	384	3	10
