region_id	region_name	region_name_in_data	region_ent_type	total	within_the_unit-exclusively_for_the_household	within_the_unit-sharing_with_another_household	outside_the_unit-exclusively_for_the_household	outside_the_unit-sharing_with_another_household	other-no_toilet_but_sharing_with_another_household	other-common_or_public_toilet	other-not_using_a_toilet
LK	Sri Lanka	Sri Lanka	country	6111315	3798777	157346	1832587	197678	101924	9677	13326
LK-11	Colombo	Colombo District	district	661822	599062	13455	35126	7064	2390	4518	207
LK-1103	Colombo	Colombo	dsd	72479	67719	946	600	314	288	2575	37
LK-1106	Kolonnawa	Kolonnawa	dsd	56756	52999	1081	1445	430	227	556	18
LK-1109	Kaduwela	Kaduwela	dsd	80373	73872	1470	3857	920	215	11	28
LK-1112	Homagama	Homagama	dsd	80298	69809	2119	7174	1023	144	6	23
LK-1115	Seethawaka	Seethawaka	dsd	34798	23114	1395	8818	1082	360	18	11
LK-1118	Padukka	Padukka	dsd	20880	15014	366	4920	421	149	4	6
LK-1121	Maharagama	Maharagama	dsd	57114	53666	1241	1437	633	122	6	9
LK-1124	Sri Jayawardanapura Kotte	Sri Jayawardanapura Kotte	dsd	28243	27186	400	227	143	208	72	7
LK-1127	Thimbirigasyaya	Thimbirigasyaya	dsd	58681	56500	670	242	127	112	1015	15
LK-1130	Dehiwala	Dehiwala	dsd	25565	25038	230	137	66	24	66	4
LK-1131	Ratmalana	Ratmalana	dsd	25358	24340	429	262	150	86	72	19
LK-1133	Moratuwa	Moratuwa	dsd	44872	39713	1394	2447	954	246	102	16
LK-1136	Kesbewa	Kesbewa	dsd	76405	70092	1714	3560	801	209	15	14
LK-12	Gampaha	Gampaha District	district	688635	535542	18369	104375	24006	5395	699	249
LK-1203	Negombo	Negombo	dsd	36300	30558	639	4518	410	146	14	15
LK-1206	Katana	Katana	dsd	75514	46752	3668	14080	9773	1031	184	26
LK-1209	Divulapitiya	Divulapitiya	dsd	45072	27241	684	14722	1599	738	63	25
LK-1212	Mirigama	Mirigama	dsd	49823	33458	1089	13410	1277	554	8	27
