region_id	region_name	region_name_in_data	region_ent_type	total	single_house_single_storeyed	single_house_two_storeyed	single_house_more_than_two_storeyed	attached_house_1st_floor	attached_house_2nd_floor	attached_house_3rd_or_4th_floor	attached_house_5th_to_10th_floor	attached_house_11th_to_19th_floor	attached_house_from_20th_floor_or_more	other
LK	Sri Lanka	Sri Lanka	country	6030541	4958008	751375	59484	164419	50030	25373	12854	6031	1756	1211
LK-11	Colombo	Colombo District	district	654051	355982	185828	24207	27406	24275	16529	11907	5994	1756	167
LK-1103	Colombo	Colombo	dsd	71142	25169	16686	4070	7029	5779	4710	3951	3082	639	27
LK-1106	Kolonnawa	Kolonnawa	dsd	56100	28973	18317	2107	2548	2190	804	483	612	2	64
LK-1109	Kaduwela	Kaduwela	dsd	79742	47189	25773	2334	1963	1474	461	217	125	203	3
LK-1112	Homagama	Homagama	dsd	79737	55581	19739	1089	1327	1342	611	14	2	3	29
LK-1115	Seethawaka	Seethawaka	dsd	34414	27639	5257	288	919	268	34	3	0	2	4
LK-1118	Padukka	Padukka	dsd	20691	17571	2645	114	290	56	10	0	1	2	2
LK-1121	Maharagama	Maharagama	dsd	56550	27298	21445	2617	2283	2131	573	185	4	5	9
LK-1124	Sri Jayawardanapura Kotte	Sri Jayawardanapura Kotte	dsd	27833	11585	11878	2078	568	685	357	346	148	185	3
LK-1127	Thimbirigasyaya	Thimbirigasyaya	dsd	58102	22014	13561	3236	3145	3371	4898	5236	1931	700	10
LK-1130	Dehiwala	Dehiwala	dsd	25382	9014	8660	1968	1665	1711	1372	930	57	1	4
LK-1131	Ratmalana	Ratmalana	dsd	25005	12272	8066	1427	1160	1295	662	119	4	0	0
LK-1133	Moratuwa	Moratuwa	dsd	43985	26783	11491	1016	1481	1251	1577	351	26	4	5
LK-1136	Kesbewa	Kesbewa	dsd	75368	44894	22310	1863	3028	2722	460	72	2	10	7
LK-12	Gampaha	Gampaha District	district	683025	534645	123034	6482	10860	5848	1802	296	0	0	58
LK-1203	Negombo	Negombo	dsd	35897	28345	6369	285	353	223	322	0	0	0	0
LK-1206	Katana	Katana	dsd	74870	57804	10850	435	4100	1421	249	8	0	0	3
LK-1209	Divulapitiya	Divulapitiya	dsd	44830	41263	3266	53	167	60	13	0	0	0	8
LK-1212	Mirigama	Mirigama	dsd	49540	43440	5786	160	90	53	7	1	0	0	3
LK-1215	Minuwangoda	Minuwangoda	dsd	56287	47809	7688	150	421	155	56	4	0	0	4
LK-1218	Wattala	Wattala	dsd	48787	34583	11523	977	705	566	325	96	0	0	12
LK-1221	Ja-Ela	- - Ja-Ela	dsd	57159	43283	12275	564	510	372	130	22	0	0	3
LK-1224	Gampaha	Gampaha	dsd	57568	42694	12933	580	797	336	123	102	0	0	3
LK-1227	Attanagalla	Attanagalla	dsd	54037	44352	8797	275	265	287	58	1	0	0	2
LK-1230	Dompe	Dompe	dsd	47297	41593	5263	152	162	98	25	2	0	0	2
LK-1233	Mahara	Mahara	dsd	61376	45637	13798	775	515	519	119	9	0	0	4
LK-1236	Kelaniya	Kelaniya	dsd	36692	22918	10515	1157	1148	739	162	43	0	0	10
LK-1239	Biyagama	Biyagama	dsd	58685	40924	13971	927	1627	1019	213	8	0	0	4
LK-13	Kalutara	Kalutara District	district	349430	286667	51470	2033	6361	2341	444	69	0	0	45
LK-1303	Panadura	Panadura	dsd	49198	35332	11711	514	761	699	166	6	0	0	9
LK-1306	Bandaragama	Bandaragama	dsd	33138	26423	5959	209	244	283	15	1	0	0	4
LK-1309	Horana	Horana	dsd	37489	30816	5841	273	338	152	46	19	0	0	4
LK-1310	Ingiriya	Ingiriya	dsd	16382	14342	1605	78	298	47	10	1	0	0	1
LK-1312	Bulathsinhala	Bulathsinhala	dsd	18669	16369	1325	27	907	32	6	0	0	0	3
LK-1315	Madurawala	Madurawala	dsd	10362	8594	1383	30	325	19	10	0	0	0	1
LK-1318	Millaniya	Millaniya	dsd	15648	14325	1224	32	51	14	0	0	0	0	2
LK-1321	Kalutara	Kalutara	dsd	43722	34561	7722	372	403	502	128	28	0	0	6
LK-1324	Beruwala	Beruwala	dsd	41819	34520	5901	275	651	423	42	2	0	0	5
LK-1327	Dodangoda	Dodangoda	dsd	18525	14883	2434	58	1090	40	7	7	0	0	6
LK-1330	Mathugama	Mathugama	dsd	23326	19413	3019	97	734	54	6	1	0	0	2
LK-1333	Agalawatta	Agalawatta	dsd	10425	9095	1156	25	123	23	2	0	0	0	1
LK-1336	Palindanuwara	Palindanuwara	dsd	14918	13392	1100	22	365	30	4	4	0	0	1
LK-1339	Walallavita	Walallavita	dsd	15809	14602	1090	21	71	23	2	0	0	0	0
LK-21	Kandy	Kandy District	district	389826	291819	68443	8761	14534	4520	1237	458	23	0	31
LK-2103	Thumpane	Thumpane	dsd	10774	8963	1548	119	84	47	11	0	0	0	2
LK-2106	Pujapitiya	Pujapitiya	dsd	15610	12154	2909	290	187	45	16	9	0	0	0
LK-2109	Akurana	Akurana	dsd	15564	9709	3766	766	612	576	125	9	0	0	1
LK-2112	Pathadumbara	Pathadumbara	dsd	25283	18733	4648	549	589	604	157	2	0	0	1
LK-2115	Panvila	Panvila	dsd	7203	4758	390	39	1981	29	6	0	0	0	0
LK-2118	Udadumbara	Udadumbara	dsd	6720	6196	283	31	187	18	5	0	0	0	0
LK-2121	Minipe	Minipe	dsd	15952	15296	590	16	37	12	1	0	0	0	0
LK-2124	Medadumbara	Medadumbara	dsd	17917	14267	1948	184	1416	74	22	6	0	0	0
LK-2127	Kundasale	Kundasale	dsd	39297	29511	8118	708	533	332	44	46	0	0	5
LK-2130	Kandy Four Gravets & Gangawata Korale	Kandy Four Gravets Gangawata Korale	dsd	39803	21567	11506	2677	1968	1492	465	102	23	0	3
LK-2133	Harispattuwa	Harispattuwa	dsd	25869	18966	5386	610	506	322	71	0	0	0	8
LK-2134	Hatharaliyadda	Hatharaliyadda	dsd	8636	7631	917	38	49	1	0	0	0	0	0
LK-2136	Yatinuwara	Yatinuwara	dsd	30659	22086	7320	911	179	125	27	9	0	0	2
LK-2139	Udunuwara	Udunuwara	dsd	31284	23391	6628	654	324	226	38	22	0	0	1
LK-2142	Doluwa	Doluwa	dsd	14236	12000	1452	131	600	27	26	0	0	0	0
LK-2145	Pathahewaheta	Pathahewaheta	dsd	16618	14161	2078	165	159	34	19	0	0	0	2
LK-2148	Deltota	Delthota	dsd	8725	6798	719	101	1050	49	7	0	0	0	1
LK-2151	Udapalatha	Udapalatha	dsd	26879	19929	4801	519	1080	235	90	220	0	0	5
LK-2154	Ganga Ihala Korale	Ganga Ihala Korale	dsd	15525	13077	1585	55	798	7	3	0	0	0	0
LK-2157	Pasbage Korale	Pasbage Korale	dsd	17272	12626	1851	198	2195	265	104	33	0	0	0
LK-22	Matale	Matale District	district	148184	128107	13811	594	4629	909	116	6	0	0	12
LK-2203	Galewela	Galewela	dsd	22154	20595	1477	24	44	10	2	1	0	0	1
LK-2206	Dambulla	Dambulla	dsd	22894	21083	1678	38	75	17	2	0	0	0	1
LK-2209	Naula	Naula	dsd	8834	8112	688	10	12	10	1	1	0	0	0
LK-2212	Pallepola	Pallepola	dsd	9069	8169	717	12	143	21	7	0	0	0	0
LK-2215	Yatawatta	Yatawatta	dsd	8886	7900	649	24	302	11	0	0	0	0	0
LK-2218	Matale	Matale	dsd	21828	16032	4104	278	762	558	87	4	0	0	3
LK-2221	Ambanganga Korale	Ambanganga Korale	dsd	4682	4125	258	9	290	0	0	0	0	0	0
