region_id	region_name	region_name_in_data	region_ent_type	total	single_house_single_storeyed	single_house_two_storeyed	single_house_more_than_two_storeyed	attached_house_1st_floor	attached_house_2nd_floor	attached_house_3rd_or_4th_floor	attached_house_5th_to_10th_floor	attached_house_11th_to_19th_floor	attached_house_from_20th_floor_or_more	other
LK-2224	Laggala-Pallegama	- - Laggala-Pallegama	dsd	4876	4656	178	3	34	3	1	0	0	0	1
LK-2227	Wilgamuwa	Wilgamuwa	dsd	9813	9576	226	2	7	2	0	0	0	0	0
LK-2230	Rattota	Rattota	dsd	15594	12616	1241	59	1604	66	4	0	0	0	4
LK-2233	Ukuwela	Ukuwela	dsd	19554	15243	2595	135	1356	211	12	0	0	0	2
LK-23	Nuwara Eliya	Nuwara Eliya District	district	192915	119904	12981	2399	51345	3720	2513	6	0	0	47
LK-2303	Kothmale	Kothmale West	dsd	11360	9306	834	69	1118	31	0	0	0	0	2
LK-2303	Kothmale	Kothmale East	dsd	16612	10628	953	190	4555	162	120	0	0	0	4
LK-2306	Hanguranketha	Hanguranketha	dsd	16557	13829	1512	187	996	26	5	0	0	0	2
LK-2309	Walapane	Walapane	dsd	17697	12991	1170	189	3096	162	87	0	0	0	2
LK-2312	Nuwara Eliya	Nuwara Eliya	dsd	22302	14492	1985	320	4951	281	261	6	0	0	6
LK-2315	Ambagamuwa	Ambagamuwa	dsd	12515	9693	1157	130	1338	190	7	0	0	0	0
LK-23XX	Mathurata	Mathurata	dsd	9375	7901	795	84	540	39	16	0	0	0	0
LK-23XX	Nildandahinna	Nildandahinna	dsd	12232	10509	581	47	1071	21	1	0	0	0	2
LK-23XX	Thalawakele	Thalawakele	dsd	32304	14389	1562	317	14400	1015	607	0	0	0	14
LK-23XX	Norwood	Norwood	dsd	41961	16166	2432	866	19280	1793	1409	0	0	0	15
LK-31	Galle	Galle District	district	305379	254574	43339	2545	2916	1545	366	60	14	0	20
LK-3103	Bentota	Benthota	dsd	13661	12232	1369	37	8	12	3	0	0	0	0
LK-3106	Balapitiya	Balapitiya	dsd	18692	16120	2431	78	37	22	3	1	0	0	0
LK-3109	Karandeniya	Karandeniya	dsd	19823	17268	2447	74	20	9	1	1	0	0	3
LK-3112	Elpitiya	Elpitiya	dsd	19310	16617	2335	108	233	16	1	0	0	0	0
LK-3115	Niyagama	Niyagama	dsd	10330	9485	788	25	26	5	0	0	0	0	1
LK-3118	Thawalama	Thawalama	dsd	9468	8623	655	39	117	29	5	0	0	0	0
LK-3121	Neluwa	Neluwa	dsd	8429	7636	701	56	28	5	3	0	0	0	0
LK-3124	Nagoda	Nagoda	dsd	15445	13430	1543	97	363	10	2	0	0	0	0
LK-3127	Baddegama	Baddegama	dsd	14223	12366	1770	46	21	16	3	0	0	0	1
LK-3130	Welivitiya-Divithura	-- Welivitiya-Divithura	dsd	8597	7530	883	22	157	5	0	0	0	0	0
LK-3133	Ambalangoda	Ambalangoda	dsd	16798	12869	3588	221	54	55	11	0	0	0	0
LK-3134	Gonapeenuwala	Gonapeenuwala	dsd	6749	5692	965	45	21	24	2	0	0	0	0
LK-3136	Hikkaduwa	Hikkaduwa	dsd	7386	5786	1411	87	64	33	5	0	0	0	0
LK-3139	Galle Four Gravets	Galle Four Gravets	dsd	26173	16620	6628	618	1147	908	192	54	0	0	6
LK-3142	Bope-Poddala	--Bope-Poddala	dsd	15444	10440	4164	373	226	189	49	1	0	0	2
LK-3145	Akmeemana	Akmeemana	dsd	23381	18861	4048	278	95	67	14	2	14	0	2
LK-3148	Yakkalamulla	Yakkalamulla	dsd	13328	11987	1172	61	99	6	2	0	0	0	1
LK-3151	Imaduwa	Imaduwa	dsd	13341	11874	1368	51	31	14	1	0	0	0	2
LK-3154	Habaraduwa	Habaraduwa	dsd	16999	14668	2132	125	32	24	16	0	0	0	2
LK-31XX	Wanduramba	Wanduramba	dsd	7908	7029	726	30	108	12	2	1	0	0	0
LK-31XX	Madampagama	Madampagama	dsd	9143	8058	919	17	18	80	51	0	0	0	0
LK-31XX	Rathgama	Rathgama	dsd	10751	9383	1296	57	11	4	0	0	0	0	0
LK-32	Matara	Matara District	district	230034	190760	31234	2172	3904	1597	352	0	0	0	15
LK-3203	Pitabeddara	Pitabeddara	dsd	14606	12683	1248	94	483	87	11	0	0	0	0
LK-3206	Kotapola	Kotapola	dsd	17734	14464	1772	146	1296	42	14	0	0	0	0
LK-3209	Pasgoda	Pasgoda	dsd	18139	15975	1603	131	345	73	10	0	0	0	2
LK-3212	Mulatiyana	Mulatiyana	dsd	14550	12768	1563	134	35	40	10	0	0	0	0
LK-3215	Athuraliya	Athuraliya	dsd	9020	7913	883	35	140	42	7	0	0	0	0
LK-3218	Akuressa	Akuressa	dsd	15065	13411	1391	95	112	45	10	0	0	0	1
LK-3221	Welipitiya	Welipitiya	dsd	14800	13266	1391	51	62	28	2	0	0	0	0
LK-3224	Malimbada	Malimbada	dsd	10206	8645	1414	74	26	33	13	0	0	0	1
LK-3227	Kamburupitiya	Kamburupitiya	dsd	11827	10109	1514	86	50	50	16	0	0	0	2
LK-3230	Hakmana	Hakmana	dsd	9127	7942	1098	46	23	16	2	0	0	0	0
LK-3233	Kirinda Puhulwella	Kirinda Puhulwella	dsd	5778	5136	602	33	5	2	0	0	0	0	0
LK-3236	Thihagoda	Thihagoda	dsd	9668	7978	1474	41	80	75	17	0	0	0	3
LK-3239	Weligama	Weligam	dsd	19263	15587	2937	154	351	217	15	0	0	0	2
LK-3242	Matara Four Gravets	Matara Four Gravets	dsd	32080	20326	9203	879	732	721	217	0	0	0	2
LK-3245	Devinuwara	Devinuwara	dsd	13098	11456	1342	71	144	81	3	0	0	0	1
LK-3248	Dickwella	Dickwella	dsd	15073	13101	1799	102	20	45	5	0	0	0	1
LK-33	Hambantota	Hambantota District	district	187558	170180	16473	600	139	129	30	0	0	0	7
LK-3303	Sooriyawewa	Sooriyawewa	dsd	14365	13339	961	39	11	10	3	0	0	0	2
LK-3306	Lunugamvehera	Lunugamwehera	dsd	10381	9893	466	7	7	7	1	0	0	0	0
LK-3309	Thissamaharama	Thissamaharama	dsd	20935	19168	1660	70	20	15	2	0	0	0	0
LK-3312	Hambantota	Hambantota	dsd	18259	16945	1251	44	11	6	2	0	0	0	0
LK-3315	Ambalantota	Ambalantota	dsd	22250	20345	1790	61	23	26	5	0	0	0	0
LK-3318	Angunakolapelessa	Angunakolapelessa	dsd	15372	14305	1008	43	12	3	0	0	0	0	1
LK-3321	Weeraketiya	Weeraketiya	dsd	13610	12248	1314	37	5	4	2	0	0	0	0
LK-3324	Katuwana	Katuwana	dsd	15091	13970	1038	56	9	13	4	0	0	0	1
LK-3325	Walasmulla	Walasmulla	dsd	13427	11951	1396	46	13	16	4	0	0	0	1
LK-3327	Okewela	Okewela	dsd	5664	4998	641	17	6	2	0	0	0	0	0
LK-3330	Beliatta	Beliatta	dsd	16473	14040	2339	80	6	8	0	0	0	0	0
LK-3333	Tangalle	Tangalle	dsd	21731	18978	2609	100	16	19	7	0	0	0	2
LK-41	Jaffna	Jaffna District	district	156797	147174	8637	406	215	175	76	5	0	0	109
LK-4103	Island North (Kayts)	Island North Kayts	dsd	2633	2602	30	1	0	0	0	0	0	0	0
LK-4104	Karainagar	Karainagar	dsd	2630	2608	21	0	0	0	0	0	0	0	1
LK-4106	Valikamam West (Chankanai)	Valikamam West Chankanai	dsd	11568	11282	264	6	3	3	1	0	0	0	9
LK-4109	Valikamam South-West (Sandilipay)	Valikamam South-West Sandilipay	dsd	13821	13091	678	18	12	7	4	1	0	0	10
LK-4112	Valikamam North (Tellipallai)	Valikamam North	dsd	11932	11540	367	9	1	1	1	0	0	0	13
LK-4115	Valikamam South (Uduvil)	Valikamam South Uduvil	dsd	13108	12412	665	14	10	4	0	0	0	0	3
LK-4118	Valikamam East (Kopay)	Valikamam East Kopay	dsd	19402	18579	753	19	8	5	1	0	0	0	37
LK-4121	Vadamaradchi South-West (Karaveddy)	Vadamaradchy South-West Karaveddy	dsd	11195	10553	500	127	3	6	2	1	0	0	3
LK-4124	Vadamaradchi East	Vadamaradchy East	dsd	3950	3880	57	0	0	0	1	0	0	0	12
LK-4127	Vadamaradchi North (Point Pedro)	Vadamaradchy North Point Perdro	dsd	12253	11731	491	5	18	3	1	0	0	0	4
LK-4130	Thenmaradchi (Chavakachcheri)	Thenmaradchy Chavakachcheri	dsd	18897	18308	556	19	7	3	1	0	0	0	3
LK-4133	Nallur	Nallur	dsd	18614	15788	2673	101	19	21	3	1	0	0	8
LK-4136	Jaffna	Jaffna	dsd	11522	9588	1525	85	133	122	61	2	0	0	6
LK-4139	Island South (Velanai)	Island South Velanai	dsd	4379	4328	49	1	1	0	0	0	0	0	0
LK-4142	Delft	Delft	dsd	893	884	8	1	0	0	0	0	0	0	0
LK-42	Mannar	Mannar District	district	32005	30553	1309	51	21	28	24	0	0	0	19
LK-4203	Mannar Town	Mannar Town	dsd	14549	13552	874	46	17	28	24	0	0	0	8
LK-4206	Manthai West	Manthai West	dsd	5071	4987	83	1	0	0	0	0	0	0	0
LK-4209	Madhu	Madhu	dsd	2702	2671	31	0	0	0	0	0	0	0	0
LK-4212	Nanattan	Nanattan	dsd	5337	5094	225	3	4	0	0	0	0	0	11
LK-4215	Musali	Musali	dsd	4346	4249	96	1	0	0	0	0	0	0	0
LK-43	Vavuniya	Vavuniya District	district	47825	45145	2219	113	218	117	9	0	0	0	4
LK-4303	Vavuniya North	Vavuniya North	dsd	4284	4240	42	0	2	0	0	0	0	0	0
LK-4306	Vavuniya South	Vavuniya South	dsd	4488	4380	95	3	8	1	0	0	0	0	1
LK-4309	Vavuniya	Vavuniya	dsd	32007	29560	2004	108	207	116	9	0	0	0	3
LK-4312	Vengalacheddikulam	Vengalacheddikulam	dsd	7046	6965	78	2	1	0	0	0	0	0	0
LK-44	Mullaitivu	Mullaitivu District	district	34348	33729	559	11	5	4	0	0	0	0	40
LK-4403	Thunukkai	Thunukkai	dsd	2829	2788	40	0	0	0	0	0	0	0	1
LK-4406	Manthai East	Manthai East	dsd	2178	2154	23	0	1	0	0	0	0	0	0
LK-4409	Puthukkudiyiruppu	Puthukudiyiruppu	dsd	10667	10452	175	5	2	0	0	0	0	0	33
LK-4412	Oddusuddan	Oddusudan	dsd	5078	5018	54	3	1	0	0	0	0	0	2
LK-4415	Maritimepattu	Maritimepattu	dsd	10393	10151	231	3	1	3	0	0	0	0	4
LK-4418	Welioya	Welioya	dsd	3203	3166	36	0	0	1	0	0	0	0	0
LK-45	Kilinochchi	Kilinochchi District	district	36484	35770	672	23	7	1	0	0	0	0	11
LK-4503	Pachchilaipalli	Pachchilaipalli	dsd	3835	3786	47	0	0	0	0	0	0	0	2
LK-4506	Kandavalai	Kandavalai	dsd	6858	6785	70	2	1	0	0	0	0	0	0
LK-4509	Karachchi	Karachchi	dsd	19488	18972	482	21	5	1	0	0	0	0	7
LK-4512	Poonakary	Poonakary	dsd	6303	6227	73	0	1	0	0	0	0	0	2
LK-51	Batticaloa	Batticaloa District	district	167150	154487	11503	614	203	115	5	0	0	0	223
LK-5103	Koralai Pattu North (Vaharai)	Koralai Pattu North Vaharai	dsd	7758	7280	184	200	2	0	0	0	0	0	92
LK-5104	Koralai Pattu Central	Koralai Pattu Central	dsd	8481	7976	470	10	6	8	0	0	0	0	11
LK-5106	Koralai Pattu  West (Oddamavadi)	Koralai Pattu West Oddamavadi	dsd	7200	6658	516	11	5	8	1	0	0	0	1
LK-5109	Koralai Pattu (Valachchenai)	Koralai Pattu Valachchenai	dsd	8313	8035	260	2	1	2	0	0	0	0	13
LK-5110	Koralai Pattu South (Kiran)	Koralai Pattu South Kiran	dsd	8528	8372	152	4	0	0	0	0	0	0	0
LK-5112	Eravur Pattu	Eravur Pattu	dsd	25613	24934	647	18	6	5	0	0	0	0	3
LK-5115	Eravur Town	Eravur Town	dsd	7172	6338	788	27	10	2	1	0	0	0	6
LK-5118	Manmunai North	Manmunai North	dsd	25590	21026	4228	111	123	67	1	0	0	0	34
LK-5121	Manmunai West	Manmunai West	dsd	9647	9541	102	2	2	0	0	0	0	0	0
LK-5124	Kattankudy	Kattankudy	dsd	12899	10859	1791	193	27	14	1	0	0	0	14
LK-5127	Manmunai Pattu (Araipattai)	Manmunai Pattu Araipattai	dsd	10254	9715	499	13	12	5	1	0	0	0	9
LK-5130	Manmunai South-West	Manmunai South-West	dsd	7745	7507	214	3	3	0	0	0	0	0	18
LK-5133	Porativu Pattu	Poratheevu Pattu	dsd	11378	10976	389	3	1	1	0	0	0	0	8
LK-5136	Manmunai South & Eruvil pattu	Manmunai South Eruvil Pattu	dsd	16572	15270	1263	17	5	3	0	0	0	0	14
LK-52	Ampara	Ampara District	district	202861	184418	15935	486	933	582	424	0	0	0	83
LK-5203	Dehiattakandiya	Dehiattakandiya	dsd	18437	17720	681	19	11	4	0	0	0	0	2
LK-5206	Padiyathalawa	Padiyathalawa	dsd	6260	6145	106	4	2	2	0	0	0	0	1
LK-5209	Mahaoya	Mahaoya	dsd	6968	6854	108	1	2	3	0	0	0	0	0
LK-5212	Uhana	Uhana	dsd	17326	16678	612	28	5	1	1	0	0	0	1
LK-5215	Ampara	Ampara	dsd	13172	11828	1162	43	119	20	0	0	0	0	0
LK-5216	Navithanveli	Navithanveli	dsd	6288	6075	210	0	2	0	0	0	0	0	1
LK-5218	Samanthurai	Samanthurai	dsd	19400	17161	2131	45	44	17	0	0	0	0	2
LK-5221	Kalmunai Tamil Division	Kalmunai Tamil Division	dsd	8675	7072	854	23	251	267	207	0	0	0	1
LK-5224	Kalmunai	Kalmunai	dsd	13481	10126	2544	100	280	216	213	0	0	0	2
LK-5225	Sainthamaruthu	Sainthamarathu	dsd	7804	5366	2321	85	13	17	1	0	0	0	1
LK-5227	Karaitheevu	Karaitheevu	dsd	5241	4473	708	19	34	1	0	0	0	0	6
LK-5230	Ninthavur	Ninthavur	dsd	8729	7698	947	13	60	10	1	0	0	0	0
LK-5233	Addalachchenai	Addalachchenai	dsd	13178	12356	763	23	15	9	0	0	0	0	12
LK-5234	Irakkamam	Irakkamam	dsd	4649	4487	156	1	4	1	0	0	0	0	0
LK-5236	Akkaraipattu	Akkaraipattu	dsd	12052	10585	1393	57	11	6	0	0	0	0	0
LK-5239	Alayadiwembu	Alayadiwembu	dsd	7017	6711	293	13	0	0	0	0	0	0	0
LK-5242	Damana	Damana	dsd	11478	11165	300	5	5	3	0	0	0	0	0
LK-5245	Thirukkovil	Thirukkovil	dsd	8338	8012	285	3	0	0	0	0	0	0	38
LK-5248	Pothuvil	Pothuvil	dsd	11466	11089	277	4	75	4	1	0	0	0	16
LK-5251	Lahugala	Lahugala	dsd	2902	2817	84	0	0	1	0	0	0	0	0
LK-53	Trincomalee	Trincomalee District	district	119351	113267	5264	265	296	77	62	8	0	0	112
LK-5303	Padavi Sri Pura	Padavisiripura	dsd	3438	3357	77	2	0	1	0	0	0	0	1
LK-5306	Kuchchaveli	Kuchchaveli	dsd	10805	10552	215	7	1	0	0	0	0	0	30
LK-5309	Gomarankadawala	Gomarankadawala	dsd	2446	2406	37	1	0	0	0	0	0	0	2
LK-5312	Morawewa	Morawewa	dsd	2688	2659	27	1	0	0	0	0	0	0	1
LK-5315	Trincomalee Town and Gravets	Trincomalee Town and Gravets	dsd	26784	23873	2311	196	262	70	60	8	0	0	4
LK-5318	Thambalagamuwa	Thambalagamuwa	dsd	9324	9088	222	7	7	0	0	0	0	0	0
LK-5321	Kanthale	Kanthale	dsd	14128	13450	657	15	1	2	0	0	0	0	3
LK-5324	Kinniya	Kinniya	dsd	21750	20542	1166	20	16	3	2	0	0	0	1
LK-5327	Muttur	Muttur	dsd	19400	18914	406	12	2	0	0	0	0	0	66
LK-5330	Seruvila	Seruvila	dsd	4655	4527	118	2	7	1	0	0	0	0	0
LK-5333	Verugal (Eachchilampattu)	Verugal Eachchilampattu	dsd	3933	3899	28	2	0	0	0	0	0	0	4
LK-61	Kurunegala	Kurunegala District	district	506909	463412	40530	1033	1274	512	96	14	0	0	38
LK-6103	Giribawa	Giribawa	dsd	10396	10119	264	4	5	2	0	0	0	0	2
LK-6106	Galgamuwa	Galgamuwa	dsd	17858	16961	873	12	6	5	0	0	0	0	1
LK-6109	Ehetuwewa	Ehetuwewa	dsd	8227	7896	321	6	2	0	2	0	0	0	0
LK-6112	Ambanpola	Ambanpola	dsd	7706	7330	366	5	3	2	0	0	0	0	0
LK-6115	Kotavehera	Kotavehera	dsd	6923	6749	170	1	2	1	0	0	0	0	0
LK-6118	Rasnayakapura	Rasnayakapura	dsd	7192	7032	158	1	1	0	0	0	0	0	0
LK-6121	Nikaweratiya	Nikaweratiya	dsd	12752	12029	679	11	17	15	1	0	0	0	0
LK-6124	Maho	Maho	dsd	18820	17729	1035	17	26	10	0	0	0	0	3
LK-6127	Polpithigama	Polpithigama	dsd	25354	24348	986	12	4	3	0	0	0	0	1
LK-6130	Ibbagamuwa	Ibbagamuwa	dsd	26761	24213	2431	42	46	21	4	0	0	0	4
LK-6133	Ganewatta	Ganewatta	dsd	12898	12185	690	16	6	0	0	0	0	0	1
LK-6136	Wariyapola	Wariyapola	dsd	19586	17946	1585	19	25	10	0	0	0	0	1
LK-6139	Kobeigane	Kobeigane	dsd	11689	11225	458	3	2	1	0	0	0	0	0
LK-6142	Bingiriya	Bingiriya	dsd	19673	18993	653	10	9	7	0	0	0	0	1
LK-6145	Panduwasnuwara West	Panduwasnuwara West	dsd	20217	19067	1101	14	18	15	0	0	0	0	2
LK-6148	Panduwasnuwara East	Panduwasnuwara East	dsd	9394	8971	410	5	7	0	1	0	0	0	0
LK-6149	Bamunakotuwa	Bamunakotuwa	dsd	11659	10660	966	11	13	5	3	0	0	0	1
LK-6151	Maspotha	Maspotha	dsd	12094	9948	2027	68	18	23	8	2	0	0	0
LK-6154	Kurunegala	Kurunegala	dsd	23802	18403	4713	284	234	118	34	12	0	0	4
LK-6157	Mallawapitiya	Mallawapitiya	dsd	16432	13450	2772	86	62	56	5	0	0	0	1
LK-6160	Mawathagama	Mawathagama	dsd	19764	16645	2793	68	210	36	9	0	0	0	3
LK-6163	Rideegama	Rideegama	dsd	26848	24007	2575	60	181	21	1	0	0	0	3
LK-6166	Weerambugedara	Weerambugedara	dsd	10730	9717	974	19	13	5	2	0	0	0	0
LK-6169	Kuliyapitiya East	Kuliyapitiya East	dsd	16420	15262	1103	24	24	5	2	0	0	0	0
LK-6172	Kuliyapitiya West	Kuliyapitiya West	dsd	24056	21888	1927	50	119	61	10	0	0	0	1
LK-6175	Udubaddawa	Udubaddawa	dsd	15815	15084	688	11	18	12	1	0	0	0	1
LK-6178	Pannala	Pannala	dsd	38853	36512	2123	58	117	34	4	0	0	0	5
LK-6181	Narammala	Narammala	dsd	17026	15454	1523	29	13	6	1	0	0	0	0
LK-6184	Alawwa	Alawwa	dsd	19020	17286	1692	30	7	2	2	0	0	0	1
LK-6187	Polgahawela	Polgahawela	dsd	18944	16303	2474	57	66	36	6	0	0	0	2
LK-62	Puttalam	Puttalam District	district	231494	218131	11820	262	869	273	43	24	0	0	72
LK-6203	Kalpitiya	Kalpitiya	dsd	24165	23207	723	18	159	41	0	0	0	0	17
LK-6206	Vanathawilluwa	Vanathawilluwa	dsd	5846	5755	75	1	11	2	0	0	0	0	2
LK-6209	Karuwalagaswewa	Karuwalagaswewa	dsd	7941	7788	147	5	1	0	0	0	0	0	0
LK-6212	Nawagattegama	Nawagattegama	dsd	5271	5140	129	0	1	1	0	0	0	0	0
LK-6215	Puttalam	Puttalam	dsd	23692	21715	1500	28	372	71	3	0	0	0	3
LK-6218	Mundel	Mundel	dsd	18707	18256	426	7	13	0	0	0	0	0	5
LK-6221	Mahakumbukkadawala	Mahakumbukkadawala	dsd	6599	6484	102	3	1	0	3	0	0	0	6
LK-6224	Anamaduwa	Anamaduwa	dsd	12891	12538	340	5	6	1	0	0	0	0	1
LK-6227	Pallama	Pallama	dsd	8263	8102	152	2	2	3	0	0	0	0	2
LK-6230	Arachchikattuwa	Arachchikattuwa	dsd	12661	12129	512	11	5	1	0	0	0	0	3
LK-6233	Chilaw	Chilaw	dsd	18494	16573	1655	67	109	66	12	8	0	0	4
LK-6236	Madampe	Madampe	dsd	14626	13894	649	19	46	15	3	0	0	0	0
