region_id	region_name	region_name_in_data	region_ent_type	buddhist	hindu	islam	roman_catholic	other_christian	other
EC-01	Colombo		ED	1682524	197524	297852	139690	55217	2608
EC-01A	Colombo North		PD	22444	45740	29517	25693	7569	33
EC-01B	Colombo Central		PD	29085	26600	95038	10951	2905	163
EC-01C	Borella		PD	36513	11120	17708	5185	1519	44
EC-01D	Colombo East		PD	43481	22164	10277	5421	3261	73
EC-01E	Colombo West		PD	17756	19149	13482	4076	2160	80
EC-01F	Dehiwala		PD	43573	14406	28538	4627	2557	114
EC-01G	Ratmalana		PD	57385	7316	13852	5455	4012	43
EC-01H	Kolonnawa		PD	122559	14647	67100	6895	2794	75
EC-01I	Kotte		PD	74848	4957	6535	6340	3379	130
EC-01J	Kaduwela		PD	256548	4210	3877	10572	2570	141
EC-01K	Avissawella		PD	168552	13341	1958	7601	3003	687
EC-01L	Homagama		PD	270923	2843	1565	3518	1551	371
EC-01M	Maharagama		PD	183093	3379	2442	5243	2226	117
EC-01N	Kesbewa		PD	246021	3366	2493	7444	3948	269
EC-01O	Moratuwa		PD	109743	4286	3470	30669	11763	268
EC-02	Gampaha		ED	1744475	67337	132985	441173	43053	7119
EC-02A	Wattala		PD	51544	30788	13885	77121	9069	98
EC-02B	Negombo		PD	13506	8452	23759	87605	4432	198
EC-02C	Katana		PD	137806	5698	6092	81913	9263	447
EC-02D	Divulapitiya		PD	133909	744	67	20222	1339	676
EC-02E	Mirigama		PD	164914	657	8655	1169	307	1045
EC-02F	Minuwangoda		PD	176692	557	6846	11867	1919	893
EC-02G	Attanagalla		PD	164206	1128	28211	2775	292	1113
EC-02H	Gampaha		PD	182606	624	206	19694	1866	614
EC-02I	Ja Ela		PD	90297	4526	1851	100285	7665	182
EC-02J	Mahara		PD	191215	1731	10287	16835	2425	567
EC-02K	Dompe		PD	161461	430	2433	4122	413	1018
EC-02L	Biyagama		PD	178329	3125	16409	7224	1940	128
EC-02M	Kelaniya		PD	97990	8877	14284	10341	2123	140
EC-03	Kalutara		ED	1080602	41110	137464	35550	6599	4459
EC-03A	Panadura		PD	120628	833	32159	7159	1291	347
EC-03B	Bandaragama		PD	183523	1606	15074	3201	1201	752
EC-03C	Horana		PD	181459	7312	147	1078	1389	661
EC-03D	Bulathsinhala		PD	100678	10194	2486	325	512	464
EC-03E	Mathugama		PD	133657	12881	3598	1557	928	533
EC-03F	Kalutara		PD	140786	1569	14295	8784	637	553
EC-03G	Beruwala		PD	96264	1321	69066	13287	349	533
EC-03H	Agalawatta		PD	123607	5394	639	159	292	616
EC-04	Kandy		ED	1063437	143193	223243	17093	9656	5273
EC-04A	Galagedara		PD	64371	632	4472	60	24	358
EC-04B	Harispattuwa		PD	146987	6414	69523	1189	372	862
EC-04C	Pathadumbara		PD	75405	15942	23301	1427	797	374
EC-04D	Ududumbara		PD	76042	1670	334	51	67	224
EC-04E	Teldeniya		PD	47818	10196	4817	956	399	353
EC-04F	Kundasale		PD	115593	15990	8726	2040	1503	531
EC-04G	Hewaheta		PD	66960	14451	9298	614	840	380
EC-04H	Senkadagala		PD	83131	9084	11762	3540	1440	99
EC-04I	Mahanuwara		PD	28669	6674	7706	2101	955	48
EC-04J	Yatinuwara		PD	100489	2073	8453	623	425	579
EC-04K	Udunuwara		PD	85280	2421	31854	461	249	753
EC-04L	Gampola		PD	87245	27080	27934	1497	1330	344
EC-04M	Nawalapitiya		PD	85447	30566	15063	2534	1255	368
EC-05	Matale		ED	418588	45536	51897	7202	1554	2093
EC-05A	Dambulla		PD	169102	2380	14774	4141	294	816
EC-05B	Laggala		PD	90198	5280	489	223	92	327
EC-05C	Matale		PD	77946	16916	17992	1467	663	450
EC-05D	Rattota		PD	81342	20960	18642	1371	505	500
EC-06	Nuwara-Eliya		ED	278828	376993	21614	31385	15211	1249
EC-06A	Nuwara Eliya Maskeliya		PD	78248	290770	12775	27541	12128	306
EC-06B	Kothmale		PD	54174	38074	7872	1744	1506	327
EC-06C	Hanguranketha		PD	79953	11225	36	327	221	344
EC-06D	Walapane		PD	66453	36924	931	1773	1356	272
EC-07	Galle		ED	1026031	14247	45654	2840	4041	4559
EC-07A	Balapitiya		PD	66727	52	1085	10	10	266
EC-07B	Ambalangoda		PD	99114	63	0	233	260	445
EC-07C	Karandeniya		PD	90607	992	595	295	462	267
EC-07D	Bentara Elpitiya		PD	113070	1396	1022	182	189	462
EC-07E	Hiniduma		PD	120991	3970	0	409	875	494
EC-07F	Baddegama		PD	120169	5789	0	408	1052	478
EC-07G	Ratgama		PD	100139	84	25	75	270	487
EC-07H	Galle		PD	67502	566	38985	669	237	362
EC-07I	Akmeemana		PD	137088	1209	3930	443	586	770
EC-07J	Habaraduwa		PD	110624	126	12	116	100	528
EC-08	Matara		ED	787299	13765	29623	1725	2708	2769
EC-08A	Deniyaya		PD	114218	10102	82	1109	1721	292
EC-08B	Hakmana		PD	117741	1506	1019	33	411	243
EC-08C	Akuressa		PD	117359	1717	2511	226	283	481
EC-08D	Kamburupitiya		PD	104055	60	671	22	28	293
EC-08E	Devinuwara		PD	101431	38	3847	22	31	373
EC-08F	Matara		PD	118046	209	4657	277	157	522
EC-08G	Weligama		PD	114449	133	16836	36	77	565
EC-09	Hambantota		ED	649736	763	17708	528	819	1864
EC-09A	Mulkirigala		PD	142074	20	971	0	10	253
EC-09B	Beliatta		PD	104446	0	267	26	37	261
EC-09C	Tangalle		PD	171424	64	820	129	229	574
EC-09D	Thissamaharama		PD	231792	679	15650	373	543	776
EC-10	Jaffna		ED	3834	599751	5246	91225	29452	1953
EC-10A	Kayts		PD	14	18017	238	10363	928	129
EC-10B	Vaddukoddai		PD	0	58131	16	2692	2515	142
EC-10C	Kankesanthurai		PD	37	43177	0	9398	1941	163
EC-10D	Manipay		PD	0	68285	127	6708	3632	185
EC-10E	Kopay		PD	77	73017	154	4947	2377	124
EC-10F	Udupiddy		PD	0	46586	0	1334	511	178
EC-10G	Point Pedro		PD	42	39752	0	8392	1047	166
EC-10H	Chavakachcheri		PD	92	62137	93	3159	2051	250
EC-10I	Nallur		PD	1635	62589	506	5278	2661	215
EC-10J	Jaffna		PD	514	17807	2862	24546	2766	48
EC-10K	Kilinochchi		PD	1423	110253	1250	14408	9023	353
EC-11	Vanni		ED	28540	229341	54614	84237	20375	1580
EC-11A	Mannar		PD	240	26140	33784	57678	5398	516
EC-11B	Vavuniya		PD	18137	114476	17681	12706	8836	476
EC-11C	Mullaitivu		PD	10163	88544	3149	13853	6130	584
EC-12	Batticaloa		ED	5585	374759	161300	25521	27388	1365
EC-12A	Kalkudah		PD	1473	105141	57434	2811	11198	266
EC-12B	Batticaloa		PD	2532	143890	103601	20840	14336	626
EC-12C	Paddiruppu		PD	1580	122800	0	1647	1730	466
EC-13	Digamadulla		ED	275877	114174	339731	6941	6176	1652
EC-13A	Ampara		PD	241230	201	366	356	344	652
EC-13B	Samanthurai		PD	1602	20449	111680	2046	880	185
