region_id	region_name	region_name_in_data	region_ent_type	buddhist	hindu	islam	roman_catholic	other_christian	other
EC-13C	Kalmunai		PD	102	24906	85787	1757	1432	243
EC-13D	Pothuvil		PD	32943	68618	141898	2782	3520	572
EC-14	Trincomalee		ED	106702	107909	205541	14134	7545	914
EC-14A	Seruvila		PD	78135	18996	14393	235	911	386
EC-14B	Trincomalee		PD	22933	61623	41890	12449	5337	227
EC-14C	Muttur		PD	5634	27290	149258	1450	1297	301
EC-15	Kurunegala		ED	1557548	15155	142329	38045	7359	7720
EC-15A	Galgamuwa		PD	133988	94	7997	494	420	538
EC-15B	Nikaweratiya		PD	118557	297	11814	1550	203	593
EC-15C	Yapahuwa		PD	152020	300	4087	370	138	607
EC-15D	Hiriyala		PD	124648	796	10500	847	214	593
EC-15E	Wariyapola		PD	102173	212	1906	997	105	537
EC-15F	Panduwasnuwara		PD	88850	194	11238	1999	94	601
EC-15G	Bingiriya		PD	98115	602	8466	12783	669	555
EC-15H	Katugampola		PD	117261	1028	9342	6956	777	481
EC-15I	Kuliyapitiya		PD	113837	716	23451	4379	814	613
EC-15J	Dambadeniya		PD	120179	265	3801	571	179	500
EC-15K	Polgahawela		PD	93662	1222	6760	1216	519	676
EC-15L	Kurunegala		PD	110195	2952	11893	3770	1571	491
EC-15M	Mawathagama		PD	103755	3902	18717	1781	1607	596
EC-15N	Dodangaslanda		PD	80308	2575	12357	332	49	339
EC-16	Puttalam		ED	361104	27905	176541	240805	9852	2609
EC-16A	Puttalam		PD	31544	17403	150698	58425	2649	525
EC-16B	Anamaduwa		PD	133309	1981	9039	14435	711	741
EC-16C	Chilaw		PD	87307	5754	8450	50551	2751	569
EC-16D	Nattandiya		PD	53319	1541	7904	49594	1580	395
EC-16E	Wennappuwa		PD	55625	1226	450	67800	2161	379
EC-17	Anuradhapura		ED	862775	2800	83621	4793	2931	3160
EC-17A	Medawachchiya		PD	118463	91	10124	366	44	398
EC-17B	Horowpothana		PD	98166	154	23948	123	87	329
EC-17C	Anuradhapura East		PD	149086	189	5837	1112	561	474
EC-17D	Anuradhapura West		PD	143628	678	9885	842	475	531
EC-17E	Kalawewa		PD	163351	125	8120	744	1336	546
EC-17F	Mihinthale		PD	84476	326	12478	1003	106	394
EC-17G	Kekirawa		PD	105605	1237	13229	603	322	488
EC-18	Polonnaruwa		ED	399472	6788	36890	2076	732	1572
EC-18A	Minneriya		PD	117061	160	552	749	195	499
EC-18B	Medirigiriya		PD	97600	0	14054	152	19	330
EC-18C	Polonnaruwa		PD	184811	6628	22284	1175	518	743
EC-19	Badulla		ED	636979	165860	53122	8974	5024	2348
EC-19A	Mahiyanganaya		PD	147028	81	2353	91	62	349
EC-19B	Viyaluwa		PD	65991	6706	841	100	148	217
EC-19C	Passara		PD	39978	34375	3787	2187	952	238
EC-19D	Badulla		PD	56647	15428	8853	1133	852	120
EC-19E	Hali Ela		PD	59899	28022	4617	906	578	204
EC-19F	Uva Paranagama		PD	69390	9550	2467	294	127	241
EC-19G	Welimada		PD	72746	11812	19646	548	392	366
EC-19H	Bandarawela		PD	79413	26126	5998	1982	1064	344
EC-19I	Haputale		PD	45887	33760	4560	1733	849	269
EC-20	Moneragala		ED	498429	14445	12081	878	407	1345
EC-20A	Bibile		PD	118759	990	8024	161	30	362
EC-20B	Monaragala		PD	151032	12056	2503	489	161	360
EC-20C	Wellawaya		PD	228638	1399	1554	228	216	623
EC-21	Ratnapura		ED	999682	103329	26276	7859	5698	2579
EC-21A	Eheliyagoda		PD	119524	5756	5177	639	522	405
EC-21B	Ratnapura		PD	147482	12318	7846	1030	755	348
EC-21C	Pelmadulla		PD	95774	20238	698	967	944	229
EC-21D	Balangoda		PD	122718	18903	7116	2268	1064	397
EC-21E	Rakwana		PD	119492	14556	3340	1180	1095	290
EC-21F	Nivithigala		PD	101517	14789	2016	1139	311	258
EC-21G	Kalawana		PD	88445	12667	65	317	526	226
EC-21H	Kolonna		PD	204730	4102	18	319	481	426
EC-22	Kegalle		ED	728913	55470	72273	6398	4718	2704
EC-22A	Dedigama		PD	105968	3346	7728	358	205	362
EC-22B	Galigamuwa		PD	79113	3142	1152	361	179	266
EC-22C	Kegalle		PD	89192	1920	1241	1168	456	337
EC-22D	Rambukkana		PD	79429	700	3429	1228	1850	419
EC-22E	Mawanella		PD	82377	1066	41909	264	94	316
EC-22F	Aranayaka		PD	61972	1088	5506	144	112	253
EC-22G	Yatiyanthota		PD	73043	19149	3134	794	694	243
EC-22H	Ruwanwella		PD	85099	7851	8108	1248	551	303
EC-22I	Deraniyagala		PD	72720	17208	66	833	577	205
LG-11011	Colombo MC		LG	149279	124773	166022	51326	17414	393
LG-11012	Dehiwala Mount Lavinia MC		LG	100958	21722	42390	10082	6569	157
LG-11013	Moratuwa MC		LG	109743	4286	3470	30669	11763	268
LG-11014	Sri Jayawardanapura Kotte MC		LG	74848	4957	6535	6340	3379	130
LG-11015	Kaduwela MC		LG	256548	4210	3877	10572	2570	141
LG-11021	Kolonnawa UC		LG	21265	10948	22453	3094	1642	23
LG-11022	Seethawakapura UC		LG	20647	8123	440	1511	1491	27
LG-11023	Maharagama UC		LG	183093	3379	2442	5243	2226	117
LG-11024	Kesbewa UC		LG	193079	1900	874	5555	2657	236
LG-11025	Boralesgamuwa UC		LG	52942	1466	1619	1889	1291	33
LG-11031	Homagama PS		LG	288441	3028	1565	3669	1744	436
LG-11033	Kotikawatta-Mullariyawa PS		LG	101294	3699	44647	3801	1152	52
LG-11034	Seethawaka PS		LG	130387	5033	1518	5939	1319	595
LG-12011	Negombo MC		LG	13771	8540	23778	88924	4522	205
LG-12012	Gampaha MC		LG	60004	241	83	2742	336	203
LG-12022	Ja- Ela UC		LG	5811	1054	117	21903	1272	49
LG-12023	Katunayaka- Seeduwa UC/Katana PS		LG	30011	1735	297	14562	3491	77
LG-12024	Minuwangoda UC		LG	5712	109	414	777	130	9
LG-12025	Peliyagoda UC		LG	16891	3326	2026	1518	741	1
LG-12026	Wattala - Mabola UC		LG	5395	7196	8485	6938	1120	5
LG-12031	Attanagalla PS		LG	164206	1128	28211	2775	292	1113
LG-12032	Biyagama PS		LG	178329	3125	16409	7224	1940	128
LG-12033	Divulapitiya PS		LG	133909	744	67	20222	1339	676
LG-12034	Dompe PS		LG	161461	430	2433	4122	413	1018
LG-12035	Gampaha PS		LG	122602	383	123	16952	1530	411
LG-12036	Ja- Ela PS		LG	84486	3472	1734	78382	6393	133
LG-12037	Katana PS		LG	107530	3875	5776	66032	5682	363
LG-12038	Kelaniya PS		LG	81099	5551	12258	8823	1382	139
LG-12039	Mahara PS		LG	191215	1731	10287	16835	2425	567
LG-12040	Minuwangoda PS		LG	170980	448	6432	11090	1789	884
LG-12041	Mirigama PS		LG	164914	657	8655	1169	307	1045
LG-12042	Wattala PS		LG	46149	23592	5400	70183	7949	93
LG-13011	Kalutara MC		LG	46269	1291	14282	6824	360	188
LG-13021	Beruwala UC		LG	5230	266	37720	581	50	69
LG-13022	Horana UC/Horana PS		LG	9436	627	0	96	145	65
LG-13024	Panadura UC/Panadura PS		LG	31253	225	157	959	331	121
LG-13031	Agalawatta PS		LG	35487	665	71	71	87	208
LG-13032	Bandaragama PS		LG	105598	258	15025	2006	822	424
LG-13033	Beruwala PS		LG	91034	1055	31346	12706	299	464
LG-13034	Bulathsinhala PS		LG	55212	7128	2415	236	337	222
LG-13035	Dodangoda PS		LG	58894	6209	0	1171	574	241
LG-13036	Horana PS		LG	172023	6685	147	982	1244	596
LG-13037	Kalutara PS		LG	94517	278	13	1960	277	365
LG-13038	Mathugama PS		LG	74763	6672	3598	386	354	292
LG-13039	Panadura PS		LG	113259	704	32041	7017	1144	264
LG-13040	Walallawita PS		LG	53425	1583	12	42	11	260
LG-13041	Madurawala PS		LG	33551	2777	0	74	145	176
LG-13042	Palindanuwara PS		LG	46610	3435	627	61	224	214
LG-13043	Millaniya PS		LG	54041	1252	10	378	195	290
LG-21011	Kandy MC/ Pathadumbara PS		LG	66656	11626	17324	3603	1596	72
LG-21021	Gampola UC		LG	21477	3546	16114	414	314	51
LG-21022	Kadugannawa UC/Yatinuwara PS		LG	18063	273	1367	255	99	91
LG-21023	Nawalapitiya UC/Pasbage Korale PS		LG	9611	7798	6897	982	430	9
LG-21024	Wattegama UC/ Pathadumbara PS		LG	14163	1307	385	215	119	63
LG-21025	Medadumbara PS		LG	423	0	0	0	0	0
LG-21031	Akurana PS		LG	19148	3384	48191	102	21	164
LG-21032	Ganga Ihala Korale		LG	47735	6014	4756	236	275	129
LG-21033	Harispattuwa PS		LG	78991	1535	10112	972	234	428
LG-21034	Kandy Four Graverts &Gangawata Korale PS		LG	48051	4298	2905	2140	813	76
LG-21035	Medadumbara PS		LG	116083	15990	8726	2040	1503	532
LG-21036	Medadumbara PS		LG	46905	10196	4817	956	399	352
LG-21037	Minipe PS		LG	54927	0	218	14	57	126
LG-21038	Panvila PS		LG	9699	13749	979	702	474	47
LG-21039	Pasbage Korale PS		LG	21480	13052	3410	1257	499	128
LG-21040	Pathadumbara PS		LG	49770	787	21695	436	190	264
LG-21041	Pathhewaheta PS		LG	66960	14451	9298	614	840	380
LG-21042	Pujapitiya PS		LG	47714	1428	10701	87	117	269
LG-21043	Thumpane PS		LG	64371	632	4472	60	24	358
LG-21044	Udadumbara PS		LG	21115	1670	116	37	10	98
LG-21045	Udapalatha PS		LG	72389	27236	11820	1142	1067	395
LG-21046	Udunuwara PS		LG	85280	2421	31854	461	249	753
LG-21047	Yatinuwara PS		LG	82426	1800	7086	368	326	488
LG-22011	Matale MC/ Matale PS		LG	22224	9738	14064	887	361	107
LG-22012	Dambulla MC		LG	25476	456	123	122	34	111
LG-22031	Ambanganga Korale PS		LG	11887	3700	61	98	51	79
LG-22032	Dambulla PS		LG	51574	71	2324	649	41	258
LG-22033	Galewela PS		LG	62683	928	11196	3350	208	274
LG-22034	Laggala-Pallegama PS		LG	16796	17	0	0	0	34
LG-22035	Matale PS		LG	28949	4201	1803	254	256	175
LG-22036	Naula PS		LG	28407	1563	428	125	41	154
LG-22037	Pallepola PS		LG	29369	925	1131	20	11	173
LG-22038	Rattota PS		LG	38189	12016	2301	636	261	247
LG-22039	Ukuwela PS		LG	43153	8944	16341	735	244	253
LG-22040	Wilgamuwa PS		LG	33108	0	0	0	0	60
LG-22041	Yatawatta PS		LG	26773	2977	2125	326	46	168
LG-23011	Nuwara Eliya MC/ Nuwara Eliya PS		LG	11721	11973	2662	2072	968	19
LG-23021	Hatton - Dickoya UC/ Ambagamuwa PS		LG	3607	17164	3318	2232	1154	5
LG-23022	Thalawakale-Lindula UC/ Kotagala PS		LG	3032	17224	607	2443	425	0
LG-23031	Ambagamuwa PS		LG	33957	27021	379	1870	1319	133
LG-23032	Hanguranketha PS		LG	79953	11225	36	327	221	344
LG-23033	Kothmale PS		LG	54174	38074	7872	1744	1506	327
LG-23034	Nuwara Eliya PS		LG	15380	34490	2187	3049	1218	32
LG-23035	Walapane PS		LG	66453	36924	931	1773	1356	272
LG-23036	Maskeliya PS		LG	2553	39449	615	2291	1591	42
LG-23037	Noorwood PS		LG	1711	53197	1674	6373	2239	11
LG-23038	Agarapathana PS		LG	3378	54439	841	4146	1313	55
LG-23039	Kotagala PS		LG	2909	35813	492	3065	1901	9
LG-31011	Galle MC		LG	60073	528	27553	577	199	312
LG-31021	Ambalangoda UC		LG	19958	0	0	0	10	88
LG-31022	Hikkaduwa UC		LG	25734	24	0	58	165	235
LG-31031	Akmeemana PS		LG	82001	791	2300	242	312	490
LG-31032	Ambalangoda PS		LG	62173	26	0	152	205	276
LG-31033	Baddegama PS		LG	75629	1817	0	322	576	314
LG-31034	Balapitiya PS		LG	66727	52	1085	10	10	266
LG-31035	Benthota PS		LG	48312	12	1022	27	0	277
LG-31036	Bope_Poddala PS		LG	62516	456	13062	293	312	330
LG-31037	Elpitiya PS		LG	64758	1384	0	155	189	185
LG-31038	Habaraduwa PS		LG	62715	24	12	104	100	347
LG-31039	Rajgama PS		LG	74405	60	25	17	105	252
LG-31040	Karandeniya PS		LG	62611	93	585	120	267	186
LG-31041	Nagoda PS		LG	47836	3137	0	150	730	178
LG-31042	Neluwa PS		LG	26202	1092	0	32	315	105
LG-31043	Niyagama PS		LG	35315	292	0	0	22	122
LG-31044	Thawalama PS		LG	29207	1148	0	311	156	167
LG-31045	Yakkalamulla PS		LG	43954	2310	0	83	173	167
LG-31046	Imaduwa PS		LG	47909	102	0	12	0	181
LG-31047	Welivitiya_Divithura PS		LG	27996	899	10	175	195	81
LG-32011	Matara MC		LG	78008	209	4657	241	107	363
LG-32021	Weligama UC		LG	12490	106	8631	15	13	107
LG-32031	Akuressa PS		LG	51918	1191	0	145	163	221
LG-32032	Devinuwara PS		LG	48267	38	741	22	19	187
LG-32033	Dickwella PS		LG	53164	0	3106	0	12	186
LG-32034	Hakmana PS		LG	31894	0	1019	0	0	72
LG-32035	Kamburupitiya PS		LG	76753	60	19	22	28	240
LG-32036	Kotapola PS		LG	50977	7733	82	976	1136	98
LG-32037	Malimbada PS		LG	35392	0	566	20	10	140
LG-32038	Matara PS		LG	40038	0	0	36	50	159
LG-32039	Mulatiyana PS		LG	51488	261	0	0	0	83
LG-32040	Pasgoda PS		LG	58982	1566	0	33	448	142
LG-32042	Weligama PS		LG	101959	27	8205	21	64	458
LG-32043	Pitadeddara PS		LG	45984	2048	0	133	548	154
LG-32044	Athuraliya PS		LG	30049	526	1945	61	110	120
LG-32045	Kirinda Puhulwella PS		LG	19936	0	652	0	0	39
LG-33011	Hambantota MC		LG	14986	341	10487	212	271	54
LG-33021	Tangalle UC		LG	6717	0	737	0	69	44
LG-33031	Ambalantota PS		LG	78046	170	1854	89	112	235
LG-33032	Angunakolapelessa PS		LG	53299	0	0	0	0	110
LG-33033	Beliatta PS		LG	58480	0	0	26	23	146
LG-33034	Hambantota PS		LG	39721	39	845	16	96	139
LG-33035	Katuwana PS		LG	76392	0	0	0	10	119
LG-33036	Lunugamvehera PS		LG	36059	0	625	29	50	160
LG-33037	Tangalle PS		LG	71257	0	249	62	62	346
LG-33038	Thissamaharama PS		LG	71643	193	1922	94	82	241
LG-33039	Weeraketiya PS		LG	90582	20	989	0	0	159
LG-33040	Sooriyawewa PS		LG	52554	0	0	0	44	111
LG-41011	Jaffna MC		LG	855	48293	2971	26695	3954	172
LG-41021	Chavakachcheri UC		LG	0	14651	48	937	625	44
LG-41022	Point Pedro UC		LG	0	8879	0	2515	215	21
LG-41023	Valvettiturai UC/ Vadamaradchi South West PS		LG	0	10197	0	193	83	64
LG-41031	Chavakachcheri PS		LG	92	47486	45	2222	1426	206
LG-41032	Delft PS		LG	0	1001	0	1923	209	25
LG-41033	Kayts PS		LG	14	5170	0	4196	530	21
LG-41034	Nallur PS		LG	1294	32103	397	3129	1473	91
LG-41035	Point Pedro PS		LG	42	28518	0	6070	874	107
LG-41036	Vadamaradchi South West PS		LG	0	38744	0	948	386	152
LG-41037	Valikamam East PS		LG	66	68751	154	4666	2225	117
LG-41038	Valikamam North PS		LG	37	38119	0	4800	1811	147
LG-41039	Valikamam South PS		LG	11	44954	127	3363	1935	150
LG-41040	Valikamam South West PS		LG	0	39652	16	10255	2134	64
LG-41041	Valikamam West PS		LG	0	42348	0	639	2062	111
LG-41042	Velanai PS		LG	0	11846	238	4244	189	83
LG-41043	Karainagar PS		LG	0	8786	0	22	298	25
LG-42021	Mannar UC		LG	31	5225	2505	14186	2108	65
LG-42031	Mannar PS		LG	0	4699	12821	15043	965	124
LG-42032	Manthai West PS		LG	0	10777	3513	10057	771	146
LG-42033	Musali PS		LG	79	402	13570	4007	49	36
LG-42034	Nanattan PS		LG	130	5037	1375	14385	1505	145
LG-43011	Vavuniya MC/ Vavuniya South (Tamil) PS		LG	1085	30424	3887	3870	2218	49
LG-43031	Vavuniya North PS		LG	1123	12616	0	543	364	63
LG-43032	Vavuniya South (Sinhala) PS		LG	13946	375	0	197	240	84
LG-43033	Vavuniya South (Tamil) PS		LG	1983	58259	4670	5293	5081	172
LG-43034	Vengalacheddikulam PS		LG	0	12802	9124	2803	933	108
LG-44031	Vavuniya North PS		LG	5829	52	0	11	0	54
LG-44041	Manthai East PS		LG	12	6898	0	290	370	80
LG-44042	Maritimepattu PS		LG	4065	25648	3072	6316	1428	207
LG-44043	Puthukudiyiruppu PS		LG	235	46758	57	6687	3780	164
LG-44044	Thunukkai PS		LG	22	9188	20	549	552	79
LG-45031	Karachchi PS		LG	1409	82690	366	7385	7496	206
LG-45032	Pachchillaipalli PS		LG	0	11271	0	1261	431	82
LG-45033	Poonagari PS		LG	14	16292	884	5762	1096	65
LG-51001	Eravur Pattu PS		LG	0	2811	0	1481	894	7
LG-51002	Eravur Pattu PS		LG	0	3747	1023	541	871	8
LG-51003	Eravur Pattu PS		LG	0	0	6623	0	0	5
LG-51004	Eravur Pattu PS		LG	0	0	7538	0	0	4
LG-51005	Koralai Pattu PS		LG	0	3709	3297	156	491	14
LG-51006	Koralai Pattu PS		LG	591	12036	812	652	2009	16
LG-51007	Koralai Pattu PS		LG	226	12162	56	765	1861	29
LG-51008	Eravur Pattu PS		LG	0	4314	0	0	55	13
LG-51009	Eravur Pattu PS		LG	0	5543	0	32	508	9
LG-51010	Koralai Pattu PS		LG	85	7545	0	172	473	23
LG-51011	Koralai Pattu PS		LG	1020	74932	7012	16778	10498	221
LG-51012	Eravur Pattu PS		LG	0	4133	0	146	199	4
LG-51013	Eravur Pattu PS		LG	0	3556	0	120	259	7
LG-51014	Eravur Pattu PS		LG	0	5666	0	106	362	19
LG-51015	Eravur Pattu PS		LG	0	873	0	0	0	0
LG-51016	Eravur Pattu PS		LG	0	4457	69	178	235	5
LG-51017	Eravur Pattu PS		LG	12	1951	73	123	105	6
LG-51018	Eravur Pattu PS		LG	1773	0	0	0	0	1
LG-51021	Kattankudy UC		LG	25	0	44725	0	0	44
LG-51022	Eravur UC		LG	0	16	22861	0	0	44
LG-51034	Koralai Pattu PS		LG	29	23252	23656	227	1869	79
LG-51035	Koralai Pattu North PS		LG	153	20180	3588	630	3432	50
LG-51036	Koralai Pattu West PS		LG	30	2857	28445	60	405	21
LG-51037	Manmunaipattu PS		LG	61	23154	11244	1226	706	142
LG-51038	Manmunai South & Eruvil Pattu PS		LG	50	59997	0	1510	1150	213
LG-51039	Manmunai South-West PS		LG	1336	25073	0	63	128	76
LG-51040	Manmunai West (Vavunativu) PS		LG	0	32137	13	258	302	121
LG-51041	Porativepattu PS		LG	194	37730	0	74	452	177
LG-52011	Kalmunai MC		LG	102	24906	85787	1757	1432	243
LG-52012	Akkaraipattu MC		LG	30	106	36463	0	0	26
LG-52021	Ampara UC/ Namaloya PS		LG	25754	164	252	296	138	90
LG-52031	Addalachchanai PS		LG	3424	740	48938	49	0	63
LG-52032	Alayadiwembu PS		LG	139	21309	44	1959	1286	101
LG-52033	Damana PS		LG	36497	0	160	19	58	96
LG-52034	Dehiattakandiya PS		LG	66971	25	64	12	84	118
LG-52036	Akkaraipattu PS		LG	41	25	8276	0	0	12
LG-52037	Lahugala PS		LG	9711	616	0	33	0	56
LG-52038	Mahaoya PS		LG	23625	0	0	0	11	79
LG-52039	Namaloya PS		LG	24597	0	0	0	0	72
LG-52040	Ninthavur PS		LG	0	989	29614	23	11	34
LG-52041	Padiyathalawa  PS		LG	20711	12	50	0	0	61
LG-52042	Pothuvil  PS		LG	738	6315	34467	161	1158	69
LG-52043	Sammanthurai PS		LG	511	8316	63096	105	679	87
LG-52044	Thirukkovili PS		LG	10	27725	0	466	936	115
LG-52045	Uhana PS		LG	61966	0	0	29	53	168
LG-52046	Karathivu PS		LG	0	10908	8280	91	129	85
LG-52047	Navithanveli PS		LG	77	11633	7965	1941	201	39
LG-52048	Irakkamam PS		LG	973	385	16275	0	0	38
LG-53011	Trincomalee MC		LG	9858	24984	8647	6469	1762	54
LG-53022	Kinniya UC		LG	0	2242	41506	0	0	77
LG-53031	Gomarankadawala PS		LG	8338	36	0	0	0	24
LG-53032	Kanthale PS		LG	39986	1490	9005	150	114	95
LG-53033	Kinniya PS		LG	0	121	42524	0	0	34
LG-53034	Kuchchaveli PS		LG	1514	10188	26234	1342	482	113
LG-53035	Morawewa PS		LG	6393	1188	1548	11	0	53
LG-53036	Muttur PS		LG	241	23126	45651	1435	1271	157
LG-53037	Padavi Sri Pura PS		LG	11918	0	0	24	80	59
LG-53038	Seruvila PS		LG	9775	2707	3213	28	216	68
LG-53039	Thambalagamuwa PS		LG	7436	5071	20281	66	726	56
LG-53040	Trincomalee Town and Gravets  PS		LG	11243	23297	6932	4587	2393	44
LG-53041	Verugal PS		LG	0	13459	0	22	501	80
LG-61011	Kurunegala MC		LG	18416	1806	4613	908	221	17
