region_id	region_name	region_ent_type	total_value	electricity_grid	kerosene_lamp	solar_grid	solar_standalone	bio_gas	generator	other
LK	Sri Lanka	country	6111315	5987585	95150	8093	5817	244	1230	13196
LK-1	Western	province	1703420	1682433	10565	5206	1514	121	288	3293
LK-2	Central	province	749019	736755	9880	360	495	27	127	1375
LK-6	North Western	province	745193	729060	13132	553	1252	28	164	1004
LK-3	Southern	province	728288	717303	7272	705	496	11	76	2425
LK-12	Gampaha	district	688635	680337	4340	1724	479	50	70	1635
EC-02	Gampaha	ed	688635	680337	4340	1724	479	50	70	1635
LK-11	Colombo	district	661822	653295	3366	2900	831	58	192	1180
EC-01	Colombo	ed	661822	653295	3366	2900	831	58	192	1180
LK-9	Sabaragamuwa	province	571682	558898	10307	203	542	8	193	1531
LK-61	Kurunegala	district	511166	501299	8332	313	509	4	37	672
EC-15	Kurunegala	ed	511166	501299	8332	313	509	4	37	672
LK-5	Eastern	province	499217	479020	18042	393	213	17	102	1430
LK-7	North Central	province	402469	392571	8494	206	440	12	31	715
LK-8	Uva	province	400025	389582	8556	183	571	8	93	1032
LK-21	Kandy	district	397626	392207	4108	243	235	11	40	782
EC-04	Kandy	ed	397626	392207	4108	243	235	11	40	782
LK-13	Kalutara	district	352963	348801	2859	582	204	13	26	478
EC-03	Kalutara	ed	352963	348801	2859	582	204	13	26	478
LK-91	Ratnapura	district	327645	319263	6656	135	368	5	165	1053
EC-21	Ratnapura	ed	327645	319263	6656	135	368	5	165	1053
LK-4	Northern	province	312002	301963	8902	284	294	12	156	391
LK-31	Galle	district	307704	304034	2387	359	205	5	29	685
EC-07	Galle	ed	307704	304034	2387	359	205	5	29	685
LK-71	Anuradhapura	district	275084	268242	5908	128	312	8	19	467
EC-17	Anuradhapura	ed	275084	268242	5908	128	312	8	19	467
LK-81	Badulla	district	248262	242999	4499	112	201	4	24	423
EC-19	Badulla	ed	248262	242999	4499	112	201	4	24	423
LK-92	Kegalle	district	244037	239635	3651	68	174	3	28	478
EC-22	Kegalle	ed	244037	239635	3651	68	174	3	28	478
LK-62	Puttalam	district	234027	227761	4800	240	743	24	127	332
EC-16	Puttalam	ed	234027	227761	4800	240	743	24	127	332
LK-32	Matara	district	231946	229169	1828	269	118	4	19	539
EC-08	Matara	ed	231946	229169	1828	269	118	4	19	539
LK-52	Ampara	district	207007	200445	5539	194	124	5	36	664
EC-13	Digamadulla	ed	207007	200445	5539	194	124	5	36	664
LK-23	Nuwara Eliya	district	200261	196060	3524	56	134	15	72	400
EC-06	Nuwara-Eliya	ed	200261	196060	3524	56	134	15	72	400
EC-10	Jaffna	ed	196487	190621	5248	206	126	3	115	168
LK-33	Hambantota	district	188638	184100	3057	77	173	2	28	1201
EC-09	Hambantota	ed	188638	184100	3057	77	173	2	28	1201
LK-51	Batticaloa	district	170262	160839	8900	139	58	5	42	279
EC-12	Batticaloa	ed	169308	159908	8877	139	58	5	42	279
LK-1109	Kaduwela	dsd	160746	158802	388	1044	310	6	24	172
LK-1112	Homagama	dsd	160596	159710	440	222	104	12	6	102
LK-41	Jaffna	district	159753	155817	3466	183	75	3	89	120
LK-1136	Kesbewa	dsd	152810	150952	446	916	316	20	4	156
LK-82	Monaragala	district	151763	146583	4057	71	370	4	69	609
EC-20	Moneragala	ed	151763	146583	4057	71	370	4	69	609
LK-22	Matale	district	151132	148488	2248	61	126	1	15	193
EC-05	Matale	ed	151132	148488	2248	61	126	1	15	193
LK-1206	Katana	dsd	151028	149170	822	436	60	0	16	524
LK-1103	Colombo	dsd	144958	142640	1528	124	8	6	58	594
LG-11011	Colombo MC	lg	131160	129167	1128	344	46	9	110	356
LK-72	Polonnaruwa	district	127385	124329	2586	78	128	4	12	248
EC-18	Polonnaruwa	ed	127385	124329	2586	78	128	4	12	248
LK-1233	Mahara	dsd	123534	121616	726	502	118	80	6	486
LK-53	Trincomalee	district	121948	117736	3603	60	31	7	24	487
EC-14	Trincomalee	ed	121948	117736	3603	60	31	7	24	487
LK-1239	Biyagama	dsd	118620	117656	440	252	112	0	16	144
LK-1127	Thimbirigasyaya	dsd	117362	115694	728	564	84	12	162	118
LK-1224	Gampaha	dsd	115718	114298	478	678	118	2	8	136
EC-11	Vanni	ed	115456	111288	3650	78	167	9	41	223
LK-1221	Ja Ela	dsd	115378	113666	652	314	100	2	24	620
LK-1121	Maharagama	dsd	114228	112534	222	1060	222	6	16	168
EC-06A	Nuwara Eliya Maskeliya	pd	113610	111311	1910	38	37	15	60	239
LK-1215	Minuwangoda	dsd	113540	112396	680	192	56	4	8	204
LK-1106	Kolonnawa	dsd	113512	111728	856	254	164	10	6	494
LK-1227	Attanagalla	dsd	108898	107910	690	118	52	0	6	122
LK-1212	Mirigama	dsd	99646	98248	1108	72	38	0	16	164
LK-1303	Panadura	dsd	99526	98474	318	402	98	4	6	224
LK-1218	Wattala	dsd	98600	97424	634	238	90	8	4	202
LK-1230	Dompe	dsd	95102	93842	894	40	34	2	8	282
LK-9148	Embilipitiya	dsd	91930	89384	1954	50	72	2	0	468
LK-1209	Divulapitiya	dsd	90144	88970	888	48	40	0	6	192
LK-1133	Moratuwa	dsd	89744	88634	424	358	118	6	28	176
LK-1321	Kalutara	dsd	88664	87902	364	228	84	0	6	80
LK-2314	Norwood	dsd	88240	86276	1648	34	14	16	50	202
LG-11031	Homagama PS	lg	85376	84875	265	112	59	6	3	56
LK-1324	Beruwala	dsd	84942	84144	612	76	32	2	8	68
EC-12B	Batticaloa	pd	81319	78026	3000	123	31	3	26	110
LK-2130	Gangawata Korale	dsd	80648	79964	342	116	60	2	6	158
EC-01J	Kaduwela	pd	80373	79401	194	522	155	3	12	86
LG-11015	Kaduwela MC	lg	80373	79401	194	522	155	3	12	86
EC-01L	Homagama	pd	80298	79855	220	111	52	6	3	51
LK-2127	Kundasale	dsd	80254	79124	770	76	36	2	14	232
LK-6178	Pannala	dsd	78068	76922	982	38	46	0	6	74
EC-01N	Kesbewa	pd	76405	75476	223	458	158	10	2	78
LK-1309	Horana	dsd	75602	74894	428	102	26	4	4	144
EC-02C	Katana	pd	75514	74585	411	218	30	0	8	262
LK-1236	Kelaniya	dsd	74462	73688	346	264	62	0	12	90
LK-1203	Negombo	dsd	72600	71790	322	294	78	2	10	104
LK-1115	Seethawaka	dsd	69596	68662	708	48	34	4	6	134
EC-09D	Thissamaharama	pd	69314	67291	1206	31	120	2	15	649
EC-13D	Pothuvil	pd	68776	66038	2453	77	26	2	15	165
EC-13A	Ampara	pd	68637	66485	1832	29	62	0	4	225
EC-20C	Wellawaya	pd	68144	65566	1810	38	232	2	67	429
LK-2313	Thalawakele	dsd	67370	65852	1234	12	20	14	52	186
EC-16A	Puttalam	pd	67137	64344	2106	46	384	15	113	129
LK-1306	Bandaragama	dsd	67136	66452	276	238	66	6	4	94
LK-9112	Ratnapura	dsd	66846	65414	1180	46	44	4	20	138
LK-9206	Mawanella	dsd	66666	65890	590	34	16	0	4	132
LK-9218	Warakapola	dsd	64758	63630	988	10	24	4	10	92
LK-4309	Vavuniya	dsd	64726	63076	1468	22	42	4	26	88
LK-3242	Matara Four Gravets	dsd	64566	63946	164	294	58	2	12	90
LK-2139	Udunuwara	dsd	63756	63176	448	16	18	4	6	88
LK-2136	Yatinuwara	dsd	62174	61530	442	46	28	2	10	116
EC-02J	Mahara	pd	61767	60808	363	251	59	40	3	243
LG-12039	Mahara PS	lg	61767	60808	363	251	59	40	3	243
EC-21H	Kolonna	pd	60819	59213	1262	34	52	1	0	257
EC-18C	Polonnaruwa	pd	60796	59192	1345	38	70	3	7	141
EC-02L	Biyagama	pd	59310	58828	220	126	56	0	8	72
LG-12032	Biyagama PS	lg	59310	58828	220	126	56	0	8	72
LK-8130	Welimada	dsd	59240	58102	920	18	62	2	12	124
LG-11024	Kesbewa UC	lg	59090	58365	192	348	113	7	1	64
EC-04B	Harispattuwa	pd	58358	57599	591	33	14	1	6	114
EC-02H	Gampaha	pd	57859	57149	239	339	59	1	4	68
EC-02I	Ja Ela	pd	57689	56833	326	157	50	1	12	310
EC-01M	Maharagama	pd	57114	56267	111	530	111	3	8	84
LG-11023	Maharagama UC	lg	57114	56267	111	530	111	3	8	84
EC-02F	Minuwangoda	pd	56770	56198	340	96	28	2	4	102
EC-01H	Kolonnawa	pd	56756	55864	428	127	82	5	3	247
EC-03B	Bandaragama	pd	56488	55893	344	131	38	4	3	75
LK-1124	Sri Jayawardanapura Kotte	dsd	56486	55208	196	768	186	6	28	94
LG-12037	Katana PS	lg	55693	54928	313	171	27	0	7	247
EC-01K	Avissawella	pd	55678	54937	545	50	42	3	7	94
LK-5315	Town & Gravets	dsd	55336	54330	858	22	16	0	14	96
LK-2151	Udapalatha	dsd	55258	54396	724	24	22	4	12	76
EC-05A	Dambulla	pd	54965	53944	885	25	42	0	3	66
LK-8124	Hali-Ela	dsd	54794	53660	952	8	32	0	4	138
LG-12040	Minuwangoda PS	lg	54744	54196	332	88	25	2	4	97
LK-6163	Rideegama	dsd	54460	53576	774	24	28	0	4	54
EC-02G	Attanagalla	pd	54449	53955	345	59	26	0	3	61
LG-12031	Attanagalla PS	lg	54449	53955	345	59	26	0	3	61
EC-03C	Horana	pd	54291	53696	403	62	20	3	5	102
LK-9106	Kuruvita	dsd	54082	53092	824	12	24	0	0	130
LK-6130	Ibbagamuwa	dsd	53902	52946	788	18	58	0	6	86
LK-9212	Kegalle	dsd	53650	52766	664	32	36	0	2	150
LK-5118	Manmunai North	dsd	53386	52218	986	116	14	0	20	32
LK-3139	Galle 4 Gravets	dsd	52950	52502	150	168	68	2	0	60
LK-9124	Pelmadulla	dsd	52600	51082	956	16	52	0	256	238
LK-2133	Harispattuwa	dsd	52344	51676	480	42	20	0	10	116
LG-13036	Horana PS	lg	51669	51108	391	46	18	3	4	99
LK-5112	Eravur Pattu	dsd	51560	47386	4072	12	20	0	12	58
LK-2112	Pathadumbara	dsd	51500	50874	470	20	8	0	6	122
EC-12A	Kalkudah	pd	51440	46940	4355	10	24	2	13	96
LK-6127	Polpitigama	dsd	51264	49896	1204	18	66	0	2	78
LK-8103	Mahiyanganaya	dsd	51158	49866	1142	32	40	0	8	70
LK-1130	Dehiwala	dsd	51130	50740	102	192	18	26	14	38
LG-11012	Dehiwala Mount Lavinia MC	lg	50923	50407	207	195	33	13	19	49
EC-17E	Kalawewa	pd	50845	49825	856	9	41	1	2	111
LK-7215	Thamankaduwa	dsd	50782	49916	612	34	22	4	12	182
LK-1131	Ratmalana	dsd	50716	50074	312	198	48	0	24	60
EC-02E	Mirigama	pd	49823	49124	554	36	19	0	8	82
LG-12041	Mirigama PS	lg	49823	49124	554	36	19	0	8	82
LK-9203	Rambukkana	dsd	49684	49022	526	14	16	0	4	102
LK-6203	Kalpitiya	dsd	49336	46242	2108	54	624	24	210	74
EC-02A	Wattala	pd	49300	48712	317	119	45	4	2	101
EC-14C	Muttur	pd	49132	47005	1825	32	10	5	12	243
EC-09C	Tangalle	pd	48943	47902	691	23	30	0	5	292
LG-12036	Ja- Ela PS	lg	48865	48123	273	117	44	1	9	298
LK-7212	Dimbulagala	dsd	48708	47360	1156	22	92	0	2	76
LK-43	Vavuniya	district	48399	46966	1292	13	44	3	14	67
EC-11B	Vavuniya	pd	48399	46966	1292	13	44	3	14	67
LK-6172	Kuliyapitiya West	dsd	48390	47598	620	50	42	0	4	76
LK-6215	Puttalam	dsd	48244	47074	942	18	62	2	2	144
LK-6154	Kurunegala	dsd	48082	47342	484	104	72	0	10	70
EC-16B	Anamaduwa	pd	47918	46036	1607	37	149	4	3	82
EC-02K	Dompe	pd	47551	46921	447	20	17	1	4	141
LG-12034	Dompe PS	lg	47551	46921	447	20	17	1	4	141
LK-3145	Akmeemana	dsd	47206	46712	300	32	40	2	6	114
EC-15C	Yapahuwa	pd	47122	45980	999	23	70	0	3	47
EC-20B	Monaragala	pd	47108	45669	1201	19	99	1	2	117
LK-1330	Matugama	dsd	47006	46532	406	24	6	2	0	36
LK-9230	Dehiowita	dsd	46806	45882	828	6	10	0	6	74
EC-21B	Ratnapura	pd	46783	45966	649	16	22	2	7	121
LK-8127	Uvaparanagama	dsd	46598	45730	722	4	72	0	6	64
LG-61038	Kurunegala PS	lg	46421	45585	627	73	62	2	4	68
