region_id	region_name	region_ent_type	total_value	electricity_grid	kerosene_lamp	solar_grid	solar_standalone	bio_gas	generator	other
LK-2206	Dambulla	dsd	46374	45440	784	20	54	0	6	70
EC-16C	Chilaw	pd	46157	45562	497	24	20	3	5	46
LK-2312	Nuwara Eliya	dsd	46028	45264	636	28	34	0	16	50
LK-9142	Godakawela	dsd	45816	44480	1022	16	60	2	30	206
LK-2203	Galewela	dsd	45154	44352	726	18	14	0	0	44
EC-02D	Divulapitiya	pd	45072	44485	444	24	20	0	3	96
LG-12033	Divulapitiya PS	lg	45072	44485	444	24	20	0	3	96
EC-17C	Anuradhapura East	pd	44991	44075	772	38	25	0	4	77
EC-17D	Anuradhapura West	pd	44944	43573	1188	27	77	2	5	72
EC-01O	Moratuwa	pd	44872	44317	212	179	59	3	14	88
LG-11013	Moratuwa MC	lg	44872	44317	212	179	59	3	14	88
LK-3315	Ambalantota	dsd	44830	43842	618	36	26	2	8	298
LK-2218	Matale	dsd	44458	43936	344	46	40	2	8	82
EC-03F	Kalutara	pd	44332	43951	182	114	42	0	3	40
LK-8121	Badulla	dsd	44320	43850	390	10	8	0	4	58
LK-5324	Kinniya	dsd	44278	42404	1528	40	6	2	16	282
LK-3333	Tangalle	dsd	44064	43192	584	32	28	0	2	226
EC-21D	Balangoda	pd	43992	43039	795	15	73	0	5	65
LK-8221	Wellawaya	dsd	43180	41466	1266	18	106	4	4	316
LK-7133	Nuwaragam Palatha East	dsd	43004	42388	444	60	34	0	8	70
EC-19A	Mahiyanganaya	pd	42935	41751	1051	22	51	3	4	53
EC-03A	Panadura	pd	42624	42164	118	189	45	2	3	103
LK-9118	Balangoda	dsd	42552	41690	692	14	74	0	10	72
EC-03G	Beruwala	pd	42471	42072	306	38	16	1	4	34
LK-9215	Galigamuwa	dsd	42448	41824	540	10	18	0	2	54
EC-15A	Galgamuwa	pd	42309	41183	992	22	54	0	5	53
EC-03E	Mathugama	pd	42170	41648	454	24	7	1	1	35
LK-3309	Thissamaharama	dsd	42052	41010	584	12	82	0	12	352
LG-12042	Wattala PS	lg	41924	41448	240	106	40	4	1	85
LK-1118	Padukka	dsd	41760	41212	382	52	50	2	8	54
EC-21E	Rakwana	pd	41724	40516	930	13	69	2	15	179
LG-11034	Seethawaka PS	lg	41342	40739	449	45	33	1	5	70
LK-7206	Medirigiriya	dsd	41198	40336	676	12	50	0	2	122
LG-11033	Kotikawatta-Mullariyawa PS	lg	41067	40645	223	84	20	2	2	91
EC-09A	Mulkirigala	pd	40900	39910	789	6	14	0	4	177
LK-9103	Eheliyagoda	dsd	40886	40106	634	20	12	0	4	110
EC-15I	Kuliyapitiya	pd	40735	40057	564	28	25	1	3	57
LK-7203	Higurakgoda	dsd	40638	39826	688	52	22	0	2	48
LK-6145	Panduwasnuwara West	dsd	40602	39920	602	14	22	0	2	42
LG-13039	Panadura PS	lg	40569	40269	136	97	23	1	1	42
LK-7115	Nuwaragam Palatha Central	dsd	40308	39270	884	32	60	2	6	54
EC-14B	Trincomalee	pd	40292	39376	811	16	8	0	9	72
LG-21035	Medadumbara PS	lg	40270	39705	385	38	18	1	7	116
EC-04F	Kundasale	pd	40127	39562	385	38	18	1	7	116
LK-9209	Aranayake	dsd	40124	39462	542	2	20	0	4	94
LK-2233	Ukuwela	dsd	40094	39624	386	4	14	0	4	62
EC-15D	Hiriyala	pd	39952	39174	642	23	58	0	4	51
LG-61035	Ibbagamuwa PS	lg	39952	39174	642	23	58	0	4	51
LG-12035	Gampaha PS	lg	39936	39601	169	91	23	0	4	48
LK-6160	Mawathagama	dsd	39904	39304	470	10	30	0	2	88
LK-6245	Wennappuwa	dsd	39878	39518	184	112	14	2	0	48
LK-3109	Karandeniya	dsd	39740	39212	404	4	14	0	2	104
LK-4118	Valikamam East (Kopay)	dsd	39624	38540	966	48	8	0	12	50
EC-04L	Gampola	pd	39492	38862	515	18	18	2	7	70
LK-6136	Wariyapola	dsd	39464	38764	600	8	40	2	2	48
LK-5218	Sammanthurai	dsd	39438	38426	492	22	10	2	8	478
LK-6142	Bingiriya	dsd	39438	38600	742	6	30	0	6	54
EC-01B	Colombo Central	pd	39425	38982	230	59	4	2	13	135
LG-61037	Kuliyapitiya PS	lg	39334	38671	557	23	24	1	3	55
EC-07I	Akmeemana	pd	39131	38702	227	90	36	1	5	70
LK-4509	Karachchi	dsd	39128	37698	1278	10	52	0	48	42
LK-3239	Weligama	dsd	39050	38704	234	20	12	2	4	74
EC-15H	Katugampola	pd	39034	38461	491	19	23	0	3	37
LG-61043	Pannala PS	lg	39034	38461	491	19	23	0	3	37
LK-5327	Muthur	dsd	39004	37156	1690	18	10	8	4	118
EC-15B	Nikaweratiya	pd	38986	38046	822	14	57	0	2	45
LK-3112	Elpitiya	dsd	38784	38078	578	26	18	0	8	76
EC-16E	Wennappuwa	pd	38762	38423	225	62	9	1	0	42
LG-62040	Wennappuwa PS	lg	38762	38423	225	62	9	1	0	42
LK-6242	Nattandiya	dsd	38670	37674	518	66	342	2	8	60
LK-6187	Polgahawela	dsd	38312	37818	432	0	22	0	2	38
LK-6124	Maho	dsd	38232	37302	798	28	60	0	2	42
LK-6218	Mundel	dsd	38230	37042	1072	18	24	0	10	64
LK-6184	Alawwa	dsd	38214	37294	822	10	28	0	0	60
LK-4130	Thenmaradchi (Chavakachcheri)	dsd	38192	37322	784	18	36	2	2	28
LK-4133	Nallur	dsd	38126	37672	340	72	20	0	20	2
EC-07E	Hiniduma	pd	38069	37653	323	3	28	2	2	58
EC-08A	Deniyaya	pd	37912	37226	534	13	27	0	2	110
EC-03H	Agalawatta	pd	37877	37271	515	12	23	1	2	53
EC-17A	Medawachchiya	pd	37828	36819	900	12	43	1	3	50
LK-3106	Balapitiya	dsd	37772	37276	292	14	14	0	0	176
EC-13B	Samanthurai	pd	37649	36542	801	16	32	2	5	251
LK-6248	Dankotuwa	dsd	37646	37328	266	12	4	0	0	36
LK-1312	Bulathsinhala	dsd	37474	36690	700	8	18	2	8	48
LK-6233	Chilaw	dsd	37460	36996	378	20	8	2	2	54
LK-9115	Imbulpe	dsd	37380	36572	700	8	56	0	0	44
LK-1327	Dodangoda	dsd	37334	36764	502	24	8	0	2	34
LK-8133	Bandarawela	dsd	37278	36958	258	6	10	0	2	44
LK-5203	Dehiattakandiya	dsd	37254	36534	608	12	16	0	0	84
EC-02M	Kelaniya	pd	37231	36844	173	132	31	0	6	45
LK-2124	Medadumbara	dsd	36898	36320	476	6	22	0	0	74
LG-12011	Negombo MC	lg	36803	36385	167	152	39	1	6	53
EC-21A	Eheliyagoda	pd	36786	36076	582	15	25	0	2	86
EC-07F	Baddegama	pd	36749	36245	360	56	11	1	5	71
LK-9221	Ruwanwella	dsd	36740	35744	734	10	162	2	10	78
LK-45	Kilinochchi	district	36734	34804	1782	23	51	0	26	48
EC-10K	Kilinochchi	pd	36734	34804	1782	23	51	0	26	48
LG-91039	Kuruvita PS	lg	36699	36007	564	8	28	0	0	92
EC-15M	Mawathagama	pd	36640	36000	503	22	39	2	1	73
LK-3312	Hambantota	dsd	36616	35480	602	18	106	0	8	402
LK-7154	Kekirawa	dsd	36604	35892	604	10	30	0	4	64
EC-12C	Paddiruppu	pd	36549	34942	1522	6	3	0	3	73
EC-20A	Bibile	pd	36511	35348	1046	14	39	1	0	63
LK-3209	Pasgoda	dsd	36506	35708	648	8	22	0	2	118
LK-2309	Walapane	dsd	36482	35576	746	8	48	0	4	100
EC-02B	Negombo	pd	36300	35895	161	147	39	1	5	52
EC-15L	Kurunegala	pd	36201	35588	402	100	53	0	5	53
EC-15J	Dambadeniya	pd	36183	35395	684	14	23	0	2	65
EC-04M	Nawalapitiya	pd	36105	35662	383	7	13	2	2	36
LK-6106	Galgamuwa	dsd	36072	35246	758	14	26	0	8	20
LK-7148	Thalawa	dsd	35906	35160	660	12	28	2	0	44
LK-3206	Kotapola	dsd	35866	35308	412	14	28	0	2	102
LK-8212	Siyambalanduwa	dsd	35730	34268	1200	20	126	0	0	116
EC-15G	Bingiriya	pd	35604	34985	530	12	23	0	3	51
LK-8224	Buttala	dsd	35412	34078	862	20	212	0	130	110
EC-05D	Rattota	pd	35303	34802	430	4	16	0	4	47
LK-2157	Pasbagekorale	dsd	35268	34920	296	6	16	0	2	28
LK-9227	Yatiyantota	dsd	35082	34216	758	10	16	0	6	76
LK-2303	Kothmale East	dsd	34946	34250	618	12	28	0	4	34
EC-17G	Kekirawa	pd	34823	33948	754	18	36	1	2	64
LK-5212	Uhana	dsd	34798	33854	728	14	50	0	0	152
LK-44	Mullaitivu	district	34786	33100	1422	46	113	1	10	94
EC-11C	Mullaitivu	pd	34727	33046	1418	46	112	1	10	94
LK-8106	Rideemaliyadda	dsd	34712	33636	960	12	62	6	0	36
LK-5136	Manmunai South & Eruvil Pattu	dsd	34630	33824	780	8	2	0	0	16
EC-08B	Hakmana	pd	34628	34147	384	6	11	1	2	77
LG-62034	Kalpitiya PS	lg	34547	32703	1328	31	318	12	110	45
EC-18A	Minneriya	pd	34541	33790	652	34	31	0	2	32
LK-3154	Habaraduwa	dsd	34526	34128	304	14	10	0	6	64
EC-08G	Weligama	pd	34515	34174	224	13	14	1	2	87
EC-08C	Akuressa	pd	34475	34048	302	24	18	1	2	80
EC-17B	Horowpothana	pd	34279	33362	806	13	50	2	2	44
LG-13033	Beruwala PS	lg	34177	33857	260	21	2	0	3	34
LK-6181	Narammala	dsd	34152	33496	546	18	18	0	4	70
EC-21F	Nivithigala	pd	34088	33001	920	9	20	0	3	135
EC-16D	Nattandiya	pd	34053	33396	365	71	181	1	6	33
LG-62036	Nattandiya PS	lg	34053	33396	365	71	181	1	6	33
LG-91035	Embilipitiya PS	lg	33983	32894	862	12	23	1	0	191
LK-2145	Pathahewaheta	dsd	33942	33396	404	12	16	0	2	112
LK-2306	Hanguranketa	dsd	33900	33218	540	0	48	0	6	88
LK-3133	Ambalangoda	dsd	33848	33336	196	96	56	0	0	164
EC-01A	Colombo North	pd	33825	33063	538	38	3	2	21	160
LG-13032	Bandaragama PS	lg	33568	33226	138	119	33	3	2	47
LK-9136	Nivithigala	dsd	33564	32536	844	10	16	0	4	154
LK-6157	Mallawapitiya	dsd	33376	32696	536	34	48	4	0	58
EC-22E	Mawanella	pd	33333	32945	295	17	8	0	2	66
LG-92036	Mawanella PS	lg	33333	32945	295	17	8	0	2	66
EC-21C	Pelmadulla	pd	33296	32266	718	18	35	0	131	128
LK-3330	Beliatta	dsd	33172	32670	364	20	12	0	8	98
EC-07D	Bentara Elpitiya	pd	33141	32638	397	19	12	0	6	69
LK-6169	Kuliyapitiya East	dsd	33080	32516	508	6	8	2	2	38
LK-1310	Ingiriya	dsd	32980	32498	378	22	14	2	6	60
LK-2109	Akurana	dsd	32742	32304	342	18	6	2	2	68
EC-03D	Bulathsinhala	pd	32710	32106	537	12	13	1	5	36
EC-04C	Pathadumbara	pd	32682	32166	412	10	8	0	5	81
EC-14A	Seruvila	pd	32524	31355	967	12	13	2	3	172
EC-22A	Dedigama	pd	32379	31815	494	5	12	2	5	46
LG-92039	Warakapola PS	lg	32379	31815	494	5	12	2	5	46
EC-19H	Bandarawela	pd	32343	31927	346	12	10	0	2	46
LK-42	Mannar	district	32330	31276	940	19	11	5	17	62
EC-11A	Mannar	pd	32330	31276	940	19	11	5	17	62
LK-2121	Minipe	dsd	32318	31532	566	56	104	0	0	60
EC-08F	Matara	pd	32283	31973	82	147	29	1	6	45
LK-7139	Nochchiyagama	dsd	32184	31460	592	10	36	2	4	80
EC-18B	Medirigiriya	pd	32048	31347	589	6	27	1	3	75
EC-05C	Matale	pd	32017	31664	246	24	24	1	4	54
LK-2230	Rattota	dsd	31988	31446	484	4	18	0	4	32
LK-8215	Monaragala	dsd	31962	31086	772	14	46	0	2	42
EC-13C	Kalmunai	pd	31945	31380	453	72	4	1	12	23
LG-52011	Kalmunai MC	lg	31945	31380	453	72	4	1	12	23
EC-04K	Udunuwara	pd	31878	31588	224	8	9	2	3	44
LG-21046	Udunuwara PS	lg	31878	31588	224	8	9	2	3	44
LK-1339	Walallawita	dsd	31848	31392	398	10	18	2	2	26
LK-6175	Udubaddawa	dsd	31770	31370	318	18	16	0	0	48
LK-2106	Poojapitiya	dsd	31630	31218	360	6	2	0	0	44
LK-1318	Millaniya	dsd	31562	31188	330	0	2	2	2	38
EC-15E	Wariyapola	pd	31438	30813	538	9	33	1	1	43
LG-61047	Wariyapola PS	lg	31438	30813	538	9	33	1	1	43
LG-71047	Thalawa PS	lg	31385	30750	537	8	17	1	1	71
LK-2154	Ganga Ihala Korale	dsd	31350	30940	352	8	6	4	2	38
LG-21045	Udapalatha PS	lg	31172	30592	489	9	17	1	2	62
EC-04J	Yatinuwara	pd	31087	30765	221	23	14	1	5	58
LK-3142	Bope-Poddala	dsd	31056	30692	154	148	32	0	4	26
LK-3124	Nagoda	dsd	31042	30680	320	8	2	0	2	30
LK-3318	Angunakolapelessa	dsd	30864	30166	542	8	14	0	4	130
EC-06D	Walapane	pd	30828	30041	671	10	40	0	3	63
LG-23035	Walapane PS	lg	30828	30041	671	10	40	0	3	63
LK-7109	Medawachchiya	dsd	30692	29724	872	2	30	0	2	62
EC-07J	Habaraduwa	pd	30653	30296	277	13	9	0	5	53
LG-51011	Koralai Pattu PS	lg	30582	29662	816	58	10	1	11	24
LK-3248	Dikwella	dsd	30364	30054	158	6	12	0	4	130
LK-9133	Kalawana	dsd	30360	29614	586	12	72	0	2	74
LK-3324	Katuwana	dsd	30320	29386	704	4	18	0	6	202
LK-3218	Akuressa	dsd	30274	29894	290	8	14	0	2	66
EC-21G	Kalawana	pd	30157	29186	800	15	72	0	2	82
LG-12038	Kelaniya PS	lg	30066	29775	94	126	31	0	4	36
EC-15K	Polgahawela	pd	30000	29624	324	5	20	0	2	25
LG-61044	Polgahawela PS	lg	30000	29624	324	5	20	0	2	25
LK-1336	Palindanuwara	dsd	29992	29338	552	6	24	0	2	70
LK-3221	Welipitiya	dsd	29980	29644	214	6	16	0	0	100
EC-15F	Panduwasnuwara	pd	29732	29205	454	10	17	0	1	45
LG-61042	Panduwasnuwara PS	lg	29732	29205	454	10	17	0	1	45
LK-9151	Kolonna	dsd	29708	29042	570	18	32	0	0	46
EC-19G	Welimada	pd	29620	29051	460	9	31	1	6	62
LG-81044	Welimada  PS	lg	29620	29051	460	9	31	1	6	62
EC-08D	Kamburupitiya	pd	29600	29325	163	56	6	0	2	48
LG-32042	Weligama PS	lg	29534	29220	212	13	10	1	1	77
EC-09B	Beliatta	pd	29481	28997	371	17	9	0	4	83
LK-6236	Madampe	dsd	29438	29134	260	20	8	0	4	12
LK-6239	Mahawewa	dsd	29436	29118	212	76	20	0	4	6
LK-4203	Mannar Town	dsd	29392	28674	614	18	4	6	20	56
LK-2142	Doluwa	dsd	29318	28792	424	12	18	0	2	70
LK-3203	Pitabaddara	dsd	29304	28720	460	10	22	0	2	90
LK-3212	Mulatiyana	dsd	29230	28962	210	6	4	2	2	44
EC-06B	Kothmale	pd	29105	28568	477	6	16	0	3	35
LG-23033	Kothmale PS	lg	29105	28568	477	6	16	0	3	35
LK-5321	Kantale	dsd	28998	28276	532	8	6	2	0	174
LK-7127	Galenbidunuwewa	dsd	28916	28334	526	12	24	0	0	20
LK-3303	Sooriyawewa	dsd	28862	27958	612	6	22	0	6	258
EC-05B	Laggala	pd	28847	28078	687	8	44	0	4	26
EC-04H	Senkadagala	pd	28783	28542	128	45	17	1	0	50
