region_id	region_name	region_name_in_data	region_ent_type	total	cement	terrazzo_or_tile_or_granite_or_wood_or_titanium	concrete	mud	wood	sand	other	not_relevant
LK-1324	Beruwala	Beruwala	dsd	41819	23695	15066	2714	320	10	8	1	5
LK-1327	Dodangoda	Dodangoda	dsd	18525	10907	6056	1354	195	6	0	1	6
LK-1330	Mathugama	Mathugama	dsd	23326	12760	8594	1749	214	4	2	1	2
LK-1333	Agalawatta	Agalawatta	dsd	10425	6217	3291	800	114	2	0	0	1
LK-1336	Palindanuwara	Palindanuwara	dsd	14918	9727	3491	1415	276	7	1	0	1
LK-1339	Walallavita	Walallavita	dsd	15809	9816	4541	1222	223	2	4	1	0
LK-21	Kandy	Kandy District	district	389826	237497	113150	29352	9450	183	106	57	31
LK-2103	Thumpane	Thumpane	dsd	10774	6392	3079	1068	227	2	3	1	2
LK-2106	Pujapitiya	Pujapitiya	dsd	15610	9754	4058	1479	305	5	2	7	0
LK-2109	Akurana	Akurana	dsd	15564	8332	5624	1329	269	5	1	3	1
LK-2112	Pathadumbara	Pathadumbara	dsd	25283	14338	8461	2085	359	13	22	4	1
LK-2115	Panvila	Panvila	dsd	7203	5678	581	459	480	1	0	4	0
LK-2118	Udadumbara	Udadumbara	dsd	6720	4801	519	722	673	2	2	1	0
LK-2121	Minipe	Minipe	dsd	15952	11339	1668	1946	994	1	3	1	0
LK-2124	Medadumbara	Medadumbara	dsd	17917	11915	3169	1798	1023	8	3	1	0
LK-2127	Kundasale	Kundasale	dsd	39297	20964	14257	3528	498	13	25	7	5
LK-2130	Kandy Four Gravets & Gangawata Korale	Kandy Four Gravets Gangawata Korale	dsd	39803	20619	17685	1206	216	57	8	9	3
LK-2133	Harispattuwa	Harispattuwa	dsd	25869	13677	9800	2021	350	6	5	2	8
LK-2134	Hatharaliyadda	Hatharaliyadda	dsd	8636	6101	1740	597	196	2	0	0	0
LK-2136	Yatinuwara	Yatinuwara	dsd	30659	16910	11043	2193	487	17	4	3	2
LK-2139	Udunuwara	Udunuwara	dsd	31284	18492	10034	2250	489	12	3	3	1
LK-2142	Doluwa	Doluwa	dsd	14236	9916	2583	1131	591	9	5	1	0
LK-2145	Pathahewaheta	Pathahewaheta	dsd	16618	11063	3528	1494	519	7	3	2	2
LK-2148	Deltota	Delthota	dsd	8725	6817	848	585	467	2	2	3	1
LK-2151	Udapalatha	Udapalatha	dsd	26879	17542	7290	1509	512	13	7	1	5
LK-2154	Ganga Ihala Korale	Ganga Ihala Korale	dsd	15525	10445	3479	1105	489	3	4	0	0
LK-2157	Pasbage Korale	Pasbage Korale	dsd	17272	12402	3704	847	306	5	4	4	0
LK-22	Matale	Matale District	district	148184	91242	31986	18984	5888	11	37	24	12
LK-2203	Galewela	Galewela	dsd	22154	12461	4664	4137	877	2	7	5	1
LK-2206	Dambulla	Dambulla	dsd	22894	13574	4660	3905	740	1	9	4	1
LK-2209	Naula	Naula	dsd	8834	5549	1742	1141	398	1	2	1	0
LK-2212	Pallepola	Pallepola	dsd	9069	5746	1774	1265	274	1	4	5	0
LK-2215	Yatawatta	Yatawatta	dsd	8886	6086	1629	800	370	0	1	0	0
LK-2218	Matale	Matale	dsd	21828	12024	7871	1591	327	3	4	5	3
LK-2221	Ambanganga Korale	Ambanganga Korale	dsd	4682	3095	658	540	388	1	0	0	0
LK-2224	Laggala-Pallegama	- - Laggala-Pallegama	dsd	4876	2940	901	824	208	0	2	0	1
LK-2227	Wilgamuwa	Wilgamuwa	dsd	9813	7170	550	1389	702	0	1	1	0
LK-2230	Rattota	Rattota	dsd	15594	10335	2652	1652	946	0	3	2	4
LK-2233	Ukuwela	Ukuwela	dsd	19554	12262	4885	1740	658	2	4	1	2
LK-23	Nuwara Eliya	Nuwara Eliya District	district	192915	157465	15400	10541	8751	167	242	302	47
LK-2303	Kothmale	Kothmale West	dsd	11360	8378	1623	869	466	10	11	1	2
LK-2303	Kothmale	Kothmale East	dsd	16612	13567	1350	800	835	6	28	22	4
LK-2306	Hanguranketha	Hanguranketha	dsd	16557	11238	2708	1623	962	10	6	8	2
LK-2309	Walapane	Walapane	dsd	17697	14021	1247	1092	1306	11	14	4	2
LK-2312	Nuwara Eliya	Nuwara Eliya	dsd	22302	18653	1656	1069	726	78	48	66	6
LK-2315	Ambagamuwa	Ambagamuwa	dsd	12515	9400	2246	571	280	12	3	3	0
LK-23XX	Mathurata	Mathurata	dsd	9375	6690	963	689	1026	5	2	0	0
LK-23XX	Nildandahinna	Nildandahinna	dsd	12232	8738	978	924	1570	4	8	8	2
LK-23XX	Thalawakele	Thalawakele	dsd	32304	28950	1225	1205	740	16	65	89	14
LK-23XX	Norwood	Norwood	dsd	41961	37830	1404	1699	840	15	57	101	15
LK-31	Galle	Galle District	district	305379	167807	112481	21466	3414	97	51	43	20
LK-3103	Bentota	Benthota	dsd	13661	7555	4992	984	122	5	1	2	0
LK-3106	Balapitiya	Balapitiya	dsd	18692	9912	7544	1136	85	5	9	1	0
LK-3109	Karandeniya	Karandeniya	dsd	19823	10614	6980	2081	132	4	6	3	3
LK-3112	Elpitiya	Elpitiya	dsd	19310	11180	6516	1401	208	0	4	1	0
LK-3115	Niyagama	Niyagama	dsd	10330	6279	3266	681	97	2	2	2	1
LK-3118	Thawalama	Thawalama	dsd	9468	6057	2221	891	290	7	0	2	0
LK-3121	Neluwa	Neluwa	dsd	8429	5617	2020	641	145	5	0	1	0
LK-3124	Nagoda	Nagoda	dsd	15445	9815	4151	1194	282	1	2	0	0
LK-3127	Baddegama	Baddegama	dsd	14223	7673	5045	1305	187	4	2	6	1
LK-3130	Welivitiya-Divithura	- - Welivitiya-Divithura	dsd	8597	5008	2736	740	109	1	1	2	0
LK-3133	Ambalangoda	Ambalangoda	dsd	16798	8387	7239	1095	66	7	1	3	0
LK-3134	Gonapeenuwala	Gonapeenuwala	dsd	6749	3674	2570	468	31	5	0	1	0
LK-3136	Hikkaduwa	Hikkaduwa	dsd	7386	3879	3169	315	19	3	0	1	0
LK-3139	Galle Four Gravets	Galle Four Gravets	dsd	26173	13314	11973	782	74	16	3	5	6
LK-3142	Bope-Poddala	- - Bope-Poddala	dsd	15444	6526	8151	645	106	7	4	3	2
LK-3145	Akmeemana	Akmeemana	dsd	23381	11548	9644	1780	392	4	5	6	2
LK-3148	Yakkalamulla	Yakkalamulla	dsd	13328	8058	3670	1246	343	8	1	1	1
LK-3151	Imaduwa	Imaduwa	dsd	13341	7079	4649	1325	285	1	0	0	2
LK-3154	Habaraduwa	Habaraduwa	dsd	16999	8976	6762	1080	172	3	4	0	2
LK-31XX	Wanduramba	Wanduramba	dsd	7908	5013	2126	591	170	5	1	2	0
LK-31XX	Madampagama	Madampagama	dsd	9143	5687	3058	353	39	3	2	1	0
LK-31XX	Rathgama	Rathgama	dsd	10751	5956	3999	732	60	1	3	0	0
LK-32	Matara	Matara District	district	230034	129960	75837	20311	3795	57	29	30	15
LK-3203	Pitabeddara	Pitabeddara	dsd	14606	9884	2933	1371	412	5	1	0	0
LK-3206	Kotapola	Kotapola	dsd	17734	12725	3447	1035	514	13	0	0	0
LK-3209	Pasgoda	Pasgoda	dsd	18139	11874	3886	1787	579	8	1	2	2
LK-3212	Mulatiyana	Mulatiyana	dsd	14550	8151	4680	1475	242	2	0	0	0
LK-3215	Athuraliya	Athuraliya	dsd	9020	5890	2099	801	228	2	0	0	0
LK-3218	Akuressa	Akuressa	dsd	15065	8850	4516	1421	274	1	1	1	1
LK-3221	Welipitiya	Welipitiya	dsd	14800	8245	4600	1686	265	1	1	2	0
LK-3224	Malimbada	Malimbada	dsd	10206	5678	3585	800	139	1	2	0	1
LK-3227	Kamburupitiya	Kamburupitiya	dsd	11827	6300	4242	1123	155	4	0	1	2
LK-3230	Hakmana	Hakmana	dsd	9127	4675	3003	1287	159	0	0	3	0
LK-3233	Kirinda Puhulwella	Kirinda Puhulwella	dsd	5778	3149	1946	587	94	0	1	1	0
LK-3236	Thihagoda	Thihagoda	dsd	9668	5526	3188	810	138	0	0	3	3
LK-3239	Weligama	Weligam	dsd	19263	10163	7523	1396	162	11	4	2	2
LK-3242	Matara Four Gravets	Matara Four Gravets	dsd	32080	13770	16356	1759	172	6	12	3	2
LK-3245	Devinuwara	Devinuwara	dsd	13098	6934	4753	1279	119	2	3	7	1
LK-3248	Dickwella	Dickwella	dsd	15073	8146	5080	1694	143	1	3	5	1
LK-33	Hambantota	Hambantota District	district	187558	111143	48143	24634	3543	36	29	23	7
LK-3303	Sooriyawewa	Sooriyawewa	dsd	14365	8899	2663	2459	336	0	5	1	2
LK-3306	Lunugamvehera	Lunugamwehera	dsd	10381	5858	2087	2143	287	0	4	2	0
LK-3309	Thissamaharama	Thissamaharama	dsd	20935	12671	5217	2803	216	17	4	7	0
LK-3312	Hambantota	Hambantota	dsd	18259	11971	3948	2047	282	2	5	4	0
LK-3315	Ambalantota	Ambalantota	dsd	22250	13286	5809	2794	354	3	1	3	0
LK-3318	Angunakolapelessa	Angunakolapelessa	dsd	15372	9525	3135	2356	352	2	1	0	1
LK-3321	Weeraketiya	Weeraketiya	dsd	13610	8343	3299	1697	268	2	0	1	0
LK-3324	Katuwana	Katuwana	dsd	15091	8863	3589	2111	523	3	1	0	1
LK-3325	Walasmulla	Walasmulla	dsd	13427	7758	3799	1537	331	0	1	0	1
LK-3327	Okewela	Okewela	dsd	5664	3175	1672	712	104	0	1	0	0
LK-3330	Beliatta	Beliatta	dsd	16473	8525	5793	1892	254	5	2	2	0
LK-3333	Tangalle	Tangalle	dsd	21731	12269	7132	2083	236	2	4	3	2
LK-41	Jaffna	Jaffna District	district	156797	120135	30741	3443	1608	29	486	246	109
LK-4103	Island North (Kayts)	Island North Kayts	dsd	2633	1954	294	316	65	0	3	1	0
LK-4104	Karainagar	Karainagar	dsd	2630	2465	75	1	82	0	5	1	1
LK-4106	Valikamam West (Chankanai)	Valikamam West Chankanai	dsd	11568	8658	1978	599	275	0	48	1	9
LK-4109	Valikamam South-West (Sandilipay)	Valikamam South-West Sandilipay	dsd	13821	10321	2867	311	222	4	52	34	10
LK-4112	Valikamam North (Tellipallai)	Valikamam North	dsd	11932	9543	2098	179	74	0	19	6	13
LK-4115	Valikamam South (Uduvil)	Valikamam South Uduvil	dsd	13108	9841	2714	369	122	1	44	14	3
LK-4118	Valikamam East (Kopay)	Valikamam East Kopay	dsd	19402	14768	3312	815	311	8	66	85	37
LK-4121	Vadamaradchi South-West (Karaveddy)	Vadamaradchy South-West Karaveddy	dsd	11195	9307	1598	108	90	5	29	55	3
LK-4124	Vadamaradchi East	Vadamaradchy East	dsd	3950	3553	193	89	41	0	56	6	12
LK-4127	Vadamaradchi North (Point Pedro)	Vadamaradchy North Point Perdro	dsd	12253	10347	1779	60	36	4	20	3	4
LK-4130	Thenmaradchi (Chavakachcheri)	Thenmaradchy Chavakachcheri	dsd	18897	15102	3110	422	151	3	81	25	3
LK-4133	Nallur	Nallur	dsd	18614	11880	6545	112	41	2	17	9	8
LK-4136	Jaffna	Jaffna	dsd	11522	7841	3565	41	46	2	17	4	6
LK-4139	Island South (Velanai)	Island South Velanai	dsd	4379	3750	553	18	37	0	19	2	0
LK-4142	Delft	Delft	dsd	893	805	60	3	15	0	10	0	0
LK-42	Mannar	Mannar District	district	32005	29198	2045	364	204	46	81	48	19
LK-4203	Mannar Town	Mannar Town	dsd	14549	12854	1198	319	21	45	60	44	8
LK-4206	Manthai West	Manthai West	dsd	5071	4885	113	11	59	0	3	0	0
LK-4209	Madhu	Madhu	dsd	2702	2584	55	12	46	0	3	2	0
LK-4212	Nanattan	Nanattan	dsd	5337	4646	583	22	58	1	14	2	11
LK-4215	Musali	Musali	dsd	4346	4229	96	0	20	0	1	0	0
LK-43	Vavuniya	Vavuniya District	district	47825	40058	5070	1412	1053	14	162	52	4
LK-4303	Vavuniya North	Vavuniya North	dsd	4284	3852	136	105	163	0	24	4	0
LK-4306	Vavuniya South	Vavuniya South	dsd	4488	3652	473	262	98	0	1	1	1
LK-4309	Vavuniya	Vavuniya	dsd	32007	26328	4023	873	596	13	128	43	3
LK-4312	Vengalacheddikulam	Vengalacheddikulam	dsd	7046	6226	438	172	196	1	9	4	0
LK-44	Mullaitivu	Mullaitivu District	district	34348	29268	2971	1250	638	16	133	32	40
LK-4403	Thunukkai	Thunukkai	dsd	2829	2548	180	33	57	0	9	1	1
LK-4406	Manthai East	Manthai East	dsd	2178	1838	137	158	43	0	1	1	0
LK-4409	Puthukkudiyiruppu	Puthukudiyiruppu	dsd	10667	9053	1140	191	174	13	60	3	33
LK-4412	Oddusuddan	Oddusudan	dsd	5078	4486	368	88	102	2	22	8	2
LK-4415	Maritimepattu	Maritimepattu	dsd	10393	9215	970	87	61	1	36	19	4
LK-4418	Welioya	Welioya	dsd	3203	2128	176	693	201	0	5	0	0
LK-45	Kilinochchi	Kilinochchi District	district	36484	31681	3149	702	604	9	177	151	11
LK-4503	Pachchilaipalli	Pachchilaipalli	dsd	3835	3462	191	44	49	0	21	66	2
LK-4506	Kandavalai	Kandavalai	dsd	6858	6186	301	229	90	3	40	9	0
LK-4509	Karachchi	Karachchi	dsd	19488	16281	2298	400	352	2	87	61	7
LK-4512	Poonakary	Poonakary	dsd	6303	5752	359	29	113	4	29	15	2
LK-51	Batticaloa	Batticaloa District	district	167150	140770	14626	7538	727	47	3071	148	223
LK-5103	Koralai Pattu North (Vaharai)	Koralai Pattu North Vaharai	dsd	7758	6979	21	82	86	6	492	0	92
LK-5104	Koralai Pattu Central	Koralai Pattu Central	dsd	8481	7534	382	456	6	1	67	24	11
LK-5106	Koralai Pattu  West (Oddamavadi)	Koralai Pattu West Oddamavadi	dsd	7200	6354	372	419	6	1	36	11	1
LK-5109	Koralai Pattu (Valachchenai)	Koralai Pattu Valachchenai	dsd	8313	7340	399	278	7	1	271	4	13
LK-5110	Koralai Pattu South (Kiran)	Koralai Pattu South Kiran	dsd	8528	7365	172	235	113	7	624	12	0
LK-5112	Eravur Pattu	Eravur Pattu	dsd	25613	22013	1255	1414	175	4	719	30	3
LK-5115	Eravur Town	Eravur Town	dsd	7172	5378	1267	483	7	2	28	1	6
LK-5118	Manmunai North	Manmunai North	dsd	25590	19212	5063	1062	8	1	184	26	34
LK-5121	Manmunai West	Manmunai West	dsd	9647	8972	233	113	158	5	163	3	0
LK-5124	Kattankudy	Kattankudy	dsd	12899	9237	2788	826	6	2	24	2	14
LK-5127	Manmunai Pattu (Araipattai)	Manmunai Pattu Araipattai	dsd	10254	9099	735	265	3	2	137	4	9
LK-5130	Manmunai South-West	Manmunai South-West	dsd	7745	6839	177	494	68	8	132	9	18
LK-5133	Porativu Pattu	Poratheevu Pattu	dsd	11378	10178	541	480	63	5	94	9	8
LK-5136	Manmunai South & Eruvil pattu	Manmunai South Eruvil Pattu	dsd	16572	14270	1221	931	21	2	100	13	14
LK-52	Ampara	Ampara District	district	202861	150512	29815	17347	4550	23	455	76	83
LK-5203	Dehiattakandiya	Dehiattakandiya	dsd	18437	10964	2274	4275	920	0	1	1	2
LK-5206	Padiyathalawa	Padiyathalawa	dsd	6260	3007	716	1653	882	0	1	0	1
LK-5209	Mahaoya	Mahaoya	dsd	6968	4109	522	1349	985	1	2	0	0
LK-5212	Uhana	Uhana	dsd	17326	12098	2867	1743	602	1	13	1	1
LK-5215	Ampara	Ampara	dsd	13172	7957	3683	1170	354	1	4	3	0
LK-5216	Navithanveli	Navithanveli	dsd	6288	5826	313	108	17	0	18	5	1
LK-5218	Samanthurai	Samanthurai	dsd	19400	15800	2785	705	39	4	63	2	2
LK-5221	Kalmunai Tamil Division	Kalmunai Tamil Division	dsd	8675	6743	1295	605	4	2	21	4	1
LK-5224	Kalmunai	Kalmunai	dsd	13481	9430	3176	848	3	0	22	0	2
LK-5225	Sainthamaruthu	Sainthamarathu	dsd	7804	5086	2286	417	0	1	13	0	1
LK-5227	Karaitheevu	Karaitheevu	dsd	5241	4411	737	59	12	1	12	3	6
LK-5230	Ninthavur	Ninthavur	dsd	8729	7025	1479	198	2	4	20	1	0
LK-5233	Addalachchenai	Addalachchenai	dsd	13178	10910	1078	1007	92	1	70	8	12
LK-5234	Irakkamam	Irakkamam	dsd	4649	4188	277	122	27	0	35	0	0
LK-5236	Akkaraipattu	Akkaraipattu	dsd	12052	9145	2124	750	15	0	17	1	0
LK-5239	Alayadiwembu	Alayadiwembu	dsd	7017	5791	846	297	7	0	40	36	0
LK-5242	Damana	Damana	dsd	11478	7880	1725	1406	456	2	9	0	0
LK-5245	Thirukkovil	Thirukkovil	dsd	8338	7390	666	151	31	3	48	11	38
LK-5248	Pothuvil	Pothuvil	dsd	11466	10436	601	318	52	1	42	0	16
LK-5251	Lahugala	Lahugala	dsd	2902	2316	365	166	50	1	4	0	0
LK-53	Trincomalee	Trincomalee District	district	119351	101681	9964	5276	1729	23	463	103	112
LK-5303	Padavi Sri Pura	Padavisiripura	dsd	3438	2511	277	568	80	0	0	1	1
LK-5306	Kuchchaveli	Kuchchaveli	dsd	10805	10210	223	237	45	5	52	3	30
LK-5309	Gomarankadawala	Gomarankadawala	dsd	2446	1860	192	269	121	0	2	0	2
LK-5312	Morawewa	Morawewa	dsd	2688	2247	133	238	68	0	1	0	1
LK-5315	Trincomalee Town and Gravets	Trincomalee Town and Gravets	dsd	26784	20937	4939	719	75	5	28	77	4
LK-5318	Thambalagamuwa	Thambalagamuwa	dsd	9324	8315	520	426	48	2	13	0	0
LK-5321	Kanthale	Kanthale	dsd	14128	10564	1961	1423	164	0	13	0	3
LK-5324	Kinniya	Kinniya	dsd	21750	19748	672	394	854	7	68	6	1
LK-5327	Muttur	Muttur	dsd	19400	18063	639	336	139	4	143	10	66
LK-5330	Seruvila	Seruvila	dsd	4655	3690	352	485	119	0	7	2	0
LK-5333	Verugal (Eachchilampattu)	Verugal Eachchilampattu	dsd	3933	3536	56	181	16	0	136	4	4
LK-61	Kurunegala	Kurunegala District	district	506909	313606	122146	60973	9610	105	331	100	38
LK-6103	Giribawa	Giribawa	dsd	10396	7143	1312	1614	319	2	3	1	2
LK-6106	Galgamuwa	Galgamuwa	dsd	17858	11363	3007	2811	667	4	4	1	1
LK-6109	Ehetuwewa	Ehetuwewa	dsd	8227	5233	1323	1359	301	4	2	5	0
LK-6112	Ambanpola	Ambanpola	dsd	7706	4926	1462	1081	231	1	2	3	0
LK-6115	Kotavehera	Kotavehera	dsd	6923	4842	911	896	261	0	10	3	0
LK-6118	Rasnayakapura	Rasnayakapura	dsd	7192	5021	938	1067	155	0	7	4	0
LK-6121	Nikaweratiya	Nikaweratiya	dsd	12752	7984	2548	1890	318	3	6	3	0
LK-6124	Maho	Maho	dsd	18820	12287	3587	2339	585	2	13	4	3
LK-6127	Polpithigama	Polpithigama	dsd	25354	16515	3877	3790	1159	1	3	8	1
LK-6130	Ibbagamuwa	Ibbagamuwa	dsd	26761	15882	6528	3595	729	2	17	4	4
LK-6133	Ganewatta	Ganewatta	dsd	12898	7906	2795	1815	366	4	7	4	1
LK-6136	Wariyapola	Wariyapola	dsd	19586	12193	4705	2320	358	2	3	4	1
LK-6139	Kobeigane	Kobeigane	dsd	11689	7942	2187	1407	135	3	12	3	0
LK-6142	Bingiriya	Bingiriya	dsd	19673	13154	3681	2626	172	8	27	4	1
LK-6145	Panduwasnuwara West	Panduwasnuwara West	dsd	20217	12353	4931	2694	204	4	24	5	2
LK-6148	Panduwasnuwara East	Panduwasnuwara East	dsd	9394	6039	1941	1264	142	5	2	1	0
LK-6149	Bamunakotuwa	Bamunakotuwa	dsd	11659	7248	2778	1435	178	3	10	6	1
LK-6151	Maspotha	Maspotha	dsd	12094	5585	5093	1299	111	3	2	1	0
LK-6154	Kurunegala	Kurunegala	dsd	23802	12389	9128	1966	295	0	19	1	4
LK-6157	Mallawapitiya	Mallawapitiya	dsd	16432	8560	5799	1748	296	4	21	3	1
LK-6160	Mawathagama	Mawathagama	dsd	19764	12007	5345	2055	335	2	13	4	3
LK-6163	Rideegama	Rideegama	dsd	26848	17353	5559	3152	763	2	13	3	3
LK-6166	Weerambugedara	Weerambugedara	dsd	10730	6658	2807	1119	139	1	4	2	0
LK-6169	Kuliyapitiya East	Kuliyapitiya East	dsd	16420	10835	3447	1945	179	5	9	0	0
LK-6172	Kuliyapitiya West	Kuliyapitiya West	dsd	24056	14086	7131	2704	100	1	25	8	1
LK-6175	Udubaddawa	Udubaddawa	dsd	15815	9606	4278	1833	70	8	16	3	1
LK-6178	Pannala	Pannala	dsd	38853	24385	10360	3852	208	12	24	7	5
LK-6181	Narammala	Narammala	dsd	17026	10891	4078	1798	240	3	15	1	0
LK-6184	Alawwa	Alawwa	dsd	19020	12243	4580	1797	378	11	7	3	1
LK-6187	Polgahawela	Polgahawela	dsd	18944	10977	6030	1702	216	5	11	1	2
LK-62	Puttalam	Puttalam District	district	231494	152888	50960	24146	2319	199	786	124	72
LK-6203	Kalpitiya	Kalpitiya	dsd	24165	18880	2209	2497	127	32	383	20	17
LK-6206	Vanathawilluwa	Vanathawilluwa	dsd	5846	4341	441	776	189	5	87	5	2
LK-6209	Karuwalagaswewa	Karuwalagaswewa	dsd	7941	5602	857	1153	317	5	4	3	0
LK-6212	Nawagattegama	Nawagattegama	dsd	5271	3447	604	947	271	1	1	0	0
LK-6215	Puttalam	Puttalam	dsd	23692	18100	3028	2186	243	9	83	40	3
LK-6218	Mundel	Mundel	dsd	18707	13882	2287	2268	150	22	78	15	5
LK-6221	Mahakumbukkadawala	Mahakumbukkadawala	dsd	6599	4554	903	969	162	0	4	1	6
LK-6224	Anamaduwa	Anamaduwa	dsd	12891	8702	2101	1703	370	3	8	3	1
LK-6227	Pallama	Pallama	dsd	8263	5875	1178	1062	118	14	11	3	2
LK-6230	Arachchikattuwa	Arachchikattuwa	dsd	12661	7778	3079	1691	81	4	23	2	3
LK-6233	Chilaw	Chilaw	dsd	18494	10845	5674	1822	75	35	34	5	4
LK-6236	Madampe	Madampe	dsd	14626	8687	4131	1748	38	10	10	2	0
LK-6239	Mahawewa	Mahawewa	dsd	14662	8854	4590	1143	32	20	18	1	4
LK-6242	Nattandiya	Nattandiya	dsd	19220	11093	6605	1436	47	12	17	8	2
LK-6245	Wennappuwa	Wennappuwa	dsd	19695	10708	7886	1028	37	12	7	4	13
LK-6248	Dankotuwa	Dankotuwa	dsd	18761	11540	5387	1717	62	15	18	12	10
LK-71	Anuradhapura	Anuradhapura District	district	271408	164724	50056	48327	8148	27	80	29	17
LK-7103	Padaviya	Padaviya	dsd	7164	4713	819	1354	274	0	4	0	0
LK-7106	Kebithigollewa	Kebithigollewa	dsd	7625	5103	1132	1087	302	1	0	0	0
LK-7109	Medawachchiya	Medawachchiya	dsd	15056	8769	2574	3139	563	2	5	3	1
LK-7112	Mahawilachchiya	Mahawilachchiya	dsd	7081	4954	491	1212	420	2	1	1	0
LK-7115	Nuwaragam Palatha Central	Nuwaragam Palatha Central	dsd	19849	11574	4573	3110	586	3	2	0	1
LK-7118	Rambewa	Rambewa	dsd	11382	6837	1595	2480	465	1	2	2	0
LK-7121	Kahatagasdigiliya	Kahatagasdigiliya	dsd	12483	7876	1875	2374	349	0	6	1	2
LK-7124	Horowpothana	Horowpothana	dsd	11190	8077	1100	1688	316	1	7	0	1
LK-7127	Galenbindunuwewa	Galenbindunuwewa	dsd	14371	8939	2197	2858	373	0	2	0	2
LK-7130	Mihinthale	Mihinthale	dsd	11419	6356	2808	2030	220	1	3	1	0
LK-7133	Nuwaragam Palatha East	Nuwaragam Palatha East	dsd	21194	10615	8669	1736	157	3	6	5	3
LK-7136	Nachchaduwa	Nachchaduwa	dsd	8180	4892	1566	1558	159	3	1	0	1
LK-7139	Nochchiyagama	Nochchiyagama	dsd	15943	9844	2796	2832	468	1	0	1	1
LK-7142	Rajanganaya	Rajanganaya	dsd	10677	6869	1617	1904	274	0	8	3	2
LK-7145	Thambuttegama	Thambuttegama	dsd	13271	7321	2839	2705	402	0	0	2	2
LK-7148	Thalawa	Thalawa	dsd	17628	10533	2893	3613	581	3	2	3	0
LK-7151	Thirappane	Thirappane	dsd	8897	5185	1364	2019	322	2	4	1	0
