region_id	region_name	region_name_in_data	region_ent_type	total	cement	terrazzo_or_tile_or_granite_or_wood_or_titanium	concrete	mud	wood	sand	other	not_relevant
LK	Sri Lanka	Sri Lanka	country	6030541	3710163	1692659	498925	115259	2579	7707	2038	1211
LK-11	Colombo	Colombo District	district	654051	284355	343281	24441	839	743	155	70	167
LK-1103	Colombo	Colombo	dsd	71142	40960	25214	4688	46	195	10	2	27
LK-1106	Kolonnawa	Kolonnawa	dsd	56100	26372	27438	2008	91	108	18	1	64
LK-1109	Kaduwela	Kaduwela	dsd	79742	27697	49621	2247	95	54	19	6	3
LK-1112	Homagama	Homagama	dsd	79737	31639	44789	3117	121	26	10	6	29
LK-1115	Seethawaka	Seethawaka	dsd	34414	20481	11489	2270	139	7	19	5	4
LK-1118	Padukka	Padukka	dsd	20691	11204	7806	1595	69	8	6	1	2
LK-1121	Maharagama	Maharagama	dsd	56550	19243	36009	1193	47	39	7	3	9
LK-1124	Sri Jayawardanapura Kotte	Sri Jayawardanapura Kotte	dsd	27833	10538	16596	556	44	88	5	3	3
LK-1127	Thimbirigasyaya	Thimbirigasyaya	dsd	58102	26697	28589	2704	22	76	3	1	10
LK-1130	Dehiwala	Dehiwala	dsd	25382	7388	17478	474	19	14	2	3	4
LK-1131	Ratmalana	Ratmalana	dsd	25005	10709	13950	275	21	41	8	1	0
LK-1133	Moratuwa	Moratuwa	dsd	43985	23648	19088	1063	58	54	36	33	5
LK-1136	Kesbewa	Kesbewa	dsd	75368	27779	45214	2251	67	33	12	5	7
LK-12	Gampaha	Gampaha District	district	683025	356781	281209	41726	2515	307	318	111	58
LK-1203	Negombo	Negombo	dsd	35897	18927	15104	1820	12	17	16	1	0
LK-1206	Katana	Katana	dsd	74870	42772	27194	4741	106	15	26	13	3
LK-1209	Divulapitiya	Divulapitiya	dsd	44830	26067	14039	4488	184	13	23	8	8
LK-1212	Mirigama	Mirigama	dsd	49540	28357	16321	4328	487	15	25	4	3
LK-1215	Minuwangoda	Minuwangoda	dsd	56287	28708	22487	4851	201	9	20	7	4
LK-1218	Wattala	Wattala	dsd	48787	24703	21143	2311	394	102	84	38	12
LK-1221	Ja-Ela	- - Ja-Ela	dsd	57159	27125	26929	2936	106	32	21	7	3
LK-1224	Gampaha	Gampaha	dsd	57568	26381	28032	2984	141	14	10	3	3
LK-1227	Attanagalla	Attanagalla	dsd	54037	27751	22409	3573	264	15	17	6	2
LK-1230	Dompe	Dompe	dsd	47297	28178	15749	3109	219	6	27	7	2
LK-1233	Mahara	Mahara	dsd	61376	28781	28919	3402	213	26	23	8	4
LK-1236	Kelaniya	Kelaniya	dsd	36692	19583	16255	686	114	30	11	3	10
LK-1239	Biyagama	Biyagama	dsd	58685	29448	26628	2497	74	13	15	6	4
LK-13	Kalutara	Kalutara District	district	349430	195577	129607	21626	2334	109	105	27	45
LK-1303	Panadura	Panadura	dsd	49198	23979	23156	1948	65	29	10	2	9
LK-1306	Bandaragama	Bandaragama	dsd	33138	16492	14698	1869	46	2	21	6	4
LK-1309	Horana	Horana	dsd	37489	18968	15705	2591	190	6	20	5	4
LK-1310	Ingiriya	Ingiriya	dsd	16382	10325	5021	907	100	14	12	2	1
LK-1312	Bulathsinhala	Bulathsinhala	dsd	18669	13178	4123	1118	240	1	5	1	3
LK-1315	Madurawala	Madurawala	dsd	10362	6299	3489	479	89	1	3	1	1
LK-1318	Millaniya	Millaniya	dsd	15648	10144	4179	1190	113	7	11	2	2
LK-1321	Kalutara	Kalutara	dsd	43722	23070	18197	2270	149	18	8	4	6
