region_id	region_name	region_name_in_data	region_ent_type	total	ground_water-_protected_well	ground_water-semi_protected_well	ground_water-unprotected_well	ground_water-tube_well	ground_water-spring_or_fountain	pipe_borne_water-national_water_supply_and_drainage_board	pipe_borne_water-local_authority	pipe_borne_water-community_based_organizations	pipe_borne_water-private_water_supply_project	other-tank_or_river_or_stream	other-rain_water	other-bottled_water	other-filter_water	other-bowser	other-other
LK	Sri Lanka	Sri Lanka	country	6111315	1624506	267327	77806	270401	230268	2374349	100764	419247	130394	59336	4346	63753	456849	31208	761
LK-11	Colombo	Colombo District	district	661822	78469	3522	568	3649	1344	558425	3720	9703	1278	124	24	720	55	22	199
LK-11	Colombo	Colombo District	district	661822	78469	3522	568	3649	1344	558425	3720	9703	1278	124	24	720	55	22	199
LK-1103	Colombo	Colombo	dsd	72479	755	110	8	898	20	69967	515	51	18	5	5	71	7	3	46
LK-1103	Colombo	Colombo	dsd	72479	755	110	8	898	20	69967	515	51	18	5	5	71	7	3	46
LK-1106	Kolonnawa	Kolonnawa	dsd	56756	544	175	8	106	19	54897	423	31	478	5	4	36	20	2	8
LK-1106	Kolonnawa	Kolonnawa	dsd	56756	544	175	8	106	19	54897	423	31	478	5	4	36	20	2	8
LK-1109	Kaduwela	Kaduwela	dsd	80373	9997	293	62	452	13	67888	495	961	18	3	1	175	4	8	3
LK-1109	Kaduwela	Kaduwela	dsd	80373	9997	293	62	452	13	67888	495	961	18	3	1	175	4	8	3
LK-1112	Homagama	Homagama	dsd	80298	28182	698	142	371	5	49152	266	1321	57	3	4	39	3	2	53
LK-1112	Homagama	Homagama	dsd	80298	28182	698	142	371	5	49152	266	1321	57	3	4	39	3	2	53
LK-1115	Seethawaka	Seethawaka	dsd	34798	12802	558	151	199	1012	15074	147	4270	423	48	3	34	1	1	75
LK-1115	Seethawaka	Seethawaka	dsd	34798	12802	558	151	199	1012	15074	147	4270	423	48	3	34	1	1	75
LK-1118	Padukka	Padukka	dsd	20880	10710	760	82	123	197	5803	24	2955	174	43	0	3	0	0	6
LK-1118	Padukka	Padukka	dsd	20880	10710	760	82	123	197	5803	24	2955	174	43	0	3	0	0	6
LK-1121	Maharagama	Maharagama	dsd	57114	2925	188	17	156	18	53432	274	8	9	6	1	76	2	1	1
LK-1121	Maharagama	Maharagama	dsd	57114	2925	188	17	156	18	53432	274	8	9	6	1	76	2	1	1
LK-1124	Sri Jayawardanapura Kotte	Sri Jayawardanapura Kotte	dsd	28243	289	24	8	92	2	27621	151	17	13	0	3	20	2	0	1
LK-1124	Sri Jayawardanapura Kotte	Sri Jayawardanapura Kotte	dsd	28243	289	24	8	92	2	27621	151	17	13	0	3	20	2	0	1
LK-1127	Thimbirigasyaya	Thimbirigasyaya	dsd	58681	904	105	18	149	13	56598	732	53	17	1	3	78	6	3	1
LK-1127	Thimbirigasyaya	Thimbirigasyaya	dsd	58681	904	105	18	149	13	56598	732	53	17	1	3	78	6	3	1
LK-1130	Dehiwala	Dehiwala	dsd	25565	234	37	5	66	3	25023	132	3	7	2	0	52	0	1	0
LK-1130	Dehiwala	Dehiwala	dsd	25565	234	37	5	66	3	25023	132	3	7	2	0	52	0	1	0
LK-1131	Ratmalana	Ratmalana	dsd	25358	194	46	14	758	14	24167	65	14	38	0	0	39	8	0	1
LK-1131	Ratmalana	Ratmalana	dsd	25358	194	46	14	758	14	24167	65	14	38	0	0	39	8	0	1
LK-1133	Moratuwa	Moratuwa	dsd	44872	181	148	3	107	13	44146	229	6	11	3	0	20	1	0	4
LK-1133	Moratuwa	Moratuwa	dsd	44872	181	148	3	107	13	44146	229	6	11	3	0	20	1	0	4
LK-1136	Kesbewa	Kesbewa	dsd	76405	10752	380	50	172	15	64657	267	13	15	5	0	77	1	1	0
LK-1136	Kesbewa	Kesbewa	dsd	76405	10752	380	50	172	15	64657	267	13	15	5	0	77	1	1	0
LK-11XX	Sri Lanka	Sri Lanka	country	6111315	1624506	267327	77806	270401	230268	2374349	100764	419247	130394	59336	4346	63753	456849	31208	761
LK-12	Gampaha	Gampaha District	district	688635	318367	26537	4401	35031	755	281959	3870	13137	2066	67	56	2229	70	49	41
LK-1203	Negombo	Negombo	dsd	36300	1004	362	19	3633	14	30630	373	22	8	2	2	227	4	0	0
LK-1206	Katana	Katana	dsd	75514	24769	1653	175	18696	19	25544	1754	2115	66	1	2	698	9	8	5
LK-1209	Divulapitiya	Divulapitiya	dsd	45072	33357	6159	1061	1747	15	1094	26	1273	138	3	2	187	2	7	1
LK-1212	Mirigama	Mirigama	dsd	49823	38928	5958	1318	541	326	428	55	1892	260	16	13	82	2	4	0
LK-1215	Minuwangoda	Minuwangoda	dsd	56770	47993	2887	330	2203	5	1775	85	1076	228	4	3	166	2	8	5
LK-1218	Wattala	Wattala	dsd	49300	3897	155	18	1347	28	43482	214	11	5	2	2	135	0	2	2
LK-1221	Ja-Ela	- - Ja-Ela	dsd	57689	17077	401	72	3971	10	34088	430	743	612	5	2	258	7	12	1
LK-1224	Gampaha	Gampaha	dsd	57859	36285	1159	95	1053	9	16633	191	2163	46	2	1	211	9	0	2
LK-1227	Attanagalla	Attanagalla	dsd	54449	40876	2636	370	504	165	7631	148	1653	375	14	9	48	1	4	15
LK-1230	Dompe	Dompe	dsd	47551	34814	2983	554	478	102	7073	88	1162	257	5	12	18	0	3	2
LK-1233	Mahara	Mahara	dsd	61767	26575	1642	318	422	28	31455	177	1007	43	5	3	82	5	0	5
LK-1236	Kelaniya	Kelaniya	dsd	37231	1079	139	23	148	21	35590	171	7	8	2	0	41	2	0	0
LK-1239	Biyagama	Biyagama	dsd	59310	11713	403	48	288	13	46536	158	13	20	6	5	76	27	1	3
LK-13	Kalutara	Kalutara District	district	352963	150632	17168	5010	6977	3024	143119	1509	17134	6467	1658	34	191	3	24	13
LK-1303	Panadura	Panadura	dsd	49763	5232	274	37	858	19	42893	220	19	153	3	1	51	0	1	2
LK-1306	Bandaragama	Bandaragama	dsd	33568	11018	462	31	145	5	21614	99	168	12	4	0	8	1	0	1
LK-1309	Horana	Horana	dsd	37801	20204	1772	117	196	8	14965	59	374	89	2	4	10	1	0	0
LK-1310	Ingiriya	Ingiriya	dsd	16490	10361	769	81	77	295	2065	50	2464	285	31	7	4	0	0	1
LK-1312	Bulathsinhala	Bulathsinhala	dsd	18737	11122	1600	547	131	916	344	23	2681	900	464	4	3	0	2	0
LK-1315	Madurawala	Madurawala	dsd	10428	5870	934	96	167	162	2452	75	609	36	19	1	7	0	0	0
LK-1318	Millaniya	Millaniya	dsd	15781	9815	1775	258	171	7	3118	6	537	76	13	2	3	0	0	0
LK-1321	Kalutara	Kalutara	dsd	44332	13039	875	117	3890	8	25589	194	344	227	3	4	33	0	2	7
LK-1324	Beruwala	Beruwala	dsd	42471	12828	984	474	766	10	26544	158	588	85	2	2	22	0	7	1
LK-1327	Dodangoda	Dodangoda	dsd	18667	12614	807	283	196	249	3082	27	1157	78	156	0	7	0	10	1
LK-1330	Mathugama	Mathugama	dsd	23503	17992	2477	659	241	104	336	37	1144	450	24	3	35	0	1	0
LK-1333	Agalawatta	Agalawatta	dsd	10502	5775	1025	444	45	233	12	19	2138	740	66	2	3	0	0	0
LK-1336	Palindanuwara	Palindanuwara	dsd	14996	5502	1269	916	36	638	44	196	3468	2370	550	3	3	1	0	0
LK-1339	Walallavita	Walallavita	dsd	15924	9260	2145	950	58	370	61	346	1443	966	321	1	2	0	1	0
LK-21	Kandy	Kandy District	district	397626	48571	12629	4082	4492	31494	214501	30434	32975	10688	5875	180	256	1135	278	36
LK-2103	Thumpane	Thumpane	dsd	10897	4515	435	71	329	635	3961	235	608	22	32	2	47	3	1	1
LK-2106	Pujapitiya	Pujapitiya	dsd	15815	6493	878	191	147	733	5484	154	1260	373	81	3	6	0	12	0
LK-2109	Akurana	Akurana	dsd	16371	3818	542	172	272	603	10314	141	197	131	19	1	13	16	132	0
LK-2112	Pathadumbara	Pathadumbara	dsd	25750	2269	930	97	202	401	17202	3145	1180	209	84	12	5	0	11	3
LK-2115	Panvila	Panvila	dsd	7442	396	209	55	75	1751	767	148	2158	777	1106	0	0	0	0	0
LK-2118	Udadumbara	Udadumbara	dsd	6902	831	613	333	98	2092	9	371	1684	607	249	13	1	1	0	0
LK-2121	Minipe	Minipe	dsd	16159	3237	2648	635	1023	582	38	737	5645	201	282	0	89	1042	0	0
LK-2124	Medadumbara	Medadumbara	dsd	18449	603	589	369	79	3475	9145	786	1914	717	641	6	12	66	44	3
LK-2127	Kundasale	Kundasale	dsd	40127	1171	543	45	227	486	37347	169	29	39	31	3	17	1	7	12
LK-2130	Kandy Four Gravets & Gangawata Korale	Kandy Four Gravets Gangawata	dsd	40324	169	145	137	52	411	21758	17002	86	341	191	10	14	1	4	3
LK-2133	Harispattuwa	Harispattuwa	dsd	26172	2752	551	167	175	381	21088	71	894	60	8	10	13	0	1	1
LK-2134	Hatharaliyadda	Hatharaliyadda	dsd	8717	4967	627	173	197	922	64	182	1079	204	289	3	9	1	0	0
LK-2136	Yatinuwara	Yatinuwara	dsd	31087	4962	619	222	181	798	23600	435	128	84	44	6	6	0	1	1
LK-2139	Udunuwara	Udunuwara	dsd	31878	2652	478	137	126	501	27210	118	487	123	28	10	1	1	0	6
LK-2142	Doluwa	Doluwa	dsd	14659	1772	524	195	183	3298	3140	226	3254	946	1108	9	4	0	0	0
LK-2145	Pathahewaheta	Pathahewaheta	dsd	16971	895	383	225	157	1148	8888	1267	2940	731	298	24	8	2	5	0
LK-2148	Deltota	Delthota	dsd	8968	462	473	176	106	1224	397	1515	3261	1149	199	2	4	0	0	0
LK-2151	Udapalatha	Udapalatha	dsd	27629	2400	540	246	438	5314	13516	1258	2259	1124	518	7	3	1	1	4
LK-2154	Ganga Ihala Korale	Ganga Ihala Korale	dsd	15675	2539	530	248	217	4238	4983	366	1550	685	202	57	1	0	59	0
LK-2157	Pasbage Korale	Pasbage Korale	dsd	17634	1668	372	188	208	2501	5590	2108	2362	2165	465	2	3	0	0	2
LK-22	Matale	Matale District	district	151132	30289	4155	1359	7362	6925	61520	5405	17133	3314	1262	36	1282	10198	887	5
