region_id	region_name	region_name_in_data	region_ent_type	total	ground_water-_protected_well	ground_water-semi_protected_well	ground_water-unprotected_well	ground_water-tube_well	ground_water-spring_or_fountain	pipe_borne_water-national_water_supply_and_drainage_board	pipe_borne_water-local_authority	pipe_borne_water-community_based_organizations	pipe_borne_water-private_water_supply_project	other-tank_or_river_or_stream	other-rain_water	other-bottled_water	other-filter_water	other-bowser	other-other
LK-2203	Galewela	Galewela	dsd	22577	7892	678	189	1692	110	4395	302	3767	173	12	6	464	2768	127	2
LK-2206	Dambulla	Dambulla	dsd	23187	3457	837	202	2104	210	13957	103	1163	45	173	1	308	593	34	0
LK-2209	Naula	Naula	dsd	8979	1981	225	49	710	575	3231	417	950	78	49	0	276	436	2	0
LK-2212	Pallepola	Pallepola	dsd	9201	3454	238	156	521	281	2324	356	1753	90	2	0	22	4	0	0
LK-2215	Yatawatta	Yatawatta	dsd	9050	4792	314	118	374	368	1280	182	1275	307	5	2	28	5	0	0
LK-2218	Matale	Matale	dsd	22229	1044	150	28	164	399	18540	731	978	69	18	8	93	4	1	2
LK-2221	Ambanganga Korale	Ambanganga Korale	dsd	4732	750	252	141	40	437	1006	599	900	220	387	0	0	0	0	0
LK-2224	Laggala-Pallegama	- - Laggala-Pallegama	dsd	5093	751	297	54	1195	204	13	146	418	394	16	0	39	1008	558	0
LK-2227	Wilgamuwa	Wilgamuwa	dsd	10043	2150	426	81	177	75	853	289	302	15	127	3	3	5377	165	0
LK-2230	Rattota	Rattota	dsd	15994	1668	301	211	184	2306	4500	630	4112	1685	374	4	18	1	0	0
LK-2233	Ukuwela	Ukuwela	dsd	20047	2350	437	130	201	1960	11421	1650	1515	238	99	12	31	2	0	1
LK-23	Nuwara Eliya	Nuwara Eliya District	district	200261	12637	4588	3583	4320	57708	23289	8642	42444	25612	16989	166	38	120	34	91
LK-2303	Kothmale	Kothmale West	dsd	11632	1582	257	191	171	6053	474	196	1179	870	639	15	4	0	1	0
LK-2303	Kothmale	Kothmale East	dsd	17473	593	122	113	160	7606	1068	474	3560	2045	1726	4	1	1	0	0
LK-2306	Hanguranketha	Hanguranketha	dsd	16950	1451	515	333	118	1750	4995	256	5047	2322	122	17	1	21	2	0
LK-2309	Walapane	Walapane	dsd	18241	917	421	350	287	5902	3114	57	3596	2950	635	10	2	0	0	0
LK-2312	Nuwara Eliya	Nuwara Eliya	dsd	23014	2751	644	376	760	4229	2218	4865	3973	2331	836	18	4	1	4	4
LK-2315	Ambagamuwa	Ambagamuwa	dsd	12791	174	47	218	34	2342	1391	361	2710	5327	182	1	1	3	0	0
LK-23XX	Mathurata	Mathurata	dsd	9768	350	122	76	26	2299	1942	102	3183	1340	320	7	1	0	0	0
LK-23XX	Nildandahinna	Nildandahinna	dsd	12587	754	401	653	55	5630	957	94	2292	805	929	8	2	0	3	4
LK-23XX	Thalawakele	Thalawakele	dsd	33685	1627	1056	533	1173	10873	2690	1210	8742	2707	2967	49	7	2	2	47
LK-23XX	Norwood	Norwood	dsd	44120	2438	1003	740	1536	11024	4440	1027	8162	4915	8633	37	15	92	22	36
LK-31	Galle	Galle District	district	307704	137653	27509	8893	2300	2392	112388	1435	6336	5998	2645	27	102	5	5	16
LK-3103	Bentota	Benthota	dsd	13749	7667	2352	367	169	0	3078	27	65	11	0	1	10	0	2	0
LK-3106	Balapitiya	Balapitiya	dsd	18886	3942	861	113	94	1	13632	73	144	17	1	1	4	1	0	2
LK-3109	Karandeniya	Karandeniya	dsd	19870	15185	3229	917	181	1	187	35	7	113	4	1	9	0	1	0
LK-3112	Elpitiya	Elpitiya	dsd	19392	13593	2724	822	135	104	1361	9	239	222	179	2	2	0	0	0
LK-3115	Niyagama	Niyagama	dsd	10359	7237	1344	330	62	117	171	4	596	403	92	0	1	1	0	1
LK-3118	Thawalama	Thawalama	dsd	9514	2368	1063	1549	65	458	0	67	1253	1093	1595	1	2	0	0	0
LK-3121	Neluwa	Neluwa	dsd	8454	2019	492	577	29	427	1	5	1888	2544	468	2	1	1	0	0
LK-3124	Nagoda	Nagoda	dsd	15521	8663	2526	1086	196	948	124	28	839	888	215	4	4	0	0	0
LK-3127	Baddegama	Baddegama	dsd	14330	10727	1360	166	364	35	1404	20	139	79	26	4	3	0	0	3
LK-3130	Welivitiya-Divithura	-- Welivitiya-Divithura	dsd	8632	7361	732	180	213	35	46	1	28	30	6	0	0	0	0	0
LK-3133	Ambalangoda	Ambalangoda	dsd	16924	6684	1045	103	118	3	8380	459	114	14	0	1	2	0	0	1
LK-3134	Gonapeenuwala	Gonapeenuwala	dsd	6833	4433	667	74	68	0	1276	76	201	32	0	1	5	0	0	0
LK-3136	Hikkaduwa	Hikkaduwa	dsd	7543	1313	143	9	17	1	6030	22	1	4	0	0	3	0	0	0
LK-3139	Galle Four Gravets	Galle Four Gravets	dsd	26475	1060	175	10	62	12	24982	146	8	8	3	1	3	0	1	4
LK-3142	Bope-Poddala	--Bope-Poddala	dsd	15528	4436	217	47	63	4	10593	113	19	18	0	1	15	1	0	1
LK-3145	Akmeemana	Akmeemana	dsd	23603	8743	2851	582	153	30	10610	177	387	35	10	4	19	1	0	1
LK-3148	Yakkalamulla	Yakkalamulla	dsd	13407	10261	1530	906	35	152	19	9	168	299	24	1	2	0	0	1
LK-3151	Imaduwa	Imaduwa	dsd	13390	9681	1654	479	107	30	1125	13	182	101	12	2	2	0	1	1
LK-3154	Habaraduwa	Habaraduwa	dsd	17263	4247	554	60	40	3	12301	30	1	14	1	0	12	0	0	0
LK-31XX	Wanduramba	Wanduramba	dsd	7997	5681	1608	464	61	24	34	0	52	64	8	0	1	0	0	0
LK-31XX	Madampagama	Madampagama	dsd	9205	708	146	5	26	3	8241	68	1	6	0	0	0	0	0	1
LK-31XX	Rathgama	Rathgama	dsd	10829	1644	236	47	42	4	8793	53	4	3	1	0	2	0	0	0
LK-32	Matara	Matara District	district	231946	83081	14976	6086	1202	8167	88199	2538	14987	9276	2214	58	373	683	93	13
LK-3203	Pitabeddara	Pitabeddara	dsd	14652	5677	2092	1143	47	523	308	225	1297	3031	295	12	2	0	0	0
LK-3206	Kotapola	Kotapola	dsd	17933	3471	695	501	48	2394	1035	1272	4649	2723	1132	11	1	0	0	1
LK-3209	Pasgoda	Pasgoda	dsd	18253	8205	1710	1224	126	2577	273	19	2264	1393	444	13	4	0	0	1
LK-3212	Mulatiyana	Mulatiyana	dsd	14615	8814	1367	661	81	1311	275	17	1496	545	34	2	4	5	2	1
LK-3215	Athuraliya	Athuraliya	dsd	9066	5338	1094	555	67	314	1356	24	249	43	22	1	3	0	0	0
LK-3218	Akuressa	Akuressa	dsd	15137	8340	1421	519	91	843	1246	32	1222	1163	252	3	2	1	1	1
LK-3221	Welipitiya	Welipitiya	dsd	14990	6653	1814	416	91	71	5142	46	668	79	5	1	3	0	0	1
LK-3224	Malimbada	Malimbada	dsd	10272	3113	271	69	16	11	6287	29	453	14	1	0	7	0	0	1
LK-3227	Kamburupitiya	Kamburupitiya	dsd	11943	8201	639	124	129	30	1959	243	483	46	2	0	77	10	0	0
LK-3230	Hakmana	Hakmana	dsd	9173	4923	1086	255	58	22	960	223	1050	44	1	1	37	511	2	0
LK-3233	Kirinda Puhulwella	Kirinda Puhulwella	dsd	5814	3567	885	266	47	19	35	9	614	136	16	2	106	112	0	0
LK-3236	Thihagoda	Thihagoda	dsd	9757	4215	319	56	48	2	4995	51	53	6	2	0	6	0	4	0
LK-3239	Weligama	Weligam	dsd	19525	5349	577	102	143	2	13097	104	94	17	3	8	21	2	2	4
LK-3242	Matara Four Gravets	Matara Four Gravets	dsd	32283	1906	197	24	81	7	29817	142	41	6	1	2	36	18	3	2
LK-3245	Devinuwara	Devinuwara	dsd	13351	2789	476	138	65	3	9738	26	69	22	3	0	16	5	1	0
LK-3248	Dickwella	Dickwella	dsd	15182	2520	333	33	64	38	11676	76	285	8	1	2	48	19	78	1
LK-33	Hambantota	Hambantota District	district	188638	19131	4866	844	3368	2170	115073	2349	27013	399	1510	49	4202	7189	447	28
LK-3303	Sooriyawewa	Sooriyawewa	dsd	14431	264	292	42	24	1	8349	45	5320	30	12	4	28	16	2	2
LK-3306	Lunugamvehera	Lunugamwehera	dsd	10415	60	494	4	26	3	9102	25	565	4	26	1	33	28	40	4
LK-3309	Thissamaharama	Thissamaharama	dsd	21026	327	426	16	717	4	10554	47	2262	61	26	4	2248	4008	320	6
LK-3312	Hambantota	Hambantota	dsd	18308	33	321	3	5	3	17452	33	3	1	16	0	46	323	64	5
LK-3315	Ambalantota	Ambalantota	dsd	22415	1030	349	19	270	1	18253	31	1831	34	3	0	172	418	0	4
LK-3318	Angunakolapelessa	Angunakolapelessa	dsd	15432	1230	434	60	102	5	7364	23	5090	20	3	3	368	727	2	1
LK-3321	Weeraketiya	Weeraketiya	dsd	13671	1645	222	34	246	8	5506	36	5650	120	8	16	94	82	4	0
LK-3324	Katuwana	Katuwana	dsd	15160	3895	798	193	1496	1392	2779	1953	1721	39	466	8	114	293	12	1
LK-3325	Walasmulla	Walasmulla	dsd	13475	3539	535	173	187	713	5146	75	2101	25	948	3	20	9	1	0
LK-3327	Okewela	Okewela	dsd	5687	2918	200	120	82	16	1743	6	407	11	1	2	24	157	0	0
LK-3330	Beliatta	Beliatta	dsd	16586	4029	544	172	169	21	7620	24	2053	48	0	7	1013	884	2	0
LK-3333	Tangalle	Tangalle	dsd	22032	161	251	8	44	3	21205	51	10	6	1	1	42	244	0	5
LK-41	Jaffna	Jaffna District	district	159753	68169	12291	1905	49608	69	8913	5315	1841	1020	285	12	2819	2082	5391	33
LK-4103	Island North (Kayts)	Island North Kayts	dsd	2646	977	265	21	15	0	652	2	6	21	2	0	21	235	429	0
LK-4104	Karainagar	Karainagar	dsd	2641	154	109	36	8	0	73	12	0	0	0	0	2	1	2246	0
LK-4106	Valikamam West (Chankanai)	Valikamam West Chankanai	dsd	11670	5115	1542	389	1651	1	398	500	400	102	238	3	225	234	872	0
LK-4109	Valikamam South-West (Sandilipay)	Valikamam South-West Sandilipay	dsd	14196	5320	1469	112	5510	4	970	283	188	38	7	0	154	45	92	4
LK-4112	Valikamam North (Tellipallai)	Valikamam North	dsd	12093	2091	1608	245	7395	11	94	218	43	104	2	0	184	22	76	0
LK-4115	Valikamam South (Uduvil)	Valikamam South Uduvil	dsd	13268	4252	2210	286	6235	3	175	17	14	4	2	0	60	4	6	0
LK-4118	Valikamam East (Kopay)	Valikamam East Kopay	dsd	19812	8489	1191	216	8765	18	850	13	57	52	1	0	35	61	50	14
LK-4121	Vadamaradchi South-West (Karaveddy)	Vadamaradchy South-West Karaveddy	dsd	11394	3396	509	93	5414	4	1014	81	269	58	0	2	292	234	28	0
LK-4124	Vadamaradchi East	Vadamaradchy East	dsd	4037	3439	294	27	190	1	25	4	17	5	0	0	20	3	1	11
LK-4127	Vadamaradchi North (Point Pedro)	Vadamaradchy North Point Perdro	dsd	12358	6098	220	60	3267	5	1127	199	350	174	7	0	428	152	270	1
LK-4130	Thenmaradchi (Chavakachcheri)	Thenmaradchy Chavakachcheri	dsd	19096	12545	1243	170	4169	13	370	45	98	44	9	1	160	190	38	1
LK-4133	Nallur	Nallur	dsd	19063	10534	1003	161	6036	4	50	322	243	59	15	0	315	161	158	2
LK-4136	Jaffna	Jaffna	dsd	12148	4396	301	69	914	3	1044	3619	104	315	0	2	903	413	65	0
LK-4139	Island South (Velanai)	Island South Velanai	dsd	4434	1226	174	19	39	2	1585	0	26	29	2	4	19	326	983	0
LK-4142	Delft	Delft	dsd	897	137	153	1	0	0	486	0	26	15	0	0	1	1	77	0
LK-42	Mannar	Mannar District	district	32330	3604	1691	554	6584	29	13111	157	1115	163	30	61	737	3058	1425	11
LK-4203	Mannar Town	Mannar Town	dsd	14696	1682	368	80	1870	18	8453	53	543	59	23	2	289	1124	126	6
LK-4206	Manthai West	Manthai West	dsd	5109	212	167	122	1425	0	2858	2	6	25	0	3	211	67	11	0
LK-4209	Madhu	Madhu	dsd	2723	174	692	92	512	0	3	1	236	5	0	55	72	877	4	0
LK-4212	Nanattan	Nanattan	dsd	5394	1134	288	204	1358	3	1792	13	85	5	2	1	161	340	3	5
LK-4215	Musali	Musali	dsd	4408	402	176	56	1419	8	5	88	245	69	5	0	4	650	1281	0
LK-43	Vavuniya	Vavuniya District	district	48399	12864	1184	348	8709	40	6547	340	485	333	55	322	1311	15666	193	2
LK-4303	Vavuniya North	Vavuniya North	dsd	4318	2177	131	64	853	1	180	3	185	11	0	0	11	701	1	0
LK-4306	Vavuniya South	Vavuniya South	dsd	4597	501	59	17	190	0	111	48	1	8	22	114	3	3520	3	0
LK-4309	Vavuniya	Vavuniya	dsd	32363	8917	781	215	6115	34	5943	206	219	212	12	12	1210	8336	149	2
LK-4312	Vengalacheddikulam	Vengalacheddikulam	dsd	7121	1269	213	52	1551	5	313	83	80	102	21	196	87	3109	40	0
LK-44	Mullaitivu	Mullaitivu District	district	34786	13291	5753	1994	4520	5	3146	208	264	134	66	33	239	4948	175	10
LK-4403	Thunukkai	Thunukkai	dsd	2860	398	611	27	314	1	301	44	8	7	0	18	71	1002	58	0
LK-4406	Manthai East	Manthai East	dsd	2182	326	566	33	440	0	47	10	60	27	0	0	2	622	49	0
LK-4409	Puthukkudiyiruppu	Puthukudiyiruppu	dsd	10940	5794	1633	1404	650	2	1291	22	39	55	7	12	12	0	12	7
LK-4412	Oddusuddan	Oddusudan	dsd	5098	1302	2021	255	946	0	193	6	36	35	2	0	103	198	1	0
LK-4415	Maritimepattu	Maritimepattu	dsd	10478	5441	921	274	2146	2	1314	126	65	10	56	1	51	13	55	3
LK-4418	Welioya	Welioya	dsd	3228	30	1	1	24	0	0	0	56	0	1	2	0	3113	0	0
LK-45	Kilinochchi	Kilinochchi District	district	36734	5342	9999	3107	12119	50	4315	62	191	236	78	11	281	258	678	7
LK-4503	Pachchilaipalli	Pachchilaipalli	dsd	3872	644	1835	160	1089	0	78	2	10	4	30	0	6	1	13	0
LK-4506	Kandavalai	Kandavalai	dsd	6929	831	2104	493	2744	31	396	5	47	96	13	3	14	22	130	0
LK-4509	Karachchi	Karachchi	dsd	19564	2317	5743	2349	6739	18	1656	39	116	115	7	5	161	216	76	7
LK-4512	Poonakary	Poonakary	dsd	6369	1550	317	105	1547	1	2185	16	18	21	28	3	100	19	459	0
LK-51	Batticaloa	Batticaloa District	district	170262	48584	6394	2674	40501	372	67211	1725	1372	505	325	31	206	8	318	36
LK-5103	Koralai Pattu North (Vaharai)	Koralai Pattu North Vaharai	dsd	7882	3316	797	406	2567	53	216	373	15	13	26	0	25	0	75	0
LK-5104	Koralai Pattu Central	Koralai Pattu Central	dsd	8590	2047	122	78	5109	8	946	92	26	29	6	2	67	1	56	1
LK-5106	Koralai Pattu  West (Oddamavadi)	Koralai Pattu West Oddamavadi	dsd	7223	1408	58	60	3469	6	2026	26	80	57	0	0	6	6	21	0
LK-5109	Koralai Pattu (Valachchenai)	Koralai Pattu Valachchenai	dsd	8379	2832	244	150	4792	3	216	69	13	12	0	0	23	1	22	2
LK-5110	Koralai Pattu South (Kiran)	Koralai Pattu South Kiran	dsd	8608	2722	413	184	4206	41	230	309	230	159	89	0	3	0	18	4
LK-5112	Eravur Pattu	Eravur Pattu	dsd	25780	7555	991	837	5991	126	9882	150	85	34	90	1	6	0	30	2
LK-5115	Eravur Town	Eravur Town	dsd	7214	462	18	14	324	2	6365	15	6	1	2	0	5	0	0	0
LK-5118	Manmunai North	Manmunai North	dsd	26693	9576	367	105	3639	5	12460	22	456	20	3	0	36	0	2	2
LK-5121	Manmunai West	Manmunai West	dsd	9722	1653	762	189	132	18	6643	18	280	3	10	2	2	0	2	8
LK-5124	Kattankudy	Kattankudy	dsd	13189	348	90	20	2371	7	10295	29	6	12	3	0	6	0	0	2
LK-5127	Manmunai Pattu (Araipattai)	Manmunai Pattu Araipattai	dsd	10433	3207	355	109	3561	4	3099	67	2	3	8	0	17	0	1	0
LK-5130	Manmunai South-West	Manmunai South-West	dsd	7767	2690	582	185	829	78	3066	44	119	123	9	21	5	0	2	14
LK-5133	Porativu Pattu	Poratheevu Pattu	dsd	11467	3667	698	215	302	17	5891	501	7	8	67	4	1	0	89	0
LK-5136	Manmunai South & Eruvil pattu	Manmunai South Eruvil Pattu	dsd	17315	7101	897	122	3209	4	5876	10	47	31	12	1	4	0	0	1
LK-52	Ampara	Ampara District	district	207007	20500	3913	1659	8500	230	160978	444	7730	162	180	23	98	1968	593	29
LK-5203	Dehiattakandiya	Dehiattakandiya	dsd	18627	648	279	42	55	1	10501	56	6614	19	21	5	35	351	0	0
LK-5206	Padiyathalawa	Padiyathalawa	dsd	6269	2898	545	382	502	58	555	8	291	54	85	1	0	884	6	0
LK-5209	Mahaoya	Mahaoya	dsd	6978	745	229	373	57	20	5278	18	65	24	12	0	5	148	4	0
LK-5212	Uhana	Uhana	dsd	17399	819	358	75	29	1	16046	53	2	7	4	2	2	0	0	1
LK-5215	Ampara	Ampara	dsd	13241	248	138	33	5	5	12756	39	2	1	9	0	1	1	1	2
LK-5216	Navithanveli	Navithanveli	dsd	6394	403	112	26	20	2	5816	5	1	2	5	0	0	0	2	0
LK-5218	Samanthurai	Samanthurai	dsd	19719	369	327	13	44	3	18911	25	4	3	8	0	6	1	2	3
LK-5221	Kalmunai Tamil Division	Kalmunai Tamil Division	dsd	8960	970	74	15	508	2	7379	7	0	0	1	0	4	0	0	0
LK-5224	Kalmunai	Kalmunai	dsd	14065	359	23	16	1243	3	12377	39	0	2	1	0	2	0	0	0
