region_id	region_name	region_name_in_data	region_ent_type	total	sinhalese	sri_lanka_tamil	indian_tamil_or_malaiyaga_thamilar	sri_lanka_moor_or_muslim	burgher	malay	sri_lanka_chetty	bharatha	veddhas	other
LK	Sri Lanka	Sri Lanka	country	21781800	16144037	2681627	600360	2283246	31721	26650	2443	1183	1373	9160
LK-11	Colombo	Colombo District	district	2375415	1807945	243856	15427	285346	10643	8249	239	560	14	3136
LK-1103	Colombo	Colombo	dsd	292089	64504	96647	4478	122247	1401	1752	44	344	0	672
LK-1106	Kolonnawa	Kolonnawa	dsd	214070	127854	18285	665	64699	863	1543	9	11	2	139
LK-1109	Kaduwela	Kaduwela	dsd	277918	267158	5248	332	2628	1176	1042	25	49	9	251
LK-1112	Homagama	Homagama	dsd	280771	275057	3042	314	1162	528	534	10	12	1	111
LK-1115	Seethawaka	Seethawaka	dsd	122128	106192	11307	3664	832	80	33	1	3	1	15
LK-1118	Padukka	Padukka	dsd	73014	69884	1508	331	1182	47	43	1	3	1	14
LK-1121	Maharagama	Maharagama	dsd	196500	188590	3762	436	1755	1100	726	13	21	0	97
LK-1124	Sri Jayawardanapura Kotte	Sri Jayawardanapura Kotte	dsd	96189	81556	6689	495	6012	753	356	19	23	0	286
LK-1127	Thimbirigasyaya	Thimbirigasyaya	dsd	217118	110336	62757	2227	38506	1508	919	47	45	0	773
LK-1130	Dehiwala	Dehiwala	dsd	93815	47752	15859	1019	27538	900	313	29	28	0	377
LK-1131	Ratmalana	Ratmalana	dsd	88063	64024	9006	801	13283	523	273	12	11	0	130
LK-1133	Moratuwa	Moratuwa	dsd	160199	149858	5846	329	3430	443	205	20	2	0	66
LK-1136	Kesbewa	Kesbewa	dsd	263541	255180	3900	336	2072	1321	510	9	8	0	205
LK-12	Gampaha	Gampaha District	district	2436142	2188512	97925	6575	123220	7030	9488	1923	346	12	1111
LK-1203	Negombo	Negombo	dsd	137952	101250	11800	839	23229	431	142	52	40	0	169
LK-1206	Katana	Katana	dsd	241219	218375	13314	1134	5329	473	786	1643	24	0	141
LK-1209	Divulapitiya	Divulapitiya	dsd	156957	155173	1266	142	120	139	26	4	8	0	79
LK-1212	Mirigama	Mirigama	dsd	176747	166648	995	107	8617	81	58	1	136	0	104
LK-1215	Minuwangoda	Minuwangoda	dsd	198774	190169	1169	191	6810	218	170	4	9	0	34
LK-1218	Wattala	Wattala	dsd	182505	124365	40992	1734	12886	1468	772	70	37	0	181
LK-1221	Ja-Ela	- - Ja-Ela	dsd	204806	191159	8687	666	929	2182	983	77	32	2	89
LK-1224	Gampaha	Gampaha	dsd	205610	203639	1105	149	237	287	149	4	4	0	36
LK-1227	Attanagalla	Attanagalla	dsd	197725	167492	1459	279	27649	191	589	17	0	9	40
LK-1230	Dompe	Dompe	dsd	169877	166320	800	85	2482	95	70	3	1	0	21
LK-1233	Mahara	Mahara	dsd	223060	209413	2587	290	6838	555	3307	7	4	1	58
LK-1236	Kelaniya	Kelaniya	dsd	133755	107650	10569	579	12274	586	1904	39	43	0	111
LK-1239	Biyagama	Biyagama	dsd	207155	186859	3182	380	15820	324	532	2	8	0	48
LK-13	Kalutara	Kalutara District	district	1305784	1119109	41361	7198	136412	840	476	24	51	0	313
LK-1303	Panadura	Panadura	dsd	187475	153752	1263	158	31812	187	217	3	8	0	75
