region_id	region_name	region_name_in_data	region_ent_type	total	sinhalese	sri_lanka_tamil	indian_tamil_or_malaiyaga_thamilar	sri_lanka_moor_or_muslim	burgher	malay	sri_lanka_chetty	bharatha	veddhas	other
LK-1306	Bandaragama	Bandaragama	dsd	124133	108346	492	107	14963	125	81	1	2	0	16
LK-1309	Horana	Horana	dsd	133685	130812	2141	355	128	157	48	2	9	0	33
LK-1310	Ingiriya	Ingiriya	dsd	58361	52187	5773	316	31	3	11	0	14	0	26
LK-1312	Bulathsinhala	Bulathsinhala	dsd	65550	55309	5513	2286	2433	6	0	1	1	0	1
LK-1315	Madurawala	Madurawala	dsd	36723	33633	2726	332	19	5	7	0	0	0	1
LK-1318	Millaniya	Millaniya	dsd	56166	54429	1349	240	53	39	10	3	9	0	34
LK-1321	Kalutara	Kalutara	dsd	166624	149878	1984	243	14256	176	41	0	0	0	46
LK-1324	Beruwala	Beruwala	dsd	180820	109955	1940	277	68477	69	38	6	2	0	56
LK-1327	Dodangoda	Dodangoda	dsd	67089	59928	6323	772	46	10	2	0	2	0	6
LK-1330	Mathugama	Mathugama	dsd	86065	75045	6621	871	3447	43	16	4	2	0	16
LK-1333	Agalawatta	Agalawatta	dsd	36589	35609	865	25	81	6	1	0	1	0	1
LK-1336	Palindanuwara	Palindanuwara	dsd	51171	46704	3492	325	632	12	3	2	1	0	0
LK-1339	Walallavita	Walallavita	dsd	55333	53522	879	891	34	2	1	2	0	0	2
LK-21	Kandy	Kandy District	district	1461895	1077312	122772	38311	219905	1891	1001	22	29	0	652
LK-2103	Thumpane	Thumpane	dsd	38776	35415	291	67	2948	15	27	1	2	0	10
LK-2106	Pujapitiya	Pujapitiya	dsd	60316	47992	1154	509	10609	44	2	0	0	0	6
LK-2109	Akurana	Akurana	dsd	71010	19426	3775	187	47595	17	0	0	0	0	10
LK-2112	Pathadumbara	Pathadumbara	dsd	93476	67351	2407	475	23052	94	75	3	2	0	17
LK-2115	Panvila	Panvila	dsd	25650	9764	8956	5909	959	21	31	1	0	0	9
LK-2118	Udadumbara	Udadumbara	dsd	23046	21134	1040	740	127	0	0	0	0	0	5
LK-2121	Minipe	Minipe	dsd	55342	55043	41	11	240	5	0	0	1	0	1
LK-2124	Medadumbara	Medadumbara	dsd	64539	48077	10616	939	4835	29	8	1	1	0	33
LK-2127	Kundasale	Kundasale	dsd	144383	117094	16109	2138	8632	245	105	3	4	0	53
LK-2130	Kandy Four Gravets & Gangawata Korale	Kandy Four Gravets Gangawata Korale	dsd	153329	115488	16811	1808	18099	711	230	6	5	0	171
LK-2133	Harispattuwa	Harispattuwa	dsd	94021	81141	1847	287	10578	124	15	2	1	0	26
LK-2134	Hatharaliyadda	Hatharaliyadda	dsd	31141	29084	532	26	1490	3	1	0	1	0	4
LK-2136	Yatinuwara	Yatinuwara	dsd	112642	101646	2490	280	8072	55	37	1	6	0	55
LK-2139	Udunuwara	Udunuwara	dsd	121018	86651	2351	701	31148	105	48	2	2	0	10
LK-2142	Doluwa	Doluwa	dsd	52784	39501	8231	2204	2749	89	4	0	0	0	6
LK-2145	Pathahewaheta	Pathahewaheta	dsd	60639	54752	3995	492	1366	26	3	0	1	0	4
LK-2148	Deltota	Delthota	dsd	31904	12774	8427	2717	7906	42	34	0	1	0	3
LK-2151	Udapalatha	Udapalatha	dsd	103181	55427	14599	8037	24667	130	224	1	1	0	95
LK-2154	Ganga Ihala Korale	Ganga Ihala Korale	dsd	59145	47963	5335	1062	4723	22	34	1	0	0	5
LK-2157	Pasbage Korale	Pasbage Korale	dsd	65553	31589	13765	9722	10110	114	123	0	1	0	129
LK-22	Matale	Matale District	district	526870	424788	42172	7716	51471	359	283	4	7	0	70
LK-2203	Galewela	Galewela	dsd	78639	66155	1233	69	11103	40	16	0	2	0	21
LK-2206	Dambulla	Dambulla	dsd	81239	77901	787	53	2470	15	3	0	1	0	9
LK-2209	Naula	Naula	dsd	30718	28540	1665	66	442	1	0	1	0	0	3
LK-2212	Pallepola	Pallepola	dsd	31629	29426	998	44	1144	7	3	1	0	0	6
LK-2215	Yatawatta	Yatawatta	dsd	32415	26880	2175	1217	2134	7	1	1	0	0	0
LK-2218	Matale	Matale	dsd	80376	49895	13585	1004	15613	140	122	0	1	0	16
LK-2221	Ambanganga Korale	Ambanganga Korale	dsd	15876	11919	3237	635	73	10	0	0	0	0	2
LK-2224	Laggala-Pallegama	- - Laggala-Pallegama	dsd	16300	16261	28	6	3	0	0	0	0	0	2
LK-2227	Wilgamuwa	Wilgamuwa	dsd	33715	33668	34	9	3	0	1	0	0	0	0
LK-2230	Rattota	Rattota	dsd	53650	38519	11192	1618	2199	49	64	1	1	0	7
LK-2233	Ukuwela	Ukuwela	dsd	72313	45624	7238	2995	16287	90	73	0	2	0	4
LK-23	Nuwara Eliya	Nuwara Eliya District	district	725280	281904	60288	362299	19245	1252	216	11	14	0	51
LK-2303	Kothmale	Kothmale West	dsd	41955	26683	4882	3271	7078	35	3	0	0	0	3
LK-2303	Kothmale	Kothmale East	dsd	61742	27787	13139	19972	782	43	15	1	1	0	2
LK-2306	Hanguranketha	Hanguranketha	dsd	58931	51540	1800	5554	23	7	0	0	3	0	4
LK-2309	Walapane	Walapane	dsd	65287	34340	5188	25172	550	22	9	1	1	0	4
LK-2312	Nuwara Eliya	Nuwara Eliya	dsd	88332	29758	17137	36677	4352	332	68	2	2	0	4
LK-2315	Ambagamuwa	Ambagamuwa	dsd	42538	32868	2348	7181	119	10	1	0	1	0	10
LK-23XX	Mathurata	Mathurata	dsd	33175	28584	2166	2365	49	1	3	0	1	0	6
LK-23XX	Nildandahinna	Nildandahinna	dsd	42422	32388	1867	7886	269	8	0	0	0	0	4
LK-23XX	Thalawakele	Thalawakele	dsd	129531	8689	5592	113494	1255	459	26	3	1	0	12
LK-23XX	Norwood	Norwood	dsd	161367	9267	6169	140727	4768	335	91	4	4	0	2
LK-31	Galle	Galle District	district	1097372	1030354	17600	2883	45672	244	85	20	26	0	488
LK-3103	Bentota	Benthota	dsd	49650	48407	109	14	1052	21	8	0	2	0	37
LK-3106	Balapitiya	Balapitiya	dsd	68150	66863	140	19	1091	9	4	4	4	0	16
LK-3109	Karandeniya	Karandeniya	dsd	63862	62810	423	24	593	3	5	0	0	0	4
LK-3112	Elpitiya	Elpitiya	dsd	66671	64918	1434	284	22	6	0	0	4	0	3
LK-3115	Niyagama	Niyagama	dsd	35751	35359	301	80	4	4	1	0	0	0	2
LK-3118	Thawalama	Thawalama	dsd	30989	29222	1599	144	19	1	3	0	1	0	0
LK-3121	Neluwa	Neluwa	dsd	27746	26094	1396	247	6	2	0	1	0	0	0
LK-3124	Nagoda	Nagoda	dsd	52031	47957	3560	502	7	4	0	0	0	0	1
LK-3127	Baddegama	Baddegama	dsd	50956	49774	1071	74	7	6	2	1	1	0	20
LK-3130	Welivitiya-Divithura	- - Welivitiya-Divithura	dsd	29356	28076	1215	54	9	1	0	0	0	0	1
LK-3133	Ambalangoda	Ambalangoda	dsd	59617	59412	122	40	18	8	3	0	1	0	13
LK-3134	Gonapeenuwala	Gonapeenuwala	dsd	23271	23162	51	8	8	10	0	1	1	0	30
LK-3136	Hikkaduwa	Hikkaduwa	dsd	26216	25926	149	17	15	17	1	1	1	0	89
LK-3139	Galle Four Gravets	Galle Four Gravets	dsd	108321	68564	699	132	38775	78	35	6	2	0	30
LK-3142	Bope-Poddala	- - Bope-Poddala	dsd	57890	55515	376	313	1636	18	2	1	1	0	28
LK-3145	Akmeemana	Akmeemana	dsd	86136	82527	1154	52	2298	13	2	0	4	0	86
LK-3148	Yakkalamulla	Yakkalamulla	dsd	46687	43902	1984	785	8	3	2	0	0	0	3
LK-3151	Imaduwa	Imaduwa	dsd	48204	48008	122	46	7	8	0	2	0	0	11
LK-3154	Habaraduwa	Habaraduwa	dsd	63302	63018	101	21	38	24	8	1	2	0	89
LK-31XX	Wanduramba	Wanduramba	dsd	27702	26253	1427	12	10	0	0	0	0	0	0
LK-31XX	Madampagama	Madampagama	dsd	33408	33335	32	7	22	2	4	0	0	0	6
LK-31XX	Rathgama	Rathgama	dsd	41456	41252	135	8	27	6	5	2	2	0	19
LK-32	Matara	Matara District	district	837889	788804	11119	8082	29430	259	44	10	5	0	136
LK-3203	Pitabeddara	Pitabeddara	dsd	48867	45951	2501	398	7	5	1	0	0	0	4
LK-3206	Kotapola	Kotapola	dsd	61002	51042	2879	6980	53	41	1	1	1	0	4
LK-3209	Pasgoda	Pasgoda	dsd	61171	58983	1878	292	7	9	2	0	0	0	0
LK-3212	Mulatiyana	Mulatiyana	dsd	51832	51505	314	4	7	1	0	0	0	0	1
LK-3215	Athuraliya	Athuraliya	dsd	32811	30115	762	80	1846	7	0	1	0	0	0
LK-3218	Akuressa	Akuressa	dsd	53638	51916	1579	120	14	3	4	1	0	0	1
LK-3221	Welipitiya	Welipitiya	dsd	55960	47583	161	60	8123	14	11	1	1	0	6
LK-3224	Malimbada	Malimbada	dsd	36128	35512	45	4	560	1	3	0	0	0	3
LK-3227	Kamburupitiya	Kamburupitiya	dsd	42816	42586	132	11	46	34	0	2	0	0	5
LK-3230	Hakmana	Hakmana	dsd	32985	31922	34	11	1010	6	1	0	0	0	1
LK-3233	Kirinda Puhulwella	Kirinda Puhulwella	dsd	20627	19961	7	4	653	2	0	0	0	0	0
LK-3236	Thihagoda	Thihagoda	dsd	34306	34214	42	13	10	3	4	0	0	0	20
LK-3239	Weligama	Weligam	dsd	76136	67229	182	36	8616	25	5	1	1	0	41
LK-3242	Matara Four Gravets	Matara Four Gravets	dsd	123868	118659	388	52	4639	90	7	2	1	0	30
LK-3245	Devinuwara	Devinuwara	dsd	49274	48394	124	6	735	7	1	1	1	0	5
LK-3248	Dickwella	Dickwella	dsd	56468	53232	91	11	3104	11	4	0	0	0	15
LK-33	Hambantota	Hambantota District	district	671418	651274	2054	121	13809	99	3931	9	8	1	112
LK-3303	Sooriyawewa	Sooriyawewa	dsd	52709	52646	43	5	8	5	0	0	0	0	2
LK-3306	Lunugamvehera	Lunugamwehera	dsd	36923	36217	61	6	587	6	44	1	0	0	1
LK-3309	Thissamaharama	Thissamaharama	dsd	74175	71848	351	19	657	13	1270	2	0	0	15
LK-3312	Hambantota	Hambantota	dsd	67207	54951	888	48	8897	34	2348	0	0	0	41
LK-3315	Ambalantota	Ambalantota	dsd	80506	78331	298	20	1589	9	254	0	0	0	5
LK-3318	Angunakolapelessa	Angunakolapelessa	dsd	53409	53363	25	5	3	1	1	2	3	1	5
LK-3321	Weeraketiya	Weeraketiya	dsd	48241	47226	44	3	966	1	1	0	0	0	0
LK-3324	Katuwana	Katuwana	dsd	52169	52119	35	2	9	0	1	1	1	0	1
LK-3325	Walasmulla	Walasmulla	dsd	47869	47783	45	5	30	0	5	1	0	0	0
LK-3327	Okewela	Okewela	dsd	19992	19958	5	1	26	1	1	0	0	0	0
LK-3330	Beliatta	Beliatta	dsd	58675	58564	90	1	7	2	3	1	3	0	4
LK-3333	Tangalle	Tangalle	dsd	79543	78268	169	6	1030	27	3	1	1	0	38
LK-41	Jaffna	Jaffna District	district	594751	3395	586491	782	3947	64	7	7	10	0	48
LK-4103	Island North (Kayts)	Island North Kayts	dsd	9931	27	9894	9	0	0	0	0	0	0	1
LK-4104	Karainagar	Karainagar	dsd	9131	17	9110	3	0	0	0	0	0	0	1
LK-4106	Valikamam West (Chankanai)	Valikamam West Chankanai	dsd	45160	56	45044	33	24	2	0	0	0	0	1
LK-4109	Valikamam South-West (Sandilipay)	Valikamam South-West Sandilipay	dsd	52121	56	51990	35	38	0	1	1	0	0	0
LK-4112	Valikamam North (Tellipallai)	Valikamam North	dsd	44914	116	44715	59	22	1	0	0	0	0	1
LK-4115	Valikamam South (Uduvil)	Valikamam South Uduvil	dsd	50540	98	50258	49	124	5	0	0	2	0	4
LK-4118	Valikamam East (Kopay)	Valikamam East Kopay	dsd	75979	88	75620	94	145	17	2	2	1	0	10
LK-4121	Vadamaradchi South-West (Karaveddy)	Vadamaradchy South-West Karaveddy	dsd	41102	72	40982	34	10	0	1	0	0	0	3
LK-4124	Vadamaradchi East	Vadamaradchy East	dsd	13537	17	13502	16	2	0	0	0	0	0	0
LK-4127	Vadamaradchi North (Point Pedro)	Vadamaradchy North Point Perdro	dsd	43369	93	43227	23	25	0	0	0	1	0	0
LK-4130	Thenmaradchi (Chavakachcheri)	Thenmaradchy Chavakachcheri	dsd	67782	241	67328	109	97	5	0	1	0	0	1
LK-4133	Nallur	Nallur	dsd	72884	1837	70328	171	525	6	2	0	0	0	15
LK-4136	Jaffna	Jaffna	dsd	48543	635	45049	120	2693	25	1	3	6	0	11
LK-4139	Island South (Velanai)	Island South Velanai	dsd	16600	38	16291	26	242	3	0	0	0	0	0
LK-4142	Delft	Delft	dsd	3158	4	3153	1	0	0	0	0	0	0	0
LK-42	Mannar	Mannar District	district	123756	678	89992	319	32752	3	5	1	1	0	5
LK-4203	Mannar Town	Mannar Town	dsd	57772	261	43057	99	14345	2	5	0	0	0	3
LK-4206	Manthai West	Manthai West	dsd	18674	37	16317	33	2285	0	0	0	1	0	1
LK-4209	Madhu	Madhu	dsd	9493	135	8149	12	1196	0	0	1	0	0	0
LK-4212	Nanattan	Nanattan	dsd	19674	124	18018	143	1388	0	0	0	0	0	1
LK-4215	Musali	Musali	dsd	18143	121	4451	32	13538	1	0	0	0	0	0
LK-43	Vavuniya	Vavuniya District	district	172312	18575	135164	1625	16632	32	4	7	1	0	272
LK-4303	Vavuniya North	Vavuniya North	dsd	14709	1190	13318	191	8	0	0	0	0	0	2
LK-4306	Vavuniya South	Vavuniya South	dsd	14842	13968	622	1	3	0	1	1	0	0	246
LK-4309	Vavuniya	Vavuniya	dsd	116991	3346	104297	1191	8093	31	3	6	0	0	24
LK-4312	Vengalacheddikulam	Vengalacheddikulam	dsd	25770	71	16927	242	8528	1	0	0	1	0	0
LK-44	Mullaitivu	Mullaitivu District	district	122619	11190	108082	223	3102	12	3	1	0	0	6
LK-4403	Thunukkai	Thunukkai	dsd	10410	50	10318	12	28	0	0	0	0	0	2
LK-4406	Manthai East	Manthai East	dsd	7650	46	7534	59	11	0	0	0	0	0	0
LK-4409	Puthukkudiyiruppu	Puthukudiyiruppu	dsd	39532	83	39340	60	40	7	1	1	0	0	0
LK-4412	Oddusuddan	Oddusudan	dsd	18149	270	17815	10	50	0	0	0	0	0	4
LK-4415	Maritimepattu	Maritimepattu	dsd	36813	762	33006	75	2966	4	0	0	0	0	0
LK-4418	Welioya	Welioya	dsd	10065	9979	69	7	7	1	2	0	0	0	0
LK-45	Kilinochchi	Kilinochchi District	district	136710	1704	133023	685	1273	21	0	1	1	2	2
LK-4503	Pachchilaipalli	Pachchilaipalli	dsd	13045	23	12681	318	10	13	0	0	0	0	0
LK-4506	Kandavalai	Kandavalai	dsd	24921	36	24776	96	11	1	0	1	0	0	0
LK-4509	Karachchi	Karachchi	dsd	74631	1583	72449	231	358	7	0	0	1	0	2
LK-4512	Poonakary	Poonakary	dsd	24113	62	23117	40	894	0	0	0	0	0	0
LK-51	Batticaloa	Batticaloa District	district	595918	6855	424710	992	160284	2899	17	6	9	74	72
LK-5103	Koralai Pattu North (Vaharai)	Koralai Pattu North Vaharai	dsd	25475	203	24545	9	674	13	0	0	0	31	0
LK-5104	Koralai Pattu Central	Koralai Pattu Central	dsd	30603	77	618	22	29819	65	0	1	0	0	1
LK-5106	Koralai Pattu  West (Oddamavadi)	Koralai Pattu West Oddamavadi	dsd	24583	27	73	20	24458	2	0	0	0	0	3
LK-5109	Koralai Pattu (Valachchenai)	Koralai Pattu Valachchenai	dsd	28762	689	27792	35	85	160	0	0	0	0	1
LK-5110	Koralai Pattu South (Kiran)	Koralai Pattu South Kiran	dsd	28302	95	27967	48	188	4	0	0	0	0	0
LK-5112	Eravur Pattu	Eravur Pattu	dsd	94237	2828	71100	277	19883	91	6	1	0	1	50
LK-5115	Eravur Town	Eravur Town	dsd	26468	52	3236	21	23087	70	1	0	0	0	1
LK-5118	Manmunai North	Manmunai North	dsd	95107	816	85267	287	6320	2399	6	1	2	1	8
LK-5121	Manmunai West	Manmunai West	dsd	32831	63	32680	26	17	6	0	0	0	38	1
LK-5124	Kattankudy	Kattankudy	dsd	44794	44	17	26	44692	5	3	2	0	1	4
LK-5127	Manmunai Pattu (Araipattai)	Manmunai Pattu Araipattai	dsd	36533	126	25229	125	11046	7	0	0	0	0	0
LK-5130	Manmunai South-West	Manmunai South-West	dsd	26676	1371	25298	2	1	3	0	0	0	0	1
LK-5133	Porativu Pattu	Poratheevu Pattu	dsd	38627	272	38284	49	1	18	1	1	0	0	1
LK-5136	Manmunai South & Eruvil pattu	Manmunai South Eruvil Pattu	dsd	62920	192	62604	45	13	56	0	0	7	2	1
LK-52	Ampara	Ampara District	district	744551	276583	125751	664	339290	1168	136	17	13	840	89
LK-5203	Dehiattakandiya	Dehiattakandiya	dsd	67274	66325	107	12	86	0	2	0	0	741	1
LK-5206	Padiyathalawa	Padiyathalawa	dsd	20834	20731	44	4	49	0	0	0	1	2	3
LK-5209	Mahaoya	Mahaoya	dsd	23715	23572	28	3	15	3	3	2	0	89	0
LK-5212	Uhana	Uhana	dsd	62216	62130	57	0	14	9	2	1	1	1	1
LK-5215	Ampara	Ampara	dsd	47868	47324	203	18	175	35	104	4	1	0	4
LK-5216	Navithanveli	Navithanveli	dsd	21856	105	13784	23	7942	0	0	0	0	0	2
LK-5218	Samanthurai	Samanthurai	dsd	72794	574	8878	63	63040	228	8	1	0	2	0
LK-5221	Kalmunai Tamil Division	Kalmunai North Sub	dsd	31556	181	27483	73	3317	502	0	0	0	0	0
LK-5224	Kalmunai	Kalmunai	dsd	52798	70	99	55	52542	19	2	3	1	4	3
LK-5225	Sainthamaruthu	Sainthamarathu	dsd	29873	22	14	20	29811	4	0	0	0	0	2
LK-5227	Karaitheevu	Karaitheevu	dsd	19493	31	11090	1	8281	88	0	0	1	0	1
LK-5230	Ninthavur	Ninthavur	dsd	30671	44	989	47	29586	3	0	1	0	0	1
LK-5233	Addalachchenai	Addalachchenai	dsd	53214	3464	720	150	48854	13	7	2	1	1	2
LK-5234	Irakkamam	Irakkamam	dsd	17671	984	399	21	16255	4	1	2	0	0	5
LK-5236	Akkaraipattu	Akkaraipattu	dsd	44979	97	163	46	44662	6	0	0	3	0	2
LK-5239	Alayadiwembu	Alayadiwembu	dsd	24838	227	24252	63	52	182	0	1	3	0	58
LK-5242	Damana	Damana	dsd	40325	40108	32	6	167	4	6	0	1	0	1
LK-5245	Thirukkovil	Thirukkovil	dsd	29252	74	29141	31	2	3	1	0	0	0	0
LK-5248	Pothuvil	Pothuvil	dsd	42908	788	7584	28	34440	65	0	0	0	0	3
LK-5251	Lahugala	Lahugala	dsd	10416	9732	684	0	0	0	0	0	0	0	0
LK-53	Trincomalee	Trincomalee District	district	442745	108676	128088	765	203987	861	311	6	7	1	43
LK-5303	Padavi Sri Pura	Padavisripura	dsd	12081	12064	11	0	6	0	0	0	0	0	0
LK-5306	Kuchchaveli	Kuchchaveli	dsd	39873	1850	11919	151	25901	49	3	0	0	0	0
LK-5309	Gomarankadawala	Gomarankadawala	dsd	8398	8349	43	3	1	0	0	0	0	0	2
LK-5312	Morawewa	Morawewa	dsd	9193	6413	1215	11	1548	4	1	1	0	0	0
LK-5315	Trincomalee Town and Gravets	Trincomalee Town and Gravets	dsd	100270	21953	62086	381	14973	557	286	0	0	1	33
LK-5318	Thambalagamuwa	Thambalagamuwa	dsd	33636	7501	5875	30	20221	5	2	0	1	0	1
LK-5321	Kanthale	Kanthale	dsd	50840	40178	1566	26	8985	66	18	0	1	0	0
LK-5324	Kinniya	Kinniya	dsd	86504	123	2535	92	83734	13	1	3	0	0	3
LK-5327	Muttur	Muttur	dsd	71881	349	25923	59	45375	167	0	1	4	0	3
LK-5330	Seruvila	Seruvila	dsd	16007	9831	2940	2	3232	0	0	0	1	0	1
LK-5333	Verugal (Eachchilampattu)	Verugal Eachchilampattu	dsd	14062	65	13975	10	11	0	0	1	0	0	0
LK-61	Kurunegala	Kurunegala District	district	1768156	1601899	21775	1788	140888	478	796	29	27	5	471
LK-6103	Giribawa	Giribawa	dsd	34929	31868	38	11	3005	2	1	0	0	0	4
LK-6106	Galgamuwa	Galgamuwa	dsd	61759	56780	604	10	4149	5	1	0	0	0	210
LK-6109	Ehetuwewa	Ehetuwewa	dsd	28317	27460	68	4	770	3	6	2	0	1	3
LK-6112	Ambanpola	Ambanpola	dsd	25515	25075	39	8	387	4	1	0	1	0	0
LK-6115	Kotavehera	Kotavehera	dsd	24031	23885	35	5	104	2	0	0	0	0	0
LK-6118	Rasnayakapura	Rasnayakapura	dsd	24912	19974	57	9	4858	10	0	1	1	0	2
LK-6121	Nikaweratiya	Nikaweratiya	dsd	43402	41492	367	20	1512	8	1	1	0	0	1
LK-6124	Maho	Maho	dsd	64122	60038	322	23	3636	13	84	1	0	1	4
LK-6127	Polpithigama	Polpithigama	dsd	86411	86173	163	15	27	4	3	1	2	0	23
LK-6130	Ibbagamuwa	Ibbagamuwa	dsd	94167	84934	1090	44	8058	25	6	1	0	0	9
LK-6133	Ganewatta	Ganewatta	dsd	43431	40857	123	14	2429	2	5	0	1	0	0
LK-6136	Wariyapola	Wariyapola	dsd	66488	65178	262	23	995	15	5	1	1	0	8
LK-6139	Kobeigane	Kobeigane	dsd	40669	35249	96	21	5296	5	0	0	1	0	1
LK-6142	Bingiriya	Bingiriya	dsd	66724	63853	476	96	2284	5	3	4	2	0	1
LK-6145	Panduwasnuwara West	Panduwasnuwara West	dsd	71186	60286	781	86	10007	19	3	0	2	0	2
LK-6148	Panduwasnuwara East	Panduwasnuwara East	dsd	31790	30883	59	5	834	4	1	0	1	3	0
LK-6149	Bamunakotuwa	Bamunakotuwa	dsd	39442	38322	145	35	915	22	3	0	0	0	0
LK-6151	Maspotha	Maspotha	dsd	41873	39742	692	24	1344	37	26	1	2	0	5
LK-6154	Kurunegala	Kurunegala	dsd	88999	75269	3137	122	10021	74	324	4	8	0	40
LK-6157	Mallawapitiya	Mallawapitiya	dsd	59491	48120	1203	175	9857	32	95	0	0	0	9
LK-6160	Mawathagama	Mawathagama	dsd	70867	58509	3066	488	8738	37	25	1	0	0	3
LK-6163	Rideegama	Rideegama	dsd	95960	80576	3037	40	12292	6	1	2	0	0	6
LK-6166	Weerambugedara	Weerambugedara	dsd	36590	36332	154	17	50	9	21	1	0	0	6
LK-6169	Kuliyapitiya East	Kuliyapitiya East	dsd	61223	39908	365	44	20880	14	9	1	0	0	2
LK-6172	Kuliyapitiya West	Kuliyapitiya West	dsd	82587	78987	1003	100	2396	12	75	0	1	0	13
LK-6175	Udubaddawa	Udubaddawa	dsd	54466	47460	642	81	6261	8	2	2	1	0	9
LK-6178	Pannala	Pannala	dsd	135845	124730	1576	104	9290	36	26	1	2	0	80
LK-6181	Narammala	Narammala	dsd	59806	55535	349	43	3817	35	12	4	1	0	10
LK-6184	Alawwa	Alawwa	dsd	65689	65444	135	67	19	10	2	0	0	0	12
LK-6187	Polgahawela	Polgahawela	dsd	67465	58980	1691	54	6657	20	55	0	0	0	8
LK-62	Puttalam	Puttalam District	district	818816	591753	48544	1229	174497	1726	558	46	9	0	454
LK-6203	Kalpitiya	Kalpitiya	dsd	96995	30810	12616	178	52367	930	53	8	4	0	29
LK-6206	Vanathawilluwa	Vanathawilluwa	dsd	19991	11137	1318	26	7257	249	4	0	0	0	0
LK-6209	Karuwalagaswewa	Karuwalagaswewa	dsd	26225	25977	138	11	7	51	1	0	0	0	40
LK-6212	Nawagattegama	Nawagattegama	dsd	17571	17504	53	8	6	0	0	0	0	0	0
LK-6215	Puttalam	Puttalam	dsd	94777	24710	7084	161	62040	131	355	1	1	0	294
LK-6218	Mundel	Mundel	dsd	72570	30112	12054	149	30137	112	2	1	0	0	3
LK-6221	Mahakumbukkadawala	Mahakumbukkadawala	dsd	21867	21120	710	7	26	2	0	0	0	0	2
LK-6224	Anamaduwa	Anamaduwa	dsd	43526	42440	256	3	824	3	0	0	0	0	0
LK-6227	Pallama	Pallama	dsd	27938	22387	360	12	5169	5	3	1	0	0	1
LK-6230	Arachchikattuwa	Arachchikattuwa	dsd	42749	40553	1996	16	149	25	2	1	1	0	6
LK-6233	Chilaw	Chilaw	dsd	63639	53245	4921	79	5256	35	86	9	1	0	7
