region_id	region_name	region_name_in_data	region_ent_type	total	brick	cement_block	granite_or_cube_stones	cabook	pressed_soil_bricks	mud_or_warichchi	kadjan_or_palmyrah	plank_or_metal_sheet_or_asbestos	zinc_aluminium_sheets	other	not_relevant
LK-2212	Pallepola	Pallepola	dsd	9069	7133	1536	28	1	217	145	0	7	0	2	0
LK-2215	Yatawatta	Yatawatta	dsd	8886	6980	1440	111	37	164	137	1	13	3	0	0
LK-2218	Matale	Matale	dsd	21828	15942	5160	110	23	266	262	2	45	10	5	3
LK-2221	Ambanganga Korale	Ambanganga Korale	dsd	4682	2675	1331	204	0	342	119	0	9	1	1	0
LK-2224	Laggala-Pallegama	- - Laggala-Pallegama	dsd	4876	3577	760	292	1	44	173	0	24	4	0	1
LK-2227	Wilgamuwa	Wilgamuwa	dsd	9813	8916	651	11	0	62	163	0	9	1	0	0
LK-2230	Rattota	Rattota	dsd	15594	8376	4265	1364	56	1178	321	0	24	4	2	4
LK-2233	Ukuwela	Ukuwela	dsd	19554	13303	4519	666	35	642	304	2	74	5	2	2
LK-23	Nuwara Eliya	Nuwara Eliya District	district	192915	21337	129248	28331	1067	8747	1803	16	2046	185	88	47
LK-2303	Kothmale	Kothmale West	dsd	11360	409	8632	1878	34	195	116	0	87	2	5	2
LK-2303	Kothmale	Kothmale East	dsd	16612	688	11888	3120	13	411	238	0	219	12	19	4
LK-2306	Hanguranketha	Hanguranketha	dsd	16557	3403	8255	4165	53	479	157	2	33	3	5	2
LK-2309	Walapane	Walapane	dsd	17697	3827	8962	1959	35	2607	136	1	146	14	8	2
LK-2312	Nuwara Eliya	Nuwara Eliya	dsd	22302	3976	14611	1707	375	437	62	6	1016	95	11	6
LK-2315	Ambagamuwa	Ambagamuwa	dsd	12515	206	10106	1789	12	86	140	1	162	7	6	0
LK-23XX	Mathurata	Mathurata	dsd	9375	1707	4731	2024	25	737	128	0	22	1	0	0
LK-23XX	Nildandahinna	Nildandahinna	dsd	12232	4510	3993	709	22	2734	168	1	59	15	19	2
LK-23XX	Thalawakele	Thalawakele	dsd	32304	1521	24767	4690	325	557	327	2	85	10	6	14
LK-23XX	Norwood	Norwood	dsd	41961	1090	33303	6290	173	504	331	3	217	26	9	15
LK-31	Galle	Galle District	district	305379	89321	196039	1988	4681	7753	3581	11	1887	47	51	20
LK-3103	Bentota	Benthota	dsd	13661	2605	8574	38	498	1644	236	1	62	1	2	0
LK-3106	Balapitiya	Balapitiya	dsd	18692	3510	13604	82	120	1040	260	0	65	2	9	0
LK-3109	Karandeniya	Karandeniya	dsd	19823	3890	15001	49	17	540	295	0	24	2	2	3
LK-3112	Elpitiya	Elpitiya	dsd	19310	4530	13647	210	121	534	227	2	33	4	2	0
LK-3115	Niyagama	Niyagama	dsd	10330	3794	6131	94	61	104	121	0	23	0	1	1
LK-3118	Thawalama	Thawalama	dsd	9468	1240	7177	118	227	302	269	0	133	0	2	0
LK-3121	Neluwa	Neluwa	dsd	8429	2158	5433	105	261	223	150	0	98	0	1	0
LK-3124	Nagoda	Nagoda	dsd	15445	6179	8291	145	239	240	246	1	103	0	1	0
LK-3127	Baddegama	Baddegama	dsd	14223	5653	7707	165	106	257	158	0	170	3	3	1
LK-3130	Welivitiya-Divithura	-- Welivitiya-Divithura	dsd	8597	2119	6131	73	24	130	94	0	25	0	1	0
LK-3133	Ambalangoda	Ambalangoda	dsd	16798	3924	11938	53	28	515	284	1	53	1	1	0
LK-3134	Gonapeenuwala	Gonapeenuwala	dsd	6749	2207	4066	3	5	277	152	0	38	0	1	0
LK-3136	Hikkaduwa	Hikkaduwa	dsd	7386	2021	4515	127	98	430	122	0	70	0	3	0
LK-3139	Galle Four Gravets	Galle Four Gravets	dsd	26173	11323	13903	100	441	143	38	1	208	8	2	6
LK-3142	Bope-Poddala	- -Bope-Poddala	dsd	15444	4713	10122	98	196	187	52	0	70	4	0	2
LK-3145	Akmeemana	Akmeemana	dsd	23381	6560	15434	128	590	203	215	2	232	6	9	2
LK-3148	Yakkalamulla	Yakkalamulla	dsd	13328	5848	6548	56	385	172	202	1	112	2	1	1
LK-3151	Imaduwa	Imaduwa	dsd	13341	3244	9028	103	621	161	112	0	62	5	3	2
LK-3154	Habaraduwa	Habaraduwa	dsd	16999	5134	10895	97	466	166	98	1	134	4	2	2
LK-31XX	Wanduramba	Wanduramba	dsd	7908	3409	4040	62	120	115	92	0	66	2	2	0
LK-31XX	Madampagama	Madampagama	dsd	9143	2044	6726	47	12	204	66	0	42	2	0	0
LK-31XX	Rathgama	Rathgama	dsd	10751	3216	7128	35	45	166	92	1	64	1	3	0
LK-32	Matara	Matara District	district	230034	123241	88931	2351	5976	4825	3243	5	1378	43	26	15
LK-3203	Pitabeddara	Pitabeddara	dsd	14606	5461	7553	252	347	375	368	1	240	6	3	0
LK-3206	Kotapola	Kotapola	dsd	17734	3345	12695	371	338	344	464	0	165	7	5	0
LK-3209	Pasgoda	Pasgoda	dsd	18139	8833	7053	535	518	507	571	3	116	1	0	2
LK-3212	Mulatiyana	Mulatiyana	dsd	14550	11382	2090	173	394	283	206	0	19	2	1	0
LK-3215	Athuraliya	Athuraliya	dsd	9020	3575	4716	57	302	199	110	0	59	1	1	0
LK-3218	Akuressa	Akuressa	dsd	15065	4459	9254	183	582	308	189	0	89	0	0	1
LK-3221	Welipitiya	Welipitiya	dsd	14800	5018	8295	98	914	278	84	0	109	2	2	0
LK-3224	Malimbada	Malimbada	dsd	10206	3236	5802	94	756	218	68	0	26	3	2	1
LK-3227	Kamburupitiya	Kamburupitiya	dsd	11827	8501	2672	35	295	187	110	0	20	4	1	2
LK-3230	Hakmana	Hakmana	dsd	9127	7242	1274	44	68	122	364	0	13	0	0	0
LK-3233	Kirinda Puhulwella	Kirinda Puhulwella	dsd	5778	4189	1179	54	53	115	183	0	4	1	0	0
LK-3236	Thihagoda	Thihagoda	dsd	9668	5556	3284	73	309	312	91	1	35	3	1	3
LK-3239	Weligama	Weligam	dsd	19263	11968	6157	86	527	263	63	0	195	1	1	2
LK-3242	Matara Four Gravets	Matara Four Gravets	dsd	32080	22712	8240	138	351	410	47	0	169	10	1	2
LK-3245	Devinuwara	Devinuwara	dsd	13098	6664	5360	124	156	619	98	0	72	1	3	1
LK-3248	Dickwella	Dickwella	dsd	15073	11100	3307	34	66	285	227	0	47	1	5	1
LK-33	Hambantota	Hambantota District	district	187558	153368	28297	319	129	2236	2846	25	281	21	29	7
LK-3303	Sooriyawewa	Sooriyawewa	dsd	14365	10285	3707	4	4	222	119	1	19	0	2	2
LK-3306	Lunugamvehera	Lunugamwehera	dsd	10381	7943	2227	1	1	70	111	1	21	2	4	0
LK-3309	Thissamaharama	Thissamaharama	dsd	20935	15977	4488	58	3	273	80	8	32	4	12	0
LK-3312	Hambantota	Hambantota	dsd	18259	13568	4419	6	3	86	136	3	30	6	2	0
LK-3315	Ambalantota	Ambalantota	dsd	22250	19473	2432	10	5	154	139	2	34	0	1	0
LK-3318	Angunakolapelessa	Angunakolapelessa	dsd	15372	13671	1379	3	3	108	189	1	16	1	0	1
LK-3321	Weeraketiya	Weeraketiya	dsd	13610	11671	1399	6	13	191	303	2	25	0	0	0
LK-3324	Katuwana	Katuwana	dsd	15091	12315	1622	84	21	354	671	0	19	2	2	1
LK-3325	Walasmulla	Walasmulla	dsd	13427	11726	978	110	59	152	379	2	16	1	3	1
LK-3327	Okewela	Okewela	dsd	5664	4867	546	3	0	62	179	0	5	1	1	0
LK-3330	Beliatta	Beliatta	dsd	16473	13182	2403	12	14	454	380	1	26	0	1	0
LK-3333	Tangalle	Tangalle	dsd	21731	18690	2697	22	3	110	160	4	38	4	1	2
LK-41	Jaffna	Jaffna District	district	156797	2468	149417	402	128	591	621	610	2210	215	26	109
LK-4103	Island North (Kayts)	Island North Kayts	dsd	2633	38	2488	3	3	26	9	18	47	1	0	0
LK-4104	Karainagar	Karainagar	dsd	2630	148	2338	2	0	10	24	43	60	3	1	1
LK-4106	Valikamam West (Chankanai)	Valikamam West Chankanai	dsd	11568	169	10891	32	37	101	81	46	185	15	2	9
LK-4109	Valikamam South-West (Sandilipay)	Valikamam South-West Sandilipay	dsd	13821	245	12981	38	15	60	101	125	209	35	2	10
LK-4112	Valikamam North (Tellipallai)	Valikamam North	dsd	11932	148	11449	39	0	25	9	18	207	21	3	13
LK-4115	Valikamam South (Uduvil)	Valikamam South Uduvil	dsd	13108	183	12497	57	4	103	61	13	172	12	3	3
LK-4118	Valikamam East (Kopay)	Valikamam East Kopay	dsd	19402	384	18301	31	18	111	140	54	286	36	4	37
LK-4121	Vadamaradchi South-West (Karaveddy)	Vadamaradchy South-West Karaveddy	dsd	11195	268	10607	19	7	26	50	37	156	17	5	3
LK-4124	Vadamaradchi East	Vadamaradchy East	dsd	3950	31	3777	3	0	0	1	63	60	3	0	12
LK-4127	Vadamaradchi North (Point Pedro)	Vadamaradchy North Point Perdro	dsd	12253	141	11822	76	9	13	15	35	124	13	1	4
LK-4130	Thenmaradchi (Chavakachcheri)	Thenmaradchy Chavakachcheri	dsd	18897	256	18087	13	3	30	44	76	367	15	3	3
LK-4133	Nallur	Nallur	dsd	18614	207	18142	39	26	59	18	3	95	17	0	8
LK-4136	Jaffna	Jaffna	dsd	11522	181	11100	18	5	15	37	3	148	9	0	6
LK-4139	Island South (Velanai)	Island South Velanai	dsd	4379	59	4122	8	0	4	25	58	83	18	2	0
LK-4142	Delft	Delft	dsd	893	10	815	24	1	8	6	18	11	0	0	0
LK-42	Mannar	Mannar District	district	32005	760	30254	18	3	23	41	436	388	59	4	19
LK-4203	Mannar Town	Mannar Town	dsd	14549	337	13686	10	0	2	5	343	137	20	1	8
LK-4206	Manthai West	Manthai West	dsd	5071	75	4855	3	1	7	6	32	86	6	0	0
LK-4209	Madhu	Madhu	dsd	2702	134	2509	2	0	0	18	2	27	7	3	0
LK-4212	Nanattan	Nanattan	dsd	5337	122	5049	1	2	13	12	45	66	16	0	11
LK-4215	Musali	Musali	dsd	4346	92	4155	2	0	1	0	14	72	10	0	0
LK-43	Vavuniya	Vavuniya District	district	47825	10861	35614	45	13	217	377	56	492	145	1	4
LK-4303	Vavuniya North	Vavuniya North	dsd	4284	219	3866	2	1	25	64	15	77	15	0	0
LK-4306	Vavuniya South	Vavuniya South	dsd	4488	2642	1747	1	0	21	62	2	11	0	1	1
LK-4309	Vavuniya	Vavuniya	dsd	32007	6229	24952	38	6	142	167	33	337	100	0	3
LK-4312	Vengalacheddikulam	Vengalacheddikulam	dsd	7046	1771	5049	4	6	29	84	6	67	30	0	0
LK-44	Mullaitivu	Mullaitivu District	district	34348	2869	30028	20	2	144	169	200	774	99	3	40
LK-4403	Thunukkai	Thunukkai	dsd	2829	26	2714	3	0	4	19	9	53	0	0	1
LK-4406	Manthai East	Manthai East	dsd	2178	41	2089	0	0	5	13	5	22	3	0	0
LK-4409	Puthukkudiyiruppu	Puthukudiyiruppu	dsd	10667	290	9690	7	2	54	7	92	436	56	0	33
LK-4412	Oddusuddan	Oddusudan	dsd	5078	137	4737	4	0	21	26	23	110	18	0	2
LK-4415	Maritimepattu	Maritimepattu	dsd	10393	283	9807	6	0	40	15	71	145	21	1	4
LK-4418	Welioya	Welioya	dsd	3203	2092	991	0	0	20	89	0	8	1	2	0
LK-45	Kilinochchi	Kilinochchi District	district	36484	445	34759	31	1	147	168	267	531	124	0	11
LK-4503	Pachchilaipalli	Pachchilaipalli	dsd	3835	21	3681	4	1	1	3	38	67	17	0	2
LK-4506	Kandavalai	Kandavalai	dsd	6858	97	6511	7	0	17	40	53	95	38	0	0
LK-4509	Karachchi	Karachchi	dsd	19488	254	18630	17	0	111	108	48	267	46	0	7
LK-4512	Poonakary	Poonakary	dsd	6303	73	5937	3	0	18	17	128	102	23	0	2
LK-51	Batticaloa	Batticaloa District	district	167150	129053	28562	152	82	208	505	1550	5844	963	8	223
LK-5103	Koralai Pattu North (Vaharai)	Koralai Pattu North Vaharai	dsd	7758	2692	3948	8	1	5	22	451	422	116	1	92
LK-5104	Koralai Pattu Central	Koralai Pattu Central	dsd	8481	6871	1356	1	0	2	2	26	180	32	0	11
LK-5106	Koralai Pattu  West (Oddamavadi)	Koralai Pattu West Oddamavadi	dsd	7200	5839	1209	0	2	3	4	17	110	15	0	1
LK-5109	Koralai Pattu (Valachchenai)	Koralai Pattu Valachchenai	dsd	8313	4671	3107	6	0	1	0	235	246	34	0	13
LK-5110	Koralai Pattu South (Kiran)	Koralai Pattu South Kiran	dsd	8528	4901	2375	2	2	7	62	308	780	90	1	0
LK-5112	Eravur Pattu	Eravur Pattu	dsd	25613	16418	7148	59	2	47	128	254	1414	138	2	3
LK-5115	Eravur Town	Eravur Town	dsd	7172	6702	299	4	2	2	2	7	136	12	0	6
LK-5118	Manmunai North	Manmunai North	dsd	25590	21347	3362	29	23	22	9	32	619	113	0	34
LK-5121	Manmunai West	Manmunai West	dsd	9647	6978	1984	9	31	58	123	66	353	44	1	0
LK-5124	Kattankudy	Kattankudy	dsd	12899	12374	150	2	2	3	1	1	296	56	0	14
LK-5127	Manmunai Pattu (Araipattai)	Manmunai Pattu Araipattai	dsd	10254	8586	779	4	10	0	2	39	672	152	1	9
LK-5130	Manmunai South-West	Manmunai South-West	dsd	7745	6806	590	16	6	20	59	27	154	48	1	18
LK-5133	Porativu Pattu	Poratheevu Pattu	dsd	11378	9986	1096	9	0	36	86	13	106	38	0	8
LK-5136	Manmunai South & Eruvil pattu	Manmunai South Eruvil Pattu	dsd	16572	14882	1159	3	1	2	5	74	356	75	1	14
LK-52	Ampara	Ampara District	district	202861	161796	34437	246	114	969	3303	292	1253	338	30	83
LK-5203	Dehiattakandiya	Dehiattakandiya	dsd	18437	16396	1529	2	1	113	370	0	19	4	1	2
LK-5206	Padiyathalawa	Padiyathalawa	dsd	6260	4789	604	7	0	132	683	1	29	2	12	1
LK-5209	Mahaoya	Mahaoya	dsd	6968	5050	930	0	3	185	744	2	42	5	7	0
LK-5212	Uhana	Uhana	dsd	17326	15532	1100	10	5	149	479	1	44	2	3	1
LK-5215	Ampara	Ampara	dsd	13172	11638	1103	2	13	95	274	0	43	1	3	0
LK-5216	Navithanveli	Navithanveli	dsd	6288	5053	1159	7	0	17	10	4	28	8	1	1
LK-5218	Samanthurai	Samanthurai	dsd	19400	17800	1374	2	0	40	21	3	100	58	0	2
LK-5221	Kalmunai Tamil Division	Kalmunai Tamil Division	dsd	8675	6952	1618	3	0	8	4	4	75	10	0	1
LK-5224	Kalmunai	Kalmunai	dsd	13481	12681	685	4	0	0	0	1	90	18	0	2
LK-5225	Sainthamaruthu	Sainthamarathu	dsd	7804	7573	202	0	0	1	1	2	18	6	0	1
LK-5227	Karaitheevu	Karaitheevu	dsd	5241	4712	460	3	1	10	6	3	32	8	0	6
LK-5230	Ninthavur	Ninthavur	dsd	8729	7655	1017	1	0	1	2	12	37	4	0	0
LK-5233	Addalachchenai	Addalachchenai	dsd	13178	9574	3091	49	3	41	116	76	135	79	2	12
LK-5234	Irakkamam	Irakkamam	dsd	4649	3141	1417	0	0	5	18	7	55	6	0	0
LK-5236	Akkaraipattu	Akkaraipattu	dsd	12052	7709	4189	55	0	5	1	1	62	30	0	0
LK-5239	Alayadiwembu	Alayadiwembu	dsd	7017	2448	4389	3	0	0	2	30	111	34	0	0
LK-5242	Damana	Damana	dsd	11478	9837	1009	4	11	108	471	1	29	8	0	0
LK-5245	Thirukkovil	Thirukkovil	dsd	8338	3165	4934	3	1	8	1	70	99	18	1	38
LK-5248	Pothuvil	Pothuvil	dsd	11466	8378	2554	91	68	28	32	69	194	36	0	16
LK-5251	Lahugala	Lahugala	dsd	2902	1713	1073	0	8	23	68	5	11	1	0	0
LK-53	Trincomalee	Trincomalee District	district	119351	70785	45256	84	21	298	696	464	1331	298	6	112
LK-5303	Padavi Sri Pura	Padavisiripura	dsd	3438	2764	608	3	1	23	32	0	4	0	2	1
LK-5306	Kuchchaveli	Kuchchaveli	dsd	10805	4304	6159	3	0	5	18	84	169	33	0	30
LK-5309	Gomarankadawala	Gomarankadawala	dsd	2446	1968	369	2	1	11	86	2	4	1	0	2
LK-5312	Morawewa	Morawewa	dsd	2688	1818	735	0	0	18	71	1	41	3	0	1
LK-5315	Trincomalee Town and Gravets	Trincomalee Town and Gravets	dsd	26784	4501	21722	34	2	100	91	12	249	69	0	4
LK-5318	Thambalagamuwa	Thambalagamuwa	dsd	9324	6465	2762	5	0	22	38	6	23	3	0	0
LK-5321	Kanthale	Kanthale	dsd	14128	10187	3709	24	3	50	122	2	20	5	3	3
LK-5324	Kinniya	Kinniya	dsd	21750	19501	1937	4	7	21	50	89	105	34	1	1
LK-5327	Muttur	Muttur	dsd	19400	13234	5168	7	6	35	156	121	528	79	0	66
LK-5330	Seruvila	Seruvila	dsd	4655	3418	1128	0	1	10	30	0	37	31	0	0
LK-5333	Verugal (Eachchilampattu)	Verugal Eachchilampattu	dsd	3933	2625	959	2	0	3	2	147	151	40	0	4
LK-61	Kurunegala	Kurunegala District	district	506909	445527	48013	506	242	4455	5643	163	2066	167	89	38
LK-6103	Giribawa	Giribawa	dsd	10396	9555	686	3	1	42	92	3	10	2	0	2
LK-6106	Galgamuwa	Galgamuwa	dsd	17858	16460	1110	19	6	56	167	0	30	9	0	1
LK-6109	Ehetuwewa	Ehetuwewa	dsd	8227	7748	370	2	3	28	63	4	9	0	0	0
LK-6112	Ambanpola	Ambanpola	dsd	7706	7175	390	12	0	23	80	2	20	2	2	0
LK-6115	Kotavehera	Kotavehera	dsd	6923	6541	255	3	0	22	85	3	11	3	0	0
LK-6118	Rasnayakapura	Rasnayakapura	dsd	7192	6554	533	2	1	24	57	4	15	1	1	0
LK-6121	Nikaweratiya	Nikaweratiya	dsd	12752	12201	411	2	1	35	74	3	18	2	5	0
LK-6124	Maho	Maho	dsd	18820	17887	619	5	3	81	172	13	33	2	2	3
LK-6127	Polpithigama	Polpithigama	dsd	25354	22943	1320	14	6	172	811	14	60	6	7	1
LK-6130	Ibbagamuwa	Ibbagamuwa	dsd	26761	23897	2063	11	3	186	520	7	62	5	3	4
LK-6133	Ganewatta	Ganewatta	dsd	12898	12073	440	6	2	94	253	5	17	2	5	1
LK-6136	Wariyapola	Wariyapola	dsd	19586	18611	631	4	4	88	178	9	48	6	6	1
LK-6139	Kobeigane	Kobeigane	dsd	11689	11149	397	1	8	30	44	8	45	7	0	0
LK-6142	Bingiriya	Bingiriya	dsd	19673	17729	1340	6	16	248	135	35	144	12	7	1
LK-6145	Panduwasnuwara West	Panduwasnuwara West	dsd	20217	19017	903	8	2	71	67	9	127	9	2	2
LK-6148	Panduwasnuwara East	Panduwasnuwara East	dsd	9394	8741	429	3	1	110	68	1	37	3	1	0
LK-6149	Bamunakotuwa	Bamunakotuwa	dsd	11659	10876	532	6	2	55	130	0	43	8	6	1
LK-6151	Maspotha	Maspotha	dsd	12094	10691	1229	5	10	36	80	0	37	5	1	0
LK-6154	Kurunegala	Kurunegala	dsd	23802	21001	2336	39	12	135	169	0	94	11	1	4
LK-6157	Mallawapitiya	Mallawapitiya	dsd	16432	14435	1568	36	25	167	159	0	33	5	3	1
LK-6160	Mawathagama	Mawathagama	dsd	19764	16222	2930	18	4	328	201	0	48	8	2	3
LK-6163	Rideegama	Rideegama	dsd	26848	23671	2108	152	11	281	545	4	67	5	1	3
LK-6166	Weerambugedara	Weerambugedara	dsd	10730	9497	986	6	1	46	148	0	39	5	2	0
LK-6169	Kuliyapitiya East	Kuliyapitiya East	dsd	16420	14575	1532	3	6	97	130	2	71	3	1	0
LK-6172	Kuliyapitiya West	Kuliyapitiya West	dsd	24056	20881	2592	10	19	302	109	9	121	4	8	1
LK-6175	Udubaddawa	Udubaddawa	dsd	15815	12000	3234	4	16	292	75	8	175	7	3	1
LK-6178	Pannala	Pannala	dsd	38853	28124	9375	24	55	589	301	10	350	11	9	5
LK-6181	Narammala	Narammala	dsd	17026	13704	2681	16	6	268	221	5	111	9	5	0
LK-6184	Alawwa	Alawwa	dsd	19020	15922	2158	14	13	411	351	4	132	8	6	1
LK-6187	Polgahawela	Polgahawela	dsd	18944	15647	2855	72	5	138	158	1	59	7	0	2
LK-62	Puttalam	Puttalam District	district	231494	149525	70656	219	123	1071	1459	3277	4797	270	25	72
LK-6203	Kalpitiya	Kalpitiya	dsd	24165	4838	16812	48	2	8	8	1581	767	83	1	17
