region_id	region_name	region_name_in_data	region_ent_type	total	brick	cement_block	granite_or_cube_stones	cabook	pressed_soil_bricks	mud_or_warichchi	kadjan_or_palmyrah	plank_or_metal_sheet_or_asbestos	zinc_aluminium_sheets	other	not_relevant
LK	Sri Lanka	Sri Lanka	country	6030541	2799913	2828027	95717	68497	111245	70011	7650	43260	3870	1140	1211
LK-11	Colombo	Colombo District	district	654051	166151	462409	2691	14988	1597	675	57	5109	151	56	167
LK-1103	Colombo	Colombo	dsd	71142	19889	49732	452	478	15	26	28	483	7	5	27
LK-1106	Kolonnawa	Kolonnawa	dsd	56100	11301	43333	199	210	122	27	4	820	19	1	64
LK-1109	Kaduwela	Kaduwela	dsd	79742	18998	58869	233	1133	238	72	1	165	27	3	3
LK-1112	Homagama	Homagama	dsd	79737	9215	67006	303	2659	285	111	0	107	12	10	29
LK-1115	Seethawaka	Seethawaka	dsd	34414	2410	29737	248	1431	199	110	1	256	8	10	4
LK-1118	Padukka	Padukka	dsd	20691	915	18012	484	998	136	67	0	60	7	10	2
LK-1121	Maharagama	Maharagama	dsd	56550	17936	36534	159	1380	265	84	0	163	18	2	9
LK-1124	Sri Jayawardanapura Kotte	Sri Jayawardanapura Kotte	dsd	27833	12818	14131	81	441	25	16	4	311	0	3	3
LK-1127	Thimbirigasyaya	Thimbirigasyaya	dsd	58102	19753	37636	168	375	16	13	5	116	7	3	10
LK-1130	Dehiwala	Dehiwala	dsd	25382	11526	13365	70	252	32	14	3	115	1	0	4
LK-1131	Ratmalana	Ratmalana	dsd	25005	8707	15396	73	290	13	8	7	499	11	1	0
LK-1133	Moratuwa	Moratuwa	dsd	43985	15107	24972	70	1916	31	27	3	1835	14	5	5
LK-1136	Kesbewa	Kesbewa	dsd	75368	17576	53686	151	3425	220	100	1	179	20	3	7
LK-12	Gampaha	Gampaha District	district	683025	236563	414130	1848	10253	8882	6545	47	4439	179	81	58
LK-1203	Negombo	Negombo	dsd	35897	25704	9711	97	49	78	9	8	230	7	4	0
LK-1206	Katana	Katana	dsd	74870	37714	36272	77	42	147	78	9	514	7	7	3
LK-1209	Divulapitiya	Divulapitiya	dsd	44830	22964	20549	64	90	417	397	10	318	8	5	8
LK-1212	Mirigama	Mirigama	dsd	49540	13020	32800	129	176	1582	1529	0	277	12	12	3
LK-1215	Minuwangoda	Minuwangoda	dsd	56287	18793	34390	57	450	1332	1110	5	129	10	7	4
LK-1218	Wattala	Wattala	dsd	48787	19114	27395	168	528	152	63	2	1313	36	4	12
LK-1221	Ja-Ela	- - Ja-Ela	dsd	57159	23421	31384	155	1270	355	221	1	329	15	5	3
LK-1224	Gampaha	Gampaha	dsd	57568	18525	35555	82	1061	1344	909	1	71	13	4	3
LK-1227	Attanagalla	Attanagalla	dsd	54037	14440	36681	155	386	1118	1060	2	158	26	9	2
LK-1230	Dompe	Dompe	dsd	47297	4621	38116	302	3062	638	419	1	116	9	11	2
LK-1233	Mahara	Mahara	dsd	61376	15358	42362	359	1640	1016	468	7	141	14	7	4
LK-1236	Kelaniya	Kelaniya	dsd	36692	11619	23713	55	363	96	70	0	750	10	6	10
LK-1239	Biyagama	Biyagama	dsd	58685	11270	45202	148	1136	607	212	1	93	12	0	4
LK-13	Kalutara	Kalutara District	district	349430	41484	270654	3929	23160	5216	2258	18	2497	77	92	45
LK-1303	Panadura	Panadura	dsd	49198	11694	34062	107	2633	61	51	0	570	8	3	9
LK-1306	Bandaragama	Bandaragama	dsd	33138	3218	25203	58	4309	104	60	2	167	12	1	4
LK-1309	Horana	Horana	dsd	37489	2736	30859	385	3105	116	139	2	127	7	9	4
LK-1310	Ingiriya	Ingiriya	dsd	16382	680	14536	274	619	72	80	3	97	9	11	1
LK-1312	Bulathsinhala	Bulathsinhala	dsd	18669	573	16314	646	386	331	239	1	167	3	6	3
LK-1315	Madurawala	Madurawala	dsd	10362	603	8419	297	826	84	62	0	66	3	1	1
LK-1318	Millaniya	Millaniya	dsd	15648	916	11905	201	2283	103	86	2	130	3	17	2
LK-1321	Kalutara	Kalutara	dsd	43722	9148	30297	136	3514	171	133	3	293	14	7	6
LK-1324	Beruwala	Beruwala	dsd	41819	7246	30822	102	2444	520	222	3	441	9	5	5
LK-1327	Dodangoda	Dodangoda	dsd	18525	1380	14844	435	1262	297	209	0	85	3	4	6
LK-1330	Mathugama	Mathugama	dsd	23326	1460	19666	398	747	785	194	2	57	2	13	2
LK-1333	Agalawatta	Agalawatta	dsd	10425	790	7973	263	299	976	89	0	30	2	2	1
LK-1336	Palindanuwara	Palindanuwara	dsd	14918	343	12587	338	377	651	392	0	219	2	8	1
LK-1339	Walallavita	Walallavita	dsd	15809	697	13167	289	356	945	302	0	48	0	5	0
LK-21	Kandy	Kandy District	district	389826	154206	203208	17852	689	8914	3835	8	955	95	33	31
LK-2103	Thumpane	Thumpane	dsd	10774	7788	2467	47	3	197	234	0	33	2	1	2
LK-2106	Pujapitiya	Pujapitiya	dsd	15610	10157	4515	271	7	411	195	0	48	4	2	0
LK-2109	Akurana	Akurana	dsd	15564	11081	4038	78	6	162	148	0	48	1	1	1
LK-2112	Pathadumbara	Pathadumbara	dsd	25283	17234	7201	75	16	502	194	1	53	5	1	1
LK-2115	Panvila	Panvila	dsd	7203	1097	4080	1491	17	385	121	0	11	0	1	0
LK-2118	Udadumbara	Udadumbara	dsd	6720	2803	1840	1630	16	293	126	1	7	2	2	0
LK-2121	Minipe	Minipe	dsd	15952	14269	1266	85	8	169	135	1	17	2	0	0
LK-2124	Medadumbara	Medadumbara	dsd	17917	5421	8814	1844	38	1303	446	0	41	8	2	0
LK-2127	Kundasale	Kundasale	dsd	39297	17667	19834	299	56	950	381	1	85	14	5	5
LK-2130	Kandy Four Gravets & Gangawata Korale	Kandy Four Gravets Gangawata Korale	dsd	39803	17282	21371	373	90	444	155	0	74	9	2	3
LK-2133	Harispattuwa	Harispattuwa	dsd	25869	11802	13319	82	19	392	194	1	48	4	0	8
LK-2134	Hatharaliyadda	Hatharaliyadda	dsd	8636	6468	1721	92	3	153	164	0	32	3	0	0
LK-2136	Yatinuwara	Yatinuwara	dsd	30659	9815	19239	610	43	643	204	0	95	4	4	2
LK-2139	Udunuwara	Udunuwara	dsd	31284	10352	19569	449	28	618	164	1	96	4	2	1
LK-2142	Doluwa	Doluwa	dsd	14236	786	11319	1575	67	249	209	0	25	4	2	0
LK-2145	Pathahewaheta	Pathahewaheta	dsd	16618	3374	9908	2378	40	645	224	1	37	6	3	2
LK-2148	Deltota	Delthota	dsd	8725	358	6251	1563	14	449	80	0	8	0	1	1
LK-2151	Udapalatha	Udapalatha	dsd	26879	3732	20754	1601	50	432	186	1	105	10	3	5
LK-2154	Ganga Ihala Korale	Ganga Ihala Korale	dsd	15525	1672	11542	1591	78	397	199	0	40	6	0	0
LK-2157	Pasbage Korale	Pasbage Korale	dsd	17272	1048	14160	1718	90	120	76	0	52	7	1	0
LK-22	Matale	Matale District	district	148184	107311	31157	2838	169	3447	2846	11	317	52	24	12
LK-2203	Galewela	Galewela	dsd	22154	18576	2820	14	4	210	476	2	38	7	6	1
LK-2206	Dambulla	Dambulla	dsd	22894	14524	7557	16	7	222	502	4	47	10	4	1
LK-2209	Naula	Naula	dsd	8834	7309	1118	22	5	100	244	0	27	7	2	0
