region_id	region_name	region_name_in_data	region_ent_type	occupied_housing_units
LK	Sri Lanka	Sri Lanka	COUNTRY	6030541
LK-1	Western	Western	PROVINCE	1686506
LK-11	Colombo	Colombo	DISTRICT	654051
LK-1103	Colombo	Colombo	DSD	71142
LK-1103005	Sammanthranapura	Sammanthranapura	GND	1834
LK-1103010	Mattakkuliya	Mattakkuliya	GND	6838
LK-1103015	Modara	Modara	GND	7725
LK-1103020	Madampitiya	Madampitiya	GND	1893
LK-1103025	Mahawatta	Mahawatta	GND	1746
LK-1103030	Aluthmawatha	Aluthmawatha	GND	3648
LK-1103035	Lunupokuna	Lunupokuna	GND	3355
LK-1103040	Bloemendhal	Bloemendhal	GND	2111
LK-1103045	Kotahena East	Kotahena East	GND	1676
LK-1103050	Kotahena West	Kotahena West	GND	2497
LK-1103055	Kochchikade North	Kochchikade North	GND	1641
LK-1103060	Jinthupitiya	Jinthupitiya	GND	2202
LK-1103065	Masangasweediya	Masangasweediya	GND	1488
LK-1103070	New Bazaar	New Bazaar	GND	2647
LK-1103075	Grandpass South	Grandpass South	GND	3512
LK-1103080	Grandpass North	Grandpass North	GND	2363
LK-1103085	Nawagampura	Nawagampura	GND	1788
LK-1103090	Maligawatta East	Maligawatta East	GND	2477
LK-1103095	Khettarama	Khettarama	GND	2840
LK-1103100	Aluthkade East	Aluthkade East	GND	1815
LK-1103105	Aluthkade West	Aluthkade West	GND	1144
LK-1103110	Kochchikade South	Kochchikade South	GND	1596
LK-1103115	Pettah	Pettah	GND	11
LK-1103120	Fort	Fort	GND	171
LK-1103125	Galle Face	Galle Face	GND	820
LK-1103130	Slave Island	Kompagngnaweediya	GND	654
LK-1103135	Hunupitiya	Hunupitiya	GND	860
LK-1103140	Suduwella	Suduwella	GND	754
LK-1103145	Keselwatta	Keselwatta	GND	1327
LK-1103150	Panchikawatta	Panchikawatta	GND	1637
LK-1103155	Maligawatta West	Maligawatta West	GND	1713
LK-1103160	Maligakanda	Maligakanda	GND	1618
LK-1103165	Maradana	Maradana	GND	804
LK-1103170	Ibbanwala	Ibbanwala	GND	744
LK-1103175	Wekanda	Wekanda	GND	1193
LK-1106	Kolonnawa	Kolonnawa	DSD	56100
LK-1106005	Wadulla	Wadulla	GND	1789
LK-1106010	Sedawatta	Sedawatta	GND	1614
LK-1106015	Halmulla	Halmulla	GND	659
LK-1106020	Kotuvila	Kotuvila	GND	1412
LK-1106025	Veheragoda	Veheragoda	GND	511
LK-1106030	Orugodawatta	Orugodawatta	GND	1225
LK-1106035	Meethotamulla	Meethotamulla	GND	2163
LK-1106040	Welewatta	Welewatta	GND	1737
LK-1106045	Kittampahuwa	Kittampahuwa	GND	1632
LK-1106050	Wennawatta	Wennawatta	GND	2435
LK-1106055	Maha Buthgamuwa B	Maha Buthgamuwa B	GND	1319
LK-1106060	Kuda Buthgamuwa	Kuda Buthgamuwa	GND	1392
LK-1106065	Kelanimulla	Kelanimulla	GND	1103
LK-1106070	Ambathale	Ambathale	GND	944
LK-1106075	Mulleriyawa North	Mulleriyawa North	GND	1453
LK-1106080	Belagama	Belagama	GND	1089
LK-1106085	Kotikawatta East	Kotikawatta East	GND	1144
LK-1106090	Maha Buthgamuwa A	Maha Buthgamuwa A	GND	993
LK-1106095	Maha Buthgamuwa C	Maha Buthgamuwa C	GND	1324
LK-1106100	Wellampitiya	Wellampitiya	GND	532
LK-1106105	Kuruniyawatta	Kuruniyawatta	GND	978
LK-1106110	Kolonnawa	Kolonnawa	GND	553
LK-1106115	Dahampura	Dahampura	GND	893
LK-1106120	Singhapura	Singhapura	GND	1321
LK-1106125	Megoda Kolonnawa	Megoda Kolonnawa	GND	3298
LK-1106130	Bopetta	Bopetta	GND	1082
LK-1106135	Batalandahena	Batalandahena	GND	1312
LK-1106140	Kotikawatta West	Kotikawatta West	GND	889
LK-1106145	Mulleriyawa South	Mulleriyawa South	GND	1391
LK-1106150	Malgama	Malgama	GND	1566
LK-1106155	Udumulla North	Udumulla North	GND	808
LK-1106160	Maligagodella	Maligagodella	GND	689
LK-1106165	Rajasinghagama	Rajasinghagama	GND	2069
LK-1106170	Udumulla South	Udumulla South	GND	770
LK-1106175	Himbutana East	Himbutana East	GND	1121
LK-1106180	Himbutana West	Himbutana West	GND	1093
LK-1106185	Malpura	Malpura	GND	1265
LK-1106190	Gothatuwa New Town	Gothatuwa New Town	GND	589
LK-1106195	Kajugahawatta	Kajugahawatta	GND	692
LK-1106200	Gothatuwa	Gothatuwa	GND	751
LK-1106205	Salamulla	Salamulla	GND	2295
LK-1106210	Wijayapura	Wijayapura	GND	962
LK-1106215	Gajabapura	Gajabapura	GND	630
LK-1106220	Madinnagoda	Madinnagoda	GND	977
LK-1106225	Elhena	Elhena	GND	624
LK-1106230	Dodamgahahena	Dodamgahahena	GND	1012
LK-1109	Kaduwela	Kaduwela	DSD	79742
LK-1109005	Welivita	Welivita	GND	1438
LK-1109010	Raggahawatta	Raggahawatta	GND	1175
LK-1109015	Hewagama	Hewagama	GND	1299
LK-1109020	Kaduwela	Kaduwela	GND	1158
LK-1109025	Pahala Bomiriya A	Pahala Bomiriya	GND	1448
LK-1109030	Ihala Bomiriya	Ihala Bomiriya	GND	1310
LK-1109035	Wekewatta	Wekewatta	GND	1235
LK-1109040	Nawagamuwa	Nawagamuwa	GND	1651
LK-1109045	Pahala Bomiriya B	Pahala Bomiriya B	GND	1372
LK-1109050	Welihinda	Welihinda	GND	764
LK-1109055	Kothalawala	Kothalawala	GND	1988
LK-1109060	Mahadeniya	Mahadeniya	GND	2240
LK-1109065	Thalahena North	Thalahena North	GND	1055
LK-1109070	Malabe North	Malabe North	GND	2091
LK-1109075	Thunadahena	Thunadahena	GND	1769
LK-1109080	Korathota	Korathota	GND	3318
LK-1109085	Nawagamuwa South	Nawagamuwa South	GND	963
LK-1109090	Batewela	Batewela	GND	996
LK-1109095	Ranala	Ranala	GND	1669
LK-1109100	Dedigamuwa	Dedigamuwa	GND	755
LK-1109105	Embilladeniya	Embilladeniya	GND	664
LK-1109110	Welipillewa	Welipillewa	GND	897
LK-1109115	Shanthalokagama	Shanthalokagama	GND	2540
LK-1109120	Pore	Pore	GND	1722
LK-1109125	Malabe East	Malabe East	GND	1968
LK-1109130	Malabe West	Malabe West	GND	1672
LK-1109135	Thalangama North B	Thalangama North B	GND	1153
LK-1109140	Thalahena South	Thalahena South	GND	829
LK-1109145	Muttettugoda	Muttettugoda	GND	1963
LK-1109150	Thalangama North A	Thalangama North A	GND	2630
LK-1109155	Walpola	Walpola	GND	2299
LK-1109160	Kalapaluwawa	Kalapaluwawa	GND	1113
LK-1109165	Kotuwegoda	Kotuwegoda	GND	1102
LK-1109170	Subhoothipura	Subhoothipura	GND	620
LK-1109175	Udumulla	Udumulla	GND	683
LK-1109180	Battaramulla North	Battaramulla North	GND	655
LK-1109185	Batapotha	Batapotha	GND	2129
LK-1109190	Pothuarawa	Pothuarawa	GND	2361
LK-1109195	Hokandara North	Hokandara North	GND	2033
LK-1109200	Oruwala	Oruwala	GND	1375
LK-1109205	Athurugiriya	Athurugiriya	GND	1813
LK-1109210	Thaldiyawala	Thaldiyawala	GND	1105
LK-1109215	Boralugoda	Boralugoda	GND	1024
LK-1109220	Hokandara East	Hokandara East	GND	2016
LK-1109225	Arangala	Arangala	GND	1615
LK-1109230	Evarihena	Evarihena	GND	862
LK-1109235	Kumaragewatta	Kumaragewatta	GND	1325
LK-1109240	Jayawadanagama	Jayawadanagama	GND	748
LK-1109245	Aruppitiya	Aruppitiya	GND	611
LK-1109250	Asiri Uyana	Asiri Uyana	GND	857
LK-1109255	Battaramulla South	Battaramulla South	GND	466
LK-1109260	Rajamalwatta	Rajamalwatta	GND	477
LK-1109265	Pahalawela	Pahalawela	GND	1195
LK-1109270	Wickramasinghapura	Wickramasinghapura	GND	1020
LK-1109275	Wellangiriya	Wellangiriya	GND	1371
LK-1109280	Hokandara South	Hokandara South	GND	1842
LK-1109285	Athurugiriya South	Athurugiriya South	GND	1293
LK-1112	Homagama	Homagama	DSD	79737
