region_id	region_name	region_name_in_data	region_ent_type	occupied_housing_units
LK-1112005	Jalthara	Jalthara	GND	2610
LK-1112010	Henpita	Henpita	GND	533
LK-1112015	Atigala West	Atigala West	GND	600
LK-1112020	Atigala East	Atigala East	GND	675
LK-1112025	Batawala	Batawala	GND	757
LK-1112030	Walpita	Walpita	GND	640
LK-1112035	Nawalamulla	Nawalamulla	GND	1098
LK-1112040	Meegasmulla	Meegasmulla	GND	1152
LK-1112045	Habarakada North	Habarakada North	GND	928
LK-1112050	Mullegama North	Mullegama North	GND	440
LK-1112055	Mullegama South	Mullegama South	GND	1166
LK-1112060	Habarakada South	Habarakada South	GND	876
LK-1112065	Panagoda Town	Panagoda Town	GND	504
LK-1112070	Henawatta	Henawatta	GND	2384
LK-1112075	Meegoda North	Meegoda North	GND	943
LK-1112080	Panaluwa	Panaluwa	GND	1557
LK-1112085	Watareka North	Watareka North	GND	1495
LK-1112090	Meegoda South	Meegoda South	GND	692
LK-1112095	Godagama North	Godagama North	GND	447
LK-1112100	Panagoda West	Panagoda West	GND	945
LK-1112105	Panagoda East	Panagoda East	GND	48
LK-1112110	Habarakada Watta	Habarakada Watta	GND	879
LK-1112115	Homagama North	Homagama North	GND	638
LK-1112120	Homagama West	Homagama West	GND	1088
LK-1112125	Homagama South	Homagama South	GND	1041
LK-1112130	Galavilawatta North	Galavilawatta North	GND	1026
LK-1112135	Homagama Town	Homagama Town	GND	652
LK-1112140	Homagama East	Homagama East	GND	714
LK-1112145	Pitipana Town	Pitipana Town	GND	840
LK-1112150	Godagama South	Godagama South	GND	1017
LK-1112155	Kurunduwatta	Kurunduwatta	GND	1241
LK-1112160	Gehenuwala	Gehenuwala	GND	571
LK-1112165	Watareka South	Watareka South	GND	2037
LK-1112170	Ovitigama	Ovitigama	GND	1505
LK-1112175	Kandanawatta	Kandanawatta	GND	973
LK-1112180	Kiriberiyakele	Kiriberiyakele	GND	953
LK-1112185	Mawathgama	Mawathgama	GND	836
LK-1112190	Katuwana	Katuwana	GND	1508
LK-1112195	Galavilawatta South	Galavilawatta South	GND	1042
LK-1112200	Niyandagala	Niyandagala	GND	1256
LK-1112205	Hiripitiya	Hiripitiya	GND	1545
LK-1112210	Mambulgoda	Mambulgoda	GND	845
LK-1112215	Kithulhena	Kithulhena	GND	515
LK-1112220	Siddamulla North	Siddamulla North	GND	744
LK-1112225	Siddamulla South	Siddamulla South	GND	766
LK-1112230	Mattegoda West	Mattegoda West	GND	1513
LK-1112235	Mattegoda Central 'A'	Mattegoda Central 'A'	GND	614
LK-1112240	Mattegoda East	Mattegoda East	GND	1129
LK-1112245	Brahmanagama	Brahmanagama	GND	1561
LK-1112250	Deepangoda	Deepangoda	GND	1069
LK-1112255	Magammana West	Magammana West	GND	939
LK-1112260	Magammana East	Magammana East	GND	1749
LK-1112265	Uduwana	Uduwana	GND	1211
LK-1112270	Prasannapura	Prasannapura	GND	916
LK-1112275	Pitipana North	Pitipana North	GND	1017
LK-1112280	Suwapubudugama	Suwapubudugama	GND	693
LK-1112285	Pitipana South	Pitipana South	GND	1022
LK-1112290	Dolahena	Dolahena	GND	1534
LK-1112295	Diyagama East	Diyagama East	GND	585
LK-1112300	Diyagama West	Diyagama West	GND	640
LK-1112305	Kirigampamunuwa	Kirigampamunuwa	GND	1112
LK-1112310	Mattegoda Central 'B'	Mattegoda Central 'B'	GND	875
LK-1112315	Siyambalagoda North	Siyambalagoda North	GND	1400
LK-1112320	Kudamaduwa	Kudamaduwa	GND	1049
LK-1112325	Sangharama	Sangharama	GND	706
LK-1112330	Siyambalagoda South	Siyambalagoda South	GND	741
LK-1112335	Rilawala	Rilawala	GND	561
LK-1112340	Kahathuduwa West	Kahathuduwa West	GND	903
LK-1112345	Kiriwattuduwa South	Kiriwattuduwa South	GND	1041
LK-1112350	Kiriwattuduwa North	Kiriwattuduwa North	GND	710
LK-1112355	Moonamale - Yakahaluwa	Moonamale - Yakahaluwa	GND	860
LK-1112360	Kithulavila	Kithulavila	GND	1254
LK-1112365	Kahathuduwa North	Kahathuduwa North	GND	1115
LK-1112370	Kahathuduwa East	Kahathuduwa East	GND	717
LK-1112375	Kahathuduwa South	Kahathuduwa South	GND	1055
LK-1112380	Undurugoda	Undurugoda	GND	457
LK-1112385	Wethara	Wethara	GND	559
LK-1112390	Ambalangoda	Ambalangoda	GND	730
LK-1112395	Heraliyawala	Heraliyawala	GND	343
LK-1112400	Palagama	Palagama	GND	890
LK-1112405	Weniwelkola	weniwelkola	GND	1745
LK-1115	Seethawaka	Seethawaka	DSD	34414
LK-1115005	Bollathawa	Bollathawa	GND	518
LK-1115010	Kanampella West	Kanampella West	GND	595
LK-1115015	Kanampella East	Kanampella East	GND	308
LK-1115020	Manakada	Manakada	GND	186
LK-1115025	Eswatta North	Eswatta North	GND	522
LK-1115030	Kiriwandala North	Kiriwandala North	GND	1165
LK-1115035	Kudagama	Kudagama	GND	623
LK-1115040	Weralupitiya	Weralupitiya	GND	257
LK-1115045	Seethagama	Seethagama	GND	850
LK-1115050	Avissawella	Avissawella	GND	507
LK-1115055	Ukwatta	Ukwatta	GND	765
LK-1115060	Agra Pedesa	Agra Pedesa	GND	545
LK-1115065	Eswatta South	Eswatta South	GND	527
LK-1115070	Ihala Kosgama North	Ihala Kosgama North	GND	874
LK-1115075	Thawalgoda	Thawalgoda	GND	468
LK-1115080	Muruthagama	Muruthagama	GND	330
LK-1115085	Akaravita	Akaravita	GND	414
LK-1115090	Kahatapitiya	Kahatapitiya	GND	343
LK-1115095	Kalu Aggala	Kalu Aggala	GND	392
LK-1115100	Salawa	Salawa	GND	709
LK-1115105	Pahala Kosgama West	Pahala Kosgama west	GND	638
LK-1115110	Pahala Kosgama East	Pahala Kosgama East	GND	655
LK-1115115	Ihala Kosgama South	Ihala Kosgama South	GND	478
LK-1115120	Miriswatta	Miriswatta	GND	708
LK-1115125	Aluth Ambalama	Aluth Ambalama	GND	538
LK-1115130	Kiriwandala South	Kiriwandala South	GND	782
LK-1115135	Kotahera	Kotahera	GND	431
LK-1115140	Seethawaka	Seethawaka	GND	479
LK-1115145	Aradhana Kanda	Aradhana Kanda	GND	815
LK-1115150	Puwakpitiya South	Puwakpitiya South	GND	1016
LK-1115155	Puwakpitiya	Puwakpitiya	GND	367
LK-1115160	Egodagama	Egodagama	GND	435
LK-1115165	Weragolla North	Weragolla North	GND	631
LK-1115170	Hingurala	Hingurala	GND	616
LK-1115175	Kadugoda North	Kadugoda North	GND	532
LK-1115180	Mawalgama	Mawalgama	GND	595
LK-1115185	Suduwella	Suduwella	GND	1120
LK-1115190	Gira Imbula	Gira Imbula	GND	284
LK-1115195	Walawwatta	Walawwatta	GND	406
LK-1115200	Pahala Hanwella	Pahala Hanwella	GND	387
LK-1115205	Hanwella Town	Hanwella Town	GND	801
LK-1115210	Ihala Hanwella North	Ihala Hanwella North	GND	422
LK-1115215	Niripola	Niripola	GND	457
LK-1115220	Brandigampala	Brandigampala	GND	350
LK-1115225	Kadugoda South	Kadugoda South	GND	517
LK-1115230	Weragolla South	Weragolla South	GND	311
LK-1115235	Digana	Digana	GND	488
LK-1115240	Lahirugama	Lahirugama	GND	584
LK-1115245	Mambula	Mambula	GND	319
LK-1115250	Welikanna	Welikanna	GND	433
LK-1115255	Kahahena	Kahahena	GND	460
LK-1115260	Neluwattuduwa	Neluwattuduwa	GND	201
LK-1115265	Diddeniya North	Diddeniya North	GND	480
LK-1115270	Ihala Hanwella South	Ihala Hanwella South	GND	282
LK-1115275	Pahathgama	Pahathgama	GND	526
LK-1115280	Jayaweeragoda	Jayaweeragoda	GND	627
LK-1115285	Koodaluvila	Koodaluvila	GND	877
LK-1115290	Thunnana East	Thunnana East	GND	237
LK-1115295	Diddeniya South	Diddeniya South	GND	404
LK-1115300	Elamalawala	Elamalawala	GND	189
LK-1115305	Ilukovita	Ilukovita	GND	145
LK-1115310	Koswatta	Koswatta	GND	197
LK-1115315	Pagngnagula	Pagngnagula	GND	192
LK-1115320	Pelpola	Pelpola	GND	213
LK-1115325	Kudakanda	Kudakanda	GND	393
LK-1115330	Thunnana West	Thunnana West	GND	534
LK-1115335	Mawathagama West	Mawathagama West	GND	651
LK-1115340	Mawathagama East	Mawathagama East	GND	313
LK-1118	Padukka	Padukka	DSD	20691
LK-1118005	Pinnawala North	Pinnawala North	GND	281
LK-1118010	Pinnawala South	Pinnawala South	GND	489
LK-1118015	Waga North	Waga North	GND	286
LK-1118020	Waga East	Waga East	GND	486
LK-1118025	Thummodara	Thummodara	GND	204
LK-1118030	Waga South	Waga South	GND	305
LK-1118035	Siyambalawa	Siyambalawa	GND	590
LK-1118040	Pahala Bope	Pahala Bope	GND	336
LK-1118045	Halpe	Halpe	GND	310
LK-1118050	Waga West	Waga West	GND	398
LK-1118055	Uggalla	Uggalla	GND	637
LK-1118060	Wewelpanawa	Wewelpanawa	GND	207
LK-1118065	Pitumpe North	Pitumpe North	GND	433
LK-1118070	Pitumpe South	Pitumpe South	GND	388
LK-1118075	Galagedara East	Galagedara East	GND	836
LK-1118080	Galagedara North	Galagedara North	GND	687
LK-1118085	Galagedara South	Galagedara South	GND	424
LK-1118090	Padukka	Padukka	GND	800
LK-1118095	Arukwatta North	Arukwatta North	GND	452
LK-1118100	Arukwatta South	Arukwatta South	GND	663
LK-1118105	Ganegoda	Ganegoda	GND	391
LK-1118110	Angampitiya	Angampitiya	GND	662
LK-1118115	Weragala	Weragala	GND	581
LK-1118120	Angamuwa	Angamuwa	GND	499
LK-1118125	Udumulla	Udumulla	GND	722
LK-1118130	Poregedara	Poregedara	GND	333
LK-1118135	Pahala Padukka	Pahala Padukka	GND	393
LK-1118140	Liyanwala	Liyanwala	GND	330
LK-1118145	Kurugala	Kurugala	GND	473
LK-1118150	Madulawa South	Madulawa South	GND	402
LK-1118155	Madulawa North	Madulawa North	GND	447
LK-1118160	Horakandawala	Horakandawala	GND	682
LK-1118165	Dampe	Dampe	GND	479
LK-1118170	Beruketiya	Beruketiya	GND	766
LK-1118175	Horagala West	Horagala West	GND	477
LK-1118180	Horagala East	Horagala East	GND	649
LK-1118185	Beliattavila	Beliattavila	GND	280
LK-1118190	Miriyagalla	Miriyagalla	GND	404
LK-1118195	Malagala	Malagala	GND	528
LK-1118200	Kahawala	Kahawala	GND	304
LK-1118205	Yatawathura	Yatawathura	GND	264
LK-1118210	Mahingala	Mahingala	GND	187
LK-1118215	Ihala Bope	Ihala Bope	GND	506
LK-1118220	Gurulana	Gurulana	GND	259
LK-1118225	Udagama	Udagama	GND	212
LK-1118230	Dambora	Dambora	GND	249
LK-1121	Maharagama	Maharagama	DSD	56550
LK-1121005	Mirihana South	Mirihana South	GND	1611
LK-1121010	Mirihana North	Mirihana North	GND	1835
LK-1121015	Madiwela	Madiwela	GND	1891
LK-1121020	Thalawathugoda West	Thalawathugoda West	GND	1532
LK-1121025	Thalawathugoda East	Thalawathugoda East	GND	1597
LK-1121030	Kalalgoda	Kalalgoda	GND	1857
LK-1121035	Kottawa East	Kottawa East	GND	1899
LK-1121040	Rukmale West	Rukmale West	GND	1513
LK-1121045	Rukmale East A	Rukmale East A	GND	381
LK-1121050	Rukmale East B	Rukmale East B	GND	741
LK-1121055	Liyanagoda	Liyanagoda	GND	1416
LK-1121060	Kottawa North	Kottawa North	GND	912
LK-1121065	Depanama	Depanama	GND	2253
LK-1121070	Polwatta	Polwatta	GND	1076
LK-1121075	Pamunuwa	Pamunuwa	GND	1196
LK-1121080	Thalapathpitiya	Thalapathpitiya	GND	1856
LK-1121085	Pragathipura	Pragathipura	GND	1600
LK-1121090	Udahamulla East	Udahamulla East	GND	1725
LK-1121095	Udahamulla West	Udahamulla West	GND	1333
LK-1121100	Pathiragoda	Pathiragoda	GND	1726
LK-1121105	Maharagama East	Maharagama East	GND	964
LK-1121110	Maharagama West	Maharagama West	GND	600
LK-1121115	Dambahena	Dambahena	GND	1638
LK-1121120	Pannipitiya North	Pannipitiya North	GND	1299
LK-1121125	Kottawa West	Kottawa West	GND	870
LK-1121130	Kottawa South	Kottawa South	GND	2044
LK-1121135	Malapalla West	Malapalla West	GND	769
LK-1121140	Malapalla East	Malapalla East	GND	1235
LK-1121145	Makumbura North	Makumbura North	GND	1296
LK-1121150	Makumbura South	Makumbura South	GND	449
LK-1121155	Kottawa Town	Kottawa Town	GND	1477
LK-1121160	Pannipitiya South	Pannipitiya South	GND	584
LK-1121165	Maharagama Town	Maharagama Town	GND	1457
LK-1121170	Godigamuwa South A	Godigamuwa South	GND	1667
LK-1121175	Godigamuwa South B	Godigamuwa South B	GND	2158
LK-1121180	Godigamuwa North	Godigamuwa North	GND	1078
LK-1121185	Wattegedara	Wattegedara	GND	2162
LK-1121190	Navinna	Navinna	GND	1438
LK-1121195	Wijerama	Wijerama	GND	702
LK-1121200	Gangodavila South B	Gangodavila South B	GND	1609
LK-1121205	Jambugasmulla	Jambugasmulla	GND	1104
LK-1124	Sri Jayawardanapura Kotte	Sri Jayawardanapura Kotte	DSD	27833
LK-1124005	Obeysekarapura	Obesekarapura	GND	2927
LK-1124010	Welikada West	Welikada West	GND	1485
LK-1124015	Welikada East	Welikada East	GND	1885
LK-1124020	Rajagiriya	Rajagiriya	GND	711
LK-1124025	Welikada North	Welikada North	GND	1237
LK-1124030	Nawala West	Nawala West	GND	1090
LK-1124035	Koswatta	Koswatta	GND	1271
LK-1124040	Ethulkotte West	Ethulkotte West	GND	958
LK-1124045	Ethulkotte	Ethulkotte	GND	1707
LK-1124050	Pitakotte East	Pitakotte East	GND	1114
LK-1124055	Pitakotte	Pitakotte	GND	1049
LK-1124060	Pitakotte West	Pitakotte West	GND	1509
LK-1124065	Nawala East	Nawala East	GND	1485
LK-1124070	Nugegoda West	Nugegoda West	GND	1560
LK-1124075	Pagoda	Pagoda	GND	1551
LK-1124080	Nugegoda	Nugegoda	GND	1076
LK-1124085	Pagoda East	Pagoda East	GND	1289
LK-1124090	Gangodavila North	Gangodavila North	GND	1191
LK-1124095	Gangodavila South	Gangodavila South	GND	1992
LK-1124100	Gangodavila East	Gangodavila East	GND	746
LK-1127	Thimbirigasyaya	Thimbirigasyaya	DSD	58102
LK-1127005	Kollupitiya	Kollupitiya	GND	1513
LK-1127010	Bambalapitiya	Bambalapitiya	GND	2158
LK-1127015	Kurunduwatta	Kurunduwatta	GND	1618
LK-1127020	Kuppiyawatta West	Kuppiyawatta West	GND	1217
LK-1127025	Kuppiyawatta East	Kuppiyawatta East	GND	2142
LK-1127030	Dematagoda	Dematagoda	GND	5311
LK-1127035	Wanathamulla	Wanathamulla	GND	4731
LK-1127040	Borella North	Borella North	GND	3546
LK-1127045	Borella South	Borella South	GND	919
LK-1127050	Gothamipura	Gothamipura	GND	1118
LK-1127055	Narahenpita	Narahenpita	GND	2840
LK-1127060	Thimbirigasyaya	Thimbirigasyaya	GND	2712
LK-1127065	Milagiriya	Milagiriya	GND	1530
LK-1127070	Havelock Town	Havelock Town	GND	2082
LK-1127075	Kirula	Kirula	GND	4770
LK-1127080	Kirulapone	Kirulapone	GND	4619
LK-1127085	Wellawatta North	Wellawatta North	GND	4907
LK-1127090	Wellawatta South	Wellawatta South	GND	3145
LK-1127095	Pamankada West	Pamankada West	GND	4283
LK-1127100	Pamankada East	Pamankada East	GND	2941
LK-1130	Dehiwala	Dehiwala	DSD	25382
LK-1130005	Sri Saranankara	Sri Saranankara	GND	1766
LK-1130010	Vilawala	Vilawala	GND	1555
LK-1130015	Dutugemunu	Dutugemunu	GND	1150
LK-1130020	Kohuwala	Kohuwala	GND	1820
LK-1130025	Kalubovila	Kalubovila	GND	1492
LK-1130030	Hathbodhiya	Hathbodhiya	GND	1969
LK-1130035	Galwala	Galwala	GND	1500
LK-1130040	Dehiwala West	Dehiwala West	GND	2210
LK-1130045	Dehiwala East	Dehiwala East	GND	1984
LK-1130050	Udyanaya	Udyanaya	GND	1777
LK-1130055	Nedimala	Nedimala	GND	2259
LK-1130060	Malwatta	Malwatta	GND	1006
LK-1130065	Jayathilaka	Jayathilaka	GND	1204
LK-1130070	Karagampitiya	Karagampitiya	GND	1449
LK-1130075	Kawdana East	Kawdana East	GND	2241
LK-1131	Ratmalana	Ratmalana	DSD	25005
LK-1131005	Mount Lavinia	Mount Lavinia	GND	2497
LK-1131010	Kawdana West	Kawdana West	GND	1850
LK-1131015	Watarappala	Watarappala	GND	1747
LK-1131020	Wathumulla	Wathumulla	GND	1362
LK-1131025	Katukurunduwatta	Katukurunduwatta	GND	3069
LK-1131030	Attidiya North	Attidiya North	GND	2247
LK-1131035	Attidiya South	Attidiya South	GND	2142
LK-1131040	Piriwena	Piriwena	GND	1512
LK-1131045	Wedikanda	Wedikanda	GND	1977
LK-1131050	Vihara	Vihara	GND	1727
LK-1131055	Rathmalana West	Ratmalana West	GND	1405
LK-1131060	Rathmalana East	Ratmalana East	GND	1494
LK-1131065	Kandawala	Kandawala	GND	1976
LK-1133	Moratuwa	Moratuwa	DSD	43985
LK-1133005	Angulana North	Angulana North	GND	1245
LK-1133010	Kaldemulla	Kaldemulla	GND	1312
LK-1133015	Soysapura North	Soysapura North	GND	906
LK-1133020	Soysapura South	Soysapura South	GND	767
LK-1133025	Dahampura	Dahampura	GND	722
LK-1133030	Thelawala North	Thelawala North	GND	1562
LK-1133035	Borupana	Borupana	GND	1445
LK-1133040	Thelawala South	Thelawala South	GND	1123
LK-1133045	Lakshapathiya North	Lakshapathiya North	GND	1236
LK-1133050	Lakshapathiya Central	Lakshapathiya Central	GND	964
LK-1133055	Angulana South	Angulana South	GND	688
LK-1133060	Uyana South	Uyana South	GND	1456
LK-1133065	Uyana North	Uyana North	GND	1009
LK-1133070	Rawathawatta South	Rawathawatta South	GND	556
LK-1133075	Rawathawatta East	Rawathawatta East	GND	1001
LK-1133080	Lakshapathiya South	Lakshapathiya South	GND	1599
LK-1133085	Kuduwamulla	Kuduwamulla	GND	893
LK-1133090	Katubedda	Katubedda	GND	2528
LK-1133095	Molpe	Molpe	GND	1652
LK-1133100	Moratumulla North	Moratumulla North	GND	787
LK-1133105	Kadalana	Kadalana	GND	961
LK-1133110	Rawathawatta West	Rawathawatta West	GND	939
LK-1133115	Idama	Idama	GND	777
LK-1133120	Uswatta	Uswatta	GND	522
LK-1133125	Moratuwella South	Moratuwella South	GND	1222
LK-1133130	Indibedda West	Indibedda West	GND	1061
LK-1133135	Moratumulla East	Moratumulla East	GND	960
LK-1133140	Moratumulla West	Moratumulla West	GND	930
LK-1133145	Villorawatta East	Villorawatta East	GND	923
LK-1133150	Villorawatta West	Villorawatta West	GND	1119
LK-1133155	Indibedda East	Indibedda East	GND	920
LK-1133160	Moratuwella North	Moratuwella North	GND	620
LK-1133165	Moratuwella West	Moratuwella West	GND	646
LK-1133170	Koralawella North	Koralawella North	GND	1578
LK-1133175	Koralawella East	Koralawella Eest	GND	640
LK-1133180	Koralawella West	Koralawella West	GND	857
LK-1133185	Koralawella South	Koralawella South	GND	841
LK-1133190	Katukurunda North	Katukurunda North	GND	904
LK-1133195	Katukurunda South	Katukurunda South	GND	1012
LK-1133200	Egoda Uyana North	Egoda Uyana North	GND	1226
LK-1133205	Egoda Uyana Central	Egoda Uyana Central	GND	731
LK-1133210	Egoda Uyana South	Egoda Uyana South	GND	1145
LK-1136	Kesbewa	Kesbewa	DSD	75368
LK-1136005	Pepiliyana West	Pepiliyana West	GND	1443
LK-1136010	Pepiliyana East	Pepiliyana East	GND	424
LK-1136015	Divulpitiya East	Divulpitiya East	GND	641
LK-1136020	Divulpitiya West	Divulpitiya West	GND	842
LK-1136025	Bellanvila	Bellanvila	GND	1104
LK-1136030	Boralesgamuwa West A	Boralesgamuwa West A	GND	1213
