region_id	region_name	region_name_in_data	region_ent_type	total	buddhist	hindu	islam	roman_catholic	other_christian	other
LK-2103	Thumpane	Thumpane	dsd	38776	35275	298	2989	108	104	2
LK-2106	Pujapitiya	Pujapitiya	dsd	60316	47728	1521	10718	165	183	1
LK-2109	Akurana	Akurana	dsd	71010	19167	3430	48201	164	48	0
LK-2112	Pathadumbara	Pathadumbara	dsd	93476	66522	2377	23313	841	419	4
LK-2115	Panvila	Panvila	dsd	25650	9699	13754	991	723	482	1
LK-2118	Udadumbara	Udadumbara	dsd	23046	21119	1694	134	62	37	0
LK-2121	Minipe	Minipe	dsd	55342	54927	38	252	39	86	0
LK-2124	Medadumbara	Medadumbara	dsd	64539	47828	10271	4863	1076	492	9
LK-2127	Kundasale	Kundasale	dsd	144383	115594	16116	8808	2210	1645	10
LK-2130	Kandy Four Gravets & Gangawata Korale	Kandy Four Gravets Gangawata	dsd	153329	110984	15674	18558	5616	2454	43
LK-2133	Harispattuwa	Harispattuwa	dsd	94021	80125	1739	10694	1115	339	9
LK-2134	Hatharaliyadda	Hatharaliyadda	dsd	31141	29096	469	1504	58	14	0
LK-2136	Yatinuwara	Yatinuwara	dsd	112642	100496	2227	8550	801	557	11
LK-2139	Udunuwara	Udunuwara	dsd	121018	85290	2695	31951	683	396	3
LK-2142	Doluwa	Doluwa	dsd	52784	39190	9879	2787	445	482	1
LK-2145	Pathahewaheta	Pathahewaheta	dsd	60639	54367	3829	1372	525	543	3
LK-2148	Deltota	Delthota	dsd	31904	12602	10738	7983	193	383	5
LK-2151	Udapalatha	Udapalatha	dsd	103181	54676	20988	25206	1249	975	87
LK-2154	Ganga Ihala Korale	Ganga Ihala Korale	dsd	59145	47735	6018	4795	282	315	0
LK-2157	Pasbage Korale	Pasbage Korale	dsd	65553	31091	20863	10328	2268	965	38
LK-22	Matale	Matale District	district	526870	418608	46181	52224	7797	2026	34
LK-2203	Galewela	Galewela	dsd	78639	62683	1024	11221	3438	259	14
LK-2206	Dambulla	Dambulla	dsd	81239	77050	659	2509	851	167	3
LK-2209	Naula	Naula	dsd	30718	28407	1625	443	163	77	3
LK-2212	Pallepola	Pallepola	dsd	31629	29369	996	1152	85	27	0
LK-2215	Yatawatta	Yatawatta	dsd	32415	26782	3055	2145	364	69	0
LK-2218	Matale	Matale	dsd	80376	49101	13559	15853	1185	671	7
LK-2221	Ambanganga Korale	Ambanganga Korale	dsd	15876	11887	3726	72	119	72	0
LK-2224	Laggala-Pallegama	- - Laggala-Pallegama	dsd	16300	16253	36	5	6	0	0
LK-2227	Wilgamuwa	Wilgamuwa	dsd	33715	33653	41	5	6	10	0
LK-2230	Rattota	Rattota	dsd	53650	38198	12036	2344	730	338	4
LK-2233	Ukuwela	Ukuwela	dsd	72313	45225	9424	16475	850	336	3
LK-23	Nuwara Eliya	Nuwara Eliya District	district	725280	278828	377266	21929	31705	15474	78
LK-2303	Kothmale	Kothmale West	dsd	41955	26599	7433	7135	554	232	2
LK-2303	Kothmale	Kothmale East	dsd	61742	27575	30707	820	1291	1345	4
LK-2306	Hanguranketha	Hanguranketha	dsd	58931	51429	6859	35	374	232	2
LK-2309	Walapane	Walapane	dsd	65287	34123	27635	611	1693	1223	2
LK-2312	Nuwara Eliya	Nuwara Eliya	dsd	88332	27807	47875	4887	5182	2559	22
LK-2315	Ambagamuwa	Ambagamuwa	dsd	42538	32712	8616	140	499	567	4
LK-23XX	Mathurata	Mathurata	dsd	33175	28524	4466	50	53	82	0
LK-23XX	Nildandahinna	Nildandahinna	dsd	42422	32330	9350	392	146	202	2
LK-23XX	Thalawakele	Thalawakele	dsd	129531	8613	106064	1953	9607	3282	12
LK-23XX	Norwood	Norwood	dsd	161367	9116	128261	5906	12306	5750	28
LK-31	Galle	Galle District	district	1097372	1026031	15600	46038	4207	5377	119
LK-3103	Bentota	Benthota	dsd	49650	48312	105	1057	104	69	3
LK-3106	Balapitiya	Balapitiya	dsd	68150	66727	149	1109	101	56	8
LK-3109	Karandeniya	Karandeniya	dsd	63862	62611	172	606	173	300	0
LK-3112	Elpitiya	Elpitiya	dsd	66671	64758	1434	19	215	240	5
LK-3115	Niyagama	Niyagama	dsd	35751	35315	341	4	36	55	0
LK-3118	Thawalama	Thawalama	dsd	30989	29207	1183	20	368	211	0
LK-3121	Neluwa	Neluwa	dsd	27746	26202	1139	5	62	338	0
LK-3124	Nagoda	Nagoda	dsd	52031	47836	3185	13	201	796	0
LK-3127	Baddegama	Baddegama	dsd	50956	49399	787	6	312	434	18
LK-3130	Welivitiya-Divithura	- - Welivitiya-Divithura	dsd	29356	27996	923	13	210	213	1
LK-3133	Ambalangoda	Ambalangoda	dsd	59617	59209	131	18	66	190	3
LK-3134	Gonapeenuwala	Gonapeenuwala	dsd	23271	22922	41	10	161	132	5
LK-3136	Hikkaduwa	Hikkaduwa	dsd	26216	25734	70	21	148	236	7
LK-3139	Galle Four Gravets	Galle Four Gravets	dsd	108321	67502	661	39021	774	355	8
LK-3142	Bope-Poddala	- - Bope-Poddala	dsd	57890	55087	503	1650	301	344	5
LK-3145	Akmeemana	Akmeemana	dsd	86136	82001	896	2341	407	449	42
LK-3148	Yakkalamulla	Yakkalamulla	dsd	46687	43954	2366	8	126	233	0
LK-3151	Imaduwa	Imaduwa	dsd	48204	47909	156	8	56	74	1
LK-3154	Habaraduwa	Habaraduwa	dsd	63302	62715	118	42	190	231	6
LK-31XX	Wanduramba	Wanduramba	dsd	27702	26230	1119	8	113	228	4
LK-31XX	Madampagama	Madampagama	dsd	33408	33239	44	25	32	68	0
LK-31XX	Rathgama	Rathgama	dsd	41456	41166	77	34	51	125	3
LK-32	Matara	Matara District	district	837889	787303	14625	29858	2445	3619	39
LK-3203	Pitabeddara	Pitabeddara	dsd	48867	45984	2094	7	177	604	1
LK-3206	Kotapola	Kotapola	dsd	61002	50977	7749	90	1010	1176	0
LK-3209	Pasgoda	Pasgoda	dsd	61171	58982	1629	15	67	478	0
LK-3212	Mulatiyana	Mulatiyana	dsd	51832	51488	304	9	9	22	0
LK-3215	Athuraliya	Athuraliya	dsd	32811	30049	552	1952	89	165	4
LK-3218	Akuressa	Akuressa	dsd	53638	51918	1269	15	177	259	0
LK-3221	Welipitiya	Welipitiya	dsd	55960	47466	84	8220	72	115	3
LK-3224	Malimbada	Malimbada	dsd	36128	35392	31	570	68	66	1
LK-3227	Kamburupitiya	Kamburupitiya	dsd	42816	42577	104	45	35	53	2
LK-3230	Hakmana	Hakmana	dsd	32985	31894	24	1022	27	18	0
LK-3233	Kirinda Puhulwella	Kirinda Puhulwella	dsd	20627	19936	17	655	12	7	0
LK-3236	Thihagoda	Thihagoda	dsd	34306	34176	35	10	50	33	2
LK-3239	Weligama	Weligam	dsd	76136	66983	206	8652	122	165	8
LK-3242	Matara Four Gravets	Matara Four Gravets	dsd	123868	118046	354	4724	425	307	12
LK-3245	Devinuwara	Devinuwara	dsd	49274	48267	101	753	71	80	2
LK-3248	Dickwella	Dickwella	dsd	56468	53168	72	3119	34	71	4
LK-33	Hambantota	Hambantota District	district	671418	649736	1401	17947	1017	1247	70
LK-3303	Sooriyawewa	Sooriyawewa	dsd	52709	52554	59	14	16	61	5
LK-3306	Lunugamvehera	Lunugamwehera	dsd	36923	36059	45	652	83	84	0
LK-3309	Thissamaharama	Thissamaharama	dsd	74175	71643	252	1955	152	167	6
LK-3312	Hambantota	Hambantota	dsd	67207	54707	446	11352	263	396	43
LK-3315	Ambalantota	Ambalantota	dsd	80506	78046	231	1887	158	183	1
LK-3318	Angunakolapelessa	Angunakolapelessa	dsd	53409	53299	54	10	21	25	0
LK-3321	Weeraketiya	Weeraketiya	dsd	48241	47170	73	968	19	11	0
LK-3324	Katuwana	Katuwana	dsd	52169	52070	57	17	17	6	2
LK-3325	Walasmulla	Walasmulla	dsd	47869	47778	36	29	15	11	0
LK-3327	Okewela	Okewela	dsd	19992	19956	6	24	6	0	0
LK-3330	Beliatta	Beliatta	dsd	58675	58480	48	6	78	60	3
LK-3333	Tangalle	Tangalle	dsd	79543	77974	94	1033	189	243	10
LK-41	Jaffna	Jaffna District	district	594751	2788	489521	4352	77197	20857	36
LK-4103	Island North (Kayts)	Island North Kayts	dsd	9931	17	5170	1	4196	543	4
LK-4104	Karainagar	Karainagar	dsd	9131	5	8786	1	36	303	0
LK-4106	Valikamam West (Chankanai)	Valikamam West Chankanai	dsd	45160	32	42348	26	687	2066	1
LK-4109	Valikamam South-West (Sandilipay)	Valikamam South-West Sandilipay	dsd	52121	16	39652	54	10258	2139	2
LK-4112	Valikamam North (Tellipallai)	Valikamam North	dsd	44914	64	38119	24	4843	1857	7
LK-4115	Valikamam South (Uduvil)	Valikamam South Uduvil	dsd	50540	61	44954	152	3395	1978	0
LK-4118	Valikamam East (Kopay)	Valikamam East Kopay	dsd	75979	90	68751	193	4684	2257	4
LK-4121	Vadamaradchi South-West (Karaveddy)	Vadamaradchy South-West Karaveddy	dsd	41102	23	39599	26	1009	444	1
LK-4124	Vadamaradchi East	Vadamaradchy East	dsd	13537	2	9276	3	4018	238	0
LK-4127	Vadamaradchi North (Point Pedro)	Vadamaradchy North Point Perdro	dsd	43369	68	37472	33	4781	1013	2
LK-4130	Thenmaradchi (Chavakachcheri)	Thenmaradchy Chavakachcheri	dsd	67782	145	62137	132	3247	2119	2
LK-4133	Nallur	Nallur	dsd	72884	1718	62589	579	5310	2682	6
LK-4136	Jaffna	Jaffna	dsd	48543	529	17820	2881	24546	2766	1
LK-4139	Island South (Velanai)	Island South Velanai	dsd	16600	14	11846	246	4263	230	1
LK-4142	Delft	Delft	dsd	3158	4	1002	1	1924	222	5
LK-42	Mannar	Mannar District	district	123756	382	26214	33883	57713	5560	4
LK-4203	Mannar Town	Mannar Town	dsd	57772	96	9927	15373	29246	3129	1
LK-4206	Manthai West	Manthai West	dsd	18674	19	7488	2328	8081	756	2
LK-4209	Madhu	Madhu	dsd	9493	101	4637	1196	3319	239	1
LK-4212	Nanattan	Nanattan	dsd	19674	83	3743	1405	13056	1387	0
LK-4215	Musali	Musali	dsd	18143	83	419	13581	4011	49	0
LK-43	Vavuniya	Vavuniya District	district	172312	18292	114504	17775	12785	8895	61
LK-4303	Vavuniya North	Vavuniya North	dsd	14709	1149	12616	14	555	374	1
LK-4306	Vavuniya South	Vavuniya South	dsd	14842	13946	402	3	225	265	1
LK-4309	Vavuniya	Vavuniya	dsd	116991	3151	88683	8612	9184	7307	54
LK-4312	Vengalacheddikulam	Vengalacheddikulam	dsd	25770	46	12803	9146	2821	949	5
LK-44	Mullaitivu	Mullaitivu District	district	122619	10293	88738	3279	13982	6315	12
LK-4403	Thunukkai	Thunukkai	dsd	10410	31	9188	30	576	584	1
LK-4406	Manthai East	Manthai East	dsd	7650	34	6898	13	307	397	1
LK-4409	Puthukkudiyiruppu	Puthukudiyiruppu	dsd	39532	41	31073	71	5817	2530	0
LK-4412	Oddusuddan	Oddusudan	dsd	18149	245	15685	63	886	1267	3
LK-4415	Maritimepattu	Maritimepattu	dsd	36813	48	25829	3092	6329	1510	5
LK-4418	Welioya	Welioya	dsd	10065	9894	65	10	67	27	2
LK-45	Kilinochchi	Kilinochchi District	district	136710	1533	110258	1394	14446	9074	5
LK-4503	Pachchilaipalli	Pachchilaipalli	dsd	13045	13	11271	20	1280	461	0
LK-4506	Kandavalai	Kandavalai	dsd	24921	7	21966	25	1560	1362	1
LK-4509	Karachchi	Karachchi	dsd	74631	1482	60727	440	5839	6139	4
LK-4512	Poonakary	Poonakary	dsd	24113	31	16294	909	5767	1112	0
LK-51	Batticaloa	Batticaloa District	district	595918	6024	374836	161494	25803	27728	33
LK-5103	Koralai Pattu North (Vaharai)	Koralai Pattu North Vaharai	dsd	25475	166	20144	1095	638	3432	0
LK-5104	Koralai Pattu Central	Koralai Pattu Central	dsd	30603	57	599	29870	26	51	0
LK-5106	Koralai Pattu  West (Oddamavadi)	Koralai Pattu West Oddamavadi	dsd	24583	6	26	24550	1	0	0
LK-5109	Koralai Pattu (Valachchenai)	Koralai Pattu Valachchenai	dsd	28762	569	23383	94	1257	3459	0
LK-5110	Koralai Pattu South (Kiran)	Koralai Pattu South Kiran	dsd	28302	54	25536	189	279	2244	0
LK-5112	Eravur Pattu	Eravur Pattu	dsd	94237	2690	62055	20106	3458	5928	0
LK-5115	Eravur Town	Eravur Town	dsd	26468	21	2966	23126	230	125	0
LK-5118	Manmunai North	Manmunai North	dsd	95107	625	62008	6424	16570	9459	21
LK-5121	Manmunai West	Manmunai West	dsd	32831	26	32137	25	293	349	1
LK-5124	Kattankudy	Kattankudy	dsd	44794	31	23	44725	9	6	0
LK-5127	Manmunai Pattu (Araipattai)	Manmunai Pattu Araipattai	dsd	36533	101	23159	11254	1251	767	1
LK-5130	Manmunai South-West	Manmunai South-West	dsd	26676	1349	25073	1	87	166	0
LK-5133	Porativu Pattu	Poratheevu Pattu	dsd	38627	226	37730	6	139	526	0
LK-5136	Manmunai South & Eruvil pattu	Manmunai South Eruvil Pattu	dsd	62920	103	59997	29	1565	1216	10
LK-52	Ampara	Ampara District	district	744551	276176	114586	339896	7351	6486	56
LK-5203	Dehiattakandiya	Dehiattakandiya	dsd	67274	66971	59	90	52	99	3
LK-5206	Padiyathalawa	Padiyathalawa	dsd	20834	20711	38	56	16	12	1
LK-5209	Mahaoya	Mahaoya	dsd	23715	23625	35	16	17	22	0
LK-5212	Uhana	Uhana	dsd	62216	61966	47	20	84	98	1
LK-5215	Ampara	Ampara	dsd	47868	46871	207	275	335	170	10
LK-5216	Navithanveli	Navithanveli	dsd	21856	83	11635	7967	1955	216	0
LK-5218	Samanthurai	Samanthurai	dsd	72794	539	8342	63096	118	689	10
LK-5221	Kalmunai Tamil Division	Kalmunai North Sub	dsd	31556	126	24858	3328	1763	1461	20
LK-5224	Kalmunai	Kalmunai	dsd	52798	39	71	52660	21	5	2
LK-5225	Sainthamaruthu	Sainthamarathu	dsd	29873	19	20	29828	6	0	0
LK-5227	Karaitheevu	Karaitheevu	dsd	19493	22	10919	8285	110	156	1
LK-5230	Ninthavur	Ninthavur	dsd	30671	16	1002	29614	24	15	0
LK-5233	Addalachchenai	Addalachchenai	dsd	53214	3439	760	48938	60	17	0
LK-5234	Irakkamam	Irakkamam	dsd	17671	985	399	16275	8	4	0
LK-5236	Akkaraipattu	Akkaraipattu	dsd	44979	76	150	44739	10	4	0
LK-5239	Alayadiwembu	Alayadiwembu	dsd	24838	192	21312	55	1989	1289	1
LK-5242	Damana	Damana	dsd	40325	39977	44	174	47	83	0
LK-5245	Thirukkovil	Thirukkovil	dsd	29252	47	27725	9	492	973	6
LK-5248	Pothuvil	Pothuvil	dsd	42908	761	6325	34471	191	1159	1
LK-5251	Lahugala	Lahugala	dsd	10416	9711	638	0	53	14	0
LK-53	Trincomalee	Trincomalee District	district	442745	106919	108050	205664	14353	7714	45
LK-5303	Padavi Sri Pura	Padavisripura	dsd	12081	11918	14	4	40	105	0
LK-5306	Kuchchaveli	Kuchchaveli	dsd	39873	1534	10196	26239	1363	530	11
LK-5309	Gomarankadawala	Gomarankadawala	dsd	8398	8338	45	1	10	4	0
LK-5312	Morawewa	Morawewa	dsd	9193	6393	1200	1561	22	17	0
LK-5315	Trincomalee Town and Gravets	Trincomalee Town and Gravets	dsd	100270	21115	48282	15605	11065	4173	30
LK-5318	Thambalagamuwa	Thambalagamuwa	dsd	33636	7440	5089	20286	87	734	0
LK-5321	Kanthale	Kanthale	dsd	50840	39988	1525	9020	169	135	3
LK-5324	Kinniya	Kinniya	dsd	86504	61	2378	84032	25	7	1
LK-5327	Muttur	Muttur	dsd	71881	315	23131	45658	1494	1283	0
LK-5330	Seruvila	Seruvila	dsd	16007	9787	2731	3234	34	221	0
LK-5333	Verugal (Eachchilampattu)	Verugal Eachchilampattu	dsd	14062	30	13459	24	44	505	0
LK-61	Kurunegala	Kurunegala District	district	1768156	1557554	17487	143299	40273	9413	130
LK-6103	Giribawa	Giribawa	dsd	34929	31704	40	3027	71	87	0
LK-6106	Galgamuwa	Galgamuwa	dsd	61759	56429	159	4202	555	410	4
LK-6109	Ehetuwewa	Ehetuwewa	dsd	28317	27418	26	815	40	18	0
LK-6112	Ambanpola	Ambanpola	dsd	25515	24990	33	391	69	32	0
LK-6115	Kotavehera	Kotavehera	dsd	24031	23830	28	103	56	14	0
LK-6118	Rasnayakapura	Rasnayakapura	dsd	24912	19566	41	4898	316	91	0
LK-6121	Nikaweratiya	Nikaweratiya	dsd	43402	40838	298	1543	585	138	0
LK-6124	Maho	Maho	dsd	64122	59715	279	3731	309	86	2
LK-6127	Polpithigama	Polpithigama	dsd	86411	85752	203	36	234	183	3
LK-6130	Ibbagamuwa	Ibbagamuwa	dsd	94167	84174	818	8137	762	273	3
LK-6133	Ganewatta	Ganewatta	dsd	43431	40474	109	2441	289	118	0
LK-6136	Wariyapola	Wariyapola	dsd	66488	64464	225	1027	597	172	3
LK-6139	Kobeigane	Kobeigane	dsd	40669	34325	99	5322	809	114	0
LK-6142	Bingiriya	Bingiriya	dsd	66724	57503	410	2295	6072	436	8
LK-6145	Panduwasnuwara West	Panduwasnuwara West	dsd	71186	58481	346	10464	1719	173	3
LK-6148	Panduwasnuwara East	Panduwasnuwara East	dsd	31790	30369	62	839	479	41	0
LK-6149	Bamunakotuwa	Bamunakotuwa	dsd	39442	37709	154	929	577	68	5
LK-6151	Maspotha	Maspotha	dsd	41873	38268	521	1388	1286	401	9
LK-6154	Kurunegala	Kurunegala	dsd	88999	71927	2568	10581	2568	1346	9
LK-6157	Mallawapitiya	Mallawapitiya	dsd	59491	46464	1035	10018	1042	922	10
LK-6160	Mawathagama	Mawathagama	dsd	70867	57291	3024	8803	865	882	2
LK-6163	Rideegama	Rideegama	dsd	95960	80308	2685	12391	454	122	0
LK-6166	Weerambugedara	Weerambugedara	dsd	36590	35523	110	61	717	175	4
LK-6169	Kuliyapitiya East	Kuliyapitiya East	dsd	61223	39425	234	21068	425	68	3
LK-6172	Kuliyapitiya West	Kuliyapitiya West	dsd	82587	74412	681	2484	4114	891	5
LK-6175	Udubaddawa	Udubaddawa	dsd	54466	40616	402	6270	6724	445	9
LK-6178	Pannala	Pannala	dsd	135845	117261	1202	9398	7048	899	37
LK-6181	Narammala	Narammala	dsd	59806	55045	289	3838	502	131	1
LK-6184	Alawwa	Alawwa	dsd	65689	65134	101	19	263	168	4
LK-6187	Polgahawela	Polgahawela	dsd	67465	58139	1305	6780	726	509	6
LK-62	Puttalam	Puttalam District	district	818816	361148	28832	176963	240975	10619	279
LK-6203	Kalpitiya	Kalpitiya	dsd	96995	6329	4107	52977	32625	948	9
LK-6206	Vanathawilluwa	Vanathawilluwa	dsd	19991	7828	835	7341	3532	454	1
LK-6209	Karuwalagaswewa	Karuwalagaswewa	dsd	26225	24542	57	7	1447	171	1
LK-6212	Nawagattegama	Nawagattegama	dsd	17571	17390	25	6	116	34	0
LK-6215	Puttalam	Puttalam	dsd	94777	17652	4446	63101	8222	1139	217
LK-6218	Mundel	Mundel	dsd	72570	12452	9244	30384	20129	360	1
LK-6221	Mahakumbukkadawala	Mahakumbukkadawala	dsd	21867	18690	540	21	2452	161	3
LK-6224	Anamaduwa	Anamaduwa	dsd	43526	41078	194	835	1230	189	0
LK-6227	Pallama	Pallama	dsd	27938	18924	264	5235	3267	247	1
LK-6230	Arachchikattuwa	Arachchikattuwa	dsd	42749	26320	1278	148	14443	558	2
LK-6233	Chilaw	Chilaw	dsd	63639	24717	3981	5519	28248	1164	10
LK-6236	Madampe	Madampe	dsd	48994	36282	726	2885	7860	1232	9
LK-6239	Mahawewa	Mahawewa	dsd	48833	23033	456	45	24602	697	0
LK-6242	Nattandiya	Nattandiya	dsd	65500	30286	1262	7939	25002	1003	8
LK-6245	Wennappuwa	Wennappuwa	dsd	64768	12250	698	87	50261	1465	7
LK-6248	Dankotuwa	Dankotuwa	dsd	62873	43375	719	433	17539	797	10
LK-71	Anuradhapura	Anuradhapura District	district	960080	862807	3755	83979	5760	3656	123
LK-7103	Padaviya	Padaviya	dsd	24493	24293	9	6	149	36	0
LK-7106	Kebithigollewa	Kebithigollewa	dsd	26432	23731	29	2631	12	29	0
LK-7109	Medawachchiya	Medawachchiya	dsd	52496	48517	137	3526	249	67	0
LK-7112	Mahawilachchiya	Mahawilachchiya	dsd	24194	23947	27	19	113	84	4
LK-7115	Nuwaragam Palatha Central	Nuwaragam Palatha Central	dsd	71529	63651	546	6452	383	461	36
LK-7118	Rambewa	Rambewa	dsd	39861	34412	63	5242	130	14	0
LK-7121	Kahatagasdigiliya	Kahatagasdigiliya	dsd	44903	34073	145	10466	121	96	2
LK-7124	Horowpothana	Horowpothana	dsd	41261	28932	56	12135	88	49	1
LK-7127	Galenbindunuwewa	Galenbindunuwewa	dsd	51952	50009	74	1794	44	31	0
LK-7130	Mihinthale	Mihinthale	dsd	44107	40807	266	2332	360	341	1
LK-7133	Nuwaragam Palatha East	Nuwaragam Palatha East	dsd	76138	71538	238	3135	908	313	6
LK-7136	Nachchaduwa	Nachchaduwa	dsd	28266	24506	17	3599	89	55	0
LK-7139	Nochchiyagama	Nochchiyagama	dsd	55471	52281	244	2416	460	68	2
LK-7142	Rajanganaya	Rajanganaya	dsd	36236	35641	30	12	411	137	5
LK-7145	Thambuttegama	Thambuttegama	dsd	47061	45654	46	10	251	1100	0
LK-7148	Thalawa	Thalawa	dsd	61216	60125	114	606	239	127	5
LK-7151	Thirappane	Thirappane	dsd	31121	28176	65	2077	751	52	0
LK-7154	Kekirawa	Kekirawa	dsd	65317	50581	1276	12767	415	270	8
LK-7157	Palugaswewa	Palugaswewa	dsd	18138	17713	80	20	229	53	43
LK-7160	Ipalogama	Ipalogama	dsd	41961	35204	82	6222	217	235	1
LK-7163	Galnewa	Galnewa	dsd	39458	36572	99	2708	51	27	1
LK-7166	Palagala	Palagala	dsd	38469	32444	112	5804	90	11	8
LK-72	Polonnaruwa	Polonnaruwa District	district	447530	399488	7215	37097	2560	1086	84
LK-7203	Hingurakgoda	Hingurakgoda	dsd	70651	68762	174	595	837	277	6
LK-7206	Medirigiriya	Medirigiriya	dsd	72482	70700	67	1504	136	75	0
LK-7209	Lankapura	Lankapura	dsd	39673	26904	28	12589	143	9	0
LK-7210	Welikanda	Welikanda	dsd	38196	27995	3245	6663	181	112	0
LK-7212	Dimbulagala	Dimbulagala	dsd	85907	82634	2618	54	385	216	0
LK-7215	Thamankaduwa	Thamankaduwa	dsd	92056	74194	981	15680	804	381	16
LK-7218	Elahera	Elahera	dsd	48565	48299	102	12	74	16	62
LK-81	Badulla	Badulla District	district	872307	636988	166380	53563	9593	5729	54
LK-8103	Mahiyanganaya	Mahiyanganaya	dsd	89082	86376	97	2373	102	133	1
LK-8106	Rideemaliyadda	Rideemaliyadda	dsd	60882	60652	114	21	61	34	0
LK-8109	Meegahakivula	Meegahakivula	dsd	22683	20824	1767	13	52	27	0
LK-8112	Kandaketiya	Kandaketiya	dsd	26913	25458	780	611	12	52	0
LK-8115	Soranathota	Soranathota	dsd	24407	19709	4256	260	87	95	0
LK-8118	Passara	Passara	dsd	49636	27171	18256	2625	960	624	0
LK-8119	Lunugala	Lunugala	dsd	31881	12807	16140	1208	1265	459	2
LK-8121	Badulla	Badulla	dsd	83033	56647	15442	8868	1170	892	14
LK-8124	Hali-Ela	- Hali-Ela	dsd	94226	59899	28031	4661	974	652	9
LK-8127	Uva Paranagama	Uva Paranagama	dsd	82069	69390	9612	2516	371	180	0
LK-8130	Welimada	Welimada	dsd	105510	72755	11919	19720	626	489	1
LK-8133	Bandarawela	Bandarawela	dsd	65488	47050	12044	3761	1739	874	20
LK-8136	Ella	Ella	dsd	49439	32363	14108	2300	365	299	4
LK-8139	Haputale	Haputale	dsd	48280	24432	17674	4165	1571	437	1
