region_id	region_name	region_name_in_data	region_ent_type	total	buddhist	hindu	islam	roman_catholic	other_christian	other
LK	Sri Lanka	Sri Lanka	country	21781800	15199093	2734839	2337379	1224348	282185	3956
LK-11	Colombo	Colombo District	district	2375415	1682524	197759	298422	139882	55624	1204
LK-1103	Colombo	Colombo	dsd	292089	47726	71811	125890	36117	10381	164
LK-1106	Kolonnawa	Kolonnawa	dsd	214070	122559	14647	67100	6895	2809	60
LK-1109	Kaduwela	Kaduwela	dsd	277918	256548	4210	3898	10576	2595	91
LK-1112	Homagama	Homagama	dsd	280771	270923	2854	1740	3553	1665	36
LK-1115	Seethawaka	Seethawaka	dsd	122128	99364	12066	888	7214	2592	4
LK-1118	Padukka	Padukka	dsd	73014	69188	1444	1242	516	618	6
LK-1121	Maharagama	Maharagama	dsd	196500	183093	3381	2458	5252	2227	89
LK-1124	Sri Jayawardanapura Kotte	Sri Jayawardanapura Kotte	dsd	96189	74848	4957	6535	6340	3379	130
LK-1127	Thimbirigasyaya	Thimbirigasyaya	dsd	217118	101553	52962	40132	15209	7036	226
LK-1130	Dehiwala	Dehiwala	dsd	93815	43573	14406	28538	4627	2557	114
LK-1131	Ratmalana	Ratmalana	dsd	88063	57385	7316	13852	5455	4012	43
LK-1133	Moratuwa	Moratuwa	dsd	160199	109743	4317	3549	30669	11763	158
LK-1136	Kesbewa	Kesbewa	dsd	263541	246021	3388	2600	7459	3990	83
LK-12	Gampaha	Gampaha District	district	2436142	1744475	69429	134422	442291	44540	985
LK-1203	Negombo	Negombo	dsd	137952	13506	8471	23788	87605	4455	127
LK-1206	Katana	Katana	dsd	241219	137806	5728	6242	81913	9268	262
LK-1209	Divulapitiya	Divulapitiya	dsd	156957	133909	985	162	20361	1508	32
LK-1212	Mirigama	Mirigama	dsd	176747	164914	973	8768	1496	505	91
LK-1215	Minuwangoda	Minuwangoda	dsd	198774	176692	884	7022	11896	2126	154
LK-1218	Wattala	Wattala	dsd	182505	51544	30805	13918	77121	9078	39
LK-1221	Ja-Ela	- - Ja-Ela	dsd	204806	90297	4533	1960	100285	7671	60
LK-1224	Gampaha	Gampaha	dsd	205610	182606	883	365	19706	2028	22
LK-1227	Attanagalla	Attanagalla	dsd	197725	164206	1491	28406	3036	561	25
LK-1230	Dompe	Dompe	dsd	169877	161461	754	2574	4393	682	13
LK-1233	Mahara	Mahara	dsd	223060	191215	1911	10437	16909	2538	50
LK-1236	Kelaniya	Kelaniya	dsd	133755	97990	8886	14312	10341	2155	71
LK-1239	Biyagama	Biyagama	dsd	207155	178329	3125	16468	7229	1965	39
LK-13	Kalutara	Kalutara District	district	1305784	1080638	42528	138230	36510	7733	145
LK-1303	Panadura	Panadura	dsd	187475	144521	1069	32306	7982	1567	30
LK-1306	Bandaragama	Bandaragama	dsd	124133	105601	422	15120	2070	913	7
LK-1309	Horana	Horana	dsd	133685	129510	1935	188	1019	1007	26
LK-1310	Ingiriya	Ingiriya	dsd	58361	51949	5540	83	239	544	6
LK-1312	Bulathsinhala	Bulathsinhala	dsd	65550	55217	7218	2450	294	371	0
LK-1315	Madurawala	Madurawala	dsd	36723	33551	2848	29	120	175	0
LK-1318	Millaniya	Millaniya	dsd	56166	54041	1340	56	448	280	1
LK-1321	Kalutara	Kalutara	dsd	166624	140789	1741	14397	8815	841	41
LK-1324	Beruwala	Beruwala	dsd	180820	96273	1509	69141	13379	486	32
LK-1327	Dodangoda	Dodangoda	dsd	67089	58894	6248	59	1268	620	0
LK-1330	Mathugama	Mathugama	dsd	86065	74770	6725	3632	476	462	0
LK-1333	Agalawatta	Agalawatta	dsd	36589	35487	755	91	138	118	0
LK-1336	Palindanuwara	Palindanuwara	dsd	51171	46610	3492	639	144	286	0
LK-1339	Walallavita	Walallavita	dsd	55333	53425	1686	39	118	63	2
LK-21	Kandy	Kandy District	district	1461895	1063511	144618	223997	18623	10919	227
