region_id	region_name	region_name_in_data	region_ent_type	single_house_single_storeyed	single_house_two_storeyed	single_house_more_than_two_storeyed	attached_house_1st_floor	attached_house_2nd_floor	attached_house_from_3_to_4_floors	attached_house_from_5_to_10_floors	attached_house_from_11_to_19_floors	attached_house_from_20_floors_or_more	other
EC-01	Colombo		ED	355982	185828	24207	27406	24275	16529	11907	5994	1756	167
EC-01A	Colombo North		PD	12821	6434	1447	3116	2644	1752	2533	2560	12	4
EC-01B	Colombo Central		PD	12507	10621	2682	3925	3187	3025	1471	529	649	21
EC-01C	Borella		PD	8160	3515	813	931	906	1047	1227	1004	259	4
EC-01D	Colombo East		PD	8939	5868	1290	1220	1344	2129	1748	531	212	2
EC-01E	Colombo West		PD	4756	3809	1074	982	1069	1655	2208	389	207	6
EC-01F	Dehiwala		PD	9014	8660	1968	1665	1711	1372	930	57	1	4
EC-01G	Ratmalana		PD	12272	8066	1427	1160	1295	662	119	4	0	0
EC-01H	Kolonnawa		PD	28973	18317	2107	2548	2190	804	483	612	2	64
EC-01I	Kotte		PD	11585	11878	2078	568	685	357	346	148	185	3
EC-01J	Kaduwela		PD	47189	25773	2334	1963	1474	461	217	125	203	3
EC-01K	Avissawella		PD	45210	7902	402	1209	324	44	3	1	4	6
EC-01L	Homagama		PD	55581	19739	1089	1327	1342	611	14	2	3	29
EC-01M	Maharagama		PD	27298	21445	2617	2283	2131	573	185	4	5	9
EC-01N	Kesbewa		PD	44894	22310	1863	3028	2722	460	72	2	10	7
EC-01O	Moratuwa		PD	26783	11491	1016	1481	1251	1577	351	26	4	5
EC-02	Gampaha		ED	534645	123034	6482	10860	5848	1802	296	0	0	58
EC-02A	Wattala		PD	34583	11523	977	705	566	325	96	0	0	12
EC-02B	Negombo		PD	28345	6369	285	353	223	322	0	0	0	0
EC-02C	Katana		PD	57804	10850	435	4100	1421	249	8	0	0	3
EC-02D	Divulapitiya		PD	41263	3266	53	167	60	13	0	0	0	8
EC-02E	Mirigama		PD	43440	5786	160	90	53	7	1	0	0	3
EC-02F	Minuwangoda		PD	47809	7688	150	421	155	56	4	0	0	4
EC-02G	Attanagalla		PD	44352	8797	275	265	287	58	1	0	0	2
EC-02H	Gampaha		PD	42694	12933	580	797	336	123	102	0	0	3
EC-02I	Ja Ela		PD	43283	12275	564	510	372	130	22	0	0	3
EC-02J	Mahara		PD	45637	13798	775	515	519	119	9	0	0	4
EC-02K	Dompe		PD	41593	5263	152	162	98	25	2	0	0	2
EC-02L	Biyagama		PD	40924	13971	919	1627	1019	213	8	0	0	4
EC-02M	Kelaniya		PD	22918	10515	1157	1148	739	162	43	0	0	10
EC-03	Kalutara		ED	286667	51470	2033	6361	2341	444	69	0	0	45
EC-03A	Panadura		PD	29799	10345	482	664	646	156	6	0	0	8
EC-03B	Bandaragama		PD	46281	8549	273	392	350	25	1	0	0	7
EC-03C	Horana		PD	45158	7446	351	636	199	56	20	0	0	5
EC-03D	Bulathsinhala		PD	28094	3062	66	1261	54	16	0	0	0	4
EC-03E	Mathugama		PD	34296	5453	155	1824	94	13	8	0	0	8
EC-03F	Kalutara		PD	34561	7722	372	403	502	128	28	0	0	6
EC-03G	Beruwala		PD	34520	5901	275	651	423	42	2	0	0	5
EC-03H	Agalawatta		PD	33958	2992	59	530	73	8	4	0	0	2
EC-04	Kandy		ED	291819	68443	8761	14534	4520	1237	458	23	0	31
EC-04A	Galagedara		PD	16594	2465	157	133	48	11	0	0	0	2
EC-04B	Harispattuwa		PD	40829	12061	1666	1305	943	212	18	0	0	9
EC-04C	Pathadumbara		PD	23248	4822	539	2570	633	163	2	0	0	1
EC-04D	Ududumbara		PD	21492	873	47	224	30	6	0	0	0	0
EC-04E	Teldeniya		PD	14267	1948	184	1416	74	22	6	0	0	0
EC-04F	Kundasale		PD	29511	8118	708	533	332	44	46	0	0	5
EC-04G	Hewaheta		PD	20959	2797	266	1209	83	26	0	0	0	3
EC-04H	Senkadagala		PD	16758	8082	1606	835	781	218	73	23	0	3
EC-04I	Mahanuwara		PD	5052	3640	1120	1133	711	247	29	0	0	0
EC-04J	Yatinuwara		PD	22086	7320	911	179	125	27	9	0	0	2
EC-04K	Udunuwara		PD	23391	6628	654	324	226	38	22	0	0	1
EC-04L	Gampola		PD	29401	6125	643	1613	261	116	220	0	0	5
EC-04M	Nawalapitiya		PD	28231	3564	260	3060	273	107	33	0	0	0
EC-05	Matale		ED	128108	13811	594	4629	909	116	5	0	0	12
EC-05A	Dambulla		PD	49847	3872	74	262	48	11	1	0	0	2
EC-05B	Laggala		PD	26470	1350	24	343	15	2	0	0	0	1
EC-05C	Matale		PD	24464	4887	312	1083	589	88	4	0	0	3
EC-05D	Rattota		PD	27327	3702	184	2941	257	15	0	0	0	6
EC-06	Nuwara-Eliya		ED	119904	12981	2399	51345	3720	2513	6	0	0	47
EC-06A	Nuwara Eliya Maskeliya		PD	54740	7136	1633	39969	3279	2284	6	0	0	35
EC-06B	Kothmale		PD	19934	1787	259	5673	193	120	0	0	0	6
EC-06C	Hanguranketha		PD	21730	2307	271	1536	65	21	0	0	0	2
EC-06D	Walapane		PD	23500	1751	236	4167	183	88	0	0	0	4
EC-07	Galle		ED	254574	43339	2545	2916	1545	366	60	14	0	20
EC-07A	Balapitiya		PD	16120	2431	78	37	22	3	1	0	0	0
EC-07B	Ambalangoda		PD	22764	5058	280	79	86	13	0	0	0	0
EC-07C	Karandeniya		PD	24798	3330	96	177	14	1	1	0	0	3
EC-07D	Bentara Elpitiya		PD	28849	3704	145	241	28	4	0	0	0	0
EC-07E	Hiniduma		PD	34132	3146	170	422	42	8	0	0	0	1
EC-07F	Baddegama		PD	32221	3704	170	336	34	9	1	0	0	2
EC-07G	Ratgama		PD	23227	3626	161	93	117	56	0	0	0	0
EC-07H	Galle		PD	16620	6628	618	1147	908	192	54	0	0	6
EC-07I	Akmeemana		PD	29301	8212	651	321	256	63	3	14	0	4
EC-07J	Habaraduwa		PD	26542	3500	176	63	38	17	0	0	0	4
EC-08	Matara		ED	190760	31234	2172	3904	1597	352	0	0	0	15
EC-08A	Deniyaya		PD	31858	3512	268	1825	155	28	0	0	0	0
EC-08B	Hakmana		PD	30126	3559	275	357	101	19	0	0	0	2
EC-08C	Akuressa		PD	29969	3688	204	278	120	30	0	0	0	2
EC-08D	Kamburupitiya		PD	25071	3803	168	135	129	33	0	0	0	5
EC-08E	Devinuwara		PD	24557	3141	173	164	126	8	0	0	0	2
EC-08F	Matara		PD	20326	9203	879	732	721	217	0	0	0	2
EC-08G	Weligama		PD	28853	4328	205	413	245	17	0	0	0	2
EC-09	Hambantota		ED	170180	16473	600	139	129	30	0	0	0	7
EC-09A	Mulkirigala		PD	36901	3614	137	27	32	10	0	0	0	2
EC-09B	Beliatta		PD	25421	3652	116	14	18	2	0	0	0	0
EC-09C	Tangalle		PD	43981	4397	165	35	20	6	0	0	0	3
EC-09D	Thissamaharama		PD	63877	4810	182	63	59	12	0	0	0	2
EC-10	Jaffna		ED	182944	9309	429	222	176	76	5	0	0	120
EC-10A	Kayts		PD	7814	87	3	1	0	0	0	0	0	0
EC-10B	Vaddukoddai		PD	16245	353	9	3	3	2	1	0	0	17
EC-10C	Kankesanthurai		PD	14118	442	9	1	1	1	0	0	0	13
EC-10D	Manipay		PD	19413	1178	28	21	11	3	0	0	0	6
EC-10E	Kopay		PD	19736	775	20	9	5	1	0	0	0	37
EC-10F	Udupiddy		PD	12658	604	129	4	6	2	1	0	0	3
EC-10G	Point Pedro		PD	13506	444	3	17	3	2	0	0	0	16
EC-10H	Chavakachcheri		PD	18308	556	19	7	3	1	0	0	0	3
EC-10I	Nallur		PD	15788	2673	101	19	21	3	1	0	0	8
EC-10J	Jaffna		PD	9588	1525	85	133	122	61	2	0	0	6
EC-10K	Kilinochchi		PD	35770	672	23	7	1	0	0	0	0	11
EC-11	Vanni		ED	109427	4087	175	244	149	33	0	0	0	63
EC-11A	Mannar		PD	30553	1309	51	21	28	24	0	0	0	19
EC-11B	Vavuniya		PD	45145	2219	113	218	117	9	0	0	0	4
EC-11C	Mullaitivu		PD	33670	559	11	5	4	0	0	0	0	40
EC-12	Batticaloa		ED	154487	11503	614	203	115	5	0	0	0	223
EC-12A	Kalkudah		PD	48653	1911	234	20	20	1	0	0	0	119
EC-12B	Batticaloa		PD	71224	7647	351	167	91	4	0	0	0	64
EC-12C	Paddiruppu		PD	33753	1866	23	9	4	0	0	0	0	40
EC-13	Digamadulla		ED	184418	15935	486	933	582	424	0	0	0	83
EC-13A	Ampara		PD	65111	2879	99	143	33	1	0	0	0	4
EC-13B	Samanthurai		PD	33494	3343	80	57	21	0	0	0	0	3
EC-13C	Kalmunai		PD	22564	5719	208	544	500	421	0	0	0	4
EC-13D	Pothuvil		PD	63249	3994	99	189	28	2	0	0	0	72
EC-14	Trincomalee		ED	113267	5264	265	296	77	62	8	0	0	112
EC-14A	Seruvila		PD	30983	961	23	8	4	0	0	0	0	11
EC-14B	Trincomalee		PD	35684	2543	203	263	70	60	8	0	0	34
EC-14C	Muttur		PD	46600	1760	39	25	3	2	0	0	0	67
EC-15	Kurunegala		ED	463412	40530	1033	1274	512	96	14	0	0	38
EC-15A	Galgamuwa		PD	40264	1649	24	13	7	2	0	0	0	3
EC-15B	Nikaweratiya		PD	37035	1465	16	22	17	1	0	0	0	0
EC-15C	Yapahuwa		PD	44119	2196	32	33	15	0	0	0	0	4
EC-15D	Hiriyala		PD	36398	3121	58	52	21	4	0	0	0	5
EC-15E	Wariyapola		PD	28606	2551	30	38	15	3	0	0	0	2
EC-15F	Panduwasnuwara		PD	28038	1511	19	25	15	1	0	0	0	2
EC-15G	Bingiriya		PD	34077	1341	21	27	19	1	0	0	0	2
EC-15H	Katugampola		PD	36512	2123	58	117	34	4	0	0	0	5
EC-15I	Kuliyapitiya		PD	37150	3030	74	143	66	12	0	0	0	1
EC-15J	Dambadeniya		PD	32740	3215	59	20	8	3	0	0	0	1
EC-15K	Polgahawela		PD	26020	3448	76	79	41	8	0	0	0	2
EC-15L	Kurunegala		PD	28351	6740	352	252	141	42	14	0	0	4
EC-15M	Mawathagama		PD	30095	5565	154	272	92	14	0	0	0	4
EC-15N	Dodangaslanda		PD	24007	2575	60	181	21	1	0	0	0	3
EC-16	Puttalam		ED	218131	11820	262	869	273	43	24	0	0	72
EC-16A	Puttalam		PD	62509	2575	53	554	114	3	0	0	0	26
EC-16B	Anamaduwa		PD	46476	1019	16	12	5	3	0	0	0	10
EC-16C	Chilaw		PD	42596	2816	97	160	82	15	8	0	0	7
EC-16D	Nattandiya		PD	31409	2360	43	29	15	5	15	0	0	6
EC-16E	Wennappuwa		PD	35141	3050	53	114	57	17	1	0	0	23
EC-17	Anuradhapura		ED	254764	15511	330	426	330	30	0	0	0	17
EC-17A	Medawachchiya		PD	36179	1049	12	13	10	1	0	0	0	1
EC-17B	Horowpothana		PD	32564	1134	27	19	15	1	0	0	0	4
EC-17C	Anuradhapura East		PD	38285	5411	160	243	160	21	0	0	0	5
EC-17D	Anuradhapura West		PD	42256	2082	33	33	39	1	0	0	0	2
EC-17E	Kalawewa		PD	47392	2704	36	52	59	1	0	0	0	4
EC-17F	Mihinthale		PD	25483	1418	25	47	21	3	0	0	0	0
EC-17G	Kekirawa		PD	32605	1713	37	19	26	2	0	0	0	1
EC-18	Polonnaruwa		ED	118981	6958	229	155	63	87	1	0	0	8
EC-18A	Minneriya		PD	31986	2117	54	16	11	1	0	0	0	3
EC-18B	Medirigiriya		PD	30182	1590	53	22	14	13	0	0	0	0
EC-18C	Polonnaruwa		PD	56813	3251	122	117	38	73	1	0	0	5
EC-19	Badulla		ED	195196	20112	2138	19950	1268	736	0	0	0	17
EC-19A	Mahiyanganaya		PD	40618	1727	51	18	4	2	0	0	0	4
EC-19B	Viyaluwa		PD	18760	1007	50	758	9	3	0	0	0	0
EC-19C	Passara		PD	15762	1190	149	5000	147	134	0	0	0	3
EC-19D	Badulla		PD	14684	4421	540	1373	438	71	0	0	0	1
EC-19E	Hali Ela		PD	18834	2316	188	4220	269	118	0	0	0	0
EC-19F	Uva Paranagama		PD	20344	1236	79	902	27	16	0	0	0	1
EC-19G	Welimada		PD	24927	2378	237	1023	56	43	0	0	0	4
EC-19H	Bandarawela		PD	22919	3919	635	3043	219	289	0	0	0	1
EC-19I	Haputale		PD	18348	1918	209	3613	99	60	0	0	0	3
EC-20	Moneragala		ED	142586	7068	217	682	116	45	0	0	0	14
EC-20A	Bibile		PD	34482	1526	42	176	34	9	0	0	0	1
EC-20B	Monaragala		PD	44135	2211	77	418	27	18	0	0	0	5
EC-20C	Wellawaya		PD	63969	3331	98	88	55	18	0	0	0	8
EC-21	Ratnapura		ED	285973	26214	1609	10176	674	191	0	0	0	16
EC-21A	Eheliyagoda		PD	32666	3319	134	336	61	23	0	0	0	1
EC-21B	Ratnapura		PD	38810	5886	473	1094	212	54	0	0	0	0
EC-21C	Pelmadulla		PD	28261	2318	170	2210	53	26	0	0	0	9
EC-21D	Balangoda		PD	37980	3383	284	1426	101	18	0	0	0	4
EC-21E	Rakwana		PD	37228	2412	134	1385	85	41	0	0	0	1
EC-21F	Nivithigala		PD	29666	2486	170	1399	36	3	0	0	0	0
EC-21G	Kalawana		PD	26352	1935	77	1524	61	20	0	0	0	1
EC-21H	Kolonna		PD	55010	4475	167	802	65	6	0	0	0	0
EC-22	Kegalle		ED	201784	30451	1904	6895	811	156	0	0	0	26
EC-22A	Dedigama		PD	27881	3822	213	222	42	6	0	0	0	5
EC-22B	Galigamuwa		PD	20791	2735	108	357	33	7	0	0	0	1
EC-22C	Kegalle		PD	20990	4686	463	217	135	37	0	0	0	4
EC-22D	Rambukkana		PD	20770	3611	139	56	23	2	0	0	0	0
EC-22E	Mawanella		PD	25984	5789	416	426	337	52	0	0	0	5
EC-22F	Aranayaka		PD	17203	2266	123	146	66	6	0	0	0	1
EC-22G	Yatiyanthota		PD	22487	2224	152	2408	64	14	0	0	0	2
EC-22H	Ruwanwella		PD	24162	3422	178	568	93	18	0	0	0	5
EC-22I	Deraniyagala		PD	21516	1896	112	2495	18	14	0	0	0	3
LG-11011	Colombo MC		LG	47183	30247	7306	10174	9150	9608	9187	5013	1339	37
LG-11012	Dehiwala Mount Lavinia MC		LG	21286	16726	3395	2825	3006	2034	1049	61	1	4
LG-11013	Moratuwa MC		LG	26783	11491	1016	1481	1251	1577	351	26	4	5
LG-11014	Sri Jayawardanapura Kotte MC		LG	11585	11878	2078	568	685	357	346	148	185	3
LG-11015	Kaduwela MC		LG	47189	25773	2334	1963	1474	461	217	125	203	3
LG-11021	Kolonnawa UC		LG	8016	3636	616	1034	823	290	391	602	0	58
LG-11022	Seethawakapura UC		LG	6223	1902	165	515	208	23	0	0	0	1
LG-11023	Maharagama UC		LG	27298	21445	2617	2283	2131	573	185	4	5	9
LG-11024	Kesbewa UC		LG	37079	16272	1142	1887	1649	211	19	1	8	6
LG-11025	Boralesgamuwa UC		LG	7815	6038	721	1141	1073	249	53	1	2	1
LG-11031	Homagama PS		LG	59944	20382	1114	1331	1343	611	14	2	4	30
LG-11033	Kotikawatta-Mullariyawa PS		LG	20957	14681	1491	1514	1367	514	92	10	2	6
LG-11034	Seethawaka PS		LG	34624	5357	212	690	115	21	3	1	3	4
LG-12011	Negombo MC		LG	28770	6439	287	354	225	322	0	0	0	0
LG-12012	Gampaha MC		LG	11686	4980	298	491	159	88	99	0	0	1
LG-12022	Ja- Ela UC		LG	6579	1856	108	134	49	11	0	0	0	0
LG-12023	Katunayaka- Seeduwa UC/Katana PS		LG	11805	2649	184	3295	1037	212	6	0	0	1
LG-12024	Minuwangoda UC		LG	1475	426	16	52	13	0	0	0	0	0
LG-12025	Peliyagoda UC		LG	4822	1468	228	362	92	29	0	0	0	2
LG-12026	Wattala - Mabola UC		LG	4134	2278	272	234	243	63	55	0	0	0
LG-12031	Attanagalla PS		LG	44352	8797	275	265	287	58	1	0	0	2
LG-12032	Biyagama PS		LG	40924	13971	919	1627	1019	213	8	0	0	4
LG-12033	Divulapitiya PS		LG	41263	3266	53	167	60	13	0	0	0	8
LG-12034	Dompe PS		LG	41593	5263	152	162	98	25	2	0	0	2
LG-12035	Gampaha PS		LG	31008	7953	282	306	177	35	3	0	0	2
LG-12036	Ja- Ela PS		LG	36704	10419	456	376	323	119	22	0	0	3
LG-12037	Katana PS		LG	45574	8131	249	804	382	37	2	0	0	2
LG-12038	Kelaniya PS		LG	18096	9047	929	786	647	133	43	0	0	8
LG-12039	Mahara PS		LG	45637	13798	775	515	519	119	9	0	0	4
LG-12040	Minuwangoda PS		LG	46334	7262	134	369	142	56	4	0	0	4
LG-12041	Mirigama PS		LG	43440	5786	160	90	53	7	1	0	0	3
LG-12042	Wattala PS		LG	30449	9245	705	471	323	262	41	0	0	12
LG-13011	Kalutara MC		LG	12703	4004	261	309	405	105	27	0	0	3
LG-13021	Beruwala UC		LG	5339	1791	98	475	295	36	2	0	0	1
LG-13022	Horana UC/Horana PS		LG	1479	875	92	118	20	19	1	0	0	1
LG-13024	Panadura UC/Panadura PS		LG	5611	2892	176	173	195	89	4	0	0	4
LG-13031	Agalawatta PS		LG	9095	1156	25	123	23	2	0	0	0	1
LG-13032	Bandaragama PS		LG	26423	5959	209	244	283	15	1	0	0	4
LG-13033	Beruwala PS		LG	29181	4110	177	176	128	6	0	0	0	4
LG-13034	Bulathsinhala PS		LG	16369	1325	27	907	32	6	0	0	0	3
LG-13035	Dodangoda PS		LG	14883	2434	58	1090	40	7	7	0	0	6
LG-13036	Horana PS		LG	43679	6571	259	518	179	37	19	0	0	4
LG-13037	Kalutara PS		LG	21858	3718	111	94	97	23	1	0	0	3
LG-13038	Mathugama PS		LG	19413	3019	97	734	54	6	1	0	0	2
LG-13039	Panadura PS		LG	29721	8819	338	588	504	77	2	0	0	5
LG-13040	Walallawita PS		LG	14602	1090	21	71	23	2	0	0	0	0
LG-13041	Madurawala PS		LG	8594	1383	30	325	19	10	0	0	0	1
LG-13042	Palindanuwara PS		LG	13392	1100	22	365	30	4	4	0	0	1
LG-13043	Millaniya PS		LG	14325	1224	32	51	14	0	0	0	0	2
