region_id	region_name	region_name_in_data	region_ent_type	single_house_single_storeyed	single_house_two_storeyed	single_house_more_than_two_storeyed	attached_house_1st_floor	attached_house_2nd_floor	attached_house_from_3_to_4_floors	attached_house_from_5_to_10_floors	attached_house_from_11_to_19_floors	attached_house_from_20_floors_or_more	other
LG-21011	Kandy MC/ Pathadumbara PS		LG	12651	8314	2137	1793	1339	409	102	23	0	3
LG-21021	Gampola UC		LG	7169	2992	316	196	165	30	0	0	0	1
LG-21022	Kadugannawa UC/Yatinuwara PS		LG	3525	1714	236	52	36	10	0	0	0	0
LG-21023	Nawalapitiya UC/Pasbage Korale PS		LG	4518	1110	156	466	197	50	21	0	0	0
LG-21024	Wattegama UC/ Pathadumbara PS		LG	3367	828	110	83	103	47	1	0	0	1
LG-21025	Medadumbara PS		LG	106	12	0	1	0	0	0	0	0	0
LG-21031	Akurana PS		LG	9709	3766	766	612	576	125	9	0	0	1
LG-21032	Ganga Ihala Korale		LG	13077	1585	55	798	7	3	0	0	0	0
LG-21033	Harispattuwa PS		LG	18740	5254	592	474	278	62	0	0	0	8
LG-21034	Kandy Four Graverts &Gangawata Korale PS		LG	9703	3798	644	235	214	69	0	0	0	0
LG-21035	Medadumbara PS		LG	29634	8128	708	533	332	44	46	0	0	5
LG-21036	Medadumbara PS		LG	14038	1926	184	1415	74	22	6	0	0	0
LG-21037	Minipe PS		LG	15296	590	16	37	12	1	0	0	0	0
LG-21038	Panvila PS		LG	4758	390	39	1981	29	6	0	0	0	0
LG-21039	Pasbage Korale PS		LG	8108	741	42	1729	68	54	12	0	0	0
LG-21040	Pathadumbara PS		LG	14805	3346	353	478	484	106	1	0	0	0
LG-21041	Pathhewaheta PS		LG	20959	2797	266	1209	83	26	0	0	0	3
LG-21042	Pujapitiya PS		LG	12154	2909	290	187	45	16	9	0	0	0
LG-21043	Thumpane PS		LG	16594	2465	157	133	48	11	0	0	0	2
LG-21044	Udadumbara PS		LG	6196	283	31	187	18	5	0	0	0	0
LG-21045	Udapalatha PS		LG	24760	3261	334	1484	97	86	220	0	0	4
LG-21046	Udunuwara PS		LG	23391	6628	654	324	226	38	22	0	0	1
LG-21047	Yatinuwara PS		LG	18561	5606	675	127	89	17	9	0	0	2
LG-22011	Matale MC/ Matale PS		LG	7909	3064	253	586	530	74	0	0	0	3
LG-22012	Dambulla MC		LG	6377	970	21	65	16	2	0	0	0	0
LG-22031	Ambanganga Korale PS		LG	4125	258	9	290	0	0	0	0	0	0
LG-22032	Dambulla PS		LG	14706	708	17	10	1	0	0	0	0	1
LG-22033	Galewela PS		LG	20595	1477	24	44	10	2	1	0	0	1
LG-22034	Laggala-Pallegama PS		LG	4823	181	3	34	3	1	0	0	0	1
LG-22035	Matale PS		LG	8655	1174	35	195	48	14	4	0	0	0
LG-22036	Naula PS		LG	8113	688	10	12	10	1	0	0	0	0
LG-22037	Pallepola PS		LG	8169	717	12	143	21	7	0	0	0	0
LG-22038	Rattota PS		LG	12616	1241	59	1604	66	4	0	0	0	4
LG-22039	Ukuwela PS		LG	14711	2461	125	1337	191	11	0	0	0	2
LG-22040	Wilgamuwa PS		LG	9409	223	2	7	2	0	0	0	0	0
LG-22041	Yatawatta PS		LG	7900	649	24	302	11	0	0	0	0	0
LG-23011	Nuwara Eliya MC/ Nuwara Eliya PS		LG	4945	1118	124	1164	105	15	0	0	0	2
LG-23021	Hatton - Dickoya UC/ Ambagamuwa PS		LG	3523	953	267	1518	270	208	0	0	0	1
LG-23022	Thalawakale-Lindula UC/ Kotagala PS		LG	2879	321	89	2347	189	103	0	0	0	2
LG-23031	Ambagamuwa PS		LG	11958	1292	149	4259	350	192	0	0	0	0
LG-23032	Hanguranketha PS		LG	21730	2307	271	1536	65	21	0	0	0	2
LG-23033	Kothmale PS		LG	19934	1787	259	5673	193	120	0	0	0	6
LG-23034	Nuwara Eliya PS		LG	9010	838	196	3718	126	246	6	0	0	4
LG-23035	Walapane PS		LG	23500	1751	236	4167	183	88	0	0	0	4
LG-23036	Maskeliya PS		LG	4811	708	353	5915	627	420	0	0	0	5
LG-23037	Noorwood PS		LG	5567	636	227	8926	736	596	0	0	0	9
LG-23038	Agarapathana PS		LG	6850	496	140	7714	539	320	0	0	0	11
LG-23039	Kotagala PS		LG	5197	774	88	4408	337	184	0	0	0	1
LG-31011	Galle MC		LG	13266	5936	592	1031	828	183	54	0	0	3
LG-31021	Ambalangoda UC		LG	3066	2093	175	38	47	10	0	0	0	0
LG-31022	Hikkaduwa UC		LG	5786	1411	87	64	33	5	0	0	0	0
LG-31031	Akmeemana PS		LG	18861	4048	278	95	67	14	2	14	0	2
LG-31032	Ambalangoda PS		LG	15495	2460	91	37	32	3	0	0	0	0
LG-31033	Baddegama PS		LG	19395	2496	76	129	28	5	1	0	0	1
LG-31034	Balapitiya PS		LG	16120	2431	78	37	22	3	1	0	0	0
LG-31035	Benthota PS		LG	12232	1369	37	8	12	3	0	0	0	0
LG-31036	Bope_Poddala PS		LG	13794	4856	399	342	269	58	1	0	0	5
LG-31037	Elpitiya PS		LG	16617	2335	108	233	16	1	0	0	0	0
LG-31038	Habaraduwa PS		LG	14668	2132	125	32	24	16	0	0	0	2
LG-31039	Rajgama PS		LG	17441	2215	74	29	84	51	0	0	0	0
LG-31040	Karandeniya PS		LG	17268	2447	74	20	9	1	1	0	0	3
LG-31041	Nagoda PS		LG	13430	1543	97	363	10	2	0	0	0	0
LG-31042	Neluwa PS		LG	7636	701	56	28	5	3	0	0	0	0
LG-31043	Niyagama PS		LG	9485	788	25	26	5	0	0	0	0	1
LG-31044	Thawalama PS		LG	8623	655	39	117	29	5	0	0	0	0
LG-31045	Yakkalamulla PS		LG	11987	1172	61	99	6	2	0	0	0	1
LG-31046	Imaduwa PS		LG	11874	1368	51	31	14	1	0	0	0	2
LG-31047	Welivitiya_Divithura PS		LG	7530	883	22	157	5	0	0	0	0	0
LG-32011	Matara MC		LG	11715	7096	798	685	693	214	0	0	0	2
LG-32021	Weligama UC		LG	3720	744	37	259	148	9	0	0	0	2
LG-32031	Akuressa PS		LG	13411	1391	95	112	45	10	0	0	0	1
LG-32032	Devinuwara PS		LG	11456	1342	71	144	81	3	0	0	0	1
LG-32033	Dickwella PS		LG	13101	1799	102	20	45	5	0	0	0	1
LG-32034	Hakmana PS		LG	7942	1098	46	23	16	2	0	0	0	0
LG-32035	Kamburupitiya PS		LG	18087	2988	127	130	125	33	0	0	0	5
LG-32036	Kotapola PS		LG	14464	1772	146	1296	42	14	0	0	0	0
LG-32037	Malimbada PS		LG	8645	1414	74	26	33	13	0	0	0	1
LG-32038	Matara PS		LG	8611	2107	81	47	28	3	0	0	0	0
LG-32039	Mulatiyana PS		LG	12768	1563	134	35	40	10	0	0	0	0
LG-32040	Pasgoda PS		LG	15975	1603	131	345	73	10	0	0	0	2
LG-32042	Weligama PS		LG	25133	3584	168	154	97	8	0	0	0	0
LG-32043	Pitadeddara PS		LG	12683	1248	94	483	87	11	0	0	0	0
LG-32044	Athuraliya PS		LG	7913	883	35	140	42	7	0	0	0	0
LG-32045	Kirinda Puhulwella PS		LG	5136	602	33	5	2	0	0	0	0	0
LG-33011	Hambantota MC		LG	6362	647	24	10	5	0	0	0	0	0
LG-33021	Tangalle UC		LG	1491	513	35	9	9	3	0	0	0	1
LG-33031	Ambalantota PS		LG	20345	1790	61	23	26	5	0	0	0	0
LG-33032	Angunakolapelessa PS		LG	14305	1008	43	12	3	0	0	0	0	1
LG-33033	Beliatta PS		LG	14040	2339	80	6	8	0	0	0	0	0
LG-33034	Hambantota PS		LG	10583	604	20	1	1	2	0	0	0	0
LG-33035	Katuwana PS		LG	20360	1556	66	13	16	4	0	0	0	1
LG-33036	Lunugamvehera PS		LG	9893	466	7	7	7	1	0	0	0	0
LG-33037	Tangalle PS		LG	17487	2096	65	7	10	4	0	0	0	1
LG-33038	Thissamaharama PS		LG	19168	1660	70	20	15	2	0	0	0	0
LG-33039	Weeraketiya PS		LG	22807	2833	90	20	19	6	0	0	0	1
LG-33040	Sooriyawewa PS		LG	13339	961	39	11	10	3	0	0	0	2
LG-41011	Jaffna MC		LG	17016	3049	144	150	142	62	3	0	0	10
LG-41021	Chavakachcheri UC		LG	4364	240	7	1	2	1	0	0	0	2
LG-41022	Point Pedro UC		LG	3124	191	1	11	0	1	0	0	0	3
LG-41023	Valvettiturai UC/ Vadamaradchi South West PS		LG	2870	139	2	1	0	0	0	0	0	0
LG-41031	Chavakachcheri PS		LG	13944	316	12	6	1	0	0	0	0	1
LG-41032	Delft PS		LG	884	8	1	0	0	0	0	0	0	0
LG-41033	Kayts PS		LG	2602	30	1	0	0	0	0	0	0	0
LG-41034	Nallur PS		LG	8360	1149	42	2	1	2	0	0	0	4
LG-41035	Point Pedro PS		LG	9857	236	2	6	3	1	0	0	0	13
LG-41036	Vadamaradchi South West PS		LG	10313	482	127	3	6	2	1	0	0	3
LG-41037	Valikamam East PS		LG	18579	753	19	8	5	1	0	0	0	37
LG-41038	Valikamam North PS		LG	11540	367	9	1	1	1	0	0	0	13
LG-41039	Valikamam South PS		LG	12412	665	14	10	4	0	0	0	0	3
LG-41040	Valikamam South West PS		LG	13091	678	18	12	7	4	1	0	0	10
LG-41041	Valikamam West PS		LG	11282	264	6	3	3	1	0	0	0	9
LG-41042	Velanai PS		LG	4328	49	1	1	0	0	0	0	0	0
LG-41043	Karainagar PS		LG	2608	21	0	0	0	0	0	0	0	1
LG-42021	Mannar UC		LG	5319	585	34	8	5	0	0	0	0	0
LG-42031	Mannar PS		LG	8233	289	12	9	23	24	0	0	0	8
