region_id	region_name	region_name_in_data	region_ent_type	protected_well	semi_protected_well	unprotected_well	tube_well	spring_fountain	pipe_borne_nwsdb	pipe_borne_local_authority	pipe_borne_community	pipe_borne_private	tank_river_stream	rain_water	bottled_water	filter_ro	bowser	other
LK-1103005	Sammanthranapura	Sammanthranapura	gnd	4	3	0	1	0	1846	5	0	0	0	0	0	0	0	0
LK-1103010	Mattakkuliya	Mattakkuliya	gnd	21	8	1	55	0	6811	22	14	0	1	0	17	3	0	4
LK-1103015	Modara	Modara	gnd	19	2	1	676	2	6958	143	2	3	1	0	0	1	1	0
LK-1103020	Madampitiya	Madampitiya	gnd	16	38	0	2	0	1830	11	4	1	0	0	0	0	2	0
LK-1103025	Mahawatta	Mahawatta	gnd	30	4	0	0	0	1768	26	3	0	0	0	2	0	0	0
LK-1103030	Aluthmawatha	Aluthmawatha	gnd	403	15	0	4	1	3210	11	0	1	0	2	0	0	0	38
LK-1103035	Lunupokuna	Lunupokuna	gnd	3	7	1	7	3	3327	11	11	0	0	0	1	0	0	0
LK-1103040	Bloemendhal	Bloemendhal	gnd	9	3	0	13	3	2084	5	2	2	1	0	0	0	0	0
LK-1103045	Kotahena East	Kotahena East	gnd	6	0	1	0	0	1672	2	0	0	0	0	0	0	0	0
LK-1103050	Kotahena West	Kotahena West	gnd	3	0	0	8	0	2580	13	0	0	0	0	0	0	0	0
LK-1103055	Kochchikade North	Kochchikade North	gnd	1	1	0	3	0	1649	3	0	0	0	0	0	0	0	0
LK-1103060	Jinthupitiya	Jinthupitiya	gnd	2	0	0	1	0	2228	4	7	0	0	0	1	0	0	0
LK-1103065	Masangasweediya	Masangasweediya	gnd	2	0	0	1	0	1529	19	0	4	0	0	0	0	0	0
LK-1103070	New Bazaar	New Bazaar	gnd	3	1	0	3	0	2642	67	0	0	0	2	1	0	0	0
LK-1103075	Grandpass South	Grandpass South	gnd	4	19	0	31	0	3484	13	1	0	0	0	0	0	0	3
LK-1103080	Grandpass North	Grandpass North	gnd	1	4	0	0	3	2365	4	2	0	0	1	0	0	0	0
LK-1103085	Nawagampura	Nawagampura	gnd	1	2	0	1	3	1819	13	0	4	0	0	1	0	0	0
LK-1103090	Maligawatta East	Maligawatta East	gnd	1	0	0	0	1	2527	3	0	1	0	0	1	0	0	0
LK-1103095	Khettarama	Khettarama	gnd	96	1	0	13	0	2775	22	1	0	0	0	0	0	0	0
LK-1103100	Aluthkade East	Aluthkade East	gnd	5	0	0	4	0	1861	14	0	0	0	0	0	0	0	1
LK-1103105	Aluthkade West	Aluthkade West	gnd	4	0	0	2	0	1176	3	0	0	2	0	0	0	0	0
LK-1103110	Kochchikade South	Kochchikade South	gnd	69	1	0	2	1	1540	14	1	1	0	0	1	0	0	0
LK-1103115	Pettah	Pettah	gnd	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0
LK-1103120	Fort	Fort	gnd	0	0	0	0	0	171	0	0	0	0	0	0	0	0	0
LK-1103125	Galle Face	Galle Face	gnd	18	1	1	8	1	805	3	0	0	0	0	12	3	0	0
LK-1103130	Slave Island	Kompagngnaweediya	gnd	1	0	0	2	0	666	4	0	0	0	0	0	0	0	0
LK-1103135	Hunupitiya	Hunupitiya	gnd	2	0	1	0	0	857	18	0	0	0	0	0	0	0	0
LK-1103140	Suduwella	Suduwella	gnd	2	0	0	2	0	765	1	0	0	0	0	0	0	0	0
LK-1103145	Keselwatta	Keselwatta	gnd	1	0	0	2	0	1347	1	0	1	0	0	0	0	0	0
LK-1103150	Panchikawatta	Panchikawatta	gnd	5	0	0	0	1	1612	39	1	0	0	0	0	0	0	0
LK-1103155	Maligawatta West	Maligawatta West	gnd	19	0	0	53	1	1650	5	2	0	0	0	0	0	0	0
LK-1103160	Maligakanda	Maligakanda	gnd	0	0	2	2	0	1647	5	0	0	0	0	0	0	0	0
LK-1103165	Maradana	Maradana	gnd	1	0	0	1	0	827	2	0	0	0	0	0	0	0	0
LK-1103170	Ibbanwala	Ibbanwala	gnd	3	0	0	0	0	704	5	0	0	0	0	34	0	0	0
LK-1103175	Wekanda	Wekanda	gnd	0	0	0	1	0	1224	4	0	0	0	0	0	0	0	0
LK-1106005	Wadulla	Wadulla	gnd	9	72	0	2	0	1747	52	9	1	0	0	0	0	1	1
LK-1106010	Sedawatta	Sedawatta	gnd	6	3	0	0	1	1609	19	1	1	0	0	0	0	0	0
LK-1106015	Halmulla	Halmulla	gnd	7	12	0	0	0	653	0	0	0	0	0	0	0	0	0
LK-1106020	Kotuvila	Kotuvila	gnd	1	2	0	2	0	1425	4	0	0	0	0	0	0	1	0
LK-1106025	Veheragoda	Veheragoda	gnd	1	0	0	0	0	503	3	4	0	0	0	0	0	0	1
LK-1106030	Orugodawatta	Orugodawatta	gnd	2	1	1	1	0	1217	7	0	1	0	0	0	0	0	0
LK-1106035	Meethotamulla	Meethotamulla	gnd	5	14	0	2	1	2155	4	0	0	0	0	2	0	0	0
LK-1106040	Welewatta	Welewatta	gnd	6	0	0	1	0	1731	4	0	0	0	1	0	0	0	0
LK-1106045	Kittampahuwa	Kittampahuwa	gnd	9	1	0	11	0	1610	6	1	0	0	0	0	0	0	0
LK-1106050	Wennawatta	Wennawatta	gnd	24	1	0	3	7	2393	14	0	1	2	0	0	0	0	1
LK-1106055	Maha Buthgamuwa B	Maha Buthgamuwa B	gnd	0	0	0	0	1	1303	19	0	0	0	0	0	0	0	0
LK-1106060	Kuda Buthgamuwa	Kuda Buthgamuwa	gnd	5	1	0	0	0	1360	35	0	0	0	0	0	0	0	0
LK-1106065	Kelanimulla	Kelanimulla	gnd	15	5	0	3	3	1078	6	2	0	0	0	0	0	0	0
LK-1106070	Ambathale	Ambathale	gnd	28	1	3	2	0	916	2	0	1	1	0	1	0	0	1
LK-1106075	Mulleriyawa North	Mulleriyawa North	gnd	9	6	0	0	0	1491	5	0	0	0	0	0	0	0	0
LK-1106080	Belagama	Belagama	gnd	7	1	0	7	0	1098	6	0	0	0	0	0	0	0	0
LK-1106085	Kotikawatta East	Kotikawatta East	gnd	12	3	0	7	0	1122	6	1	0	0	0	0	0	0	0
LK-1106090	Maha Buthgamuwa A	Maha Buthgamuwa A	gnd	27	1	0	5	0	935	24	0	1	0	1	0	0	0	0
LK-1106095	Maha Buthgamuwa C	Maha Buthgamuwa C	gnd	4	2	0	0	0	1324	5	0	0	0	0	0	0	0	0
LK-1106100	Wellampitiya	Wellampitiya	gnd	4	0	0	0	0	531	0	0	0	0	0	0	0	0	0
LK-1106105	Kuruniyawatta	Kuruniyawatta	gnd	3	12	0	3	0	952	10	1	0	1	0	0	0	0	3
LK-1106110	Kolonnawa	Kolonnawa	gnd	0	1	0	2	0	545	4	0	0	0	0	1	0	0	0
LK-1106115	Dahampura	Dahampura	gnd	9	0	0	10	0	862	9	4	1	0	0	2	0	0	0
LK-1106120	Singhapura	Singhapura	gnd	15	0	0	0	0	1279	41	2	2	0	0	0	0	0	0
LK-1106125	Megoda Kolonnawa	Megoda Kolonnawa	gnd	5	2	0	5	0	3325	36	2	0	0	0	2	0	0	0
LK-1106130	Bopetta	Bopetta	gnd	5	0	0	2	0	1097	10	0	0	0	0	0	0	0	0
LK-1106135	Batalandahena	Batalandahena	gnd	11	0	0	1	1	1297	9	0	0	0	0	0	0	0	0
LK-1106140	Kotikawatta West	Kotikawatta West	gnd	3	1	0	0	0	892	0	0	0	0	0	0	0	0	0
LK-1106145	Mulleriyawa South	Mulleriyawa South	gnd	12	1	0	3	0	1373	3	1	0	0	1	0	0	0	0
LK-1106150	Malgama	Malgama	gnd	14	1	0	3	0	1553	8	0	0	1	0	0	0	0	0
LK-1106155	Udumulla North	Udumulla North	gnd	16	3	0	1	1	783	6	0	0	0	0	2	0	0	0
LK-1106160	Maligagodella	Maligagodella	gnd	20	6	0	4	0	680	1	0	0	0	0	0	0	0	0
LK-1106165	Rajasinghagama	Rajasinghagama	gnd	48	4	1	2	0	1952	28	3	1	0	0	25	20	0	0
LK-1106170	Udumulla South	Udumulla South	gnd	54	2	0	2	0	724	0	0	0	0	0	0	0	0	0
LK-1106175	Himbutana East	Himbutana East	gnd	36	1	1	0	0	1091	1	0	0	0	0	0	0	0	0
LK-1106180	Himbutana West	Himbutana West	gnd	13	1	0	1	2	1076	0	0	0	0	0	0	0	0	0
LK-1106185	Malpura	Malpura	gnd	1	1	2	2	1	1252	7	0	0	0	1	0	0	0	0
LK-1106190	Gothatuwa New Town	Gothatuwa New Town	gnd	21	1	0	3	0	572	0	0	0	0	0	1	0	0	1
LK-1106195	Kajugahawatta	Kajugahawatta	gnd	3	0	0	1	0	687	2	0	0	0	0	0	0	0	0
LK-1106200	Gothatuwa	Gothatuwa	gnd	24	2	0	4	0	722	2	0	0	0	0	0	0	0	0
LK-1106205	Salamulla	Salamulla	gnd	3	5	0	2	0	1836	7	0	468	0	0	0	0	0	0
LK-1106210	Wijayapura	Wijayapura	gnd	5	0	0	4	1	946	8	0	0	0	0	0	0	0	0
LK-1106215	Gajabapura	Gajabapura	gnd	2	0	0	0	0	632	2	0	0	0	0	0	0	0	0
LK-1106220	Madinnagoda	Madinnagoda	gnd	20	4	0	3	0	952	1	0	0	0	0	0	0	0	0
LK-1106225	Elhena	Elhena	gnd	9	0	0	0	0	616	5	0	0	0	0	0	0	0	0
LK-1106230	Dodamgahahena	Dodamgahahena	gnd	11	1	0	2	0	1000	2	0	0	0	0	0	0	0	0
LK-1109005	Welivita	Welivita	gnd	14	48	3	6	0	1371	2	0	0	0	0	0	0	0	0
LK-1109010	Raggahawatta	Raggahawatta	gnd	64	1	0	11	0	1098	9	0	0	0	0	0	0	0	0
LK-1109015	Hewagama	Hewagama	gnd	89	2	0	5	0	1214	7	0	0	0	0	1	0	0	0
LK-1109020	Kaduwela	Kaduwela	gnd	44	3	1	3	0	1098	18	1	0	0	0	0	0	0	0
LK-1109025	Pahala Bomiriya A	Pahala Bomiriya	gnd	146	7	0	64	1	1229	15	1	2	0	0	0	0	0	0
LK-1109030	Ihala Bomiriya	Ihala Bomiriya	gnd	236	18	1	3	0	1058	2	0	0	1	1	0	0	0	0
LK-1109035	Wekewatta	Wekewatta	gnd	124	8	2	15	0	1095	1	0	0	1	0	1	0	0	0
LK-1109040	Nawagamuwa	Nawagamuwa	gnd	496	10	4	56	0	1089	7	1	1	0	0	0	0	0	0
LK-1109045	Pahala Bomiriya B	Pahala Bomiriya B	gnd	246	4	3	6	0	1109	10	0	1	1	0	1	0	0	0
LK-1109050	Welihinda	Welihinda	gnd	78	2	1	0	0	679	7	0	0	0	0	0	0	0	0
LK-1109055	Kothalawala	Kothalawala	gnd	90	0	0	3	0	1898	12	0	0	0	0	3	0	0	0
LK-1109060	Mahadeniya	Mahadeniya	gnd	126	4	2	4	0	2080	10	2	0	0	0	21	0	0	1
LK-1109065	Thalahena North	Thalahena North	gnd	59	1	0	2	0	997	6	1	0	0	0	0	0	0	0
LK-1109070	Malabe North	Malabe North	gnd	112	3	0	19	0	1968	9	0	0	0	0	6	0	0	0
LK-1109075	Thunadahena	Thunadahena	gnd	222	7	2	11	0	1520	7	0	0	0	0	3	0	0	1
LK-1109080	Korathota	Korathota	gnd	943	33	10	8	0	2320	8	1	0	0	0	4	0	0	0
LK-1109085	Nawagamuwa South	Nawagamuwa South	gnd	483	12	2	2	1	469	5	0	0	0	0	1	0	0	0
LK-1109090	Batewela	Batewela	gnd	281	18	6	0	1	499	3	184	0	0	0	0	0	4	0
LK-1109095	Ranala	Ranala	gnd	343	8	1	14	0	1313	7	0	0	0	0	1	0	0	0
LK-1109100	Dedigamuwa	Dedigamuwa	gnd	331	9	2	0	1	261	3	154	0	0	0	1	0	1	0
LK-1109105	Embilladeniya	Embilladeniya	gnd	283	1	0	1	0	193	64	140	1	0	0	0	0	0	0
LK-1109110	Welipillewa	Welipillewa	gnd	275	4	2	2	0	151	3	468	0	0	0	1	0	0	0
LK-1109115	Shanthalokagama	Shanthalokagama	gnd	423	0	2	5	0	2084	18	3	0	0	0	9	0	0	0
LK-1109120	Pore	Pore	gnd	196	1	0	0	0	1532	0	0	1	0	0	1	0	0	0
LK-1109125	Malabe East	Malabe East	gnd	143	3	0	2	1	1827	5	0	0	0	0	2	0	0	0
LK-1109130	Malabe West	Malabe West	gnd	148	3	0	6	0	1531	0	0	1	0	0	7	0	0	0
LK-1109135	Thalangama North B	Thalangama North B	gnd	63	1	1	3	0	1091	6	0	0	0	0	0	0	0	0
LK-1109140	Thalahena South	Thalahena South	gnd	49	3	0	0	0	779	4	0	0	0	0	0	0	0	0
LK-1109145	Muttettugoda	Muttettugoda	gnd	88	1	0	6	1	1874	17	0	0	0	0	0	0	0	0
LK-1109150	Thalangama North A	Thalangama North A	gnd	85	1	0	0	1	2532	21	1	0	0	0	3	0	0	0
LK-1109155	Walpola	Walpola	gnd	95	3	1	0	0	2161	45	0	0	0	0	3	0	0	0
LK-1109160	Kalapaluwawa	Kalapaluwawa	gnd	20	1	0	70	1	1019	2	0	0	0	0	0	0	0	0
LK-1109165	Kotuwegoda	Kotuwegoda	gnd	20	2	0	0	0	1051	3	0	1	0	0	48	3	0	0
