region_id	region_name	region_name_in_data	region_ent_type	protected_well	semi_protected_well	unprotected_well	tube_well	spring_fountain	pipe_borne_nwsdb	pipe_borne_local_authority	pipe_borne_community	pipe_borne_private	tank_river_stream	rain_water	bottled_water	filter_ro	bowser	other
LK-1109170	Subhoothipura	Subhoothipura	gnd	14	2	0	70	0	534	0	0	0	0	0	2	0	0	0
LK-1109175	Udumulla	Udumulla	gnd	11	0	0	0	0	674	5	0	1	0	0	0	0	0	0
LK-1109180	Battaramulla North	Battaramulla North	gnd	31	1	0	1	1	643	0	0	0	0	0	1	0	1	0
LK-1109185	Batapotha	Batapotha	gnd	83	4	1	7	1	2040	3	1	0	0	0	6	1	0	0
LK-1109190	Pothuarawa	Pothuarawa	gnd	190	1	0	1	0	2148	40	0	3	0	0	10	0	0	0
LK-1109195	Hokandara North	Hokandara North	gnd	219	2	0	4	0	1784	33	0	1	0	0	1	0	0	0
LK-1109200	Oruwala	Oruwala	gnd	447	3	0	2	0	921	4	0	0	0	0	1	0	0	0
LK-1109205	Athurugiriya	Athurugiriya	gnd	777	8	3	1	0	1033	5	0	0	0	0	0	0	0	0
LK-1109210	Thaldiyawala	Thaldiyawala	gnd	186	0	1	2	0	916	5	0	0	0	0	1	0	0	0
LK-1109215	Boralugoda	Boralugoda	gnd	142	17	2	0	0	876	3	0	0	0	0	1	0	0	0
LK-1109220	Hokandara East	Hokandara East	gnd	243	9	2	10	0	1726	28	0	4	0	0	0	0	0	1
LK-1109225	Arangala	Arangala	gnd	175	4	2	3	2	1418	7	2	1	0	0	11	0	0	0
LK-1109230	Evarihena	Evarihena	gnd	186	1	0	1	0	681	0	0	0	0	0	1	0	0	0
LK-1109235	Kumaragewatta	Kumaragewatta	gnd	85	2	0	5	0	1228	9	0	0	0	0	8	0	0	0
LK-1109240	Jayawadanagama	Jayawadanagama	gnd	0	0	0	1	0	749	0	0	0	0	0	0	0	0	0
LK-1109245	Aruppitiya	Aruppitiya	gnd	18	2	2	0	0	585	3	0	0	0	0	0	0	2	0
LK-1109250	Asiri Uyana	Asiri Uyana	gnd	21	0	0	0	0	832	3	0	0	0	0	2	0	0	0
LK-1109255	Battaramulla South	Battaramulla South	gnd	7	1	0	0	0	464	0	0	0	0	0	1	0	0	0
LK-1109260	Rajamalwatta	Rajamalwatta	gnd	88	0	0	0	0	393	1	0	0	0	0	0	0	0	0
LK-1109265	Pahalawela	Pahalawela	gnd	10	8	0	3	0	1177	0	0	0	0	0	1	0	0	0
LK-1109270	Wickramasinghapura	Wickramasinghapura	gnd	9	0	0	1	0	1018	1	1	0	0	0	4	0	0	0
LK-1109275	Wellangiriya	Wellangiriya	gnd	70	4	1	0	1	1298	3	0	0	0	0	1	0	0	0
LK-1109280	Hokandara South	Hokandara South	gnd	207	1	1	6	0	1632	2	0	0	0	0	4	0	0	0
LK-1109285	Athurugiriya South	Athurugiriya South	gnd	363	1	1	7	0	928	4	0	0	0	0	2	0	0	0
LK-1112005	Jalthara	Jalthara	gnd	826	15	3	19	0	1760	6	0	1	0	0	0	0	0	0
LK-1112010	Henpita	Henpita	gnd	144	2	4	4	0	381	0	0	0	0	0	0	0	0	1
LK-1112015	Atigala West	Atigala West	gnd	128	0	1	1	0	466	3	1	0	0	0	0	0	0	1
LK-1112020	Atigala East	Atigala East	gnd	237	17	3	4	0	411	1	1	0	0	0	0	0	0	1
LK-1112025	Batawala	Batawala	gnd	260	5	2	2	0	492	0	1	1	0	0	1	0	0	0
LK-1112030	Walpita	Walpita	gnd	181	4	1	0	0	344	0	109	0	0	0	0	0	0	3
LK-1112035	Nawalamulla	Nawalamulla	gnd	463	4	0	3	0	629	11	2	0	0	0	0	0	0	2
LK-1112040	Meegasmulla	Meegasmulla	gnd	454	36	0	6	0	656	2	1	0	0	0	0	0	0	0
LK-1112045	Habarakada North	Habarakada North	gnd	669	8	0	4	0	237	7	0	0	0	0	2	1	0	4
LK-1112050	Mullegama North	Mullegama North	gnd	221	19	0	3	0	196	2	0	1	0	0	0	0	0	0
LK-1112055	Mullegama South	Mullegama South	gnd	618	4	3	3	0	536	8	0	0	0	0	3	0	0	0
LK-1112060	Habarakada South	Habarakada South	gnd	294	2	1	2	0	581	1	0	0	0	0	0	0	0	0
LK-1112065	Panagoda Town	Panagoda Town	gnd	329	0	0	0	0	171	1	3	0	0	0	0	0	0	0
LK-1112070	Henawatta	Henawatta	gnd	988	7	4	7	0	1238	14	151	4	0	0	0	0	0	2
LK-1112075	Meegoda North	Meegoda North	gnd	601	1	0	23	0	180	4	136	0	0	0	0	0	0	0
LK-1112080	Panaluwa	Panaluwa	gnd	753	18	8	9	0	762	2	7	0	0	0	0	0	0	0
LK-1112085	Watareka North	Watareka North	gnd	763	4	4	5	0	673	5	37	3	0	0	1	0	0	3
LK-1112090	Meegoda South	Meegoda South	gnd	294	6	0	1	0	353	2	40	0	0	0	0	0	0	0
LK-1112095	Godagama North	Godagama North	gnd	159	3	0	0	0	281	2	3	0	0	0	0	0	0	0
LK-1112100	Panagoda West	Panagoda West	gnd	472	0	1	11	0	449	2	22	1	0	0	0	0	0	0
LK-1112105	Panagoda East	Panagoda East	gnd	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0
LK-1112110	Habarakada Watta	Habarakada Watta	gnd	445	2	0	5	0	429	1	1	0	0	0	1	0	0	0
LK-1112115	Homagama North	Homagama North	gnd	236	2	3	1	0	398	1	0	0	0	0	0	0	0	2
LK-1112120	Homagama West	Homagama West	gnd	343	15	0	7	0	725	1	0	0	0	0	0	0	0	0
LK-1112125	Homagama South	Homagama South	gnd	162	4	0	11	0	852	9	1	11	0	1	0	0	0	1
LK-1112130	Galavilawatta North	Galavilawatta North	gnd	173	5	0	3	0	843	5	0	0	0	0	1	0	0	0
LK-1112135	Homagama Town	Homagama Town	gnd	161	0	0	2	0	496	2	0	0	0	0	0	0	0	0
LK-1112140	Homagama East	Homagama East	gnd	172	11	2	1	0	530	2	0	0	0	0	0	0	1	0
LK-1112145	Pitipana Town	Pitipana Town	gnd	300	3	0	4	0	517	20	0	0	0	0	6	0	0	1
LK-1112150	Godagama South	Godagama South	gnd	355	8	3	3	0	651	2	0	0	0	0	1	0	0	0
LK-1112155	Kurunduwatta	Kurunduwatta	gnd	621	17	0	26	0	583	2	0	0	0	0	0	0	0	1
LK-1112160	Gehenuwala	Gehenuwala	gnd	321	0	0	2	0	131	7	116	0	0	0	0	0	0	1
LK-1112165	Watareka South	Watareka South	gnd	986	4	0	6	0	776	6	272	2	1	0	3	0	0	2
LK-1112170	Ovitigama	Ovitigama	gnd	959	21	7	8	0	508	3	5	0	0	0	0	0	1	1
LK-1112175	Kandanawatta	Kandanawatta	gnd	536	8	0	5	0	427	1	0	0	0	0	0	0	0	0
LK-1112180	Kiriberiyakele	Kiriberiyakele	gnd	488	6	5	14	0	432	3	8	0	0	0	1	0	0	0
LK-1112185	Mawathgama	Mawathgama	gnd	368	1	0	0	0	425	6	41	0	0	0	0	0	0	0
LK-1112190	Katuwana	Katuwana	gnd	282	2	0	0	0	1221	8	0	2	0	0	0	0	0	1
LK-1112195	Galavilawatta South	Galavilawatta South	gnd	67	0	0	0	1	984	1	0	0	0	0	0	0	0	0
LK-1112200	Niyandagala	Niyandagala	gnd	301	3	0	0	0	978	10	0	1	0	0	1	0	0	0
LK-1112205	Hiripitiya	Hiripitiya	gnd	222	4	3	4	0	1325	5	1	0	0	0	0	0	0	0
LK-1112210	Mambulgoda	Mambulgoda	gnd	182	2	5	3	0	655	2	0	0	0	0	0	0	0	1
LK-1112215	Kithulhena	Kithulhena	gnd	55	0	0	0	0	455	0	3	0	0	1	0	0	0	1
LK-1112220	Siddamulla North	Siddamulla North	gnd	64	3	0	0	0	675	0	0	0	0	0	7	0	0	2
LK-1112225	Siddamulla South	Siddamulla South	gnd	107	8	3	1	0	653	2	0	0	0	0	0	0	0	1
LK-1112230	Mattegoda West	Mattegoda West	gnd	85	1	0	0	0	1431	1	0	0	0	0	0	0	0	0
LK-1112235	Mattegoda Central 'A'	Mattegoda Central 'A'	gnd	0	3	0	0	0	609	2	0	0	0	0	0	0	0	0
LK-1112240	Mattegoda East	Mattegoda East	gnd	40	6	0	3	0	1080	2	1	0	0	0	0	0	0	0
LK-1112245	Brahmanagama	Brahmanagama	gnd	376	3	3	6	0	1177	0	0	0	0	0	0	0	0	0
LK-1112250	Deepangoda	Deepangoda	gnd	507	3	4	22	0	537	0	1	1	1	0	2	0	0	0
LK-1112255	Magammana West	Magammana West	gnd	508	8	1	2	0	382	2	42	0	0	0	1	0	0	0
LK-1112260	Magammana East	Magammana East	gnd	557	1	1	2	0	1098	5	89	0	0	0	1	0	0	1
LK-1112265	Uduwana	Uduwana	gnd	327	5	1	1	0	897	2	0	0	0	0	0	1	0	0
LK-1112270	Prasannapura	Prasannapura	gnd	433	23	2	0	0	451	0	10	2	0	0	1	0	0	1
LK-1112275	Pitipana North	Pitipana North	gnd	330	5	0	6	0	665	0	12	0	0	0	0	0	0	1
LK-1112280	Suwapubudugama	Suwapubudugama	gnd	308	7	4	0	0	376	0	0	0	1	0	0	0	0	4
LK-1112285	Pitipana South	Pitipana South	gnd	596	0	0	4	0	421	3	1	0	0	0	0	0	0	0
LK-1112290	Dolahena	Dolahena	gnd	846	14	17	13	0	641	18	4	0	0	0	0	0	0	3
LK-1112295	Diyagama East	Diyagama East	gnd	437	0	2	6	0	136	1	0	0	0	0	1	0	0	2
LK-1112300	Diyagama West	Diyagama West	gnd	177	13	0	2	0	446	2	1	0	0	0	0	0	0	0
LK-1112305	Kirigampamunuwa	Kirigampamunuwa	gnd	78	0	0	2	0	1032	2	1	0	0	0	0	0	0	1
LK-1112310	Mattegoda Central 'B'	Mattegoda Central 'B'	gnd	35	0	0	0	2	839	3	0	0	0	0	0	0	0	0
LK-1112315	Siyambalagoda North	Siyambalagoda North	gnd	382	0	2	9	0	1002	7	0	1	0	0	0	0	0	3
LK-1112320	Kudamaduwa	Kudamaduwa	gnd	321	4	2	1	0	704	2	0	17	0	0	0	0	0	0
LK-1112325	Sangharama	Sangharama	gnd	90	0	0	0	0	620	3	0	1	0	0	1	0	0	0
LK-1112330	Siyambalagoda South	Siyambalagoda South	gnd	63	156	6	1	0	509	1	6	0	0	0	0	0	0	0
LK-1112335	Rilawala	Rilawala	gnd	322	1	0	2	0	236	1	0	0	0	0	0	0	0	0
LK-1112340	Kahathuduwa West	Kahathuduwa West	gnd	548	6	0	0	0	356	0	0	0	0	0	0	0	0	0
LK-1112345	Kiriwattuduwa South	Kiriwattuduwa South	gnd	453	12	7	2	0	492	2	72	5	0	0	0	1	0	2
LK-1112350	Kiriwattuduwa North	Kiriwattuduwa North	gnd	468	4	1	2	0	234	2	0	0	0	0	0	0	0	0
LK-1112355	Moonamale - Yakahaluwa	Moonamale - Yakahaluwa	gnd	443	3	3	1	0	387	2	27	0	0	0	0	0	0	0
LK-1112360	Kithulavila	Kithulavila	gnd	552	14	4	5	0	644	8	33	0	0	0	0	0	0	0
LK-1112365	Kahathuduwa North	Kahathuduwa North	gnd	228	22	1	7	1	865	1	1	0	0	0	0	0	0	0
LK-1112370	Kahathuduwa East	Kahathuduwa East	gnd	158	33	0	5	0	512	6	7	0	0	0	0	0	0	0
LK-1112375	Kahathuduwa South	Kahathuduwa South	gnd	252	35	9	5	1	769	2	0	0	0	0	0	0	0	0
LK-1112380	Undurugoda	Undurugoda	gnd	83	1	0	0	0	355	2	19	0	0	0	0	0	0	0
LK-1112385	Wethara	Wethara	gnd	168	4	0	4	0	378	5	0	0	0	0	0	0	0	1
LK-1112390	Ambalangoda	Ambalangoda	gnd	346	0	0	2	0	379	3	2	1	0	0	0	0	0	0
LK-1112395	Heraliyawala	Heraliyawala	gnd	146	20	0	0	0	178	0	0	0	0	0	0	0	0	0
LK-1112400	Palagama	Palagama	gnd	339	3	2	2	0	547	1	0	0	0	0	1	0	0	1
LK-1112405	Weniwelkola	weniwelkola	gnd	420	4	4	41	0	1254	3	30	2	0	2	3	0	0	1
LK-1115005	Bollathawa	Bollathawa	gnd	325	9	0	2	0	181	0	0	0	0	0	2	0	0	2
LK-1115010	Kanampella West	Kanampella West	gnd	312	1	1	1	0	283	0	1	0	0	0	1	0	0	0
LK-1115015	Kanampella East	Kanampella East	gnd	151	0	0	2	0	63	0	94	0	0	0	0	0	0	1
LK-1115020	Manakada	Manakada	gnd	60	0	0	2	2	29	0	64	28	1	0	0	0	0	0
LK-1115025	Eswatta North	Eswatta North	gnd	347	4	1	1	25	34	0	109	0	0	0	0	0	0	1
LK-1115030	Kiriwandala North	Kiriwandala North	gnd	139	32	40	1	111	563	5	269	34	4	0	0	0	0	0
LK-1115035	Kudagama	Kudagama	gnd	171	1	0	3	0	401	10	44	0	0	0	0	0	0	0
LK-1115040	Weralupitiya	Weralupitiya	gnd	68	0	0	15	0	0	0	175	0	0	0	0	0	0	0
LK-1115045	Seethagama	Seethagama	gnd	142	0	0	6	0	675	58	0	0	0	0	0	0	0	1
LK-1115050	Avissawella	Avissawella	gnd	63	0	0	1	3	436	2	1	0	0	0	1	0	0	0
LK-1115055	Ukwatta	Ukwatta	gnd	149	2	0	0	0	664	5	23	0	0	0	1	0	0	1
LK-1115060	Agra Pedesa	Agra Pedesa	gnd	173	3	0	2	1	373	2	0	0	0	0	0	0	0	0
LK-1115065	Eswatta South	Eswatta South	gnd	268	6	0	1	6	25	0	224	1	0	0	0	0	0	0
LK-1115070	Ihala Kosgama North	Ihala Kosgama North	gnd	477	24	34	9	9	227	0	98	1	0	0	2	0	0	3
LK-1115075	Thawalgoda	Thawalgoda	gnd	242	15	6	0	0	205	1	0	0	0	0	0	0	0	1
LK-1115080	Muruthagama	Muruthagama	gnd	140	3	0	0	0	194	1	0	0	0	0	0	0	0	1
LK-1115085	Akaravita	Akaravita	gnd	177	5	0	0	0	229	0	0	1	0	0	1	0	1	0
LK-1115090	Kahatapitiya	Kahatapitiya	gnd	137	5	0	0	0	161	0	40	0	0	0	0	0	0	0
LK-1115095	Kalu Aggala	Kalu Aggala	gnd	117	42	1	2	0	216	0	15	0	0	0	0	0	0	4
LK-1115100	Salawa	Salawa	gnd	291	17	1	0	0	401	0	0	0	0	0	0	0	0	1
LK-1115105	Pahala Kosgama West	Pahala Kosgama west	gnd	263	6	0	2	0	367	1	0	0	1	0	0	0	0	1
LK-1115110	Pahala Kosgama East	Pahala Kosgama East	gnd	292	19	7	1	0	339	3	0	1	0	0	0	0	0	3
LK-1115115	Ihala Kosgama South	Ihala Kosgama South	gnd	340	2	2	0	0	69	3	61	0	0	0	2	0	0	1
