region_id	region_name	region_name_in_data	region_ent_type	sinhalese	sri_lanka_tamil	indian_malaiyaga_tamil	sri_lanka_moor_muslim	burgher	malay	sri_lanka_chetty	bharatha	veddha
EC-04I	Mahanuwara		PD	30340	7277	470	7524	322	52	0	0	0
EC-04J	Yatinuwara		PD	101638	2352	234	7987	0	0	0	0	0
EC-04K	Udunuwara		PD	86641	2121	599	31058	60	27	0	0	0
EC-04L	Gampola		PD	88245	19463	9739	27321	68	179	0	0	0
EC-04M	Nawalapitiya		PD	86235	22341	11163	14800	103	131	0	0	0
EC-05	Matale		ED	424776	41572	7431	51158	207	158	0	0	0
EC-05A	Dambulla		PD	173482	2755	68	14624	24	0	0	0	0
EC-05B	Laggala		PD	90386	4843	665	487	0	0	0	0	0
EC-05C	Matale		PD	78893	16096	2158	17726	79	63	0	0	0
EC-05D	Rattota		PD	82015	17878	4540	18321	104	95	0	0	0
EC-06	Nuwara-Eliya		ED	281904	59900	362152	18948	1064	157	0	0	0
EC-06A	Nuwara Eliya Maskeliya		PD	80582	31086	298050	10365	1011	157	0	0	0
EC-06B	Kothmale		PD	54470	17975	23199	7785	53	0	0	0	0
EC-06C	Hanguranketha		PD	80124	3873	7871	36	0	0	0	0	0
EC-06D	Walapane		PD	66728	6966	33032	762	0	0	0	0	0
EC-07	Galle		ED	1030354	16245	2394	45316	14	11	0	0	0
EC-07A	Balapitiya		PD	66863	50	0	1068	0	0	0	0	0
EC-07B	Ambalangoda		PD	99685	107	34	0	0	0	0	0	0
EC-07C	Karandeniya		PD	90886	1520	41	577	0	0	0	0	0
EC-07D	Bentara Elpitiya		PD	113325	1346	265	1026	0	0	0	0	0
EC-07E	Hiniduma		PD	121006	5053	470	0	0	0	0	0	0
EC-07F	Baddegama		PD	120444	5959	1234	0	0	0	0	0	0
EC-07G	Ratgama		PD	100513	204	0	20	0	0	0	0	0
EC-07H	Galle		PD	68564	598	37	38746	14	11	0	0	0
EC-07I	Akmeemana		PD	138042	1332	280	3869	0	0	0	0	0
EC-07J	Habaraduwa		PD	111026	76	33	10	0	0	0	0	0
EC-08	Matara		ED	788795	10231	7762	29214	90	0	0	0	0
EC-08A	Deniyaya		PD	114253	5630	7338	37	32	0	0	0	0
EC-08B	Hakmana		PD	117776	1738	225	1006	0	0	0	0	0
EC-08C	Akuressa		PD	117543	2238	143	2399	0	0	0	0	0
EC-08D	Kamburupitiya		PD	104135	70	0	671	26	0	0	0	0
EC-08E	Devinuwara		PD	101617	95	0	3813	0	0	0	0	0
EC-08F	Matara		PD	118659	251	20	4586	32	0	0	0	0
EC-08G	Weligama		PD	114812	209	36	16702	0	0	0	0	0
EC-09	Hambantota		ED	651274	1518	31	13615	23	3871	0	0	0
EC-09A	Mulkirigala		PD	142183	12	0	971	0	0	0	0	0
EC-09B	Beliatta		PD	104606	34	0	266	0	0	0	0	0
EC-09C	Tangalle		PD	171939	182	0	807	10	0	0	0	0
EC-09D	Thissamaharama		PD	232546	1290	31	11571	13	3871	0	0	0
EC-10	Jaffna		ED	4121	719511	900	4880	14	0	0	0	0
EC-10A	Kayts		PD	14	29338	0	237	0	0	0	0	0
EC-10B	Vaddukoddai		PD	10	63329	10	14	0	0	0	0	0
EC-10C	Kankesanthurai		PD	51	54491	16	0	0	0	0	0	0
EC-10D	Manipay		PD	11	78605	11	107	0	0	0	0	0
EC-10E	Kopay		PD	10	80312	52	108	14	0	0	0	0
EC-10F	Udupiddy		PD	13	48481	0	0	0	0	0	0	0
EC-10G	Point Pedro		PD	41	49227	0	0	0	0	0	0	0
EC-10H	Chavakachcheri		PD	131	67328	65	79	0	0	0	0	0
EC-10I	Nallur		PD	1737	70328	105	472	0	0	0	0	0
EC-10J	Jaffna		PD	588	45049	58	2672	0	0	0	0	0
EC-10K	Kilinochchi		PD	1515	133023	583	1191	0	0	0	0	0
EC-11	Vanni		ED	29902	333149	1826	52271	11	0	0	0	0
EC-11A	Mannar		PD	501	89975	150	32681	0	0	0	0	0
EC-11B	Vavuniya		PD	18431	135108	1539	16566	11	0	0	0	0
EC-11C	Mullaitivu		PD	10970	107870	137	3024	0	0	0	0	0
EC-12	Batticaloa		ED	6034	424635	529	160135	2739	0	0	0	68
EC-12A	Kalkudah		PD	1633	118918	201	56796	257	0	0	0	30
EC-12B	Batticaloa		PD	2782	176344	318	103074	2373	0	0	0	38
EC-12C	Paddiruppu		PD	1607	126186	10	0	41	0	0	0	0
EC-13	Digamadulla		ED	276076	125330	254	339137	992	100	0	0	830
EC-13A	Ampara		PD	241287	262	0	248	12	100	0	0	830
EC-13B	Samanthurai		PD	1602	23125	20	111566	216	0	0	0	0
EC-13C	Kalmunai		PD	145	27545	33	85633	486	0	0	0	0
EC-13D	Pothuvil		PD	33042	74398	201	141690	278	0	0	0	0
EC-14	Trincomalee		ED	108428	127925	438	203883	772	267	0	0	0
EC-14A	Seruvila		PD	78593	19785	0	14351	51	0	0	0	0
EC-14B	Trincomalee		PD	24065	77904	415	40909	565	267	0	0	0
EC-14C	Muttur		PD	5770	30236	23	148623	156	0	0	0	0
EC-15	Kurunegala		ED	1601886	19475	1028	139988	40	497	0	0	0
EC-15A	Galgamuwa		PD	134587	583	0	7871	0	0	0	0	0
EC-15B	Nikaweratiya		PD	120597	350	0	11723	0	0	0	0	0
EC-15C	Yapahuwa		PD	152807	318	0	3987	0	62	0	0	0
EC-15D	Hiriyala		PD	125791	1048	12	10418	12	0	0	0	0
EC-15E	Wariyapola		PD	103500	247	22	1863	0	0	0	0	0
EC-15F	Panduwasnuwara		PD	91169	659	55	10781	0	0	0	0	0
EC-15G	Bingiriya		PD	111311	919	111	8458	0	0	0	0	0
EC-15H	Katugampola		PD	124730	1402	22	9228	0	13	0	0	0
EC-15I	Kuliyapitiya		PD	118895	1200	51	23204	0	30	0	0	0
EC-15J	Dambadeniya		PD	120979	348	48	3785	0	0	0	0	0
EC-15K	Polgahawela		PD	95312	1663	27	6609	0	34	0	0	0
EC-15L	Kurunegala		PD	115011	3705	68	11302	28	276	0	0	0
EC-15M	Mawathagama		PD	106629	4120	601	18494	0	82	0	0	0
EC-15N	Dodangaslanda		PD	80568	2913	11	12265	0	0	0	0	0
EC-16	Puttalam		ED	591736	47797	661	174047	1479	434	0	0	0
EC-16A	Puttalam		PD	78204	31475	341	148771	1344	372	0	0	0
EC-16B	Anamaduwa		PD	147976	2794	0	8883	62	0	0	0	0
EC-16C	Chilaw		PD	138481	7977	171	8158	16	52	0	0	0
EC-16D	Nattandiya		PD	103480	2506	52	7820	57	10	0	0	0
EC-16E	Wennappuwa		PD	123595	3045	97	415	0	0	0	0	0
EC-17	Anuradhapura		ED	869982	4133	160	82973	45	56	0	0	0
EC-17A	Medawachchiya		PD	118990	189	0	10082	0	0	0	0	0
EC-17B	Horowpothana		PD	98462	250	10	23876	0	0	0	0	0
EC-17C	Anuradhapura East		PD	150801	396	0	5732	10	0	0	0	0
EC-17D	Anuradhapura West		PD	144770	1194	79	9669	16	0	0	0	0
EC-17E	Kalawewa		PD	164909	155	19	8078	0	0	0	0	0
EC-17F	Mihinthale		PD	85732	374	52	12335	0	56	0	0	0
EC-17G	Kekirawa		PD	106318	1575	0	13201	19	0	0	0	0
EC-18	Polonnaruwa		ED	402775	7014	13	36684	12	0	0	0	221
EC-18A	Minneriya		PD	118214	181	0	550	0	0	0	0	0
EC-18B	Medirigiriya		PD	98008	11	0	13996	0	0	0	0	0
EC-18C	Polonnaruwa		PD	186553	6822	13	22138	12	0	0	0	221
EC-19	Badulla		ED	640617	81249	95344	51764	548	499	0	0	168
EC-19A	Mahiyanganaya		PD	147123	107	31	2317	0	0	0	0	168
EC-19B	Viyaluwa		PD	66085	1077	5824	825	0	0	0	0	0
EC-19C	Passara		PD	40158	15381	21974	3684	77	35	0	0	0
EC-19D	Badulla		PD	57434	5653	10962	8404	132	293	0	0	0
EC-19E	Hali Ela		PD	60374	17744	11394	4283	105	95	0	0	0
EC-19F	Uva Paranagama		PD	69488	5796	4068	2438	122	0	0	0	0
EC-19G	Welimada		PD	73138	8495	4026	19485	35	0	0	0	0
EC-19H	Bandarawela		PD	80338	12686	15621	5805	77	76	0	0	0
EC-19I	Haputale		PD	46479	14310	21444	4523	0	0	0	0	0
EC-20	Moneragala		ED	499366	14286	1125	11921	0	0	0	0	0
EC-20A	Bibile		PD	119101	1022	11	7964	0	0	0	0	0
EC-20B	Monaragala		PD	151314	11464	1088	2440	0	0	0	0	0
EC-20C	Wellawaya		PD	228951	1800	26	1517	0	0	0	0	0
EC-21	Ratnapura		ED	1003515	90748	23566	25420	219	0	0	0	0
EC-21A	Eheliyagoda		PD	119946	4772	1898	5087	0	0	0	0	0
EC-21B	Ratnapura		PD	148510	12286	874	7748	72	0	0	0	0
EC-21C	Pelmadulla		PD	95984	17264	4765	653	0	0	0	0	0
EC-21D	Balangoda		PD	124152	16262	4615	7021	82	0	0	0	0
EC-21E	Rakwana		PD	119710	13529	3513	2894	55	0	0	0	0
EC-21F	Nivithigala		PD	101676	12032	4157	1957	10	0	0	0	0
EC-21G	Kalawana		PD	88416	10156	3472	60	0	0	0	0	0
EC-21H	Kolonna		PD	205121	4447	272	0	0	0	0	0	0
EC-22	Kegalle		ED	736385	39724	20829	71510	41	25	0	0	0
EC-22A	Dedigama		PD	106360	3576	79	7647	0	0	0	0	0
EC-22B	Galigamuwa		PD	79394	3020	528	1121	0	0	0	0	0
EC-22C	Kegalle		PD	90458	2255	128	1193	10	25	0	0	0
EC-22D	Rambukkana		PD	82564	846	14	3389	0	0	0	0	0
EC-22E	Mawanella		PD	82919	1180	109	41553	12	0	0	0	0
EC-22F	Aranayaka		PD	62092	1319	76	5453	0	0	0	0	0
EC-22G	Yatiyanthota		PD	73390	10050	10381	3100	0	0	0	0	0
EC-22H	Ruwanwella		PD	86142	6576	2089	7990	0	0	0	0	0
EC-22I	Deraniyagala		PD	73066	10902	7425	64	19	0	0	0	0
LG-11011	Colombo MC		LG	174840	159404	6693	160753	2889	2620	23	310	0
LG-11012	Dehiwala Mount Lavinia MC		LG	111776	24865	1817	40821	1414	542	26	0	0
LG-11013	Moratuwa MC		LG	149858	5837	242	3375	360	147	0	0	0
LG-11014	Sri Jayawardanapura Kotte MC		LG	81556	6689	454	6012	744	319	0	10	0
LG-11015	Kaduwela MC		LG	267158	5248	188	2572	1108	970	0	18	0
LG-11021	Kolonnawa UC		LG	22731	14033	207	21610	372	373	0	0	0
LG-11022	Seethawakapura UC		LG	21680	7235	2857	415	0	0	0	0	0
LG-11023	Maharagama UC		LG	188590	3760	357	1721	1075	655	0	0	0
LG-11024	Kesbewa UC		LG	200026	2272	55	543	616	220	0	0	0
LG-11025	Boralesgamuwa UC		LG	55154	1597	120	1412	582	136	0	0	0
LG-11031	Homagama PS		LG	292872	3214	137	919	310	368	0	0	0
LG-11033	Kotikawatta-Mullariyawa PS		LG	105123	4252	336	43089	415	1093	0	0	0
LG-11034	Seethawaka PS		LG	136581	5207	949	1425	0	13	0	0	0
LG-12011	Negombo MC		LG	102579	12174	837	23217	366	86	37	0	0
LG-12012	Gampaha MC		LG	62944	284	33	72	30	14	0	0	0
LG-12022	Ja- Ela UC		LG	27819	1881	173	36	179	13	0	0	0
LG-12023	Katunayaka- Seeduwa UC/Katana PS		LG	47052	2312	256	248	56	14	92	12	0
LG-12024	Minuwangoda UC		LG	6535	171	12	408	0	0	0	0	0
LG-12025	Peliyagoda UC		LG	18045	4147	123	1993	117	0	0	0	0
LG-12026	Wattala - Mabola UC		LG	11595	8826	258	8179	121	132	0	0	0
LG-12031	Attanagalla PS		LG	167492	1103	168	27478	58	445	0	0	0
LG-12032	Biyagama PS		LG	186859	3182	289	15748	206	469	0	0	0
LG-12033	Divulapitiya PS		LG	155173	1005	61	41	52	0	0	0	0
LG-12034	Dompe PS		LG	166320	447	13	2377	10	23	0	0	0
LG-12035	Gampaha PS		LG	140695	595	38	18	61	59	0	0	0
LG-12036	Ja- Ela PS		LG	163340	6806	410	777	1931	868	23	22	0
LG-12037	Katana PS		LG	169994	10618	684	4939	225	684	1507	0	0
LG-12038	Kelaniya PS		LG	89605	6422	380	10233	416	1817	12	36	0
LG-12039	Mahara PS		LG	209413	2447	177	6732	430	3183	0	0	0
LG-12040	Minuwangoda PS		LG	183634	702	55	6256	70	75	0	0	0
LG-12041	Mirigama PS		LG	166648	730	12	8507	0	0	0	135	0
LG-12042	Wattala PS		LG	112770	32155	1413	4651	1279	594	33	0	0
LG-13011	Kalutara MC		LG	53233	1418	189	14159	12	0	0	0	0
LG-13021	Beruwala UC		LG	5949	498	67	37329	0	0	0	0	0
LG-13022	Horana UC/Horana PS		LG	9468	751	126	0	0	0	0	0	0
LG-13024	Panadura UC/Panadura PS		LG	32481	258	0	112	0	28	0	0	0
LG-13031	Agalawatta PS		LG	35609	780	0	71	0	0	0	0	0
LG-13032	Bandaragama PS		LG	108346	338	16	14882	18	37	0	0	0
LG-13033	Beruwala PS		LG	103993	1284	128	31094	13	16	0	0	0
LG-13034	Bulathsinhala PS		LG	55309	5426	2244	2401	0	0	0	0	0
LG-13035	Dodangoda PS		LG	59928	6285	705	0	0	0	0	0	0
LG-13036	Horana PS		LG	173531	7016	422	40	46	0	0	10	0
LG-13037	Kalutara PS		LG	96641	396	0	11	38	0	0	0	0
LG-13038	Mathugama PS		LG	75039	6568	840	3418	14	0	0	0	0
LG-13039	Panadura PS		LG	121271	903	71	31605	60	113	0	0	0
LG-13040	Walallawita PS		LG	53522	779	859	12	0	0	0	0	0
LG-13041	Madurawala PS		LG	33633	2671	314	0	0	0	0	0	0
LG-13042	Palindanuwara PS		LG	46704	3438	278	622	11	0	0	0	0
LG-13043	Millaniya PS		LG	54429	1251	208	0	21	0	0	0	0
LG-21011	Kandy MC/ Pathadumbara PS		LG	69604	12242	1091	16906	504	150	0	0	0
LG-21021	Gampola UC		LG	21858	3348	637	15800	0	142	0	0	0
LG-21022	Kadugannawa UC/Yatinuwara PS		LG	18323	391	10	1334	0	0	0	0	0
LG-21023	Nawalapitiya UC/Pasbage Korale PS		LG	9900	7282	1542	6764	48	92	0	0	0
LG-21024	Wattegama UC/ Pathadumbara PS		LG	14280	1363	170	364	0	0	0	0	0
LG-21025	Medadumbara PS		LG	423	0	0	0	0	0	0	0	0
LG-21031	Akurana PS		LG	19403	3745	146	47584	0	0	0	0	0
LG-21032	Ganga Ihala Korale		LG	47963	5324	1044	4695	0	16	0	0	0
LG-21033	Harispattuwa PS		LG	79997	1657	193	10011	43	0	0	0	0
LG-21034	Kandy Four Graverts &Gangawata Korale PS		LG	49688	4868	579	2834	69	0	0	0	0
LG-21035	Medadumbara PS		LG	117582	15987	2055	8560	169	60	0	0	0
LG-21036	Medadumbara PS		LG	47145	10527	900	4796	0	0	0	0	0
LG-21037	Minipe PS		LG	55043	0	0	205	0	0	0	0	0
LG-21038	Panvila PS		LG	9764	8955	5894	954	15	27	0	0	0
LG-21039	Pasbage Korale PS		LG	21689	6458	8150	3330	15	23	0	0	0
LG-21040	Pathadumbara PS		LG	50411	759	222	21467	23	27	0	0	0
LG-21041	Pathhewaheta PS		LG	67517	12328	3157	9207	32	20	0	0	0
LG-21042	Pujapitiya PS		LG	47978	1057	472	10595	28	0	0	0	0
LG-21043	Thumpane PS		LG	64499	674	37	4416	10	16	0	0	0
LG-21044	Udadumbara PS		LG	21126	1013	722	110	0	0	0	0	0
LG-21045	Udapalatha PS		LG	73070	19392	9529	11532	108	37	0	0	0
LG-21046	Udunuwara PS		LG	86641	2121	599	31058	60	27	0	0	0
LG-21047	Yatinuwara PS		LG	83315	1961	224	6653	0	0	0	0	0
LG-22011	Matale MC/ Matale PS		LG	22801	10163	312	13868	68	49	0	0	0
LG-22012	Dambulla MC		LG	25515	584	16	129	0	0	0	0	0
LG-22031	Ambanganga Korale PS		LG	11919	3215	614	61	0	0	0	0	0
LG-22032	Dambulla PS		LG	52386	89	0	2281	0	0	0	0	0
LG-22033	Galewela PS		LG	66155	1143	25	11083	24	0	0	0	0
LG-22034	Laggala-Pallegama PS		LG	16799	16	0	0	0	0	0	0	0
LG-22035	Matale PS		LG	29213	3846	649	1758	11	14	0	0	0
LG-22036	Naula PS		LG	28540	1612	51	426	0	0	0	0	0
LG-22037	Pallepola PS		LG	29426	939	27	1131	0	0	0	0	0
LG-22038	Rattota PS		LG	38510	11165	1586	2159	30	56	0	0	0
LG-22039	Ukuwela PS		LG	43505	6713	2954	16162	74	39	0	0	0
LG-22040	Wilgamuwa PS		LG	33128	0	0	0	0	0	0	0	0
LG-22041	Yatawatta PS		LG	26879	2087	1197	2100	0	0	0	0	0
LG-23011	Nuwara Eliya MC/ Nuwara Eliya PS		LG	12919	7234	6691	2419	50	51	0	0	0
LG-23021	Hatton - Dickoya UC/ Ambagamuwa PS		LG	3777	1264	19274	2977	120	56	0	0	0
LG-23022	Thalawakale-Lindula UC/ Kotagala PS		LG	3045	2039	18218	374	35	0	0	0	0
LG-23031	Ambagamuwa PS		LG	34090	3290	26812	269	76	0	0	0	0
LG-23032	Hanguranketha PS		LG	80124	3873	7871	36	0	0	0	0	0
LG-23033	Kothmale PS		LG	54470	17975	23199	7785	53	0	0	0	0
LG-23034	Nuwara Eliya PS		LG	16071	9000	29140	1894	181	0	0	0	0
LG-23035	Walapane PS		LG	66728	6966	33032	762	0	0	0	0	0
LG-23036	Maskeliya PS		LG	2577	736	42607	481	73	0	0	0	0
LG-23037	Noorwood PS		LG	1691	3122	59197	1085	52	31	0	0	0
LG-23038	Agarapathana PS		LG	3384	2902	57162	512	122	0	0	0	0
LG-23039	Kotagala PS		LG	3028	1499	38949	354	302	19	0	0	0
LG-31011	Galle MC		LG	60960	552	27	27358	14	11	0	0	0
LG-31021	Ambalangoda UC		LG	19986	11	0	0	0	0	0	0	0
LG-31022	Hikkaduwa UC		LG	25926	88	0	0	0	0	0	0	0
LG-31031	Akmeemana PS		LG	82527	1078	10	2258	0	0	0	0	0
LG-31032	Ambalangoda PS		LG	62588	24	34	0	0	0	0	0	0
LG-31033	Baddegama PS		LG	76027	2402	57	0	0	0	0	0	0
LG-31034	Balapitiya PS		LG	66863	50	0	1068	0	0	0	0	0
LG-31035	Benthota PS		LG	48407	11	0	1026	0	0	0	0	0
LG-31036	Bope_Poddala PS		LG	63119	300	280	12999	0	0	0	0	0
LG-31037	Elpitiya PS		LG	64918	1335	265	0	0	0	0	0	0
LG-31038	Habaraduwa PS		LG	63018	10	0	10	0	0	0	0	0
LG-31039	Rajgama PS		LG	74587	116	0	20	0	0	0	0	0
LG-31040	Karandeniya PS		LG	62810	346	0	577	0	0	0	0	0
LG-31041	Nagoda PS		LG	47957	3524	471	0	0	0	0	0	0
LG-31042	Neluwa PS		LG	26094	1373	220	0	0	0	0	0	0
LG-31043	Niyagama PS		LG	35359	267	76	0	0	0	0	0	0
LG-31044	Thawalama PS		LG	29222	1572	126	0	0	0	0	0	0
LG-31045	Yakkalamulla PS		LG	43902	1946	754	0	0	0	0	0	0
LG-31046	Imaduwa PS		LG	48008	66	33	0	0	0	0	0	0
LG-31047	Welivitiya_Divithura PS		LG	28076	1174	41	0	0	0	0	0	0
LG-32011	Matara MC		LG	78452	251	20	4586	32	0	0	0	0
LG-32021	Weligama UC		LG	12600	106	12	8591	0	0	0	0	0
LG-32031	Akuressa PS		LG	51916	1493	78	0	0	0	0	0	0
LG-32032	Devinuwara PS		LG	48394	67	0	723	0	0	0	0	0
LG-32033	Dickwella PS		LG	53223	28	0	3090	0	0	0	0	0
LG-32034	Hakmana PS		LG	31922	10	0	1006	0	0	0	0	0
LG-32035	Kamburupitiya PS		LG	76800	70	0	20	26	0	0	0	0
LG-32036	Kotapola PS		LG	51042	2841	6948	37	32	0	0	0	0
LG-32037	Malimbada PS		LG	35512	18	0	559	0	0	0	0	0
LG-32038	Matara PS		LG	40207	0	0	0	0	0	0	0	0
LG-32039	Mulatiyana PS		LG	51505	268	0	0	0	0	0	0	0
LG-32040	Pasgoda PS		LG	58983	1782	264	0	0	0	0	0	0
LG-32042	Weligama PS		LG	102212	103	24	8111	0	0	0	0	0
LG-32043	Pitadeddara PS		LG	45951	2467	351	0	0	0	0	0	0
LG-32044	Athuraliya PS		LG	30115	727	65	1840	0	0	0	0	0
LG-32045	Kirinda Puhulwella PS		LG	19961	0	0	651	0	0	0	0	0
LG-33011	Hambantota MC		LG	15137	745	17	8433	13	1940	0	0	0
LG-33021	Tangalle UC		LG	6753	70	0	735	0	0	0	0	0
LG-33031	Ambalantota PS		LG	78331	229	0	1565	0	239	0	0	0
LG-33032	Angunakolapelessa PS		LG	53363	0	0	0	0	0	0	0	0
LG-33033	Beliatta PS		LG	58564	34	0	0	0	0	0	0	0
LG-33034	Hambantota PS		LG	39814	90	14	444	0	398	0	0	0
LG-33035	Katuwana PS		LG	76447	0	0	0	0	0	0	0	0
LG-33036	Lunugamvehera PS		LG	36217	31	0	567	0	34	0	0	0
LG-33037	Tangalle PS		LG	71515	14	0	248	10	0	0	0	0
LG-33038	Thissamaharama PS		LG	71848	293	0	634	0	1260	0	0	0
LG-33039	Weeraketiya PS		LG	90639	12	0	989	0	0	0	0	0
LG-33040	Sooriyawewa PS		LG	52646	0	0	0	0	0	0	0	0
LG-41011	Jaffna MC		LG	961	78827	58	2769	0	0	0	0	0
LG-41021	Chavakachcheri UC		LG	10	16176	14	47	0	0	0	0	0
LG-41022	Point Pedro UC		LG	0	11586	0	0	0	0	0	0	0
LG-41023	Valvettiturai UC/ Vadamaradchi South West PS		LG	0	10518	0	0	0	0	0	0	0
LG-41031	Chavakachcheri PS		LG	121	51152	51	32	0	0	0	0	0
LG-41032	Delft PS		LG	0	3153	0	0	0	0	0	0	0
LG-41033	Kayts PS		LG	14	9894	0	0	0	0	0	0	0
LG-41034	Nallur PS		LG	1364	36550	105	375	0	0	0	0	0
LG-41035	Point Pedro PS		LG	41	35493	0	0	0	0	0	0	0
LG-41036	Vadamaradchi South West PS		LG	13	40111	0	0	0	0	0	0	0
LG-41037	Valikamam East PS		LG	0	75620	52	108	14	0	0	0	0
LG-41038	Valikamam North PS		LG	51	44715	16	0	0	0	0	0	0
LG-41039	Valikamam South PS		LG	21	50258	11	107	0	0	0	0	0
LG-41040	Valikamam South West PS		LG	0	51990	0	14	0	0	0	0	0
LG-41041	Valikamam West PS		LG	10	45044	10	0	0	0	0	0	0
LG-41042	Velanai PS		LG	0	16291	0	237	0	0	0	0	0
LG-41043	Karainagar PS		LG	0	9110	0	0	0	0	0	0	0
LG-42021	Mannar UC		LG	128	21958	0	1960	0	0	0	0	0
LG-42031	Mannar PS		LG	67	21098	36	12347	0	0	0	0	0
LG-42032	Manthai West PS		LG	11	21675	10	3472	0	0	0	0	0
LG-42033	Musali PS		LG	99	4442	0	13537	0	0	0	0	0
LG-42034	Nanattan PS		LG	196	20802	104	1365	0	0	0	0	0
LG-43011	Vavuniya MC/ Vavuniya South (Tamil) PS		LG	1177	36373	479	3451	0	0	0	0	0
LG-43031	Vavuniya North PS		LG	1145	13309	172	0	0	0	0	0	0
LG-43032	Vavuniya South (Sinhala) PS		LG	13968	581	0	0	0	0	0	0	0
LG-43033	Vavuniya South (Tamil) PS		LG	2106	67924	675	4604	11	0	0	0	0
LG-43034	Vengalacheddikulam PS		LG	35	16921	213	8511	0	0	0	0	0
LG-44031	Vavuniya North PS		LG	5872	53	0	0	0	0	0	0	0
LG-44041	Manthai East PS		LG	26	7534	51	0	0	0	0	0	0
LG-44042	Maritimepattu PS		LG	4781	32810	45	2951	0	0	0	0	0
LG-44043	Puthukudiyiruppu PS		LG	261	57155	41	54	0	0	0	0	0
LG-44044	Thunukkai PS		LG	30	10318	0	19	0	0	0	0	0
LG-45031	Karachchi PS		LG	1498	97225	257	326	0	0	0	0	0
LG-45032	Pachchillaipalli PS		LG	0	12681	307	0	0	0	0	0	0
LG-45033	Poonagari PS		LG	17	23117	19	865	0	0	0	0	0
LG-51001	Eravur Pattu PS		LG	0	5109	12	0	44	0	0	0	0
LG-51002	Eravur Pattu PS		LG	11	5111	0	1020	10	0	0	0	0
