region_id	region_name	region_name_in_data	region_ent_type	sinhalese	sri_lanka_tamil	indian_malaiyaga_tamil	sri_lanka_moor_muslim	burgher	malay	sri_lanka_chetty	bharatha	veddha
EC-01	Colombo		ED	1807945	243613	14412	284667	9885	7456	49	338	0
EC-01A	Colombo North		PD	36228	62057	3294	28204	571	315	13	141	0
EC-01B	Colombo Central		PD	32574	35133	1210	92813	822	1323	0	158	0
EC-01C	Borella		PD	38800	14637	454	17263	499	318	10	0	0
EC-01D	Colombo East		PD	46815	26187	752	9631	607	385	0	0	0
EC-01E	Colombo West		PD	20423	21390	983	12842	390	279	0	11	0
EC-01F	Dehiwala		PD	47752	15859	1019	27538	891	290	26	0	0
EC-01G	Ratmalana		PD	64024	9006	798	13283	523	252	0	0	0
EC-01H	Kolonnawa		PD	127854	18285	543	64699	787	1466	0	0	0
EC-01I	Kotte		PD	81556	6689	454	6012	744	319	0	10	0
EC-01J	Kaduwela		PD	267158	5248	188	2572	1108	970	0	18	0
EC-01K	Avissawella		PD	176076	12655	3817	1840	0	13	0	0	0
EC-01L	Homagama		PD	275057	3001	126	919	310	368	0	0	0
EC-01M	Maharagama		PD	188590	3760	357	1721	1075	655	0	0	0
EC-01N	Kesbewa		PD	255180	3869	175	1955	1198	356	0	0	0
EC-01O	Moratuwa		PD	149858	5837	242	3375	360	147	0	0	0
EC-02	Gampaha		ED	2188512	96007	5392	121910	5607	8476	1704	205	0
EC-02A	Wattala		PD	124365	40981	1671	12830	1400	726	33	0	0
EC-02B	Negombo		PD	101250	11799	791	23203	366	86	26	0	0
EC-02C	Katana		PD	218375	13305	986	5201	281	698	1610	12	0
EC-02D	Divulapitiya		PD	155173	1005	61	41	52	0	0	0	0
EC-02E	Mirigama		PD	166648	730	12	8507	0	0	0	135	0
EC-02F	Minuwangoda		PD	190169	873	67	6664	70	75	0	0	0
EC-02G	Attanagalla		PD	167492	1103	168	27478	58	445	0	0	0
EC-02H	Gampaha		PD	203639	879	71	90	91	73	0	0	0
EC-02I	Ja Ela		PD	191159	8687	583	813	2110	881	23	22	0
EC-02J	Mahara		PD	209413	2447	177	6732	430	3183	0	0	0
EC-02K	Dompe		PD	166320	447	13	2377	10	23	0	0	0
EC-02L	Biyagama		PD	186859	3182	289	15748	206	469	0	0	0
EC-02M	Kelaniya		PD	107650	10569	503	12226	533	1817	12	36	0
EC-03	Kalutara		ED	1119086	40060	6467	135756	233	194	0	10	0
EC-03A	Panadura		PD	128909	1037	71	31690	60	141	0	0	0
EC-03B	Bandaragama		PD	187618	1713	224	14909	39	37	0	0	0
EC-03C	Horana		PD	182999	7767	548	40	46	0	0	10	0
EC-03D	Bulathsinhala		PD	100875	8438	2558	2472	0	0	0	0	0
EC-03E	Mathugama		PD	134967	12853	1545	3418	14	0	0	0	0
EC-03F	Kalutara		PD	149874	1814	189	14170	50	0	0	0	0
EC-03G	Beruwala		PD	109942	1782	195	68423	13	16	0	0	0
EC-03H	Agalawatta		PD	123902	4656	1137	634	11	0	0	0	0
EC-04	Kandy		ED	1077219	121452	37373	219175	1124	637	0	0	0
EC-04A	Galagedara		PD	64499	674	37	4416	10	16	0	0	0
EC-04B	Harispattuwa		PD	148522	6530	811	68707	88	0	0	0	0
EC-04C	Pathadumbara		PD	76284	11195	6286	23017	38	64	0	0	0
EC-04D	Ududumbara		PD	76169	1013	722	315	0	0	0	0	0
EC-04E	Teldeniya		PD	48059	10527	900	4796	0	0	0	0	0
EC-04F	Kundasale		PD	117091	15987	2055	8560	169	60	0	0	0
EC-04G	Hewaheta		PD	67517	12328	3157	9207	32	20	0	0	0
EC-04H	Senkadagala		PD	85979	9644	1200	11467	234	88	0	0	0
