region_id	region_name	region_name_in_data	region_ent_type	total	electricity-from_national_grid	electricity-from_rural_hydro_power_project	other-kerosene_lamp	other-solar_power_grid_connected	other-solar_power_standalone	other-bio_gas	other-generator	other-other
LK	Sri Lanka	Sri Lanka	country	6111315	5952365	35220	95150	8093	5817	244	1230	13196
LK-11	Colombo	Colombo District	district	661822	650442	2853	3366	2900	831	58	192	1180
LK-1103	Colombo	Colombo	dsd	72479	71030	290	764	62	4	3	29	297
LK-1106	Kolonnawa	Kolonnawa	dsd	56756	55664	200	428	127	82	5	3	247
LK-1109	Kaduwela	Kaduwela	dsd	80373	78887	514	194	522	155	3	12	86
LK-1112	Homagama	Homagama	dsd	80298	79691	164	220	111	52	6	3	51
LK-1115	Seethawaka	Seethawaka	dsd	34798	34285	46	354	24	17	2	3	67
LK-1118	Padukka	Padukka	dsd	20880	20580	26	191	26	25	1	4	27
LK-1121	Maharagama	Maharagama	dsd	57114	56032	235	111	530	111	3	8	84
LK-1124	Sri Jayawardanapura Kotte	Sri Jayawardanapura Kotte	dsd	28243	27383	221	98	384	93	3	14	47
LK-1127	Thimbirigasyaya	Thimbirigasyaya	dsd	58681	57284	563	364	282	42	6	81	59
LK-1130	Dehiwala	Dehiwala	dsd	25565	25101	269	51	96	9	13	7	19
LK-1131	Ratmalana	Ratmalana	dsd	25358	24963	74	156	99	24	0	12	30
LK-1133	Moratuwa	Moratuwa	dsd	44872	44214	103	212	179	59	3	14	88
LK-1136	Kesbewa	Kesbewa	dsd	76405	75328	148	223	458	158	10	2	78
LK-12	Gampaha	Gampaha District	district	688635	677702	2635	4340	1724	479	50	70	1635
LK-1203	Negombo	Negombo	dsd	36300	35781	114	161	147	39	1	5	52
LK-1206	Katana	Katana	dsd	75514	74314	271	411	218	30	0	8	262
LK-1209	Divulapitiya	Divulapitiya	dsd	45072	44371	114	444	24	20	0	3	96
LK-1212	Mirigama	Mirigama	dsd	49823	48905	219	554	36	19	0	8	82
LK-1215	Minuwangoda	Minuwangoda	dsd	56770	56115	83	340	96	28	2	4	102
LK-1218	Wattala	Wattala	dsd	49300	48375	337	317	119	45	4	2	101
LK-1221	Ja-Ela	- - Ja-Ela	dsd	57689	56471	362	326	157	50	1	12	310
LK-1224	Gampaha	Gampaha	dsd	57859	57061	88	239	339	59	1	4	68
LK-1227	Attanagalla	Attanagalla	dsd	54449	53839	116	345	59	26	0	3	61
LK-1230	Dompe	Dompe	dsd	47551	46656	265	447	20	17	1	4	141
LK-1233	Mahara	Mahara	dsd	61767	60483	325	363	251	59	40	3	243
LK-1236	Kelaniya	Kelaniya	dsd	37231	36600	244	173	132	31	0	6	45
LK-1239	Biyagama	Biyagama	dsd	59310	58731	97	220	126	56	0	8	72
LK-13	Kalutara	Kalutara District	district	352963	347665	1136	2859	582	204	13	26	478
LK-1303	Panadura	Panadura	dsd	49763	49049	188	159	201	49	2	3	112
LK-1306	Bandaragama	Bandaragama	dsd	33568	33146	80	138	119	33	3	2	47
LK-1309	Horana	Horana	dsd	37801	37343	104	214	51	13	2	2	72
LK-1310	Ingiriya	Ingiriya	dsd	16490	16167	82	189	11	7	1	3	30
LK-1312	Bulathsinhala	Bulathsinhala	dsd	18737	18283	62	350	4	9	1	4	24
LK-1315	Madurawala	Madurawala	dsd	10428	10241	16	150	7	3	0	1	10
LK-1318	Millaniya	Millaniya	dsd	15781	15563	31	165	0	1	1	1	19
LK-1321	Kalutara	Kalutara	dsd	44332	43706	245	182	114	42	0	3	40
LK-1324	Beruwala	Beruwala	dsd	42471	41953	119	306	38	16	1	4	34
LK-1327	Dodangoda	Dodangoda	dsd	18667	18371	11	251	12	4	0	1	17
LK-1330	Mathugama	Mathugama	dsd	23503	23245	21	203	12	3	1	0	18
LK-1333	Agalawatta	Agalawatta	dsd	10502	10396	14	77	5	3	0	0	7
LK-1336	Palindanuwara	Palindanuwara	dsd	14996	14627	42	276	3	12	0	1	35
LK-1339	Walallavita	Walallavita	dsd	15924	15575	121	199	5	9	1	1	13
LK-21	Kandy	Kandy District	district	397626	390317	1890	4108	243	235	11	40	782
LK-2103	Thumpane	Thumpane	dsd	10897	10732	6	131	1	4	0	0	23
LK-2106	Pujapitiya	Pujapitiya	dsd	15815	15586	23	180	3	1	0	0	22
LK-2109	Akurana	Akurana	dsd	16371	16023	129	171	9	3	1	1	34
LK-2112	Pathadumbara	Pathadumbara	dsd	25750	25310	127	235	10	4	0	3	61
LK-2115	Panvila	Panvila	dsd	7442	7229	9	178	0	4	0	2	20
LK-2118	Udadumbara	Udadumbara	dsd	6902	6594	177	91	4	22	0	1	13
LK-2121	Minipe	Minipe	dsd	16159	15748	18	283	28	52	0	0	30
LK-2124	Medadumbara	Medadumbara	dsd	18449	18148	12	238	3	11	0	0	37
LK-2127	Kundasale	Kundasale	dsd	40127	39455	107	385	38	18	1	7	116
LK-2130	Kandy Four Gravets & Gangawata Korale	Kandy Four Gravets Gangawata Korale	dsd	40324	39832	150	171	58	30	1	3	79
LK-2133	Harispattuwa	Harispattuwa	dsd	26172	25638	200	240	21	10	0	5	58
LK-2134	Hatharaliyadda	Hatharaliyadda	dsd	8717	8318	254	130	1	7	0	0	7
LK-2136	Yatinuwara	Yatinuwara	dsd	31087	30620	145	221	23	14	1	5	58
LK-2139	Udunuwara	Udunuwara	dsd	31878	31554	34	224	8	9	2	3	44
LK-2142	Doluwa	Doluwa	dsd	14659	14365	31	212	6	9	0	1	35
LK-2145	Pathahewaheta	Pathahewaheta	dsd	16971	16689	9	202	6	8	0	1	56
LK-2148	Deltota	Delthota	dsd	8968	8795	12	130	5	7	1	0	18
LK-2151	Udapalatha	Udapalatha	dsd	27629	26843	355	362	12	11	2	6	38
LK-2154	Ganga Ihala Korale	Ganga Ihala Korale	dsd	15675	15450	20	176	4	3	2	1	19
LK-2157	Pasbage Korale	Pasbage Korale	dsd	17634	17388	72	148	3	8	0	1	14
LK-22	Matale	Matale District	district	151132	147301	1187	2248	61	126	1	15	193
LK-2203	Galewela	Galewela	dsd	22577	21794	382	363	9	7	0	0	22
LK-2206	Dambulla	Dambulla	dsd	23187	22224	496	392	10	27	0	3	35
LK-2209	Naula	Naula	dsd	8979	8776	35	146	2	9	0	3	8
LK-2212	Pallepola	Pallepola	dsd	9201	9034	14	130	6	8	0	0	9
LK-2215	Yatawatta	Yatawatta	dsd	9050	8949	14	69	1	4	0	0	13
LK-2218	Matale	Matale	dsd	22229	21826	142	172	23	20	1	4	41
LK-2221	Ambanganga Korale	Ambanganga Korale	dsd	4732	4590	7	114	2	14	0	0	5
LK-2224	Laggala-Pallegama	- - Laggala-Pallegama	dsd	5093	4905	10	144	4	17	0	1	12
LK-2227	Wilgamuwa	Wilgamuwa	dsd	10043	9736	19	283	0	4	0	0	1
LK-2230	Rattota	Rattota	dsd	15994	15707	16	242	2	9	0	2	16
LK-2233	Ukuwela	Ukuwela	dsd	20047	19760	52	193	2	7	0	2	31
LK-23	Nuwara Eliya	Nuwara Eliya District	district	200261	193566	2494	3524	56	134	15	72	400
LK-2303	Kothmale	Kothmale West	dsd	11632	11339	104	168	0	2	0	1	18
LK-2303	Kothmale	Kothmale East	dsd	17473	17098	27	309	6	14	0	2	17
LK-2306	Hanguranketha	Hanguranketha	dsd	16950	16587	22	270	0	24	0	3	44
LK-2309	Walapane	Walapane	dsd	18241	17740	48	373	4	24	0	2	50
LK-2312	Nuwara Eliya	Nuwara Eliya	dsd	23014	22114	518	318	14	17	0	8	25
LK-2315	Ambagamuwa	Ambagamuwa	dsd	12791	12598	17	151	1	3	0	1	20
LK-23XX	Mathurata	Mathurata	dsd	9768	9519	12	196	2	17	0	3	19
LK-23XX	Nildandahinna	Nildandahinna	dsd	12587	12025	228	298	6	16	0	1	13
LK-23XX	Thalawakele	Thalawakele	dsd	33685	32613	313	617	6	10	7	26	93
LK-23XX	Norwood	Norwood	dsd	44120	41933	1205	824	17	7	8	25	101
LK-31	Galle	Galle District	district	307704	303383	651	2387	359	205	5	29	685
LK-3103	Bentota	Benthota	dsd	13749	13571	28	108	6	3	0	2	31
LK-3106	Balapitiya	Balapitiya	dsd	18886	18601	37	146	7	7	0	0	88
