region_id	region_name	region_name_in_data	region_ent_type	total	electricity-from_national_grid	electricity-from_rural_hydro_power_project	other-kerosene_lamp	other-solar_power_grid_connected	other-solar_power_standalone	other-bio_gas	other-generator	other-other
LK-3109	Karandeniya	Karandeniya	dsd	19870	19553	53	202	2	7	0	1	52
LK-3112	Elpitiya	Elpitiya	dsd	19392	19014	25	289	13	9	0	4	38
LK-3115	Niyagama	Niyagama	dsd	10359	10132	121	87	0	4	1	1	13
LK-3118	Thawalama	Thawalama	dsd	9514	9362	27	87	0	10	1	1	26
LK-3121	Neluwa	Neluwa	dsd	8454	8364	9	51	1	13	0	0	16
LK-3124	Nagoda	Nagoda	dsd	15521	15308	32	160	4	1	0	1	15
LK-3127	Baddegama	Baddegama	dsd	14330	14050	26	147	52	8	1	4	42
LK-3130	Welivitiya-Divithura	-- Welivitiya-Divithura	dsd	8632	8558	11	46	2	0	0	0	15
LK-3133	Ambalangoda	Ambalangoda	dsd	16924	16653	15	98	48	28	0	0	82
LK-3134	Gonapeenuwala	Gonapeenuwala	dsd	6833	6758	8	40	5	8	0	1	13
LK-3136	Hikkaduwa	Hikkaduwa	dsd	7543	7483	5	13	13	11	0	1	17
LK-3139	Galle Four Gravets	Galle Four Gravets	dsd	26475	26203	48	75	84	34	1	0	30
LK-3142	Bope-Poddala	--Bope-Poddala	dsd	15528	15323	23	77	74	16	0	2	13
LK-3145	Akmeemana	Akmeemana	dsd	23603	23312	44	150	16	20	1	3	57
LK-3148	Yakkalamulla	Yakkalamulla	dsd	13407	13211	30	138	4	5	0	0	19
LK-3151	Imaduwa	Imaduwa	dsd	13390	13214	18	125	6	4	0	2	21
LK-3154	Habaraduwa	Habaraduwa	dsd	17263	17035	29	152	7	5	0	3	32
LK-31XX	Wanduramba	Wanduramba	dsd	7997	7891	21	64	1	2	0	2	16
LK-31XX	Madampagama	Madampagama	dsd	9205	9061	34	63	9	4	0	0	34
LK-31XX	Rathgama	Rathgama	dsd	10829	10726	7	69	5	6	0	1	15
LK-32	Matara	Matara District	district	231946	228842	327	1828	269	118	4	19	539
LK-3203	Pitabeddara	Pitabeddara	dsd	14652	14346	14	230	5	11	0	1	45
LK-3206	Kotapola	Kotapola	dsd	17933	17630	24	206	7	14	0	1	51
LK-3209	Pasgoda	Pasgoda	dsd	18253	17834	20	324	4	11	0	1	59
LK-3212	Mulatiyana	Mulatiyana	dsd	14615	14454	27	105	3	2	1	1	22
LK-3215	Athuraliya	Athuraliya	dsd	9066	8965	6	71	1	3	1	1	18
LK-3218	Akuressa	Akuressa	dsd	15137	14943	4	145	4	7	0	1	33
LK-3221	Welipitiya	Welipitiya	dsd	14990	14810	12	107	3	8	0	0	50
LK-3224	Malimbada	Malimbada	dsd	10272	10123	7	86	19	8	0	0	29
LK-3227	Kamburupitiya	Kamburupitiya	dsd	11943	11835	10	62	12	3	0	1	20
LK-3230	Hakmana	Hakmana	dsd	9173	9089	1	70	2	0	0	0	11
LK-3233	Kirinda Puhulwella	Kirinda Puhulwella	dsd	5814	5747	14	46	5	0	0	0	2
LK-3236	Thihagoda	Thihagoda	dsd	9757	9643	10	38	37	3	0	1	25
LK-3239	Weligama	Weligam	dsd	19525	19330	22	117	10	6	1	2	37
LK-3242	Matara Four Gravets	Matara Four Gravets	dsd	32283	31922	51	82	147	29	1	6	45
LK-3245	Devinuwara	Devinuwara	dsd	13351	13231	18	60	7	7	0	1	27
LK-3248	Dickwella	Dickwella	dsd	15182	14940	87	79	3	6	0	2	65
LK-33	Hambantota	Hambantota District	district	188638	183624	476	3057	77	173	2	28	1201
LK-3303	Sooriyawewa	Sooriyawewa	dsd	14431	13912	67	306	3	11	0	3	129
LK-3306	Lunugamvehera	Lunugamwehera	dsd	10415	10013	60	205	4	12	1	0	120
LK-3309	Thissamaharama	Thissamaharama	dsd	21026	20445	60	292	6	41	0	6	176
LK-3312	Hambantota	Hambantota	dsd	18308	17709	31	301	9	53	0	4	201
LK-3315	Ambalantota	Ambalantota	dsd	22415	21880	41	309	18	13	1	4	149
LK-3318	Angunakolapelessa	Angunakolapelessa	dsd	15432	15042	41	271	4	7	0	2	65
LK-3321	Weeraketiya	Weeraketiya	dsd	13671	13343	38	233	4	1	0	0	52
LK-3324	Katuwana	Katuwana	dsd	15160	14663	30	352	2	9	0	3	101
LK-3325	Walasmulla	Walasmulla	dsd	13475	13185	15	235	0	4	0	1	35
LK-3327	Okewela	Okewela	dsd	5687	5567	27	79	1	2	0	0	11
LK-3330	Beliatta	Beliatta	dsd	16586	16318	17	182	10	6	0	4	49
LK-3333	Tangalle	Tangalle	dsd	22032	21547	49	292	16	14	0	1	113
LK-41	Jaffna	Jaffna District	district	159753	154859	958	3466	183	75	3	89	120
LK-4103	Island North (Kayts)	Island North Kayts	dsd	2646	2559	1	82	1	3	0	0	0
LK-4104	Karainagar	Karainagar	dsd	2641	2580	3	57	0	1	0	0	0
LK-4106	Valikamam West (Chankanai)	Valikamam West Chankanai	dsd	11670	11230	41	383	12	0	0	2	2
LK-4109	Valikamam South-West (Sandilipay)	Valikamam South-West Sandilipay	dsd	14196	13804	30	334	7	7	0	2	12
LK-4112	Valikamam North (Tellipallai)	Valikamam North	dsd	12093	11750	21	300	7	6	1	0	8
LK-4115	Valikamam South (Uduvil)	Valikamam South Uduvil	dsd	13268	13001	32	192	28	4	0	3	8
LK-4118	Valikamam East (Kopay)	Valikamam East Kopay	dsd	19812	19010	260	483	24	4	0	6	25
LK-4121	Vadamaradchi South-West (Karaveddy)	Vadamaradchy South-West Karaveddy	dsd	11394	11030	17	284	34	5	1	5	18
LK-4124	Vadamaradchi East	Vadamaradchy East	dsd	4037	3796	7	170	4	3	0	51	6
LK-4127	Vadamaradchi North (Point Pedro)	Vadamaradchy North Point Perdro	dsd	12358	11761	341	225	12	7	0	4	8
LK-4130	Thenmaradchi (Chavakachcheri)	Thenmaradchy Chavakachcheri	dsd	19096	18528	133	392	9	18	1	1	14
LK-4133	Nallur	Nallur	dsd	19063	18800	36	170	36	10	0	10	1
LK-4136	Jaffna	Jaffna	dsd	12148	11951	28	144	7	4	0	5	9
LK-4139	Island South (Velanai)	Island South Velanai	dsd	4434	4191	7	223	2	3	0	0	8
LK-4142	Delft	Delft	dsd	897	868	1	27	0	0	0	0	1
LK-42	Mannar	Mannar District	district	32330	31153	123	940	19	11	5	17	62
LK-4203	Mannar Town	Mannar Town	dsd	14696	14278	59	307	9	2	3	10	28
LK-4206	Manthai West	Manthai West	dsd	5109	4841	12	221	6	2	0	2	25
LK-4209	Madhu	Madhu	dsd	2723	2583	7	128	0	4	1	0	0
LK-4212	Nanattan	Nanattan	dsd	5394	5190	22	163	3	2	1	5	8
LK-4215	Musali	Musali	dsd	4408	4261	23	121	1	1	0	0	1
LK-43	Vavuniya	Vavuniya District	district	48399	46074	892	1292	13	44	3	14	67
LK-4303	Vavuniya North	Vavuniya North	dsd	4318	4061	7	231	0	13	1	0	5
LK-4306	Vavuniya South	Vavuniya South	dsd	4597	4499	13	77	1	4	0	1	2
LK-4309	Vavuniya	Vavuniya	dsd	32363	30699	839	734	11	21	2	13	44
LK-4312	Vengalacheddikulam	Vengalacheddikulam	dsd	7121	6815	33	250	1	6	0	0	16
LK-44	Mullaitivu	Mullaitivu District	district	34786	32905	195	1422	46	113	1	10	94
LK-4403	Thunukkai	Thunukkai	dsd	2860	2756	10	79	4	9	0	0	2
LK-4406	Manthai East	Manthai East	dsd	2182	2084	7	71	3	15	0	1	1
LK-4409	Puthukkudiyiruppu	Puthukudiyiruppu	dsd	10940	10259	94	482	13	14	0	3	75
LK-4412	Oddusuddan	Oddusudan	dsd	5098	4759	29	253	7	36	1	3	10
LK-4415	Maritimepattu	Maritimepattu	dsd	10478	9971	13	439	16	31	0	3	5
LK-4418	Welioya	Welioya	dsd	3228	3076	42	98	3	8	0	0	1
LK-45	Kilinochchi	Kilinochchi District	district	36734	34610	194	1782	23	51	0	26	48
LK-4503	Pachchilaipalli	Pachchilaipalli	dsd	3872	3494	126	237	6	6	0	0	3
LK-4506	Kandavalai	Kandavalai	dsd	6929	6426	29	452	5	7	0	0	10
LK-4509	Karachchi	Karachchi	dsd	19564	18823	26	639	5	26	0	24	21
LK-4512	Poonakary	Poonakary	dsd	6369	5867	13	454	7	12	0	2	14
LK-51	Batticaloa	Batticaloa District	district	170262	158817	2022	8900	139	58	5	42	279
LK-5103	Koralai Pattu North (Vaharai)	Koralai Pattu North Vaharai	dsd	7882	6488	77	1292	5	6	1	1	12
LK-5104	Koralai Pattu Central	Koralai Pattu Central	dsd	8590	8417	20	120	0	2	0	7	24
LK-5106	Koralai Pattu  West (Oddamavadi)	Koralai Pattu West Oddamavadi	dsd	7223	6914	187	91	0	1	0	0	30
LK-5109	Koralai Pattu (Valachchenai)	Koralai Pattu Valachchenai	dsd	8379	7593	177	592	1	4	1	1	10
LK-5110	Koralai Pattu South (Kiran)	Koralai Pattu South Kiran	dsd	8608	7094	215	1276	2	8	0	1	12
LK-5112	Eravur Pattu	Eravur Pattu	dsd	25780	23520	173	2036	6	10	0	6	29
LK-5115	Eravur Town	Eravur Town	dsd	7214	7068	44	90	5	1	0	1	5
LK-5118	Manmunai North	Manmunai North	dsd	26693	26007	102	493	58	7	0	10	16
LK-5121	Manmunai West	Manmunai West	dsd	9722	8615	68	1021	1	3	2	4	8
LK-5124	Kattankudy	Kattankudy	dsd	13189	12912	59	116	47	3	1	5	46
LK-5127	Manmunai Pattu (Araipattai)	Manmunai Pattu Araipattai	dsd	10433	10124	23	251	8	10	0	3	14
LK-5130	Manmunai South-West	Manmunai South-West	dsd	7767	6976	282	483	2	1	0	2	21
LK-5133	Porativu Pattu	Poratheevu Pattu	dsd	11467	10620	152	649	0	1	0	1	44
LK-5136	Manmunai South & Eruvil pattu	Manmunai South Eruvil Pattu	dsd	17315	16469	443	390	4	1	0	0	8
LK-52	Ampara	Ampara District	district	207007	199869	576	5539	194	124	5	36	664
LK-5203	Dehiattakandiya	Dehiattakandiya	dsd	18627	18237	30	304	6	8	0	0	42
LK-5206	Padiyathalawa	Padiyathalawa	dsd	6269	5815	6	411	2	11	0	2	22
LK-5209	Mahaoya	Mahaoya	dsd	6978	6454	8	468	6	9	0	0	33
LK-5212	Uhana	Uhana	dsd	17399	16890	37	364	7	25	0	0	76
LK-5215	Ampara	Ampara	dsd	13241	12995	11	201	6	6	0	1	21
LK-5216	Navithanveli	Navithanveli	dsd	6394	6074	19	294	0	1	0	0	6
LK-5218	Samanthurai	Samanthurai	dsd	19719	19188	25	246	11	5	1	4	239
LK-5221	Kalmunai Tamil Division	Kalmunai Tamil Division	dsd	8960	8667	17	258	8	1	1	2	6
LK-5224	Kalmunai	Kalmunai	dsd	14065	13828	41	126	53	1	0	6	10
LK-5225	Sainthamaruthu	Sainthamarathu	dsd	8920	8815	12	69	11	2	0	4	7
LK-5227	Karaitheevu	Karaitheevu	dsd	5347	5214	13	117	3	0	0	0	0
LK-5230	Ninthavur	Ninthavur	dsd	8884	8652	6	141	55	0	0	0	30
LK-5233	Addalachchenai	Addalachchenai	dsd	13503	12952	147	342	8	10	2	2	40
LK-5234	Irakkamam	Irakkamam	dsd	4674	4480	14	149	3	26	0	1	1
LK-5236	Akkaraipattu	Akkaraipattu	dsd	12300	11989	97	192	4	0	1	2	15
LK-5239	Alayadiwembu	Alayadiwembu	dsd	7104	6702	11	383	0	1	0	2	5
LK-5242	Damana	Damana	dsd	11501	11158	29	231	3	5	0	1	74
LK-5245	Thirukkovil	Thirukkovil	dsd	8369	7816	28	518	5	1	0	0	1
LK-5248	Pothuvil	Pothuvil	dsd	11850	11161	23	617	2	9	0	3	35
LK-5251	Lahugala	Lahugala	dsd	2903	2782	2	108	1	3	0	6	1
LK-53	Trincomalee	Trincomalee District	district	121948	115970	1766	3603	60	31	7	24	487
LK-5303	Padavi Sri Pura	Padavisiripura	dsd	3439	3373	9	54	0	2	0	0	1
LK-5306	Kuchchaveli	Kuchchaveli	dsd	11313	10876	98	309	4	0	0	2	24
LK-5309	Gomarankadawala	Gomarankadawala	dsd	2467	2184	187	94	1	1	0	0	0
LK-5312	Morawewa	Morawewa	dsd	2752	2657	15	74	1	1	0	0	4
LK-5315	Trincomalee Town and Gravets	Trincomalee Town and Gravets	dsd	27668	26638	527	429	11	8	0	7	48
LK-5318	Thambalagamuwa	Thambalagamuwa	dsd	9505	8999	152	301	4	3	0	2	44
LK-5321	Kanthale	Kanthale	dsd	14499	13889	249	266	4	3	1	0	87
LK-5324	Kinniya	Kinniya	dsd	22139	21092	110	764	20	3	1	8	141
LK-5327	Muttur	Muttur	dsd	19502	18222	356	845	9	5	4	2	59
LK-5330	Seruvila	Seruvila	dsd	4704	4521	7	147	2	3	1	0	23
LK-5333	Verugal (Eachchilampattu)	Verugal Eachchilampattu	dsd	3960	3519	56	320	4	2	0	3	56
LK-61	Kurunegala	Kurunegala District	district	511166	497186	4113	8332	313	509	4	37	672
LK-6103	Giribawa	Giribawa	dsd	10522	10030	175	271	11	22	0	1	12
LK-6106	Galgamuwa	Galgamuwa	dsd	18036	17562	61	379	7	13	0	4	10
LK-6109	Ehetuwewa	Ehetuwewa	dsd	8250	7654	383	182	1	15	0	0	15
LK-6112	Ambanpola	Ambanpola	dsd	7875	7534	165	158	3	11	0	1	3
LK-6115	Kotavehera	Kotavehera	dsd	7015	6834	6	148	0	18	0	1	8
LK-6118	Rasnayakapura	Rasnayakapura	dsd	7288	7073	12	177	5	11	0	0	10
LK-6121	Nikaweratiya	Nikaweratiya	dsd	12902	12568	17	271	6	18	0	1	21
LK-6124	Maho	Maho	dsd	19116	18496	155	399	14	30	0	1	21
LK-6127	Polpithigama	Polpithigama	dsd	25632	24450	498	602	9	33	0	1	39
LK-6130	Ibbagamuwa	Ibbagamuwa	dsd	26951	26347	126	394	9	29	0	3	43
LK-6133	Ganewatta	Ganewatta	dsd	13001	12529	172	248	14	29	0	1	8
LK-6136	Wariyapola	Wariyapola	dsd	19732	19297	85	300	4	20	1	1	24
LK-6139	Kobeigane	Kobeigane	dsd	11781	11507	29	226	3	10	0	0	6
LK-6142	Bingiriya	Bingiriya	dsd	19719	19264	36	371	3	15	0	3	27
LK-6145	Panduwasnuwara West	Panduwasnuwara West	dsd	20301	19736	224	301	7	11	0	1	21
LK-6148	Panduwasnuwara East	Panduwasnuwara East	dsd	9431	9216	29	153	3	6	0	0	24
LK-6149	Bamunakotuwa	Bamunakotuwa	dsd	11706	11411	20	238	5	13	0	0	19
LK-6151	Maspotha	Maspotha	dsd	12160	11892	25	160	48	17	0	0	18
LK-6154	Kurunegala	Kurunegala	dsd	24041	23430	241	242	52	36	0	5	35
LK-6157	Mallawapitiya	Mallawapitiya	dsd	16688	16037	311	268	17	24	2	0	29
LK-6160	Mawathagama	Mawathagama	dsd	19952	19594	58	235	5	15	0	1	44
LK-6163	Rideegama	Rideegama	dsd	27230	26600	188	387	12	14	0	2	27
LK-6166	Weerambugedara	Weerambugedara	dsd	10844	10698	17	108	5	9	0	1	6
LK-6169	Kuliyapitiya East	Kuliyapitiya East	dsd	16540	15757	501	254	3	4	1	1	19
LK-6172	Kuliyapitiya West	Kuliyapitiya West	dsd	24195	23747	52	310	25	21	0	2	38
LK-6175	Udubaddawa	Udubaddawa	dsd	15885	15528	157	159	9	8	0	0	24
LK-6178	Pannala	Pannala	dsd	39034	38335	126	491	19	23	0	3	37
LK-6181	Narammala	Narammala	dsd	17076	16563	185	273	9	9	0	2	35
LK-6184	Alawwa	Alawwa	dsd	19107	18608	39	411	5	14	0	0	30
LK-6187	Polgahawela	Polgahawela	dsd	19156	18889	20	216	0	11	0	1	19
LK-62	Puttalam	Puttalam District	district	234027	224812	2949	4800	240	743	24	127	332
LK-6203	Kalpitiya	Kalpitiya	dsd	24668	22941	180	1054	27	312	12	105	37
LK-6206	Vanathawilluwa	Vanathawilluwa	dsd	5910	5459	45	345	8	43	3	3	4
LK-6209	Karuwalagaswewa	Karuwalagaswewa	dsd	8024	7675	43	265	10	19	0	1	11
LK-6212	Nawagattegama	Nawagattegama	dsd	5301	4697	385	187	6	13	0	0	13
LK-6215	Puttalam	Puttalam	dsd	24122	23288	249	471	9	31	1	1	72
LK-6218	Mundel	Mundel	dsd	19115	18236	285	536	9	12	0	5	32
LK-6221	Mahakumbukkadawala	Mahakumbukkadawala	dsd	6644	5959	324	289	4	60	1	0	7
LK-6224	Anamaduwa	Anamaduwa	dsd	12975	12473	114	333	9	34	1	0	11
LK-6227	Pallama	Pallama	dsd	8296	7798	229	233	1	9	1	1	24
LK-6230	Arachchikattuwa	Arachchikattuwa	dsd	12708	12482	15	178	4	12	2	2	13
LK-6233	Chilaw	Chilaw	dsd	18730	18430	68	189	10	4	1	1	27
LK-6236	Madampe	Madampe	dsd	14719	14216	351	130	10	4	0	2	6
LK-6239	Mahawewa	Mahawewa	dsd	14718	14531	28	106	38	10	0	2	3
LK-6242	Nattandiya	Nattandiya	dsd	19335	18763	74	259	33	171	1	4	30
LK-6245	Wennappuwa	Wennappuwa	dsd	19939	19571	188	92	56	7	1	0	24
LK-6248	Dankotuwa	Dankotuwa	dsd	18823	18293	371	133	6	2	0	0	18
LK-71	Anuradhapura	Anuradhapura District	district	275084	266306	1936	5908	128	312	8	19	467
LK-7103	Padaviya	Padaviya	dsd	7211	7058	13	126	2	10	0	0	2
LK-7106	Kebithigollewa	Kebithigollewa	dsd	7702	7355	156	167	5	6	1	1	11
LK-7109	Medawachchiya	Medawachchiya	dsd	15346	14594	268	436	1	15	0	1	31
LK-7112	Mahawilachchiya	Mahawilachchiya	dsd	7134	6593	138	374	6	17	0	0	6
LK-7115	Nuwaragam Palatha Central	Nuwaragam Palatha Central	dsd	20154	19547	88	442	16	30	1	3	27
LK-7118	Rambewa	Rambewa	dsd	11600	11235	34	291	4	23	0	1	12
LK-7121	Kahatagasdigiliya	Kahatagasdigiliya	dsd	12872	12377	103	368	3	11	0	0	10
LK-7124	Horowpothana	Horowpothana	dsd	11339	10990	17	268	4	28	2	2	28
LK-7127	Galenbindunuwewa	Galenbindunuwewa	dsd	14458	13928	239	263	6	12	0	0	10
LK-7130	Mihinthale	Mihinthale	dsd	11525	11206	36	250	5	9	0	0	19
LK-7133	Nuwaragam Palatha East	Nuwaragam Palatha East	dsd	21502	21077	117	222	30	17	0	4	35
LK-7136	Nachchaduwa	Nachchaduwa	dsd	8275	8011	25	216	4	5	0	0	14
LK-7139	Nochchiyagama	Nochchiyagama	dsd	16092	15520	210	296	5	18	1	2	40
LK-7142	Rajanganaya	Rajanganaya	dsd	10734	10487	15	197	0	16	0	0	19
LK-7145	Thambuttegama	Thambuttegama	dsd	13432	13120	50	207	2	3	0	1	49
LK-7148	Thalawa	Thalawa	dsd	17953	17476	104	330	6	14	1	0	22
LK-7151	Thirappane	Thirappane	dsd	9054	8735	16	253	4	22	0	0	24
LK-7154	Kekirawa	Kekirawa	dsd	18302	17886	60	302	5	15	0	2	32
LK-7157	Palugaswewa	Palugaswewa	dsd	5239	5043	11	162	1	9	1	0	12
LK-7160	Ipalogama	Ipalogama	dsd	12501	12007	198	268	3	7	0	1	17
LK-7163	Galnewa	Galnewa	dsd	11490	11266	8	175	4	14	1	0	22
LK-7166	Palagala	Palagala	dsd	11169	10795	30	295	12	11	0	1	25
LK-72	Polonnaruwa	Polonnaruwa District	district	127385	123989	340	2586	78	128	4	12	248
LK-7203	Hingurakgoda	Hingurakgoda	dsd	20319	19873	40	344	26	11	0	1	24
LK-7206	Medirigiriya	Medirigiriya	dsd	20599	20077	91	338	6	25	0	1	61
