region_id	region_name	region_name_in_data	region_ent_type	bricks	cement_block	granite_cube_stones	cabook	pressed_soil_bricks	warichchi_mud	cadjan_palmyrah	planks_metal_sheets_asbestos	zink_aluminium_sheets	other	not_relevant
EC-10J	Jaffna		PD	181	11100	18	5	15	37	3	148	9	0	6
EC-10K	Kilinochchi		PD	445	34759	31	1	147	168	267	531	124	0	11
EC-11	Vanni		ED	14490	95896	83	18	384	587	692	1654	303	8	63
EC-11A	Mannar		PD	760	30254	18	3	23	41	436	388	59	4	19
EC-11B	Vavuniya		PD	10861	35614	45	13	217	377	56	492	145	1	4
EC-11C	Mullaitivu		PD	2868	29970	20	2	144	169	200	774	99	3	40
EC-12	Batticaloa		ED	129053	28562	152	82	208	505	1550	5844	963	8	223
EC-12A	Kalkudah		PD	32475	14364	22	6	20	95	1175	2346	334	2	119
EC-12B	Batticaloa		PD	64131	11198	101	68	130	260	260	2865	467	4	64
EC-12C	Paddiruppu		PD	31674	2845	28	7	58	150	114	616	161	2	40
EC-13	Digamadulla		ED	161796	34437	246	114	969	3303	292	1253	338	30	83
EC-13A	Ampara		PD	58696	5914	23	22	699	2679	4	184	19	26	4
EC-13B	Samanthurai		PD	30420	6118	26	0	63	49	15	219	84	1	3
EC-13C	Kalmunai		PD	27206	2505	7	0	9	5	7	183	34	0	4
EC-13D	Pothuvil		PD	45474	19900	190	92	198	570	266	667	201	3	72
EC-14	Trincomalee		ED	70785	45256	84	21	298	696	464	1331	298	6	112
EC-14A	Seruvila		PD	23124	7854	33	6	116	351	152	258	80	5	11
EC-14B	Trincomalee		PD	9198	28748	39	2	107	113	97	424	103	0	34
EC-14C	Muttur		PD	38463	8654	12	13	75	232	215	649	115	1	67
EC-15	Kurunegala		ED	445527	48013	506	242	4455	5643	163	2066	167	89	38
EC-15A	Galgamuwa		PD	38882	2380	28	10	158	416	9	64	11	1	3
EC-15B	Nikaweratiya		PD	36445	1596	8	10	111	260	18	89	13	6	0
EC-15C	Yapahuwa		PD	42886	2115	27	9	244	969	27	98	10	10	4
EC-15D	Hiriyala		PD	35970	2503	17	5	280	773	12	79	7	8	5
EC-15E	Wariyapola		PD	29487	1163	10	6	143	308	9	91	14	12	2
EC-15F	Panduwasnuwara		PD	27758	1332	11	3	181	135	10	164	12	3	2
EC-15G	Bingiriya		PD	29729	4574	10	32	540	210	43	319	19	10	2
EC-15H	Katugampola		PD	28124	9375	24	55	589	301	10	350	11	9	5
EC-15I	Kuliyapitiya		PD	35456	4124	13	25	399	239	11	192	7	9	1
EC-15J	Dambadeniya		PD	29626	4839	30	19	679	572	9	243	17	11	1
EC-15K	Polgahawela		PD	25144	3841	78	6	184	306	1	98	12	2	2
EC-15L	Kurunegala		PD	31692	3565	44	22	171	249	0	131	16	2	4
EC-15M	Mawathagama		PD	30657	4498	54	29	495	360	0	81	13	5	4
EC-15N	Dodangaslanda		PD	23671	2108	152	11	281	545	4	67	5	1	3
EC-16	Puttalam		ED	149525	70656	219	123	1071	1459	3277	4797	270	25	72
EC-16A	Puttalam		PD	22804	37829	80	5	226	405	2581	1690	183	5	26
EC-16B	Anamaduwa		PD	40480	4849	23	22	330	840	396	528	55	8	10
EC-16C	Chilaw		PD	34214	9652	15	35	189	110	243	1301	12	3	7
EC-16D	Nattandiya		PD	23858	8649	89	45	138	59	47	977	12	2	6
EC-16E	Wennappuwa		PD	28169	9677	12	16	188	45	10	301	8	7	23
EC-17	Anuradhapura		ED	222041	43652	138	76	1308	3614	36	407	77	42	17
EC-17A	Medawachchiya		PD	30045	6077	17	15	239	776	4	77	8	6	1
EC-17B	Horowpothana		PD	29104	4029	14	11	211	337	3	38	9	4	4
EC-17C	Anuradhapura East		PD	35686	8050	49	7	131	249	5	80	10	13	5
EC-17D	Anuradhapura West		PD	34478	8838	12	11	245	762	9	59	21	9	2
EC-17E	Kalawewa		PD	42624	6771	10	13	217	522	13	58	11	5	4
EC-17F	Mihinthale		PD	22030	4392	17	4	124	368	2	47	10	3	0
EC-17G	Kekirawa		PD	28074	5495	19	15	141	600	0	48	8	2	1
EC-18	Polonnaruwa		ED	113818	10070	100	32	628	1493	21	260	46	6	8
EC-18A	Minneriya		PD	30408	2938	28	4	228	518	4	42	11	4	3
EC-18B	Medirigiriya		PD	29617	1793	22	14	115	266	5	34	7	1	0
EC-18C	Polonnaruwa		PD	53793	5339	50	14	285	709	12	184	28	1	5
EC-19	Badulla		ED	100196	89826	10906	2024	32714	2689	12	772	96	165	17
EC-19A	Mahiyanganaya		PD	37053	3768	37	8	555	893	1	77	10	18	4
EC-19B	Viyaluwa		PD	13927	3101	781	10	2480	223	1	55	5	4	0
EC-19C	Passara		PD	5946	9605	3275	313	2962	227	1	36	12	5	3
EC-19D	Badulla		PD	6510	12221	633	64	1959	83	0	45	6	6	1
EC-19E	Hali Ela		PD	6995	12861	623	262	4967	97	1	84	12	43	0
EC-19F	Uva Paranagama		PD	8007	7245	554	77	6464	110	2	95	10	40	1
EC-19G	Welimada		PD	7704	13276	737	406	6084	259	2	156	18	22	4
EC-19H	Bandarawela		PD	8226	15325	1472	602	5118	141	1	117	8	14	1
EC-19I	Haputale		PD	5828	12424	2794	282	2125	656	3	107	15	13	3
EC-20	Moneragala		ED	114868	24390	588	289	4180	5928	26	317	39	89	14
EC-20A	Bibile		PD	30781	2955	141	36	1067	1173	4	63	14	35	1
EC-20B	Monaragala		PD	33210	8735	399	109	1666	2631	14	80	8	34	5
EC-20C	Wellawaya		PD	50877	12700	48	144	1447	2124	8	174	17	20	8
EC-21	Ratnapura		ED	76597	212648	11625	2766	7159	12429	24	1440	47	102	16
EC-21A	Eheliyagoda		PD	1648	31513	1231	962	454	547	3	152	5	24	1
EC-21B	Ratnapura		PD	3451	39783	1235	292	451	1022	2	281	6	6	0
EC-21C	Pelmadulla		PD	4266	24104	2058	298	792	1342	1	164	5	8	9
EC-21D	Balangoda		PD	7571	29956	2064	542	1520	1374	1	147	7	10	4
EC-21E	Rakwana		PD	13736	21621	1012	277	1389	3127	6	100	5	12	1
EC-21F	Nivithigala		PD	3513	25585	2039	178	1013	1326	3	92	1	10	0
EC-21G	Kalawana		PD	997	25079	1410	159	487	1399	2	407	4	25	1
EC-21H	Kolonna		PD	41415	15007	576	58	1053	2292	6	97	14	7	0
EC-22	Kegalle		ED	105322	116372	8490	1469	5516	3244	18	1469	37	64	26
EC-22A	Dedigama		PD	15488	13602	810	149	1317	704	3	97	4	12	5
EC-22B	Galigamuwa		PD	13700	8023	1263	81	547	346	4	60	2	5	1
EC-22C	Kegalle		PD	14114	9974	1295	21	691	313	0	111	4	5	4
EC-22D	Rambukkana		PD	19218	4480	135	11	344	294	2	109	4	4	0
EC-22E	Mawanella		PD	24545	7440	259	32	333	334	0	57	2	2	5
EC-22F	Aranayaka		PD	14253	4123	665	7	332	349	2	75	4	0	1
EC-22G	Yatiyanthota		PD	1759	22220	1930	157	735	244	0	287	3	14	2
EC-22H	Ruwanwella		PD	1257	24466	850	650	657	294	4	243	6	14	5
EC-22I	Deraniyagala		PD	988	22044	1283	361	560	366	3	430	8	8	3
LG-11011	Colombo MC		LG	39642	87368	620	853	31	39	33	599	14	8	37
LG-11012	Dehiwala Mount Lavinia MC		LG	20233	28761	143	542	45	22	10	614	12	1	4
LG-11013	Moratuwa MC		LG	15107	24972	70	1916	31	27	3	1835	14	5	5
LG-11014	Sri Jayawardanapura Kotte MC		LG	12818	14131	81	441	25	16	4	311	0	3	3
LG-11015	Kaduwela MC		LG	18998	58869	233	1133	238	72	1	165	27	3	3
LG-11021	Kolonnawa UC		LG	3728	10947	92	70	8	4	3	551	5	0	58
LG-11022	Seethawakapura UC		LG	569	7892	23	390	19	20	1	113	3	6	1
LG-11023	Maharagama UC		LG	17936	36534	159	1380	265	84	0	163	18	2	9
LG-11024	Kesbewa UC		LG	12322	42527	127	2886	157	81	1	152	13	2	6
LG-11025	Boralesgamuwa UC		LG	5254	11159	24	539	63	19	0	27	7	1	1
LG-11031	Homagama PS		LG	9432	71441	440	2844	328	123	0	115	12	10	30
LG-11033	Kotikawatta-Mullariyawa PS		LG	7573	32386	107	140	114	23	1	269	14	1	6
LG-11034	Seethawaka PS		LG	2539	35422	572	1854	273	145	0	195	12	14	4
LG-12011	Negombo MC		LG	26036	9872	97	49	80	9	8	235	7	4	0
LG-12012	Gampaha MC		LG	7991	9192	20	140	273	151	0	28	5	1	1
LG-12022	Ja- Ela UC		LG	4284	4150	29	158	11	8	1	94	2	0	0
LG-12023	Katunayaka- Seeduwa UC/Katana PS		LG	7728	11341	19	7	29	2	1	58	2	1	1
LG-12024	Minuwangoda UC		LG	930	987	5	11	32	14	0	3	0	0	0
LG-12025	Peliyagoda UC		LG	1657	4868	6	36	3	5	0	422	3	1	2
LG-12026	Wattala - Mabola UC		LG	2994	4086	16	54	8	9	0	108	3	1	0
LG-12031	Attanagalla PS		LG	14440	36681	155	386	1118	1060	2	158	26	9	2
LG-12032	Biyagama PS		LG	11270	45202	148	1136	607	212	1	93	12	0	4
LG-12033	Divulapitiya PS		LG	22964	20549	64	90	417	397	10	318	8	5	8
LG-12034	Dompe PS		LG	4621	38116	302	3062	638	419	1	116	9	11	2
LG-12035	Gampaha PS		LG	10534	26363	62	921	1071	758	1	43	8	3	2
LG-12036	Ja- Ela PS		LG	19137	27234	126	1112	344	213	0	235	13	5	3
LG-12037	Katana PS		LG	29654	24770	58	35	116	76	8	451	5	6	2
LG-12038	Kelaniya PS		LG	9962	18845	49	327	93	65	0	328	7	5	8
LG-12039	Mahara PS		LG	15358	42362	359	1640	1016	468	7	141	14	7	4
LG-12040	Minuwangoda PS		LG	17863	33403	52	439	1300	1096	5	126	10	7	4
LG-12041	Mirigama PS		LG	13020	32800	129	176	1582	1529	0	277	12	12	3
LG-12042	Wattala PS		LG	16120	23309	152	474	144	54	2	1205	33	3	12
LG-13011	Kalutara MC		LG	5183	11168	108	1151	90	36	1	69	6	2	3
LG-13021	Beruwala UC		LG	1903	5768	29	249	13	1	0	73	0	0	1
LG-13022	Horana UC/Horana PS		LG	417	1897	7	208	6	61	0	7	0	1	1
LG-13024	Panadura UC/Panadura PS		LG	2985	5346	35	715	11	3	0	44	1	0	4
LG-13031	Agalawatta PS		LG	790	7973	263	299	976	89	0	30	2	2	1
LG-13032	Bandaragama PS		LG	3218	25203	58	4309	104	60	2	167	12	1	4
LG-13033	Beruwala PS		LG	5343	25054	73	2195	507	221	3	368	9	5	4
LG-13034	Bulathsinhala PS		LG	573	16314	646	386	331	239	1	167	3	6	3
LG-13035	Dodangoda PS		LG	1380	14844	435	1262	297	209	0	85	3	4	6
LG-13036	Horana PS		LG	2999	43498	652	3516	182	158	5	217	16	19	4
LG-13037	Kalutara PS		LG	3965	19129	28	2363	81	97	2	224	8	5	3
LG-13038	Mathugama PS		LG	1460	19666	398	747	785	194	2	57	2	13	2
LG-13039	Panadura PS		LG	8709	28716	72	1918	50	48	0	526	7	3	5
LG-13040	Walallawita PS		LG	697	13167	289	356	945	302	0	48	0	5	0
LG-13041	Madurawala PS		LG	603	8419	297	826	84	62	0	66	3	1	1
LG-13042	Palindanuwara PS		LG	343	12587	338	377	651	392	0	219	2	8	1
LG-13043	Millaniya PS		LG	916	11905	201	2283	103	86	2	130	3	17	2
LG-21011	Kandy MC/ Pathadumbara PS		LG	13902	12259	178	71	214	85	0	52	6	1	3
LG-21021	Gampola UC		LG	1965	8547	124	24	151	22	0	33	2	0	1
LG-21022	Kadugannawa UC/Yatinuwara PS		LG	2081	3347	34	6	67	13	0	25	0	0	0
LG-21023	Nawalapitiya UC/Pasbage Korale PS		LG	606	5636	165	60	24	15	0	12	0	0	0
LG-21024	Wattegama UC/ Pathadumbara PS		LG	2950	1420	18	4	78	47	1	18	2	1	1
LG-21025	Medadumbara PS		LG	15	69	29	0	3	3	0	0	0	0	0
LG-21031	Akurana PS		LG	11081	4038	78	6	162	148	0	48	1	1	1
LG-21032	Ganga Ihala Korale		LG	1672	11542	1591	78	397	199	0	40	6	0	0
LG-21033	Harispattuwa PS		LG	11467	13201	80	19	392	190	1	46	4	0	8
LG-21034	Kandy Four Graverts &Gangawata Korale PS		LG	4634	9472	198	22	234	74	0	25	3	1	0
LG-21035	Medadumbara PS		LG	17698	19924	304	56	952	386	1	85	14	5	5
LG-21036	Medadumbara PS		LG	5375	8655	1810	38	1298	438	0	41	8	2	0
LG-21037	Minipe PS		LG	14269	1266	85	8	169	135	1	17	2	0	0
LG-21038	Panvila PS		LG	1097	4080	1491	17	385	121	0	11	0	1	0
LG-21039	Pasbage Korale PS		LG	442	8524	1553	30	96	61	0	40	7	1	0
LG-21040	Pathadumbara PS		LG	13365	5539	56	9	420	147	0	34	3	0	0
LG-21041	Pathhewaheta PS		LG	3732	16159	3941	54	1094	304	1	45	6	4	3
LG-21042	Pujapitiya PS		LG	10157	4515	271	7	411	195	0	48	4	2	0
LG-21043	Thumpane PS		LG	14256	4188	139	6	350	398	0	65	5	1	2
LG-21044	Udadumbara PS		LG	2803	1840	1630	16	293	126	1	7	2	2	0
LG-21045	Udapalatha PS		LG	2553	23526	3052	93	530	373	1	97	12	5	4
LG-21046	Udunuwara PS		LG	10352	19569	449	28	618	164	1	96	4	2	1
LG-21047	Yatinuwara PS		LG	7734	15892	576	37	576	191	0	70	4	4	2
LG-22011	Matale MC/ Matale PS		LG	9378	2772	40	7	100	88	2	22	6	1	3
LG-22012	Dambulla MC		LG	3778	3494	7	3	64	83	3	12	6	1	0
LG-22031	Ambanganga Korale PS		LG	2675	1331	204	0	342	119	0	9	1	1	0
LG-22032	Dambulla PS		LG	10746	4063	9	4	158	419	1	35	4	3	1
LG-22033	Galewela PS		LG	18576	2820	14	4	210	476	2	38	7	6	1
LG-22034	Laggala-Pallegama PS		LG	3700	781	292	1	51	192	0	24	4	0	1
LG-22035	Matale PS		LG	7112	2540	72	18	175	176	0	24	4	4	0
LG-22036	Naula PS		LG	7309	1118	22	5	100	244	0	27	7	2	0
LG-22037	Pallepola PS		LG	7133	1536	28	1	217	145	0	7	0	2	0
LG-22038	Rattota PS		LG	8376	4265	1364	56	1178	321	0	24	4	2	4
LG-22039	Ukuwela PS		LG	12755	4367	664	33	633	302	2	73	5	2	2
LG-22040	Wilgamuwa PS		LG	8793	630	11	0	55	144	0	9	1	0	0
LG-22041	Yatawatta PS		LG	6980	1440	111	37	164	137	1	13	3	0	0
LG-23011	Nuwara Eliya MC/ Nuwara Eliya PS		LG	1457	5032	186	33	133	13	1	601	14	1	2
LG-23021	Hatton - Dickoya UC/ Ambagamuwa PS		LG	140	6305	216	3	32	11	0	28	4	0	1
LG-23022	Thalawakale-Lindula UC/ Kotagala PS		LG	262	4953	616	8	51	19	0	15	2	2	2
LG-23031	Ambagamuwa PS		LG	571	14287	2764	27	179	173	2	179	10	8	0
LG-23032	Hanguranketha PS		LG	5110	12986	6189	78	1216	285	2	55	4	5	2
LG-23033	Kothmale PS		LG	1097	20520	4998	47	606	354	0	306	14	24	6
LG-23034	Nuwara Eliya PS		LG	2493	9068	1399	342	285	48	5	409	81	10	4
LG-23035	Walapane PS		LG	8337	12955	2668	57	5341	304	2	205	29	27	4
LG-23036	Maskeliya PS		LG	191	10381	1852	90	90	82	2	135	11	0	5
LG-23037	Noorwood PS		LG	394	12436	3247	65	289	205	0	37	8	7	9
LG-23038	Agarapathana PS		LG	760	11666	2881	287	175	239	2	44	2	3	11
LG-23039	Kotagala PS		LG	525	8659	1315	30	350	70	0	32	6	1	1
LG-31011	Galle MC		LG	10037	11046	86	392	120	24	1	178	5	1	3
LG-31021	Ambalangoda UC		LG	1827	3301	31	15	158	71	0	26	0	0	0
LG-31022	Hikkaduwa UC		LG	2021	4515	127	98	430	122	0	70	0	3	0
LG-31031	Akmeemana PS		LG	6560	15434	128	590	203	215	2	232	6	9	2
LG-31032	Ambalangoda PS		LG	4304	12703	25	18	634	365	1	65	1	2	0
LG-31033	Baddegama PS		LG	9062	11747	227	226	372	250	0	236	5	5	1
LG-31034	Balapitiya PS		LG	3510	13604	82	120	1040	260	0	65	2	9	0
LG-31035	Benthota PS		LG	2605	8574	38	498	1644	236	1	62	1	2	0
LG-31036	Bope_Poddala PS		LG	5999	12979	112	245	210	66	0	100	7	1	5
LG-31037	Elpitiya PS		LG	4530	13647	210	121	534	227	2	33	4	2	0
LG-31038	Habaraduwa PS		LG	5134	10895	97	466	166	98	1	134	4	2	2
LG-31039	Rajgama PS		LG	5260	13854	82	57	370	158	1	106	3	3	0
LG-31040	Karandeniya PS		LG	3890	15001	49	17	540	295	0	24	2	2	3
LG-31041	Nagoda PS		LG	6179	8291	145	239	240	246	1	103	0	1	0
LG-31042	Neluwa PS		LG	2158	5433	105	261	223	150	0	98	0	1	0
LG-31043	Niyagama PS		LG	3794	6131	94	61	104	121	0	23	0	1	1
LG-31044	Thawalama PS		LG	1240	7177	118	227	302	269	0	133	0	2	0
LG-31045	Yakkalamulla PS		LG	5848	6548	56	385	172	202	1	112	2	1	1
LG-31046	Imaduwa PS		LG	3244	9028	103	621	161	112	0	62	5	3	2
LG-31047	Welivitiya_Divithura PS		LG	2119	6131	73	24	130	94	0	25	0	1	0
LG-32011	Matara MC		LG	16295	4493	57	128	73	11	0	138	6	0	2
LG-32021	Weligama UC		LG	3191	1437	8	158	53	9	0	61	0	0	2
LG-32031	Akuressa PS		LG	4459	9254	183	582	308	189	0	89	0	0	1
LG-32032	Devinuwara PS		LG	6664	5360	124	156	619	98	0	72	1	3	1
LG-32033	Dickwella PS		LG	11100	3307	34	66	285	227	0	47	1	5	1
LG-32034	Hakmana PS		LG	7242	1274	44	68	122	364	0	13	0	0	0
LG-32035	Kamburupitiya PS		LG	14057	5956	108	604	499	201	1	55	7	2	5
LG-32036	Kotapola PS		LG	3345	12695	371	338	344	464	0	165	7	5	0
LG-32037	Malimbada PS		LG	3236	5802	94	756	218	68	0	26	3	2	1
LG-32038	Matara PS		LG	6417	3747	81	223	337	36	0	31	4	1	0
LG-32039	Mulatiyana PS		LG	11382	2090	173	394	283	206	0	19	2	1	0
LG-32040	Pasgoda PS		LG	8833	7053	535	518	507	571	3	116	1	0	2
LG-32042	Weligama PS		LG	13795	13015	176	1283	488	138	0	243	3	3	0
LG-32043	Pitadeddara PS		LG	5461	7553	252	347	375	368	1	240	6	3	0
LG-32044	Athuraliya PS		LG	3575	4716	57	302	199	110	0	59	1	1	0
LG-32045	Kirinda Puhulwella PS		LG	4189	1179	54	53	115	183	0	4	1	0	0
LG-33011	Hambantota MC		LG	4763	2183	5	0	37	43	0	13	4	0	0
LG-33021	Tangalle UC		LG	1732	313	2	0	5	2	1	5	0	0	1
LG-33031	Ambalantota PS		LG	19473	2432	10	5	154	139	2	34	0	1	0
LG-33032	Angunakolapelessa PS		LG	13671	1379	3	3	108	189	1	16	1	0	1
LG-33033	Beliatta PS		LG	13182	2403	12	14	454	380	1	26	0	1	0
LG-33034	Hambantota PS		LG	8805	2236	1	3	49	93	3	17	2	2	0
LG-33035	Katuwana PS		LG	18271	2164	191	57	422	879	1	24	2	4	1
LG-33036	Lunugamvehera PS		LG	7943	2227	1	1	70	111	1	21	2	4	0
LG-33037	Tangalle PS		LG	16958	2384	20	3	105	158	3	33	4	1	1
LG-33038	Thissamaharama PS		LG	15977	4488	58	3	273	80	8	32	4	12	0
LG-33039	Weeraketiya PS		LG	22308	2381	12	36	337	653	3	41	2	2	1
LG-33040	Sooriyawewa PS		LG	10285	3707	4	4	222	119	1	19	0	2	2
LG-41011	Jaffna MC		LG	281	19936	31	24	44	43	4	192	11	0	10
LG-41021	Chavakachcheri UC		LG	54	4474	1	1	5	1	3	72	4	0	2
LG-41022	Point Pedro UC		LG	39	3166	66	5	5	1	8	36	2	0	3
