region_id	region_name	region_name_in_data	region_ent_type	bricks	cement_block	granite_cube_stones	cabook	pressed_soil_bricks	warichchi_mud	cadjan_palmyrah	planks_metal_sheets_asbestos	zink_aluminium_sheets	other	not_relevant
EC-01	Colombo		ED	166151	462409	2691	14988	1597	675	57	5109	151	56	167
EC-01A	Colombo North		PD	11090	21267	376	166	10	16	0	390	3	1	4
EC-01B	Colombo Central		PD	9223	28822	85	322	6	11	28	91	4	4	21
EC-01C	Borella		PD	5591	12055	70	96	5	2	2	38	3	0	4
EC-01D	Colombo East		PD	7691	15324	45	149	5	10	1	50	4	2	2
EC-01E	Colombo West		PD	6047	9900	44	120	5	0	2	30	0	1	6
EC-01F	Dehiwala		PD	11526	13365	70	252	32	14	3	115	1	0	4
EC-01G	Ratmalana		PD	8707	15396	73	290	13	8	7	499	11	1	0
EC-01H	Kolonnawa		PD	11301	43333	199	210	122	27	4	820	19	1	64
EC-01I	Kotte		PD	12818	14131	81	441	25	16	4	311	0	3	3
EC-01J	Kaduwela		PD	18998	58869	233	1133	238	72	1	165	27	3	3
EC-01K	Avissawella		PD	3325	47749	732	2429	335	177	1	316	15	20	6
EC-01L	Homagama		PD	9215	67006	303	2659	285	111	0	107	12	10	29
EC-01M	Maharagama		PD	17936	36534	159	1380	265	84	0	163	18	2	9
EC-01N	Kesbewa		PD	17576	53686	151	3425	220	100	1	179	20	3	7
EC-01O	Moratuwa		PD	15107	24972	70	1916	31	27	3	1835	14	5	5
EC-02	Gampaha		ED	236563	414130	1848	10253	8882	6545	47	4439	179	81	58
EC-02A	Wattala		PD	19114	27395	168	528	152	63	2	1313	36	4	12
EC-02B	Negombo		PD	25704	9711	97	49	78	9	8	230	7	4	0
EC-02C	Katana		PD	37714	36272	77	42	147	78	9	514	7	7	3
EC-02D	Divulapitiya		PD	22964	20549	64	90	417	397	10	318	8	5	8
EC-02E	Mirigama		PD	13020	32800	129	176	1582	1529	0	277	12	12	3
EC-02F	Minuwangoda		PD	18793	34390	57	450	1332	1110	5	129	10	7	4
EC-02G	Attanagalla		PD	14440	36681	155	386	1118	1060	2	158	26	9	2
EC-02H	Gampaha		PD	18525	35555	82	1061	1344	909	1	71	13	4	3
EC-02I	Ja Ela		PD	23421	31384	155	1270	355	221	1	329	15	5	3
EC-02J	Mahara		PD	15358	42362	359	1640	1016	468	7	141	14	7	4
EC-02K	Dompe		PD	4621	38116	302	3062	638	419	1	116	9	11	2
EC-02L	Biyagama		PD	11270	45202	148	1136	607	212	1	93	12	0	4
EC-02M	Kelaniya		PD	11619	23713	55	363	96	70	0	750	10	6	10
EC-03	Kalutara		ED	41484	270654	3929	23160	5216	2258	18	2497	77	92	45
EC-03A	Panadura		PD	10908	28258	102	2246	47	37	0	490	7	3	8
EC-03B	Bandaragama		PD	4920	42912	264	6979	221	160	4	377	16	18	7
EC-03C	Horana		PD	3416	45395	659	3724	188	219	5	224	16	20	5
EC-03D	Bulathsinhala		PD	1305	27747	1032	1259	603	344	1	248	7	7	4
EC-03E	Mathugama		PD	2840	34510	833	2009	1082	403	2	142	5	17	8
EC-03F	Kalutara		PD	9148	30297	136	3514	171	133	3	293	14	7	6
EC-03G	Beruwala		PD	7246	30822	102	2444	520	222	3	441	9	5	5
EC-03H	Agalawatta		PD	1701	30713	801	985	2384	740	0	282	3	15	2
EC-04	Kandy		ED	154206	203208	17852	689	8914	3835	8	955	95	33	31
EC-04A	Galagedara		PD	14256	4188	139	6	350	398	0	65	5	1	2
EC-04B	Harispattuwa		PD	33040	21872	431	32	965	537	1	144	9	3	9
EC-04C	Pathadumbara		PD	17993	11112	1566	32	887	315	1	64	5	2	1
EC-04D	Ududumbara		PD	17072	3106	1715	24	462	261	2	24	4	2	0
EC-04E	Teldeniya		PD	5421	8814	1844	38	1303	446	0	41	8	2	0
EC-04F	Kundasale		PD	17667	19834	299	56	950	381	1	85	14	5	5
EC-04G	Hewaheta		PD	3732	16159	3941	54	1094	304	1	45	6	4	3
EC-04H	Senkadagala		PD	11947	15454	319	75	393	124	0	55	8	1	3
EC-04I	Mahanuwara		PD	5673	6086	54	16	51	31	0	19	1	1	0
EC-04J	Yatinuwara		PD	9815	19239	610	43	643	204	0	95	4	4	2
EC-04K	Udunuwara		PD	10352	19569	449	28	618	164	1	96	4	2	1
EC-04L	Gampola		PD	3833	30380	2889	111	644	377	1	127	13	4	5
EC-04M	Nawalapitiya		PD	3405	27395	3596	174	554	293	0	95	14	2	0
EC-05	Matale		ED	107311	31157	2838	169	3447	2846	11	317	52	24	12
EC-05A	Dambulla		PD	40233	11913	58	12	649	1123	6	92	17	12	2
EC-05B	Laggala		PD	22477	3860	529	6	548	699	0	69	13	3	1
EC-05C	Matale		PD	23470	6752	223	62	439	401	3	59	13	5	3
EC-05D	Rattota		PD	21131	8632	2028	89	1811	623	2	97	9	4	6
EC-06	Nuwara-Eliya		ED	21337	129248	28331	1067	8747	1803	16	2046	185	88	47
EC-06A	Nuwara Eliya Maskeliya		PD	6793	82787	14476	885	1584	860	12	1480	138	32	35
EC-06B	Kothmale		PD	1097	20520	4998	47	606	354	0	306	14	24	6
EC-06C	Hanguranketha		PD	5110	12986	6189	78	1216	285	2	55	4	5	2
EC-06D	Walapane		PD	8337	12955	2668	57	5341	304	2	205	29	27	4
EC-07	Galle		ED	89321	196039	1988	4681	7753	3581	11	1887	47	51	20
EC-07A	Balapitiya		PD	3510	13604	82	120	1040	260	0	65	2	9	0
EC-07B	Ambalangoda		PD	7764	18782	69	46	930	504	1	177	3	4	0
EC-07C	Karandeniya		PD	6009	21132	122	41	670	389	0	49	2	3	3
EC-07D	Bentara Elpitiya		PD	7135	22221	248	619	2178	463	3	95	5	4	0
EC-07E	Hiniduma		PD	10534	24485	411	728	784	652	1	320	0	5	1
EC-07F	Baddegama		PD	16114	18064	321	658	491	518	1	299	5	4	2
EC-07G	Ratgama		PD	7281	18369	209	155	800	280	1	176	3	6	0
EC-07H	Galle		PD	11323	13903	100	441	143	38	1	208	8	2	6
EC-07I	Akmeemana		PD	11273	25556	226	786	390	267	2	302	10	9	4
EC-07J	Habaraduwa		PD	8378	19923	200	1087	327	210	1	196	9	5	4
EC-08	Matara		ED	123241	88931	2351	5976	4825	3243	5	1378	43	26	15
EC-08A	Deniyaya		PD	11236	22472	763	879	835	1005	1	434	13	8	0
EC-08B	Hakmana		PD	23374	7922	611	777	767	862	3	117	3	1	2
EC-08C	Akuressa		PD	11270	19772	334	1640	725	367	0	174	4	3	2
EC-08D	Kamburupitiya		PD	19899	7406	163	666	643	490	1	61	8	2	5
EC-08E	Devinuwara		PD	17764	8667	158	222	904	325	0	119	2	8	2
EC-08F	Matara		PD	22712	8240	138	351	410	47	0	169	10	1	2
EC-08G	Weligama		PD	16986	14452	184	1441	541	147	0	304	3	3	2
EC-09	Hambantota		ED	153368	28297	319	129	2236	2846	25	281	21	29	7
EC-09A	Mulkirigala		PD	34579	3824	183	93	655	1319	4	57	2	5	2
EC-09B	Beliatta		PD	24032	3876	39	15	575	636	1	45	2	2	0
EC-09C	Tangalle		PD	42517	5267	23	10	303	414	5	58	5	2	3
EC-09D	Thissamaharama		PD	52240	15330	74	11	703	477	15	121	12	20	2
EC-10	Jaffna		ED	2913	184176	433	129	738	789	877	2741	339	26	120
EC-10A	Kayts		PD	107	7425	35	4	38	40	94	141	19	2	0
EC-10B	Vaddukoddai		PD	356	15500	37	38	117	159	105	281	20	3	17
EC-10C	Kankesanthurai		PD	180	13872	49	0	38	20	122	262	26	3	13
EC-10D	Manipay		PD	351	19638	81	17	136	92	16	279	39	5	6
EC-10E	Kopay		PD	390	19447	32	19	119	145	56	297	37	4	37
EC-10F	Udupiddy		PD	304	12779	21	7	31	43	36	162	17	4	3
EC-10G	Point Pedro		PD	136	13427	77	9	8	23	99	178	16	2	16
EC-10H	Chavakachcheri		PD	256	18087	13	3	30	44	76	367	15	3	3
EC-10I	Nallur		PD	207	18142	39	26	59	18	3	95	17	0	8
